seq,src,dst,noise,received,error,rssi
1,node1-2,node7-6,-10,True,False,11
2,node1-2,node7-6,-10,True,False,10
3,node1-2,node7-6,-10,True,False,8
4,node1-2,node7-6,-10,True,False,7
5,node1-2,node7-6,-10,True,False,5
6,node1-2,node7-6,-10,True,False,7
7,node1-2,node7-6,-10,True,False,5
8,node1-2,node7-6,-10,True,False,5
9,node1-2,node7-6,-10,True,False,5
10,node1-2,node7-6,-10,True,False,5
11,node1-2,node7-6,-10,True,False,6
12,node1-2,node7-6,-10,True,False,5
13,node1-2,node7-6,-10,True,False,4
14,node1-2,node7-6,-10,True,False,5
15,node1-2,node7-6,-10,True,False,5
16,node1-2,node7-6,-10,True,False,5
17,node1-2,node7-6,-10,True,False,6
18,node1-2,node7-6,-10,True,False,5
19,node1-2,node7-6,-10,True,False,5
20,node1-2,node7-6,-10,True,False,6
21,node1-2,node7-6,-10,True,False,4
22,node1-2,node7-6,-10,True,False,6
23,node1-2,node7-6,-10,True,False,4
24,node1-2,node7-6,-10,True,False,5
25,node1-2,node7-6,-10,True,False,3
26,node1-2,node7-6,-10,True,False,5
27,node1-2,node7-6,-10,True,False,5
28,node1-2,node7-6,-10,True,False,3
29,node1-2,node7-6,-10,True,False,5
30,node1-2,node7-6,-10,True,False,3
31,node1-2,node7-6,-10,True,False,4
32,node1-2,node7-6,-10,True,False,5
33,node1-2,node7-6,-10,True,False,4
34,node1-2,node7-6,-10,True,False,4
35,node1-2,node7-6,-10,True,False,4
36,node1-2,node7-6,-10,True,False,7
37,node1-2,node7-6,-10,True,False,6
38,node1-2,node7-6,-10,True,False,6
39,node1-2,node7-6,-10,True,False,5
40,node1-2,node7-6,-10,True,False,6
41,node1-2,node7-6,-10,True,False,6
42,node1-2,node7-6,-10,True,False,5
43,node1-2,node7-6,-10,True,False,4
44,node1-2,node7-6,-10,True,False,4
45,node1-2,node7-6,-10,True,False,6
46,node1-2,node7-6,-10,True,False,6
47,node1-2,node7-6,-10,True,False,5
48,node1-2,node7-6,-10,True,False,4
49,node1-2,node7-6,-10,True,False,7
50,node1-2,node7-6,-10,True,False,7
51,node1-2,node7-6,-10,True,False,4
52,node1-2,node7-6,-10,True,False,7
53,node1-2,node7-6,-10,True,False,3
54,node1-2,node7-6,-10,True,False,5
55,node1-2,node7-6,-10,True,False,6
56,node1-2,node7-6,-10,True,False,3
57,node1-2,node7-6,-10,True,False,4
58,node1-2,node7-6,-10,True,False,5
59,node1-2,node7-6,-10,True,False,6
60,node1-2,node7-6,-10,True,False,5
61,node1-2,node7-6,-10,True,False,6
62,node1-2,node7-6,-10,True,False,5
63,node1-2,node7-6,-10,True,False,7
64,node1-2,node7-6,-10,True,False,4
65,node1-2,node7-6,-10,True,False,4
66,node1-2,node7-6,-10,True,False,6
67,node1-2,node7-6,-10,True,False,5
68,node1-2,node7-6,-10,True,False,4
69,node1-2,node7-6,-10,True,False,5
70,node1-2,node7-6,-10,True,False,6
71,node1-2,node7-6,-10,True,False,5
72,node1-2,node7-6,-10,True,False,3
73,node1-2,node7-6,-10,True,False,8
74,node1-2,node7-6,-10,True,False,6
75,node1-2,node7-6,-10,True,False,5
76,node1-2,node7-6,-10,True,False,1
77,node1-2,node7-6,-10,True,False,3
78,node1-2,node7-6,-10,True,False,3
79,node1-2,node7-6,-10,True,False,4
80,node1-2,node7-6,-10,True,False,5
81,node1-2,node7-6,-10,True,False,5
82,node1-2,node7-6,-10,True,False,4
83,node1-2,node7-6,-10,True,False,7
84,node1-2,node7-6,-10,True,False,7
85,node1-2,node7-6,-10,True,False,5
86,node1-2,node7-6,-10,True,False,4
87,node1-2,node7-6,-10,True,False,5
88,node1-2,node7-6,-10,True,False,6
89,node1-2,node7-6,-10,True,False,4
90,node1-2,node7-6,-10,True,False,6
