seq,src,dst,noise,received,error,rssi
1,node4-7,node1-4,-5,True,False,18
2,node4-7,node1-4,-5,True,False,17
3,node4-7,node1-4,-5,True,False,13
4,node4-7,node1-4,-5,True,False,10
5,node4-7,node1-4,-5,True,False,10
6,node4-7,node1-4,-5,True,False,9
7,node4-7,node1-4,-5,True,False,9
8,node4-7,node1-4,-5,True,False,11
9,node4-7,node1-4,-5,True,False,10
10,node4-7,node1-4,-5,True,False,11
11,node4-7,node1-4,-5,True,False,10
12,node4-7,node1-4,-5,True,False,10
13,node4-7,node1-4,-5,True,False,10
14,node4-7,node1-4,-5,True,False,10
15,node4-7,node1-4,-5,True,False,10
16,node4-7,node1-4,-5,True,False,10
17,node4-7,node1-4,-5,True,False,9
18,node4-7,node1-4,-5,True,False,10
19,node4-7,node1-4,-5,True,False,8
20,node4-7,node1-4,-5,True,False,10
21,node4-7,node1-4,-5,True,False,10
22,node4-7,node1-4,-5,True,False,10
23,node4-7,node1-4,-5,True,False,10
24,node4-7,node1-4,-5,True,False,9
25,node4-7,node1-4,-5,True,False,9
26,node4-7,node1-4,-5,True,False,10
27,node4-7,node1-4,-5,True,False,10
28,node4-7,node1-4,-5,True,False,9
29,node4-7,node1-4,-5,True,False,10
30,node4-7,node1-4,-5,True,False,10
31,node4-7,node1-4,-5,True,False,10
32,node4-7,node1-4,-5,True,False,10
33,node4-7,node1-4,-5,True,False,10
34,node4-7,node1-4,-5,True,False,10
35,node4-7,node1-4,-5,True,False,10
36,node4-7,node1-4,-5,True,False,9
37,node4-7,node1-4,-5,True,False,9
38,node4-7,node1-4,-5,True,False,9
39,node4-7,node1-4,-5,True,False,10
40,node4-7,node1-4,-5,True,False,11
41,node4-7,node1-4,-5,True,False,10
42,node4-7,node1-4,-5,True,False,9
43,node4-7,node1-4,-5,True,False,11
44,node4-7,node1-4,-5,True,False,9
45,node4-7,node1-4,-5,True,False,11
46,node4-7,node1-4,-5,True,False,10
47,node4-7,node1-4,-5,True,False,10
48,node4-7,node1-4,-5,True,False,10
49,node4-7,node1-4,-5,True,False,10
50,node4-7,node1-4,-5,True,False,10
51,node4-7,node1-4,-5,True,False,11
52,node4-7,node1-4,-5,True,False,10
53,node4-7,node1-4,-5,True,False,10
54,node4-7,node1-4,-5,True,False,10
55,node4-7,node1-4,-5,True,False,10
56,node4-7,node1-4,-5,True,False,10
57,node4-7,node1-4,-5,True,False,10
58,node4-7,node1-4,-5,True,False,11
59,node4-7,node1-4,-5,True,False,10
60,node4-7,node1-4,-5,True,False,9
61,node4-7,node1-4,-5,True,False,10
62,node4-7,node1-4,-5,True,False,10
63,node4-7,node1-4,-5,True,False,10
64,node4-7,node1-4,-5,True,False,10
65,node4-7,node1-4,-5,True,False,10
66,node4-7,node1-4,-5,True,False,9
67,node4-7,node1-4,-5,True,False,10
68,node4-7,node1-4,-5,True,False,10
69,node4-7,node1-4,-5,True,False,11
70,node4-7,node1-4,-5,True,False,10
71,node4-7,node1-4,-5,True,False,10
72,node4-7,node1-4,-5,True,False,9
73,node4-7,node1-4,-5,True,False,11
74,node4-7,node1-4,-5,True,False,11
75,node4-7,node1-4,-5,True,False,9
76,node4-7,node1-4,-5,True,False,10
77,node4-7,node1-4,-5,True,False,9
78,node4-7,node1-4,-5,True,False,11
79,node4-7,node1-4,-5,True,False,10
80,node4-7,node1-4,-5,True,False,10
81,node4-7,node1-4,-5,True,False,10
82,node4-7,node1-4,-5,True,False,11
83,node4-7,node1-4,-5,True,False,10
84,node4-7,node1-4,-5,True,False,10
85,node4-7,node1-4,-5,True,False,10
86,node4-7,node1-4,-5,True,False,10
87,node4-7,node1-4,-5,True,False,10
88,node4-7,node1-4,-5,True,False,9
89,node4-7,node1-4,-5,True,False,10
90,node4-7,node1-4,-5,True,False,10
91,node4-7,node1-4,-5,True,False,11
92,node4-7,node1-4,-5,True,False,10
93,node4-7,node1-4,-5,True,False,9
94,node4-7,node1-4,-5,True,False,10
95,node4-7,node1-4,-5,True,False,11
96,node4-7,node1-4,-5,True,False,9
97,node4-7,node1-4,-5,True,False,9
98,node4-7,node1-4,-5,True,False,11
99,node4-7,node1-4,-5,True,False,10
100,node4-7,node1-4,-5,True,False,10
101,node4-7,node1-4,-5,True,False,10
102,node4-7,node1-4,-5,True,False,10
103,node4-7,node1-4,-5,True,False,9
104,node4-7,node1-4,-5,True,False,11
105,node4-7,node1-4,-5,True,False,10
106,node4-7,node1-4,-5,True,False,10
107,node4-7,node1-4,-5,True,False,9
108,node4-7,node1-4,-5,True,False,10
109,node4-7,node1-4,-5,True,False,9
110,node4-7,node1-4,-5,True,False,11
111,node4-7,node1-4,-5,True,False,10
112,node4-7,node1-4,-5,True,False,11
113,node4-7,node1-4,-5,True,False,10
114,node4-7,node1-4,-5,True,False,9
115,node4-7,node1-4,-5,True,False,10
116,node4-7,node1-4,-5,True,False,10
117,node4-7,node1-4,-5,True,False,11
118,node4-7,node1-4,-5,True,False,10
119,node4-7,node1-4,-5,True,False,10
120,node4-7,node1-4,-5,True,False,10
121,node4-7,node1-4,-5,True,False,10
122,node4-7,node1-4,-5,True,False,10
123,node4-7,node1-4,-5,True,False,10
124,node4-7,node1-4,-5,True,False,10
125,node4-7,node1-4,-5,True,False,10
126,node4-7,node1-4,-5,True,False,10
127,node4-7,node1-4,-5,True,False,10
128,node4-7,node1-4,-5,True,False,10
129,node4-7,node1-4,-5,True,False,10
130,node4-7,node1-4,-5,True,False,11
131,node4-7,node1-4,-5,True,False,10
132,node4-7,node1-4,-5,True,False,11
133,node4-7,node1-4,-5,True,False,10
134,node4-7,node1-4,-5,True,False,10
135,node4-7,node1-4,-5,True,False,9
136,node4-7,node1-4,-5,True,False,10
137,node4-7,node1-4,-5,True,False,10
138,node4-7,node1-4,-5,True,False,9
139,node4-7,node1-4,-5,True,False,10
140,node4-7,node1-4,-5,True,False,10
141,node4-7,node1-4,-5,True,False,10
142,node4-7,node1-4,-5,True,False,10
143,node4-7,node1-4,-5,True,False,11
144,node4-7,node1-4,-5,True,False,9
145,node4-7,node1-4,-5,True,False,11
146,node4-7,node1-4,-5,True,False,10
147,node4-7,node1-4,-5,True,False,10
148,node4-7,node1-4,-5,True,False,10
149,node4-7,node1-4,-5,True,False,10
150,node4-7,node1-4,-5,True,False,9
151,node4-7,node1-4,-5,True,False,10
152,node4-7,node1-4,-5,True,False,8
153,node4-7,node1-4,-5,True,False,10
154,node4-7,node1-4,-5,True,False,10
155,node4-7,node1-4,-5,True,False,10
156,node4-7,node1-4,-5,True,False,9
157,node4-7,node1-4,-5,True,False,10
158,node4-7,node1-4,-5,True,False,9
159,node4-7,node1-4,-5,True,False,10
160,node4-7,node1-4,-5,True,False,10
161,node4-7,node1-4,-5,True,False,10
162,node4-7,node1-4,-5,True,False,10
163,node4-7,node1-4,-5,True,False,9
164,node4-7,node1-4,-5,True,False,10
165,node4-7,node1-4,-5,True,False,11
166,node4-7,node1-4,-5,True,False,9
167,node4-7,node1-4,-5,True,False,10
168,node4-7,node1-4,-5,True,False,10
169,node4-7,node1-4,-5,True,False,9
170,node4-7,node1-4,-5,True,False,9
171,node4-7,node1-4,-5,True,False,10
172,node4-7,node1-4,-5,True,False,10
173,node4-7,node1-4,-5,True,False,10
174,node4-7,node1-4,-5,True,False,10
175,node4-7,node1-4,-5,True,False,9
176,node4-7,node1-4,-5,True,False,11
177,node4-7,node1-4,-5,True,False,9
178,node4-7,node1-4,-5,True,False,9
179,node4-7,node1-4,-5,True,False,11
180,node4-7,node1-4,-5,True,False,11
181,node4-7,node1-4,-5,True,False,10
182,node4-7,node1-4,-5,True,False,10
183,node4-7,node1-4,-5,True,False,9
184,node4-7,node1-4,-5,True,False,11
185,node4-7,node1-4,-5,True,False,11
186,node4-7,node1-4,-5,True,False,10
187,node4-7,node1-4,-5,True,False,10
188,node4-7,node1-4,-5,True,False,10
189,node4-7,node1-4,-5,True,False,9
190,node4-7,node1-4,-5,True,False,10
191,node4-7,node1-4,-5,True,False,9
192,node4-7,node1-4,-5,True,False,10
193,node4-7,node1-4,-5,True,False,10
194,node4-7,node1-4,-5,True,False,12
195,node4-7,node1-4,-5,True,False,9
196,node4-7,node1-4,-5,True,False,10
197,node4-7,node1-4,-5,True,False,11
198,node4-7,node1-4,-5,True,False,9
199,node4-7,node1-4,-5,True,False,11
200,node4-7,node1-4,-5,True,False,9
201,node4-7,node1-4,-5,True,False,10
202,node4-7,node1-4,-5,True,False,11
203,node4-7,node1-4,-5,True,False,10
204,node4-7,node1-4,-5,True,False,9
205,node4-7,node1-4,-5,True,False,11
206,node4-7,node1-4,-5,True,False,9
207,node4-7,node1-4,-5,True,False,10
208,node4-7,node1-4,-5,True,False,11
209,node4-7,node1-4,-5,True,False,10
210,node4-7,node1-4,-5,True,False,9
211,node4-7,node1-4,-5,True,False,10
212,node4-7,node1-4,-5,True,False,11
213,node4-7,node1-4,-5,True,False,11
214,node4-7,node1-4,-5,True,False,10
215,node4-7,node1-4,-5,True,False,9
216,node4-7,node1-4,-5,True,False,9
217,node4-7,node1-4,-5,True,False,10
218,node4-7,node1-4,-5,True,False,11
219,node4-7,node1-4,-5,True,False,10
220,node4-7,node1-4,-5,True,False,10
221,node4-7,node1-4,-5,True,False,10
222,node4-7,node1-4,-5,True,False,11
223,node4-7,node1-4,-5,True,False,10
224,node4-7,node1-4,-5,True,False,9
225,node4-7,node1-4,-5,True,False,10
226,node4-7,node1-4,-5,True,False,10
227,node4-7,node1-4,-5,True,False,11
228,node4-7,node1-4,-5,True,False,10
229,node4-7,node1-4,-5,True,False,10
230,node4-7,node1-4,-5,True,False,10
231,node4-7,node1-4,-5,True,False,10
232,node4-7,node1-4,-5,True,False,10
233,node4-7,node1-4,-5,True,False,9
234,node4-7,node1-4,-5,True,False,10
235,node4-7,node1-4,-5,True,False,9
236,node4-7,node1-4,-5,True,False,11
237,node4-7,node1-4,-5,True,False,10
238,node4-7,node1-4,-5,True,False,10
239,node4-7,node1-4,-5,True,False,10
240,node4-7,node1-4,-5,True,False,10
241,node4-7,node1-4,-5,True,False,10
242,node4-7,node1-4,-5,True,False,10
243,node4-7,node1-4,-5,True,False,10
244,node4-7,node1-4,-5,True,False,10
245,node4-7,node1-4,-5,True,False,11
246,node4-7,node1-4,-5,True,False,9
247,node4-7,node1-4,-5,True,False,10
248,node4-7,node1-4,-5,True,False,9
249,node4-7,node1-4,-5,True,False,10
250,node4-7,node1-4,-5,True,False,11
251,node4-7,node1-4,-5,True,False,11
252,node4-7,node1-4,-5,True,False,10
253,node4-7,node1-4,-5,True,False,9
254,node4-7,node1-4,-5,True,False,10
255,node4-7,node1-4,-5,True,False,9
256,node4-7,node1-4,-5,True,False,9
257,node4-7,node1-4,-5,True,False,10
258,node4-7,node1-4,-5,True,False,11
259,node4-7,node1-4,-5,True,False,10
260,node4-7,node1-4,-5,True,False,10
261,node4-7,node1-4,-5,True,False,10
262,node4-7,node1-4,-5,True,False,9
263,node4-7,node1-4,-5,True,False,10
264,node4-7,node1-4,-5,True,False,11
265,node4-7,node1-4,-5,True,False,10
266,node4-7,node1-4,-5,True,False,10
267,node4-7,node1-4,-5,True,False,10
268,node4-7,node1-4,-5,True,False,10
269,node4-7,node1-4,-5,True,False,10
270,node4-7,node1-4,-5,True,False,10
271,node4-7,node1-4,-5,True,False,9
272,node4-7,node1-4,-5,True,False,9
273,node4-7,node1-4,-5,True,False,10
274,node4-7,node1-4,-5,True,False,10
275,node4-7,node1-4,-5,True,False,10
276,node4-7,node1-4,-5,True,False,11
277,node4-7,node1-4,-5,True,False,10
278,node4-7,node1-4,-5,True,False,11
279,node4-7,node1-4,-5,True,False,11
280,node4-7,node1-4,-5,True,False,11
281,node4-7,node1-4,-5,True,False,10
282,node4-7,node1-4,-5,True,False,11
283,node4-7,node1-4,-5,True,False,10
284,node4-7,node1-4,-5,True,False,8
285,node4-7,node1-4,-5,True,False,10
286,node4-7,node1-4,-5,True,False,11
287,node4-7,node1-4,-5,True,False,10
288,node4-7,node1-4,-5,True,False,12
289,node4-7,node1-4,-5,True,False,11
290,node4-7,node1-4,-5,True,False,10
291,node4-7,node1-4,-5,True,False,10
292,node4-7,node1-4,-5,True,False,11
293,node4-7,node1-4,-5,True,False,10
294,node4-7,node1-4,-5,True,False,10
295,node4-7,node1-4,-5,True,False,10
296,node4-7,node1-4,-5,True,False,10
297,node4-7,node1-4,-5,True,False,11
298,node4-7,node1-4,-5,True,False,9
299,node4-7,node1-4,-5,True,False,9
300,node4-7,node1-4,-5,True,False,10
