seq,src,dst,noise,received,error,rssi
1,node1-4,node6-7,-10,True,False,13
2,node1-4,node6-7,-10,True,False,11
3,node1-4,node6-7,-10,True,False,8
4,node1-4,node6-7,-10,True,False,9
5,node1-4,node6-7,-10,True,False,9
6,node1-4,node6-7,-10,True,False,8
7,node1-4,node6-7,-10,True,False,9
8,node1-4,node6-7,-10,True,False,10
9,node1-4,node6-7,-10,True,False,10
10,node1-4,node6-7,-10,True,False,9
11,node1-4,node6-7,-10,True,False,10
12,node1-4,node6-7,-10,True,False,10
13,node1-4,node6-7,-10,True,False,10
14,node1-4,node6-7,-10,True,False,10
15,node1-4,node6-7,-10,True,False,9
16,node1-4,node6-7,-10,True,False,10
17,node1-4,node6-7,-10,True,False,10
18,node1-4,node6-7,-10,True,False,9
19,node1-4,node6-7,-10,True,False,10
20,node1-4,node6-7,-10,True,False,9
21,node1-4,node6-7,-10,True,False,9
22,node1-4,node6-7,-10,True,False,9
23,node1-4,node6-7,-10,True,False,10
24,node1-4,node6-7,-10,True,False,10
25,node1-4,node6-7,-10,True,False,8
26,node1-4,node6-7,-10,True,False,9
27,node1-4,node6-7,-10,True,False,8
28,node1-4,node6-7,-10,True,False,9
29,node1-4,node6-7,-10,True,False,8
30,node1-4,node6-7,-10,True,False,9
31,node1-4,node6-7,-10,True,False,9
32,node1-4,node6-7,-10,True,False,9
33,node1-4,node6-7,-10,True,False,9
34,node1-4,node6-7,-10,True,False,9
35,node1-4,node6-7,-10,True,False,10
36,node1-4,node6-7,-10,True,False,10
37,node1-4,node6-7,-10,True,False,8
38,node1-4,node6-7,-10,True,False,9
39,node1-4,node6-7,-10,True,False,8
40,node1-4,node6-7,-10,True,False,9
41,node1-4,node6-7,-10,True,False,9
42,node1-4,node6-7,-10,True,False,9
43,node1-4,node6-7,-10,True,False,9
44,node1-4,node6-7,-10,True,False,10
45,node1-4,node6-7,-10,True,False,10
46,node1-4,node6-7,-10,True,False,9
47,node1-4,node6-7,-10,True,False,11
48,node1-4,node6-7,-10,True,False,8
49,node1-4,node6-7,-10,True,False,10
50,node1-4,node6-7,-10,True,False,7
51,node1-4,node6-7,-10,True,False,8
52,node1-4,node6-7,-10,True,False,9
53,node1-4,node6-7,-10,True,False,10
54,node1-4,node6-7,-10,True,False,10
55,node1-4,node6-7,-10,True,False,10
56,node1-4,node6-7,-10,True,False,9
57,node1-4,node6-7,-10,True,False,9
58,node1-4,node6-7,-10,True,False,9
59,node1-4,node6-7,-10,True,False,9
60,node1-4,node6-7,-10,True,False,10
61,node1-4,node6-7,-10,True,False,10
62,node1-4,node6-7,-10,True,False,10
63,node1-4,node6-7,-10,True,False,9
64,node1-4,node6-7,-10,True,False,10
65,node1-4,node6-7,-10,True,False,9
66,node1-4,node6-7,-10,True,False,10
67,node1-4,node6-7,-10,True,False,10
68,node1-4,node6-7,-10,True,False,8
69,node1-4,node6-7,-10,True,False,8
70,node1-4,node6-7,-10,True,False,8
71,node1-4,node6-7,-10,True,False,11
72,node1-4,node6-7,-10,True,False,8
73,node1-4,node6-7,-10,True,False,9
74,node1-4,node6-7,-10,True,False,9
75,node1-4,node6-7,-10,True,False,10
76,node1-4,node6-7,-10,True,False,9
77,node1-4,node6-7,-10,True,False,10
78,node1-4,node6-7,-10,True,False,10
79,node1-4,node6-7,-10,True,False,9
80,node1-4,node6-7,-10,True,False,9
81,node1-4,node6-7,-10,True,False,9
