seq,src,dst,noise,received,error,rssi
1,node8-5,node4-5,-20,True,False,19
2,node8-5,node4-5,-20,True,False,18
3,node8-5,node4-5,-20,True,False,14
4,node8-5,node4-5,-20,True,False,17
5,node8-5,node4-5,-20,True,False,18
6,node8-5,node4-5,-20,True,False,17
7,node8-5,node4-5,-20,True,False,16
8,node8-5,node4-5,-20,True,False,17
9,node8-5,node4-5,-20,True,False,17
10,node8-5,node4-5,-20,True,False,17
11,node8-5,node4-5,-20,True,False,17
12,node8-5,node4-5,-20,True,False,15
13,node8-5,node4-5,-20,True,False,17
14,node8-5,node4-5,-20,True,False,16
15,node8-5,node4-5,-20,True,False,15
16,node8-5,node4-5,-20,True,False,15
17,node8-5,node4-5,-20,True,False,18
18,node8-5,node4-5,-20,True,False,16
19,node8-5,node4-5,-20,True,False,17
20,node8-5,node4-5,-20,True,False,16
21,node8-5,node4-5,-20,True,False,16
22,node8-5,node4-5,-20,True,False,17
23,node8-5,node4-5,-20,True,False,17
24,node8-5,node4-5,-20,True,False,15
25,node8-5,node4-5,-20,True,False,17
26,node8-5,node4-5,-20,True,False,17
27,node8-5,node4-5,-20,True,False,16
28,node8-5,node4-5,-20,True,False,17
29,node8-5,node4-5,-20,True,False,17
30,node8-5,node4-5,-20,True,False,17
31,node8-5,node4-5,-20,True,False,16
32,node8-5,node4-5,-20,True,False,17
33,node8-5,node4-5,-20,True,False,17
34,node8-5,node4-5,-20,True,False,15
35,node8-5,node4-5,-20,True,False,17
36,node8-5,node4-5,-20,True,False,17
37,node8-5,node4-5,-20,True,False,17
38,node8-5,node4-5,-20,True,False,18
39,node8-5,node4-5,-20,True,False,17
40,node8-5,node4-5,-20,True,False,18
41,node8-5,node4-5,-20,True,False,17
42,node8-5,node4-5,-20,True,False,18
43,node8-5,node4-5,-20,True,False,16
44,node8-5,node4-5,-20,True,False,17
45,node8-5,node4-5,-20,True,False,16
46,node8-5,node4-5,-20,True,False,16
47,node8-5,node4-5,-20,True,False,16
48,node8-5,node4-5,-20,True,False,17
49,node8-5,node4-5,-20,True,False,16
50,node8-5,node4-5,-20,True,False,17
51,node8-5,node4-5,-20,True,False,16
52,node8-5,node4-5,-20,True,False,17
53,node8-5,node4-5,-20,True,False,16
54,node8-5,node4-5,-20,True,False,16
55,node8-5,node4-5,-20,True,False,17
56,node8-5,node4-5,-20,True,False,17
57,node8-5,node4-5,-20,True,False,17
58,node8-5,node4-5,-20,True,False,17
59,node8-5,node4-5,-20,True,False,17
60,node8-5,node4-5,-20,True,False,17
61,node8-5,node4-5,-20,True,False,17
62,node8-5,node4-5,-20,True,False,15
63,node8-5,node4-5,-20,True,False,18
64,node8-5,node4-5,-20,True,False,17
65,node8-5,node4-5,-20,True,False,17
66,node8-5,node4-5,-20,True,False,17
67,node8-5,node4-5,-20,True,False,17
68,node8-5,node4-5,-20,True,False,17
69,node8-5,node4-5,-20,True,False,17
70,node8-5,node4-5,-20,True,False,17
71,node8-5,node4-5,-20,True,False,17
72,node8-5,node4-5,-20,True,False,17
73,node8-5,node4-5,-20,True,False,17
74,node8-5,node4-5,-20,True,False,15
75,node8-5,node4-5,-20,True,False,17
76,node8-5,node4-5,-20,True,False,17
77,node8-5,node4-5,-20,True,False,16
78,node8-5,node4-5,-20,True,False,17
79,node8-5,node4-5,-20,True,False,17
80,node8-5,node4-5,-20,True,False,17
81,node8-5,node4-5,-20,True,False,17
82,node8-5,node4-5,-20,True,False,17
83,node8-5,node4-5,-20,True,False,16
84,node8-5,node4-5,-20,True,False,17
85,node8-5,node4-5,-20,True,False,18
86,node8-5,node4-5,-20,True,False,17
87,node8-5,node4-5,-20,True,False,16
88,node8-5,node4-5,-20,True,False,17
89,node8-5,node4-5,-20,True,False,17
90,node8-5,node4-5,-20,True,False,17
91,node8-5,node4-5,-20,True,False,16
92,node8-5,node4-5,-20,True,False,16
93,node8-5,node4-5,-20,True,False,16
94,node8-5,node4-5,-20,True,False,15
95,node8-5,node4-5,-20,True,False,16
96,node8-5,node4-5,-20,True,False,17
97,node8-5,node4-5,-20,True,False,16
98,node8-5,node4-5,-20,True,False,16
99,node8-5,node4-5,-20,True,False,16
100,node8-5,node4-5,-20,True,False,16
101,node8-5,node4-5,-20,True,False,16
