seq,src,dst,noise,received,error,rssi
1,node2-5,node6-3,-10,True,False,13
2,node2-5,node6-3,-10,True,False,10
3,node2-5,node6-3,-10,True,False,9
4,node2-5,node6-3,-10,True,False,10
5,node2-5,node6-3,-10,True,False,10
6,node2-5,node6-3,-10,True,False,9
7,node2-5,node6-3,-10,True,False,9
8,node2-5,node6-3,-10,True,False,10
9,node2-5,node6-3,-10,True,False,10
10,node2-5,node6-3,-10,True,False,10
11,node2-5,node6-3,-10,True,False,10
12,node2-5,node6-3,-10,True,False,9
13,node2-5,node6-3,-10,True,False,10
14,node2-5,node6-3,-10,True,False,9
15,node2-5,node6-3,-10,True,False,9
16,node2-5,node6-3,-10,True,False,11
17,node2-5,node6-3,-10,True,False,10
18,node2-5,node6-3,-10,True,False,10
19,node2-5,node6-3,-10,True,False,10
20,node2-5,node6-3,-10,True,False,10
21,node2-5,node6-3,-10,True,False,10
22,node2-5,node6-3,-10,True,False,9
23,node2-5,node6-3,-10,True,False,9
24,node2-5,node6-3,-10,True,False,10
25,node2-5,node6-3,-10,True,False,11
26,node2-5,node6-3,-10,True,False,10
27,node2-5,node6-3,-10,True,False,10
28,node2-5,node6-3,-10,True,False,10
29,node2-5,node6-3,-10,True,False,10
30,node2-5,node6-3,-10,True,False,11
31,node2-5,node6-3,-10,True,False,10
32,node2-5,node6-3,-10,True,False,10
33,node2-5,node6-3,-10,True,False,10
34,node2-5,node6-3,-10,True,False,10
35,node2-5,node6-3,-10,True,False,11
36,node2-5,node6-3,-10,True,False,9
37,node2-5,node6-3,-10,True,False,10
38,node2-5,node6-3,-10,True,False,11
39,node2-5,node6-3,-10,True,False,8
40,node2-5,node6-3,-10,True,False,10
41,node2-5,node6-3,-10,True,False,10
42,node2-5,node6-3,-10,True,False,11
43,node2-5,node6-3,-10,True,False,11
44,node2-5,node6-3,-10,True,False,9
45,node2-5,node6-3,-10,True,False,11
46,node2-5,node6-3,-10,True,False,9
47,node2-5,node6-3,-10,True,False,11
48,node2-5,node6-3,-10,True,False,10
49,node2-5,node6-3,-10,True,False,10
50,node2-5,node6-3,-10,True,False,10
51,node2-5,node6-3,-10,True,False,9
52,node2-5,node6-3,-10,True,False,11
53,node2-5,node6-3,-10,True,False,10
54,node2-5,node6-3,-10,True,False,11
55,node2-5,node6-3,-10,True,False,10
56,node2-5,node6-3,-10,True,False,10
57,node2-5,node6-3,-10,True,False,11
58,node2-5,node6-3,-10,True,False,11
59,node2-5,node6-3,-10,True,False,9
60,node2-5,node6-3,-10,True,False,10
61,node2-5,node6-3,-10,True,False,10
62,node2-5,node6-3,-10,True,False,10
63,node2-5,node6-3,-10,True,False,9
64,node2-5,node6-3,-10,True,False,10
65,node2-5,node6-3,-10,True,False,10
66,node2-5,node6-3,-10,True,False,9
67,node2-5,node6-3,-10,True,False,11
68,node2-5,node6-3,-10,True,False,10
69,node2-5,node6-3,-10,True,False,9
70,node2-5,node6-3,-10,True,False,11
71,node2-5,node6-3,-10,True,False,10
72,node2-5,node6-3,-10,True,False,11
73,node2-5,node6-3,-10,True,False,10
74,node2-5,node6-3,-10,True,False,10
75,node2-5,node6-3,-10,True,False,9
76,node2-5,node6-3,-10,True,False,10
77,node2-5,node6-3,-10,True,False,10
78,node2-5,node6-3,-10,True,False,10
79,node2-5,node6-3,-10,True,False,11
80,node2-5,node6-3,-10,True,False,10
81,node2-5,node6-3,-10,True,False,9
82,node2-5,node6-3,-10,True,False,11
83,node2-5,node6-3,-10,True,False,8
84,node2-5,node6-3,-10,True,False,9
85,node2-5,node6-3,-10,True,False,9
86,node2-5,node6-3,-10,True,False,8
87,node2-5,node6-3,-10,True,False,10
88,node2-5,node6-3,-10,True,False,10
89,node2-5,node6-3,-10,True,False,9
90,node2-5,node6-3,-10,True,False,10
91,node2-5,node6-3,-10,True,False,11
92,node2-5,node6-3,-10,True,False,10
93,node2-5,node6-3,-10,True,False,10
94,node2-5,node6-3,-10,True,False,9
95,node2-5,node6-3,-10,True,False,9
96,node2-5,node6-3,-10,True,False,10
97,node2-5,node6-3,-10,True,False,10
98,node2-5,node6-3,-10,True,False,10
99,node2-5,node6-3,-10,True,False,11
100,node2-5,node6-3,-10,True,False,10
101,node2-5,node6-3,-10,True,False,10
102,node2-5,node6-3,-10,True,False,10
103,node2-5,node6-3,-10,True,False,11
104,node2-5,node6-3,-10,True,False,11
105,node2-5,node6-3,-10,True,False,10
106,node2-5,node6-3,-10,True,False,10
107,node2-5,node6-3,-10,True,False,9
108,node2-5,node6-3,-10,True,False,9
109,node2-5,node6-3,-10,True,False,10
110,node2-5,node6-3,-10,True,False,10
111,node2-5,node6-3,-10,True,False,11
112,node2-5,node6-3,-10,True,False,10
113,node2-5,node6-3,-10,True,False,10
114,node2-5,node6-3,-10,True,False,10
115,node2-5,node6-3,-10,True,False,10
116,node2-5,node6-3,-10,True,False,9
117,node2-5,node6-3,-10,True,False,9
118,node2-5,node6-3,-10,True,False,9
119,node2-5,node6-3,-10,True,False,10
120,node2-5,node6-3,-10,True,False,9
121,node2-5,node6-3,-10,True,False,9
122,node2-5,node6-3,-10,True,False,11
123,node2-5,node6-3,-10,True,False,8
124,node2-5,node6-3,-10,True,False,9
125,node2-5,node6-3,-10,True,False,9
126,node2-5,node6-3,-10,True,False,9
127,node2-5,node6-3,-10,True,False,10
128,node2-5,node6-3,-10,True,False,10
129,node2-5,node6-3,-10,True,False,9
130,node2-5,node6-3,-10,True,False,11
131,node2-5,node6-3,-10,True,False,9
132,node2-5,node6-3,-10,True,False,10
133,node2-5,node6-3,-10,True,False,10
134,node2-5,node6-3,-10,True,False,11
135,node2-5,node6-3,-10,True,False,10
136,node2-5,node6-3,-10,True,False,10
137,node2-5,node6-3,-10,True,False,9
138,node2-5,node6-3,-10,True,False,10
139,node2-5,node6-3,-10,True,False,9
140,node2-5,node6-3,-10,True,False,11
141,node2-5,node6-3,-10,True,False,10
142,node2-5,node6-3,-10,True,False,9
143,node2-5,node6-3,-10,True,False,10
144,node2-5,node6-3,-10,True,False,11
145,node2-5,node6-3,-10,True,False,11
146,node2-5,node6-3,-10,True,False,10
147,node2-5,node6-3,-10,True,False,9
148,node2-5,node6-3,-10,True,False,9
149,node2-5,node6-3,-10,True,False,11
150,node2-5,node6-3,-10,True,False,10
151,node2-5,node6-3,-10,True,False,11
152,node2-5,node6-3,-10,True,False,11
153,node2-5,node6-3,-10,True,False,9
154,node2-5,node6-3,-10,True,False,9
155,node2-5,node6-3,-10,True,False,10
156,node2-5,node6-3,-10,True,False,10
157,node2-5,node6-3,-10,True,False,9
158,node2-5,node6-3,-10,True,False,9
159,node2-5,node6-3,-10,True,False,9
160,node2-5,node6-3,-10,True,False,11
161,node2-5,node6-3,-10,True,False,10
162,node2-5,node6-3,-10,True,False,10
163,node2-5,node6-3,-10,True,False,10
164,node2-5,node6-3,-10,True,False,9
165,node2-5,node6-3,-10,True,False,10
166,node2-5,node6-3,-10,True,False,9
167,node2-5,node6-3,-10,True,False,11
168,node2-5,node6-3,-10,True,False,10
169,node2-5,node6-3,-10,True,False,10
170,node2-5,node6-3,-10,True,False,9
171,node2-5,node6-3,-10,True,False,10
172,node2-5,node6-3,-10,True,False,11
173,node2-5,node6-3,-10,True,False,9
174,node2-5,node6-3,-10,True,False,10
175,node2-5,node6-3,-10,True,False,10
176,node2-5,node6-3,-10,True,False,9
177,node2-5,node6-3,-10,True,False,8
178,node2-5,node6-3,-10,True,False,12
179,node2-5,node6-3,-10,True,False,11
180,node2-5,node6-3,-10,True,False,9
181,node2-5,node6-3,-10,True,False,9
182,node2-5,node6-3,-10,True,False,10
183,node2-5,node6-3,-10,True,False,9
184,node2-5,node6-3,-10,True,False,10
185,node2-5,node6-3,-10,True,False,10
186,node2-5,node6-3,-10,True,False,10
187,node2-5,node6-3,-10,True,False,10
188,node2-5,node6-3,-10,True,False,10
189,node2-5,node6-3,-10,True,False,9
190,node2-5,node6-3,-10,True,False,10
191,node2-5,node6-3,-10,True,False,9
192,node2-5,node6-3,-10,True,False,11
193,node2-5,node6-3,-10,True,False,8
194,node2-5,node6-3,-10,True,False,11
195,node2-5,node6-3,-10,True,False,9
