seq,src,dst,noise,received,error,rssi
1,node6-1,node3-4,-15,True,False,16
2,node6-1,node3-4,-15,True,False,17
3,node6-1,node3-4,-15,True,False,13
4,node6-1,node3-4,-15,True,False,12
5,node6-1,node3-4,-15,True,False,10
6,node6-1,node3-4,-15,True,False,10
7,node6-1,node3-4,-15,True,False,12
8,node6-1,node3-4,-15,True,False,11
9,node6-1,node3-4,-15,True,False,12
10,node6-1,node3-4,-15,True,False,11
11,node6-1,node3-4,-15,True,False,10
12,node6-1,node3-4,-15,True,False,11
13,node6-1,node3-4,-15,True,False,9
14,node6-1,node3-4,-15,True,False,12
15,node6-1,node3-4,-15,True,False,12
16,node6-1,node3-4,-15,True,False,12
17,node6-1,node3-4,-15,True,False,12
18,node6-1,node3-4,-15,True,False,11
19,node6-1,node3-4,-15,True,False,13
20,node6-1,node3-4,-15,True,False,11
21,node6-1,node3-4,-15,True,False,11
22,node6-1,node3-4,-15,True,False,12
23,node6-1,node3-4,-15,True,False,10
24,node6-1,node3-4,-15,True,False,10
25,node6-1,node3-4,-15,True,False,10
26,node6-1,node3-4,-15,True,False,12
27,node6-1,node3-4,-15,True,False,12
28,node6-1,node3-4,-15,True,False,12
29,node6-1,node3-4,-15,True,False,13
30,node6-1,node3-4,-15,True,False,13
31,node6-1,node3-4,-15,True,False,10
32,node6-1,node3-4,-15,True,False,10
33,node6-1,node3-4,-15,True,False,10
34,node6-1,node3-4,-15,True,False,11
35,node6-1,node3-4,-15,True,False,12
36,node6-1,node3-4,-15,True,False,11
37,node6-1,node3-4,-15,True,False,11
38,node6-1,node3-4,-15,True,False,12
39,node6-1,node3-4,-15,True,False,11
40,node6-1,node3-4,-15,True,False,11
41,node6-1,node3-4,-15,True,False,12
42,node6-1,node3-4,-15,True,False,11
43,node6-1,node3-4,-15,True,False,11
44,node6-1,node3-4,-15,True,False,11
45,node6-1,node3-4,-15,True,False,12
46,node6-1,node3-4,-15,True,False,11
47,node6-1,node3-4,-15,True,False,11
48,node6-1,node3-4,-15,True,False,13
49,node6-1,node3-4,-15,True,False,12
50,node6-1,node3-4,-15,True,False,11
51,node6-1,node3-4,-15,True,False,11
52,node6-1,node3-4,-15,True,False,11
53,node6-1,node3-4,-15,True,False,12
54,node6-1,node3-4,-15,True,False,10
55,node6-1,node3-4,-15,True,False,11
56,node6-1,node3-4,-15,True,False,12
57,node6-1,node3-4,-15,True,False,12
58,node6-1,node3-4,-15,True,False,12
59,node6-1,node3-4,-15,True,False,12
60,node6-1,node3-4,-15,True,False,12
61,node6-1,node3-4,-15,True,False,10
62,node6-1,node3-4,-15,True,False,12
63,node6-1,node3-4,-15,True,False,12
64,node6-1,node3-4,-15,True,False,12
65,node6-1,node3-4,-15,True,False,11
66,node6-1,node3-4,-15,True,False,11
67,node6-1,node3-4,-15,True,False,10
68,node6-1,node3-4,-15,True,False,12
69,node6-1,node3-4,-15,True,False,7
70,node6-1,node3-4,-15,True,False,12
71,node6-1,node3-4,-15,True,False,12
72,node6-1,node3-4,-15,True,False,11
73,node6-1,node3-4,-15,True,False,11
74,node6-1,node3-4,-15,True,False,12
75,node6-1,node3-4,-15,True,False,11
76,node6-1,node3-4,-15,True,False,11
77,node6-1,node3-4,-15,True,False,11
78,node6-1,node3-4,-15,True,False,9
79,node6-1,node3-4,-15,True,False,11
80,node6-1,node3-4,-15,True,False,9
81,node6-1,node3-4,-15,True,False,10
82,node6-1,node3-4,-15,True,False,12
83,node6-1,node3-4,-15,True,False,11
84,node6-1,node3-4,-15,True,False,10
85,node6-1,node3-4,-15,True,False,12
86,node6-1,node3-4,-15,True,False,11
87,node6-1,node3-4,-15,True,False,7
88,node6-1,node3-4,-15,True,False,12
89,node6-1,node3-4,-15,True,False,11
