seq,src,dst,noise,received,error,rssi
1,node3-4,node6-5,-10,True,False,12
2,node3-4,node6-5,-10,True,False,10
3,node3-4,node6-5,-10,True,False,8
4,node3-4,node6-5,-10,True,False,8
5,node3-4,node6-5,-10,True,False,6
6,node3-4,node6-5,-10,True,False,7
7,node3-4,node6-5,-10,True,False,6
8,node3-4,node6-5,-10,True,False,6
9,node3-4,node6-5,-10,True,False,6
10,node3-4,node6-5,-10,True,False,8
11,node3-4,node6-5,-10,True,False,9
12,node3-4,node6-5,-10,True,False,6
13,node3-4,node6-5,-10,True,False,4
14,node3-4,node6-5,-10,True,False,6
15,node3-4,node6-5,-10,True,False,6
16,node3-4,node6-5,-10,True,False,7
17,node3-4,node6-5,-10,True,False,7
18,node3-4,node6-5,-10,True,False,6
19,node3-4,node6-5,-10,True,False,6
20,node3-4,node6-5,-10,True,False,7
21,node3-4,node6-5,-10,True,False,8
22,node3-4,node6-5,-10,True,False,7
23,node3-4,node6-5,-10,True,False,7
24,node3-4,node6-5,-10,True,False,7
25,node3-4,node6-5,-10,True,False,6
26,node3-4,node6-5,-10,True,False,5
27,node3-4,node6-5,-10,True,False,7
28,node3-4,node6-5,-10,True,False,7
29,node3-4,node6-5,-10,True,False,8
30,node3-4,node6-5,-10,True,False,7
31,node3-4,node6-5,-10,True,False,8
32,node3-4,node6-5,-10,True,False,6
33,node3-4,node6-5,-10,True,False,7
34,node3-4,node6-5,-10,True,False,6
35,node3-4,node6-5,-10,True,False,7
36,node3-4,node6-5,-10,True,False,8
37,node3-4,node6-5,-10,True,False,6
38,node3-4,node6-5,-10,True,False,7
39,node3-4,node6-5,-10,True,False,7
40,node3-4,node6-5,-10,True,False,7
41,node3-4,node6-5,-10,True,False,4
42,node3-4,node6-5,-10,True,False,7
43,node3-4,node6-5,-10,True,False,8
44,node3-4,node6-5,-10,True,False,7
45,node3-4,node6-5,-10,True,False,8
46,node3-4,node6-5,-10,True,False,8
47,node3-4,node6-5,-10,True,False,8
48,node3-4,node6-5,-10,True,False,6
49,node3-4,node6-5,-10,True,False,6
50,node3-4,node6-5,-10,True,False,6
51,node3-4,node6-5,-10,True,False,6
52,node3-4,node6-5,-10,True,False,5
53,node3-4,node6-5,-10,True,False,7
54,node3-4,node6-5,-10,True,False,7
55,node3-4,node6-5,-10,True,False,5
56,node3-4,node6-5,-10,True,False,7
57,node3-4,node6-5,-10,True,False,6
58,node3-4,node6-5,-10,True,False,6
59,node3-4,node6-5,-10,True,False,7
60,node3-4,node6-5,-10,True,False,6
61,node3-4,node6-5,-10,True,False,7
62,node3-4,node6-5,-10,True,False,9
63,node3-4,node6-5,-10,True,False,6
64,node3-4,node6-5,-10,True,False,6
65,node3-4,node6-5,-10,True,False,7
66,node3-4,node6-5,-10,True,False,7
67,node3-4,node6-5,-10,True,False,8
68,node3-4,node6-5,-10,True,False,7
69,node3-4,node6-5,-10,True,False,6
70,node3-4,node6-5,-10,True,False,6
71,node3-4,node6-5,-10,True,False,6
72,node3-4,node6-5,-10,True,False,7
73,node3-4,node6-5,-10,True,False,4
74,node3-4,node6-5,-10,True,False,5
75,node3-4,node6-5,-10,True,False,6
76,node3-4,node6-5,-10,True,False,6
77,node3-4,node6-5,-10,True,False,7
78,node3-4,node6-5,-10,True,False,7
79,node3-4,node6-5,-10,True,False,7
80,node3-4,node6-5,-10,True,False,6
81,node3-4,node6-5,-10,True,False,6
82,node3-4,node6-5,-10,True,False,7
83,node3-4,node6-5,-10,True,False,7
