seq,src,dst,noise,received,error,rssi
1,node1-8,node7-6,-5,True,False,12
2,node1-8,node7-6,-5,True,False,12
3,node1-8,node7-6,-5,True,False,11
4,node1-8,node7-6,-5,True,False,8
5,node1-8,node7-6,-5,True,False,10
6,node1-8,node7-6,-5,True,False,7
7,node1-8,node7-6,-5,True,False,8
8,node1-8,node7-6,-5,True,False,8
9,node1-8,node7-6,-5,True,False,9
10,node1-8,node7-6,-5,True,False,8
11,node1-8,node7-6,-5,True,False,9
12,node1-8,node7-6,-5,True,False,7
13,node1-8,node7-6,-5,True,False,9
14,node1-8,node7-6,-5,True,False,7
15,node1-8,node7-6,-5,True,False,9
16,node1-8,node7-6,-5,True,False,9
17,node1-8,node7-6,-5,True,False,9
18,node1-8,node7-6,-5,True,False,9
19,node1-8,node7-6,-5,True,False,10
20,node1-8,node7-6,-5,True,False,8
21,node1-8,node7-6,-5,True,False,7
22,node1-8,node7-6,-5,True,False,8
23,node1-8,node7-6,-5,True,False,10
24,node1-8,node7-6,-5,True,False,9
25,node1-8,node7-6,-5,True,False,7
26,node1-8,node7-6,-5,True,False,8
27,node1-8,node7-6,-5,True,False,10
28,node1-8,node7-6,-5,True,False,10
29,node1-8,node7-6,-5,True,False,9
30,node1-8,node7-6,-5,True,False,10
31,node1-8,node7-6,-5,True,False,9
32,node1-8,node7-6,-5,True,False,9
33,node1-8,node7-6,-5,True,False,10
34,node1-8,node7-6,-5,True,False,7
35,node1-8,node7-6,-5,True,False,8
36,node1-8,node7-6,-5,True,False,10
37,node1-8,node7-6,-5,True,False,9
38,node1-8,node7-6,-5,True,False,9
39,node1-8,node7-6,-5,True,False,8
40,node1-8,node7-6,-5,True,False,9
41,node1-8,node7-6,-5,True,False,8
42,node1-8,node7-6,-5,True,False,9
43,node1-8,node7-6,-5,True,False,7
44,node1-8,node7-6,-5,True,False,9
45,node1-8,node7-6,-5,True,False,9
46,node1-8,node7-6,-5,True,False,9
47,node1-8,node7-6,-5,True,False,8
48,node1-8,node7-6,-5,True,False,7
49,node1-8,node7-6,-5,True,False,9
50,node1-8,node7-6,-5,True,False,9
51,node1-8,node7-6,-5,True,False,7
52,node1-8,node7-6,-5,True,False,9
53,node1-8,node7-6,-5,True,False,8
54,node1-8,node7-6,-5,True,False,9
55,node1-8,node7-6,-5,True,False,8
56,node1-8,node7-6,-5,True,False,8
57,node1-8,node7-6,-5,True,False,9
58,node1-8,node7-6,-5,True,False,8
59,node1-8,node7-6,-5,True,False,8
60,node1-8,node7-6,-5,True,False,9
61,node1-8,node7-6,-5,True,False,8
62,node1-8,node7-6,-5,True,False,9
63,node1-8,node7-6,-5,True,False,9
64,node1-8,node7-6,-5,True,False,8
65,node1-8,node7-6,-5,True,False,9
66,node1-8,node7-6,-5,True,False,8
67,node1-8,node7-6,-5,True,False,8
68,node1-8,node7-6,-5,True,False,10
69,node1-8,node7-6,-5,True,False,10
70,node1-8,node7-6,-5,True,False,9
71,node1-8,node7-6,-5,True,False,8
72,node1-8,node7-6,-5,True,False,8
73,node1-8,node7-6,-5,True,False,9
74,node1-8,node7-6,-5,True,False,10
75,node1-8,node7-6,-5,True,False,8
76,node1-8,node7-6,-5,True,False,8
77,node1-8,node7-6,-5,True,False,8
78,node1-8,node7-6,-5,True,False,9
79,node1-8,node7-6,-5,True,False,9
80,node1-8,node7-6,-5,True,False,8
81,node1-8,node7-6,-5,True,False,8
82,node1-8,node7-6,-5,True,False,7
83,node1-8,node7-6,-5,True,False,9
84,node1-8,node7-6,-5,True,False,8
85,node1-8,node7-6,-5,True,False,10
86,node1-8,node7-6,-5,True,False,10
87,node1-8,node7-6,-5,True,False,9
88,node1-8,node7-6,-5,True,False,8
89,node1-8,node7-6,-5,True,False,9
90,node1-8,node7-6,-5,True,False,8
91,node1-8,node7-6,-5,True,False,8
92,node1-8,node7-6,-5,True,False,9
93,node1-8,node7-6,-5,True,False,8
94,node1-8,node7-6,-5,True,False,8
95,node1-8,node7-6,-5,True,False,9
96,node1-8,node7-6,-5,True,False,7
97,node1-8,node7-6,-5,True,False,8
98,node1-8,node7-6,-5,True,False,8
99,node1-8,node7-6,-5,True,False,8
100,node1-8,node7-6,-5,True,False,8
101,node1-8,node7-6,-5,True,False,8
102,node1-8,node7-6,-5,True,False,7
103,node1-8,node7-6,-5,True,False,8
104,node1-8,node7-6,-5,True,False,9
105,node1-8,node7-6,-5,True,False,10
106,node1-8,node7-6,-5,True,False,8
107,node1-8,node7-6,-5,True,False,10
108,node1-8,node7-6,-5,True,False,8
109,node1-8,node7-6,-5,True,False,8
110,node1-8,node7-6,-5,True,False,10
111,node1-8,node7-6,-5,True,False,9
112,node1-8,node7-6,-5,True,False,6
113,node1-8,node7-6,-5,True,False,9
114,node1-8,node7-6,-5,True,False,9
115,node1-8,node7-6,-5,True,False,7
116,node1-8,node7-6,-5,True,False,9
117,node1-8,node7-6,-5,True,False,9
118,node1-8,node7-6,-5,True,False,9
119,node1-8,node7-6,-5,True,False,5
120,node1-8,node7-6,-5,True,False,8
121,node1-8,node7-6,-5,True,False,8
122,node1-8,node7-6,-5,True,False,9
123,node1-8,node7-6,-5,True,False,7
124,node1-8,node7-6,-5,True,False,9
125,node1-8,node7-6,-5,True,False,8
126,node1-8,node7-6,-5,True,False,9
127,node1-8,node7-6,-5,True,False,9
128,node1-8,node7-6,-5,True,False,7
129,node1-8,node7-6,-5,True,False,9
130,node1-8,node7-6,-5,True,False,9
131,node1-8,node7-6,-5,True,False,8
132,node1-8,node7-6,-5,True,False,8
133,node1-8,node7-6,-5,True,False,7
134,node1-8,node7-6,-5,True,False,8
135,node1-8,node7-6,-5,True,False,8
136,node1-8,node7-6,-5,True,False,9
137,node1-8,node7-6,-5,True,False,10
138,node1-8,node7-6,-5,True,False,9
139,node1-8,node7-6,-5,True,False,10
140,node1-8,node7-6,-5,True,False,8
141,node1-8,node7-6,-5,True,False,9
142,node1-8,node7-6,-5,True,False,9
143,node1-8,node7-6,-5,True,False,10
144,node1-8,node7-6,-5,True,False,9
145,node1-8,node7-6,-5,True,False,9
146,node1-8,node7-6,-5,True,False,10
147,node1-8,node7-6,-5,True,False,8
148,node1-8,node7-6,-5,True,False,8
149,node1-8,node7-6,-5,True,False,10
150,node1-8,node7-6,-5,True,False,7
151,node1-8,node7-6,-5,True,False,8
152,node1-8,node7-6,-5,True,False,9
153,node1-8,node7-6,-5,True,False,8
154,node1-8,node7-6,-5,True,False,7
155,node1-8,node7-6,-5,True,False,9
156,node1-8,node7-6,-5,True,False,9
157,node1-8,node7-6,-5,True,False,9
158,node1-8,node7-6,-5,True,False,8
159,node1-8,node7-6,-5,True,False,9
160,node1-8,node7-6,-5,True,False,7
161,node1-8,node7-6,-5,True,False,8
162,node1-8,node7-6,-5,True,False,9
163,node1-8,node7-6,-5,True,False,8
164,node1-8,node7-6,-5,True,False,7
165,node1-8,node7-6,-5,True,False,9
166,node1-8,node7-6,-5,True,False,9
167,node1-8,node7-6,-5,True,False,8
168,node1-8,node7-6,-5,True,False,8
169,node1-8,node7-6,-5,True,False,10
170,node1-8,node7-6,-5,True,False,8
171,node1-8,node7-6,-5,True,False,9
172,node1-8,node7-6,-5,True,False,10
173,node1-8,node7-6,-5,True,False,9
174,node1-8,node7-6,-5,True,False,9
175,node1-8,node7-6,-5,True,False,8
176,node1-8,node7-6,-5,True,False,8
177,node1-8,node7-6,-5,True,False,9
178,node1-8,node7-6,-5,True,False,9
179,node1-8,node7-6,-5,True,False,9
180,node1-8,node7-6,-5,True,False,8
181,node1-8,node7-6,-5,True,False,9
182,node1-8,node7-6,-5,True,False,9
183,node1-8,node7-6,-5,True,False,10
184,node1-8,node7-6,-5,True,False,8
185,node1-8,node7-6,-5,True,False,9
186,node1-8,node7-6,-5,True,False,9
187,node1-8,node7-6,-5,True,False,8
188,node1-8,node7-6,-5,True,False,8
189,node1-8,node7-6,-5,True,False,8
190,node1-8,node7-6,-5,True,False,9
191,node1-8,node7-6,-5,True,False,9
192,node1-8,node7-6,-5,True,False,8
193,node1-8,node7-6,-5,True,False,8
194,node1-8,node7-6,-5,True,False,9
195,node1-8,node7-6,-5,True,False,10
196,node1-8,node7-6,-5,True,False,9
197,node1-8,node7-6,-5,True,False,9
198,node1-8,node7-6,-5,True,False,9
199,node1-8,node7-6,-5,True,False,10
200,node1-8,node7-6,-5,True,False,8
201,node1-8,node7-6,-5,True,False,9
