seq,src,dst,noise,received,error,rssi
1,node2-5,node7-2,-20,True,False,13
2,node2-5,node7-2,-20,True,False,12
3,node2-5,node7-2,-20,True,False,11
4,node2-5,node7-2,-20,True,False,10
5,node2-5,node7-2,-20,True,False,10
6,node2-5,node7-2,-20,True,False,11
7,node2-5,node7-2,-20,True,False,9
8,node2-5,node7-2,-20,True,False,8
9,node2-5,node7-2,-20,True,False,11
10,node2-5,node7-2,-20,True,False,10
11,node2-5,node7-2,-20,True,False,10
12,node2-5,node7-2,-20,True,False,11
13,node2-5,node7-2,-20,True,False,11
14,node2-5,node7-2,-20,True,False,11
15,node2-5,node7-2,-20,True,False,9
16,node2-5,node7-2,-20,True,False,11
17,node2-5,node7-2,-20,True,False,10
18,node2-5,node7-2,-20,True,False,11
19,node2-5,node7-2,-20,True,False,10
20,node2-5,node7-2,-20,True,False,8
21,node2-5,node7-2,-20,True,False,10
22,node2-5,node7-2,-20,True,False,11
23,node2-5,node7-2,-20,True,False,11
24,node2-5,node7-2,-20,True,False,10
25,node2-5,node7-2,-20,True,False,9
26,node2-5,node7-2,-20,True,False,10
27,node2-5,node7-2,-20,True,False,10
28,node2-5,node7-2,-20,True,False,9
29,node2-5,node7-2,-20,True,False,10
30,node2-5,node7-2,-20,True,False,10
31,node2-5,node7-2,-20,True,False,9
32,node2-5,node7-2,-20,True,False,10
33,node2-5,node7-2,-20,True,False,11
34,node2-5,node7-2,-20,True,False,9
35,node2-5,node7-2,-20,True,False,10
36,node2-5,node7-2,-20,True,False,11
37,node2-5,node7-2,-20,True,False,10
38,node2-5,node7-2,-20,True,False,9
39,node2-5,node7-2,-20,True,False,10
40,node2-5,node7-2,-20,True,False,11
41,node2-5,node7-2,-20,True,False,9
42,node2-5,node7-2,-20,True,False,9
43,node2-5,node7-2,-20,True,False,10
44,node2-5,node7-2,-20,True,False,11
45,node2-5,node7-2,-20,True,False,9
46,node2-5,node7-2,-20,True,False,11
47,node2-5,node7-2,-20,True,False,9
48,node2-5,node7-2,-20,True,False,10
49,node2-5,node7-2,-20,True,False,9
50,node2-5,node7-2,-20,True,False,11
51,node2-5,node7-2,-20,True,False,11
52,node2-5,node7-2,-20,True,False,9
53,node2-5,node7-2,-20,True,False,10
54,node2-5,node7-2,-20,True,False,10
55,node2-5,node7-2,-20,True,False,10
56,node2-5,node7-2,-20,True,False,11
57,node2-5,node7-2,-20,True,False,9
58,node2-5,node7-2,-20,True,False,9
59,node2-5,node7-2,-20,True,False,9
60,node2-5,node7-2,-20,True,False,9
61,node2-5,node7-2,-20,True,False,10
62,node2-5,node7-2,-20,True,False,10
63,node2-5,node7-2,-20,True,False,10
64,node2-5,node7-2,-20,True,False,9
65,node2-5,node7-2,-20,True,False,10
66,node2-5,node7-2,-20,True,False,9
67,node2-5,node7-2,-20,True,False,9
68,node2-5,node7-2,-20,True,False,10
69,node2-5,node7-2,-20,True,False,9
70,node2-5,node7-2,-20,True,False,10
71,node2-5,node7-2,-20,True,False,10
72,node2-5,node7-2,-20,True,False,10
73,node2-5,node7-2,-20,True,False,11
74,node2-5,node7-2,-20,True,False,10
75,node2-5,node7-2,-20,True,False,9
76,node2-5,node7-2,-20,True,False,11
77,node2-5,node7-2,-20,True,False,11
78,node2-5,node7-2,-20,True,False,11
79,node2-5,node7-2,-20,True,False,10
80,node2-5,node7-2,-20,True,False,11
81,node2-5,node7-2,-20,True,False,9
82,node2-5,node7-2,-20,True,False,10
83,node2-5,node7-2,-20,True,False,9
84,node2-5,node7-2,-20,True,False,10
85,node2-5,node7-2,-20,True,False,11
86,node2-5,node7-2,-20,True,False,10
87,node2-5,node7-2,-20,True,False,10
88,node2-5,node7-2,-20,True,False,11
89,node2-5,node7-2,-20,True,False,10
90,node2-5,node7-2,-20,True,False,10
91,node2-5,node7-2,-20,True,False,10
92,node2-5,node7-2,-20,True,False,10
93,node2-5,node7-2,-20,True,False,8
94,node2-5,node7-2,-20,True,False,10
95,node2-5,node7-2,-20,True,False,11
96,node2-5,node7-2,-20,True,False,8
97,node2-5,node7-2,-20,True,False,10
98,node2-5,node7-2,-20,True,False,10
99,node2-5,node7-2,-20,True,False,10
100,node2-5,node7-2,-20,True,False,11
101,node2-5,node7-2,-20,True,False,11
102,node2-5,node7-2,-20,True,False,10
103,node2-5,node7-2,-20,True,False,9
104,node2-5,node7-2,-20,True,False,10
105,node2-5,node7-2,-20,True,False,10
106,node2-5,node7-2,-20,True,False,10
107,node2-5,node7-2,-20,True,False,11
108,node2-5,node7-2,-20,True,False,10
109,node2-5,node7-2,-20,True,False,10
