seq,src,dst,noise,received,error,rssi
1,node8-5,node1-4,-15,True,False,27
2,node8-5,node1-4,-15,True,False,26
3,node8-5,node1-4,-15,True,False,22
4,node8-5,node1-4,-15,True,False,22
5,node8-5,node1-4,-15,True,False,24
6,node8-5,node1-4,-15,True,False,22
7,node8-5,node1-4,-15,True,False,23
8,node8-5,node1-4,-15,True,False,24
9,node8-5,node1-4,-15,True,False,23
10,node8-5,node1-4,-15,True,False,22
11,node8-5,node1-4,-15,True,False,22
12,node8-5,node1-4,-15,True,False,23
13,node8-5,node1-4,-15,True,False,23
14,node8-5,node1-4,-15,True,False,23
15,node8-5,node1-4,-15,True,False,23
16,node8-5,node1-4,-15,True,False,23
17,node8-5,node1-4,-15,True,False,23
18,node8-5,node1-4,-15,True,False,22
19,node8-5,node1-4,-15,True,False,23
20,node8-5,node1-4,-15,True,False,23
21,node8-5,node1-4,-15,True,False,22
22,node8-5,node1-4,-15,True,False,23
23,node8-5,node1-4,-15,True,False,23
24,node8-5,node1-4,-15,True,False,22
25,node8-5,node1-4,-15,True,False,23
26,node8-5,node1-4,-15,True,False,23
27,node8-5,node1-4,-15,True,False,23
28,node8-5,node1-4,-15,True,False,23
29,node8-5,node1-4,-15,True,False,22
30,node8-5,node1-4,-15,True,False,22
31,node8-5,node1-4,-15,True,False,23
32,node8-5,node1-4,-15,True,False,23
33,node8-5,node1-4,-15,True,False,22
34,node8-5,node1-4,-15,True,False,22
35,node8-5,node1-4,-15,True,False,22
36,node8-5,node1-4,-15,True,False,23
37,node8-5,node1-4,-15,True,False,23
38,node8-5,node1-4,-15,True,False,22
39,node8-5,node1-4,-15,True,False,23
40,node8-5,node1-4,-15,True,False,23
41,node8-5,node1-4,-15,True,False,22
42,node8-5,node1-4,-15,True,False,23
43,node8-5,node1-4,-15,True,False,23
44,node8-5,node1-4,-15,True,False,24
45,node8-5,node1-4,-15,True,False,23
46,node8-5,node1-4,-15,True,False,22
47,node8-5,node1-4,-15,True,False,23
48,node8-5,node1-4,-15,True,False,23
49,node8-5,node1-4,-15,True,False,21
50,node8-5,node1-4,-15,True,False,23
51,node8-5,node1-4,-15,True,False,23
52,node8-5,node1-4,-15,True,False,23
53,node8-5,node1-4,-15,True,False,23
54,node8-5,node1-4,-15,True,False,23
55,node8-5,node1-4,-15,True,False,23
56,node8-5,node1-4,-15,True,False,23
57,node8-5,node1-4,-15,True,False,23
58,node8-5,node1-4,-15,True,False,22
59,node8-5,node1-4,-15,True,False,23
60,node8-5,node1-4,-15,True,False,23
61,node8-5,node1-4,-15,True,False,22
62,node8-5,node1-4,-15,True,False,23
63,node8-5,node1-4,-15,True,False,23
64,node8-5,node1-4,-15,True,False,22
65,node8-5,node1-4,-15,True,False,23
66,node8-5,node1-4,-15,True,False,22
67,node8-5,node1-4,-15,True,False,23
68,node8-5,node1-4,-15,True,False,23
69,node8-5,node1-4,-15,True,False,23
70,node8-5,node1-4,-15,True,False,23
71,node8-5,node1-4,-15,True,False,24
72,node8-5,node1-4,-15,True,False,23
73,node8-5,node1-4,-15,True,False,23
74,node8-5,node1-4,-15,True,False,23
75,node8-5,node1-4,-15,True,False,23
76,node8-5,node1-4,-15,True,False,23
77,node8-5,node1-4,-15,True,False,23
78,node8-5,node1-4,-15,True,False,22
79,node8-5,node1-4,-15,True,False,22
80,node8-5,node1-4,-15,True,False,23
81,node8-5,node1-4,-15,True,False,22
82,node8-5,node1-4,-15,True,False,23
83,node8-5,node1-4,-15,True,False,23
84,node8-5,node1-4,-15,True,False,23
85,node8-5,node1-4,-15,True,False,23
86,node8-5,node1-4,-15,True,False,22
87,node8-5,node1-4,-15,True,False,24
88,node8-5,node1-4,-15,True,False,23
89,node8-5,node1-4,-15,True,False,23
90,node8-5,node1-4,-15,True,False,24
91,node8-5,node1-4,-15,True,False,22
92,node8-5,node1-4,-15,True,False,22
93,node8-5,node1-4,-15,True,False,22
94,node8-5,node1-4,-15,True,False,23
95,node8-5,node1-4,-15,True,False,23
96,node8-5,node1-4,-15,True,False,23
97,node8-5,node1-4,-15,True,False,22
98,node8-5,node1-4,-15,True,False,22
99,node8-5,node1-4,-15,True,False,22
100,node8-5,node1-4,-15,True,False,23
101,node8-5,node1-4,-15,True,False,23
102,node8-5,node1-4,-15,True,False,24
103,node8-5,node1-4,-15,True,False,24
104,node8-5,node1-4,-15,True,False,23
105,node8-5,node1-4,-15,True,False,23
106,node8-5,node1-4,-15,True,False,23
107,node8-5,node1-4,-15,True,False,23
108,node8-5,node1-4,-15,True,False,22
109,node8-5,node1-4,-15,True,False,23
110,node8-5,node1-4,-15,True,False,22
111,node8-5,node1-4,-15,True,False,22
112,node8-5,node1-4,-15,True,False,23
113,node8-5,node1-4,-15,True,False,23
114,node8-5,node1-4,-15,True,False,22
115,node8-5,node1-4,-15,True,False,23
116,node8-5,node1-4,-15,True,False,22
117,node8-5,node1-4,-15,True,False,23
118,node8-5,node1-4,-15,True,False,22
119,node8-5,node1-4,-15,True,False,22
120,node8-5,node1-4,-15,True,False,23
121,node8-5,node1-4,-15,True,False,23
122,node8-5,node1-4,-15,True,False,24
123,node8-5,node1-4,-15,True,False,21
124,node8-5,node1-4,-15,True,False,22
125,node8-5,node1-4,-15,True,False,22
126,node8-5,node1-4,-15,True,False,23
127,node8-5,node1-4,-15,True,False,23
128,node8-5,node1-4,-15,True,False,23
129,node8-5,node1-4,-15,True,False,23
130,node8-5,node1-4,-15,True,False,23
131,node8-5,node1-4,-15,True,False,23
132,node8-5,node1-4,-15,True,False,23
133,node8-5,node1-4,-15,True,False,23
134,node8-5,node1-4,-15,True,False,23
135,node8-5,node1-4,-15,True,False,23
136,node8-5,node1-4,-15,True,False,24
137,node8-5,node1-4,-15,True,False,22
138,node8-5,node1-4,-15,True,False,23
139,node8-5,node1-4,-15,True,False,23
140,node8-5,node1-4,-15,True,False,22
141,node8-5,node1-4,-15,True,False,23
142,node8-5,node1-4,-15,True,False,22
143,node8-5,node1-4,-15,True,False,23
144,node8-5,node1-4,-15,True,False,22
145,node8-5,node1-4,-15,True,False,24
146,node8-5,node1-4,-15,True,False,22
147,node8-5,node1-4,-15,True,False,24
148,node8-5,node1-4,-15,True,False,22
149,node8-5,node1-4,-15,True,False,22
150,node8-5,node1-4,-15,True,False,23
151,node8-5,node1-4,-15,True,False,23
152,node8-5,node1-4,-15,True,False,23
153,node8-5,node1-4,-15,True,False,22
154,node8-5,node1-4,-15,True,False,24
155,node8-5,node1-4,-15,True,False,24
156,node8-5,node1-4,-15,True,False,23
157,node8-5,node1-4,-15,True,False,23
158,node8-5,node1-4,-15,True,False,22
159,node8-5,node1-4,-15,True,False,23
160,node8-5,node1-4,-15,True,False,23
161,node8-5,node1-4,-15,True,False,23
162,node8-5,node1-4,-15,True,False,23
163,node8-5,node1-4,-15,True,False,22
164,node8-5,node1-4,-15,True,False,23
165,node8-5,node1-4,-15,True,False,22
166,node8-5,node1-4,-15,True,False,23
167,node8-5,node1-4,-15,True,False,23
168,node8-5,node1-4,-15,True,False,22
169,node8-5,node1-4,-15,True,False,23
170,node8-5,node1-4,-15,True,False,23
171,node8-5,node1-4,-15,True,False,23
172,node8-5,node1-4,-15,True,False,24
173,node8-5,node1-4,-15,True,False,23
174,node8-5,node1-4,-15,True,False,22
175,node8-5,node1-4,-15,True,False,22
176,node8-5,node1-4,-15,True,False,23
177,node8-5,node1-4,-15,True,False,22
178,node8-5,node1-4,-15,True,False,23
179,node8-5,node1-4,-15,True,False,24
180,node8-5,node1-4,-15,True,False,22
181,node8-5,node1-4,-15,True,False,23
182,node8-5,node1-4,-15,True,False,22
183,node8-5,node1-4,-15,True,False,23
184,node8-5,node1-4,-15,True,False,23
185,node8-5,node1-4,-15,True,False,23
186,node8-5,node1-4,-15,True,False,24
187,node8-5,node1-4,-15,True,False,22
188,node8-5,node1-4,-15,True,False,22
189,node8-5,node1-4,-15,True,False,22
190,node8-5,node1-4,-15,True,False,23
191,node8-5,node1-4,-15,True,False,22
192,node8-5,node1-4,-15,True,False,22
193,node8-5,node1-4,-15,True,False,22
