seq,src,dst,noise,received,error,rssi
1,node4-7,node1-6,-15,True,False,7
2,node4-7,node1-6,-15,True,False,7
3,node4-7,node1-6,-15,True,False,5
4,node4-7,node1-6,-15,True,False,3
5,node4-7,node1-6,-15,False,False,0
6,node4-7,node1-6,-15,False,False,0
7,node4-7,node1-6,-15,False,False,0
8,node4-7,node1-6,-15,True,False,5
9,node4-7,node1-6,-15,True,False,0
10,node4-7,node1-6,-15,False,False,0
11,node4-7,node1-6,-15,False,False,0
12,node4-7,node1-6,-15,False,True,0
13,node4-7,node1-6,-15,False,False,0
14,node4-7,node1-6,-15,False,False,0
15,node4-7,node1-6,-15,True,False,2
16,node4-7,node1-6,-15,True,False,3
17,node4-7,node1-6,-15,False,False,0
18,node4-7,node1-6,-15,False,False,0
19,node4-7,node1-6,-15,True,False,5
20,node4-7,node1-6,-15,True,False,4
21,node4-7,node1-6,-15,True,False,6
22,node4-7,node1-6,-15,False,False,0
23,node4-7,node1-6,-15,False,False,0
24,node4-7,node1-6,-15,False,False,0
25,node4-7,node1-6,-15,False,False,0
26,node4-7,node1-6,-15,False,False,0
27,node4-7,node1-6,-15,True,False,3
28,node4-7,node1-6,-15,False,False,0
29,node4-7,node1-6,-15,True,False,4
30,node4-7,node1-6,-15,False,False,0
31,node4-7,node1-6,-15,True,False,3
32,node4-7,node1-6,-15,True,False,3
33,node4-7,node1-6,-15,True,False,5
34,node4-7,node1-6,-15,True,False,4
35,node4-7,node1-6,-15,False,False,0
36,node4-7,node1-6,-15,False,False,0
37,node4-7,node1-6,-15,True,False,5
38,node4-7,node1-6,-15,True,False,2
39,node4-7,node1-6,-15,True,False,2
40,node4-7,node1-6,-15,True,False,2
41,node4-7,node1-6,-15,False,False,0
42,node4-7,node1-6,-15,False,False,0
43,node4-7,node1-6,-15,True,False,3
44,node4-7,node1-6,-15,True,False,2
45,node4-7,node1-6,-15,True,False,5
46,node4-7,node1-6,-15,False,False,0
47,node4-7,node1-6,-15,False,False,0
48,node4-7,node1-6,-15,True,False,4
49,node4-7,node1-6,-15,True,False,3
50,node4-7,node1-6,-15,True,False,4
51,node4-7,node1-6,-15,True,False,4
52,node4-7,node1-6,-15,True,False,3
53,node4-7,node1-6,-15,False,False,0
54,node4-7,node1-6,-15,True,False,5
55,node4-7,node1-6,-15,True,False,3
56,node4-7,node1-6,-15,True,False,3
57,node4-7,node1-6,-15,True,False,4
58,node4-7,node1-6,-15,False,False,0
59,node4-7,node1-6,-15,True,False,5
60,node4-7,node1-6,-15,False,False,0
61,node4-7,node1-6,-15,False,False,0
62,node4-7,node1-6,-15,True,False,3
63,node4-7,node1-6,-15,True,False,4
64,node4-7,node1-6,-15,False,False,0
65,node4-7,node1-6,-15,True,False,2
66,node4-7,node1-6,-15,False,False,0
67,node4-7,node1-6,-15,True,False,2
68,node4-7,node1-6,-15,False,False,0
69,node4-7,node1-6,-15,True,False,4
70,node4-7,node1-6,-15,True,False,6
71,node4-7,node1-6,-15,False,False,0
72,node4-7,node1-6,-15,False,False,0
73,node4-7,node1-6,-15,True,False,4
74,node4-7,node1-6,-15,True,False,2
75,node4-7,node1-6,-15,True,False,4
76,node4-7,node1-6,-15,True,False,5
77,node4-7,node1-6,-15,True,False,5
78,node4-7,node1-6,-15,False,False,0
79,node4-7,node1-6,-15,True,False,5
80,node4-7,node1-6,-15,True,False,6
81,node4-7,node1-6,-15,True,False,3
82,node4-7,node1-6,-15,True,False,3
83,node4-7,node1-6,-15,False,False,0
84,node4-7,node1-6,-15,True,False,4
85,node4-7,node1-6,-15,True,False,6
86,node4-7,node1-6,-15,True,False,2
87,node4-7,node1-6,-15,True,False,6
88,node4-7,node1-6,-15,True,False,4
89,node4-7,node1-6,-15,True,False,4
90,node4-7,node1-6,-15,False,False,0
91,node4-7,node1-6,-15,False,False,0
92,node4-7,node1-6,-15,True,False,3
93,node4-7,node1-6,-15,False,False,0
94,node4-7,node1-6,-15,True,False,2
95,node4-7,node1-6,-15,True,False,3
96,node4-7,node1-6,-15,True,False,3
97,node4-7,node1-6,-15,False,False,0
98,node4-7,node1-6,-15,True,False,3
99,node4-7,node1-6,-15,True,False,2
100,node4-7,node1-6,-15,True,False,3
101,node4-7,node1-6,-15,True,False,3
102,node4-7,node1-6,-15,True,False,3
103,node4-7,node1-6,-15,False,False,0
104,node4-7,node1-6,-15,True,False,4
105,node4-7,node1-6,-15,True,False,2
106,node4-7,node1-6,-15,True,False,2
107,node4-7,node1-6,-15,False,False,0
108,node4-7,node1-6,-15,True,False,4
109,node4-7,node1-6,-15,True,False,4
110,node4-7,node1-6,-15,True,False,4
111,node4-7,node1-6,-15,True,False,3
112,node4-7,node1-6,-15,True,False,3
113,node4-7,node1-6,-15,False,False,0
114,node4-7,node1-6,-15,False,False,0
115,node4-7,node1-6,-15,False,False,0
116,node4-7,node1-6,-15,True,False,0
117,node4-7,node1-6,-15,True,False,2
118,node4-7,node1-6,-15,True,False,3
119,node4-7,node1-6,-15,True,False,2
120,node4-7,node1-6,-15,False,False,0
121,node4-7,node1-6,-15,True,False,4
122,node4-7,node1-6,-15,True,False,5
123,node4-7,node1-6,-15,True,False,0
124,node4-7,node1-6,-15,True,False,3
125,node4-7,node1-6,-15,True,False,2
126,node4-7,node1-6,-15,False,False,0
127,node4-7,node1-6,-15,False,False,0
128,node4-7,node1-6,-15,False,False,0
129,node4-7,node1-6,-15,True,False,4
130,node4-7,node1-6,-15,True,False,4
131,node4-7,node1-6,-15,True,False,4
132,node4-7,node1-6,-15,True,False,2
133,node4-7,node1-6,-15,False,False,0
134,node4-7,node1-6,-15,False,False,0
135,node4-7,node1-6,-15,True,False,0
136,node4-7,node1-6,-15,True,False,4
137,node4-7,node1-6,-15,True,False,4
138,node4-7,node1-6,-15,True,False,2
139,node4-7,node1-6,-15,False,False,0
140,node4-7,node1-6,-15,False,False,0
141,node4-7,node1-6,-15,True,False,4
142,node4-7,node1-6,-15,True,False,3
143,node4-7,node1-6,-15,True,False,4
144,node4-7,node1-6,-15,True,False,3
145,node4-7,node1-6,-15,True,False,2
