seq,src,dst,noise,received,error,rssi
1,node4-1,node6-3,-5,True,False,14
2,node4-1,node6-3,-5,True,False,12
3,node4-1,node6-3,-5,True,False,8
4,node4-1,node6-3,-5,True,False,8
5,node4-1,node6-3,-5,True,False,9
6,node4-1,node6-3,-5,True,False,10
7,node4-1,node6-3,-5,True,False,7
8,node4-1,node6-3,-5,True,False,9
9,node4-1,node6-3,-5,True,False,7
10,node4-1,node6-3,-5,True,False,8
11,node4-1,node6-3,-5,True,False,8
12,node4-1,node6-3,-5,True,False,8
13,node4-1,node6-3,-5,True,False,8
14,node4-1,node6-3,-5,True,False,8
15,node4-1,node6-3,-5,True,False,8
16,node4-1,node6-3,-5,True,False,7
17,node4-1,node6-3,-5,True,False,8
18,node4-1,node6-3,-5,True,False,7
19,node4-1,node6-3,-5,True,False,8
20,node4-1,node6-3,-5,True,False,8
21,node4-1,node6-3,-5,True,False,7
22,node4-1,node6-3,-5,True,False,8
23,node4-1,node6-3,-5,True,False,11
24,node4-1,node6-3,-5,True,False,8
25,node4-1,node6-3,-5,True,False,7
26,node4-1,node6-3,-5,True,False,8
27,node4-1,node6-3,-5,True,False,7
28,node4-1,node6-3,-5,True,False,7
29,node4-1,node6-3,-5,True,False,10
30,node4-1,node6-3,-5,True,False,9
31,node4-1,node6-3,-5,True,False,7
32,node4-1,node6-3,-5,True,False,8
33,node4-1,node6-3,-5,True,False,9
34,node4-1,node6-3,-5,True,False,6
35,node4-1,node6-3,-5,True,False,6
36,node4-1,node6-3,-5,True,False,6
37,node4-1,node6-3,-5,True,False,7
38,node4-1,node6-3,-5,True,False,7
39,node4-1,node6-3,-5,True,False,10
40,node4-1,node6-3,-5,True,False,7
41,node4-1,node6-3,-5,True,False,9
42,node4-1,node6-3,-5,True,False,6
43,node4-1,node6-3,-5,True,False,7
44,node4-1,node6-3,-5,True,False,7
45,node4-1,node6-3,-5,True,False,8
46,node4-1,node6-3,-5,True,False,7
47,node4-1,node6-3,-5,True,False,10
48,node4-1,node6-3,-5,True,False,8
49,node4-1,node6-3,-5,True,False,8
50,node4-1,node6-3,-5,True,False,8
51,node4-1,node6-3,-5,True,False,7
52,node4-1,node6-3,-5,True,False,6
53,node4-1,node6-3,-5,True,False,8
54,node4-1,node6-3,-5,True,False,8
55,node4-1,node6-3,-5,True,False,8
