seq,src,dst,noise,received,error,rssi
1,node4-7,node4-3,-10,True,False,17
2,node4-7,node4-3,-10,True,False,16
3,node4-7,node4-3,-10,True,False,13
4,node4-7,node4-3,-10,True,False,9
5,node4-7,node4-3,-10,True,False,11
6,node4-7,node4-3,-10,True,False,11
7,node4-7,node4-3,-10,True,False,10
8,node4-7,node4-3,-10,True,False,9
9,node4-7,node4-3,-10,True,False,9
10,node4-7,node4-3,-10,True,False,9
11,node4-7,node4-3,-10,True,False,10
12,node4-7,node4-3,-10,True,False,10
13,node4-7,node4-3,-10,True,False,10
14,node4-7,node4-3,-10,True,False,10
15,node4-7,node4-3,-10,True,False,10
16,node4-7,node4-3,-10,True,False,11
17,node4-7,node4-3,-10,True,False,10
18,node4-7,node4-3,-10,True,False,10
19,node4-7,node4-3,-10,True,False,10
20,node4-7,node4-3,-10,True,False,10
21,node4-7,node4-3,-10,True,False,10
22,node4-7,node4-3,-10,True,False,9
23,node4-7,node4-3,-10,True,False,9
24,node4-7,node4-3,-10,True,False,9
25,node4-7,node4-3,-10,True,False,8
26,node4-7,node4-3,-10,True,False,9
27,node4-7,node4-3,-10,True,False,10
28,node4-7,node4-3,-10,True,False,10
29,node4-7,node4-3,-10,True,False,11
30,node4-7,node4-3,-10,True,False,9
31,node4-7,node4-3,-10,True,False,10
32,node4-7,node4-3,-10,True,False,10
33,node4-7,node4-3,-10,True,False,7
34,node4-7,node4-3,-10,True,False,8
35,node4-7,node4-3,-10,True,False,9
36,node4-7,node4-3,-10,True,False,8
37,node4-7,node4-3,-10,True,False,9
38,node4-7,node4-3,-10,True,False,10
39,node4-7,node4-3,-10,True,False,8
40,node4-7,node4-3,-10,True,False,10
41,node4-7,node4-3,-10,True,False,10
42,node4-7,node4-3,-10,True,False,10
43,node4-7,node4-3,-10,True,False,9
44,node4-7,node4-3,-10,True,False,9
45,node4-7,node4-3,-10,True,False,9
46,node4-7,node4-3,-10,True,False,8
47,node4-7,node4-3,-10,True,False,8
48,node4-7,node4-3,-10,True,False,9
49,node4-7,node4-3,-10,True,False,9
50,node4-7,node4-3,-10,True,False,8
51,node4-7,node4-3,-10,True,False,10
52,node4-7,node4-3,-10,True,False,8
53,node4-7,node4-3,-10,True,False,9
54,node4-7,node4-3,-10,True,False,10
55,node4-7,node4-3,-10,True,False,9
56,node4-7,node4-3,-10,True,False,10
57,node4-7,node4-3,-10,True,False,10
58,node4-7,node4-3,-10,True,False,10
59,node4-7,node4-3,-10,True,False,9
60,node4-7,node4-3,-10,True,False,9
61,node4-7,node4-3,-10,True,False,10
62,node4-7,node4-3,-10,True,False,9
63,node4-7,node4-3,-10,True,False,8
64,node4-7,node4-3,-10,True,False,10
65,node4-7,node4-3,-10,True,False,10
66,node4-7,node4-3,-10,True,False,9
67,node4-7,node4-3,-10,True,False,9
68,node4-7,node4-3,-10,True,False,11
69,node4-7,node4-3,-10,True,False,9
70,node4-7,node4-3,-10,True,False,9
71,node4-7,node4-3,-10,True,False,9
72,node4-7,node4-3,-10,True,False,8
73,node4-7,node4-3,-10,True,False,10
74,node4-7,node4-3,-10,True,False,9
75,node4-7,node4-3,-10,True,False,10
76,node4-7,node4-3,-10,True,False,9
77,node4-7,node4-3,-10,True,False,9
78,node4-7,node4-3,-10,True,False,9
79,node4-7,node4-3,-10,True,False,9
80,node4-7,node4-3,-10,True,False,10
81,node4-7,node4-3,-10,True,False,10
82,node4-7,node4-3,-10,True,False,10
83,node4-7,node4-3,-10,True,False,11
84,node4-7,node4-3,-10,True,False,9
85,node4-7,node4-3,-10,True,False,9
86,node4-7,node4-3,-10,True,False,9
87,node4-7,node4-3,-10,True,False,9
88,node4-7,node4-3,-10,True,False,8
89,node4-7,node4-3,-10,True,False,9
