seq,src,dst,noise,received,error,rssi
1,node8-5,node1-6,-15,True,False,5
2,node8-5,node1-6,-15,True,False,4
3,node8-5,node1-6,-15,True,False,6
4,node8-5,node1-6,-15,True,False,4
5,node8-5,node1-6,-15,False,False,0
6,node8-5,node1-6,-15,True,False,5
7,node8-5,node1-6,-15,False,False,0
8,node8-5,node1-6,-15,True,False,6
9,node8-5,node1-6,-15,True,False,4
10,node8-5,node1-6,-15,True,False,4
11,node8-5,node1-6,-15,True,False,5
12,node8-5,node1-6,-15,True,False,5
13,node8-5,node1-6,-15,True,False,3
14,node8-5,node1-6,-15,True,False,5
15,node8-5,node1-6,-15,True,False,5
16,node8-5,node1-6,-15,True,False,5
17,node8-5,node1-6,-15,True,False,3
18,node8-5,node1-6,-15,True,False,4
19,node8-5,node1-6,-15,True,False,3
20,node8-5,node1-6,-15,True,False,2
21,node8-5,node1-6,-15,True,False,6
22,node8-5,node1-6,-15,True,False,5
23,node8-5,node1-6,-15,True,False,3
24,node8-5,node1-6,-15,True,False,6
25,node8-5,node1-6,-15,True,False,4
26,node8-5,node1-6,-15,True,False,4
27,node8-5,node1-6,-15,True,False,5
28,node8-5,node1-6,-15,True,False,4
29,node8-5,node1-6,-15,True,False,7
30,node8-5,node1-6,-15,True,False,5
31,node8-5,node1-6,-15,True,False,5
32,node8-5,node1-6,-15,True,False,3
33,node8-5,node1-6,-15,False,False,0
34,node8-5,node1-6,-15,True,False,5
35,node8-5,node1-6,-15,True,False,1
36,node8-5,node1-6,-15,True,False,5
37,node8-5,node1-6,-15,True,False,5
38,node8-5,node1-6,-15,True,False,4
39,node8-5,node1-6,-15,True,False,5
40,node8-5,node1-6,-15,True,False,5
41,node8-5,node1-6,-15,True,False,4
42,node8-5,node1-6,-15,True,False,3
43,node8-5,node1-6,-15,True,False,4
44,node8-5,node1-6,-15,True,False,6
45,node8-5,node1-6,-15,True,False,5
46,node8-5,node1-6,-15,False,False,0
47,node8-5,node1-6,-15,True,False,3
