seq,src,dst,noise,received,error,rssi
1,node8-5,node4-1,-5,True,False,6
2,node8-5,node4-1,-5,True,False,3
3,node8-5,node4-1,-5,True,False,2
4,node8-5,node4-1,-5,True,False,1
5,node8-5,node4-1,-5,True,False,1
6,node8-5,node4-1,-5,True,False,3
7,node8-5,node4-1,-5,True,False,2
8,node8-5,node4-1,-5,True,False,1
9,node8-5,node4-1,-5,False,True,0
10,node8-5,node4-1,-5,True,False,2
11,node8-5,node4-1,-5,True,False,1
12,node8-5,node4-1,-5,True,False,1
13,node8-5,node4-1,-5,True,False,1
14,node8-5,node4-1,-5,True,False,1
15,node8-5,node4-1,-5,True,False,1
16,node8-5,node4-1,-5,True,False,2
17,node8-5,node4-1,-5,True,False,2
18,node8-5,node4-1,-5,True,False,2
19,node8-5,node4-1,-5,True,False,3
20,node8-5,node4-1,-5,True,False,4
21,node8-5,node4-1,-5,True,False,3
22,node8-5,node4-1,-5,True,False,2
23,node8-5,node4-1,-5,True,False,1
24,node8-5,node4-1,-5,True,False,1
25,node8-5,node4-1,-5,True,False,1
26,node8-5,node4-1,-5,False,True,0
27,node8-5,node4-1,-5,True,False,1
28,node8-5,node4-1,-5,True,False,1
29,node8-5,node4-1,-5,True,False,1
30,node8-5,node4-1,-5,True,False,0
31,node8-5,node4-1,-5,True,False,1
32,node8-5,node4-1,-5,True,False,3
33,node8-5,node4-1,-5,True,False,2
34,node8-5,node4-1,-5,True,False,3
35,node8-5,node4-1,-5,True,False,2
36,node8-5,node4-1,-5,True,False,1
37,node8-5,node4-1,-5,True,False,2
38,node8-5,node4-1,-5,True,False,2
39,node8-5,node4-1,-5,True,False,1
40,node8-5,node4-1,-5,True,False,0
41,node8-5,node4-1,-5,False,False,0
42,node8-5,node4-1,-5,True,False,2
43,node8-5,node4-1,-5,True,False,0
44,node8-5,node4-1,-5,True,False,1
45,node8-5,node4-1,-5,True,False,2
46,node8-5,node4-1,-5,True,False,2
47,node8-5,node4-1,-5,True,False,3
48,node8-5,node4-1,-5,True,False,1
49,node8-5,node4-1,-5,True,False,0
50,node8-5,node4-1,-5,True,False,1
51,node8-5,node4-1,-5,True,False,2
52,node8-5,node4-1,-5,True,False,2
53,node8-5,node4-1,-5,True,False,0
54,node8-5,node4-1,-5,False,False,0
55,node8-5,node4-1,-5,True,False,1
56,node8-5,node4-1,-5,True,False,2
57,node8-5,node4-1,-5,True,False,1
58,node8-5,node4-1,-5,True,False,2
59,node8-5,node4-1,-5,True,False,1
60,node8-5,node4-1,-5,True,False,1
61,node8-5,node4-1,-5,True,False,3
62,node8-5,node4-1,-5,True,False,1
63,node8-5,node4-1,-5,True,False,1
64,node8-5,node4-1,-5,True,False,1
65,node8-5,node4-1,-5,True,False,1
66,node8-5,node4-1,-5,True,False,2
67,node8-5,node4-1,-5,True,False,2
68,node8-5,node4-1,-5,True,False,1
69,node8-5,node4-1,-5,True,False,2
70,node8-5,node4-1,-5,True,False,2
71,node8-5,node4-1,-5,True,False,2
72,node8-5,node4-1,-5,True,False,3
73,node8-5,node4-1,-5,True,False,1
74,node8-5,node4-1,-5,True,False,0
75,node8-5,node4-1,-5,True,False,1
76,node8-5,node4-1,-5,False,False,0
77,node8-5,node4-1,-5,True,False,3
78,node8-5,node4-1,-5,True,False,2
79,node8-5,node4-1,-5,True,False,3
80,node8-5,node4-1,-5,True,False,1
81,node8-5,node4-1,-5,True,False,0
82,node8-5,node4-1,-5,True,False,1
83,node8-5,node4-1,-5,True,False,2
84,node8-5,node4-1,-5,True,False,2
85,node8-5,node4-1,-5,True,False,1
86,node8-5,node4-1,-5,True,False,1
87,node8-5,node4-1,-5,True,False,2
88,node8-5,node4-1,-5,True,False,2
89,node8-5,node4-1,-5,True,False,1
90,node8-5,node4-1,-5,True,False,1
91,node8-5,node4-1,-5,True,False,3
92,node8-5,node4-1,-5,True,False,1
93,node8-5,node4-1,-5,True,False,1
94,node8-5,node4-1,-5,True,False,3
95,node8-5,node4-1,-5,True,False,1
96,node8-5,node4-1,-5,True,False,2
97,node8-5,node4-1,-5,True,False,2
98,node8-5,node4-1,-5,True,False,0
99,node8-5,node4-1,-5,False,False,0
100,node8-5,node4-1,-5,True,False,1
101,node8-5,node4-1,-5,True,False,1
102,node8-5,node4-1,-5,True,False,0
103,node8-5,node4-1,-5,True,False,0
104,node8-5,node4-1,-5,True,False,2
105,node8-5,node4-1,-5,True,False,1
106,node8-5,node4-1,-5,True,False,1
107,node8-5,node4-1,-5,True,False,0
108,node8-5,node4-1,-5,True,False,0
109,node8-5,node4-1,-5,True,False,1
110,node8-5,node4-1,-5,True,False,1
111,node8-5,node4-1,-5,True,False,1
112,node8-5,node4-1,-5,True,False,0
113,node8-5,node4-1,-5,True,False,1
114,node8-5,node4-1,-5,True,False,2
115,node8-5,node4-1,-5,True,False,2
116,node8-5,node4-1,-5,True,False,2
117,node8-5,node4-1,-5,True,False,2
118,node8-5,node4-1,-5,True,False,1
119,node8-5,node4-1,-5,True,False,2
120,node8-5,node4-1,-5,True,False,2
121,node8-5,node4-1,-5,True,False,1
122,node8-5,node4-1,-5,True,False,0
123,node8-5,node4-1,-5,True,False,0
124,node8-5,node4-1,-5,False,False,0
125,node8-5,node4-1,-5,True,False,1
126,node8-5,node4-1,-5,True,False,1
127,node8-5,node4-1,-5,False,True,0
128,node8-5,node4-1,-5,True,False,1
129,node8-5,node4-1,-5,True,False,2
130,node8-5,node4-1,-5,True,False,1
131,node8-5,node4-1,-5,True,False,1
132,node8-5,node4-1,-5,True,False,1
133,node8-5,node4-1,-5,False,False,0
134,node8-5,node4-1,-5,True,False,2
135,node8-5,node4-1,-5,True,False,1
136,node8-5,node4-1,-5,True,False,2
137,node8-5,node4-1,-5,False,False,0
138,node8-5,node4-1,-5,True,False,1
139,node8-5,node4-1,-5,True,False,1
140,node8-5,node4-1,-5,True,False,3
141,node8-5,node4-1,-5,True,False,3
142,node8-5,node4-1,-5,True,False,1
143,node8-5,node4-1,-5,True,False,2
144,node8-5,node4-1,-5,True,False,4
145,node8-5,node4-1,-5,True,False,2
146,node8-5,node4-1,-5,True,False,1
147,node8-5,node4-1,-5,True,False,1
148,node8-5,node4-1,-5,True,False,2
149,node8-5,node4-1,-5,True,False,1
150,node8-5,node4-1,-5,True,False,1
151,node8-5,node4-1,-5,True,False,0
152,node8-5,node4-1,-5,True,False,3
153,node8-5,node4-1,-5,True,False,1
154,node8-5,node4-1,-5,True,False,3
155,node8-5,node4-1,-5,True,False,1
156,node8-5,node4-1,-5,True,False,2
157,node8-5,node4-1,-5,True,False,0
158,node8-5,node4-1,-5,True,False,1
159,node8-5,node4-1,-5,False,False,0
160,node8-5,node4-1,-5,False,False,0
161,node8-5,node4-1,-5,True,False,1
162,node8-5,node4-1,-5,True,False,2
163,node8-5,node4-1,-5,True,False,1
164,node8-5,node4-1,-5,True,False,2
165,node8-5,node4-1,-5,True,False,1
166,node8-5,node4-1,-5,True,False,1
167,node8-5,node4-1,-5,True,False,2
168,node8-5,node4-1,-5,True,False,2
169,node8-5,node4-1,-5,True,False,2
170,node8-5,node4-1,-5,True,False,3
171,node8-5,node4-1,-5,True,False,1
172,node8-5,node4-1,-5,True,False,2
173,node8-5,node4-1,-5,False,False,0
174,node8-5,node4-1,-5,True,False,2
175,node8-5,node4-1,-5,True,False,2
176,node8-5,node4-1,-5,True,False,2
177,node8-5,node4-1,-5,True,False,1
178,node8-5,node4-1,-5,True,False,2
179,node8-5,node4-1,-5,True,False,1
180,node8-5,node4-1,-5,True,False,2
181,node8-5,node4-1,-5,True,False,1
182,node8-5,node4-1,-5,True,False,2
183,node8-5,node4-1,-5,True,False,2
184,node8-5,node4-1,-5,True,False,2
185,node8-5,node4-1,-5,True,False,2
186,node8-5,node4-1,-5,True,False,2
187,node8-5,node4-1,-5,True,False,4
188,node8-5,node4-1,-5,True,False,2
189,node8-5,node4-1,-5,True,False,3
190,node8-5,node4-1,-5,True,False,2
191,node8-5,node4-1,-5,True,False,1
192,node8-5,node4-1,-5,True,False,0
193,node8-5,node4-1,-5,True,False,1
194,node8-5,node4-1,-5,True,False,1
195,node8-5,node4-1,-5,True,False,2
196,node8-5,node4-1,-5,True,False,2
197,node8-5,node4-1,-5,True,False,2
198,node8-5,node4-1,-5,True,False,3
199,node8-5,node4-1,-5,True,False,1
200,node8-5,node4-1,-5,True,False,2
201,node8-5,node4-1,-5,True,False,2
202,node8-5,node4-1,-5,True,False,0
203,node8-5,node4-1,-5,True,False,1
204,node8-5,node4-1,-5,True,False,2
205,node8-5,node4-1,-5,True,False,2
206,node8-5,node4-1,-5,True,False,1
207,node8-5,node4-1,-5,True,False,4
208,node8-5,node4-1,-5,True,False,1
209,node8-5,node4-1,-5,True,False,2
210,node8-5,node4-1,-5,False,True,0
211,node8-5,node4-1,-5,True,False,2
212,node8-5,node4-1,-5,True,False,2
213,node8-5,node4-1,-5,True,False,3
214,node8-5,node4-1,-5,True,False,0
215,node8-5,node4-1,-5,True,False,1
216,node8-5,node4-1,-5,True,False,1
217,node8-5,node4-1,-5,True,False,1
218,node8-5,node4-1,-5,True,False,3
219,node8-5,node4-1,-5,True,False,1
220,node8-5,node4-1,-5,True,False,1
221,node8-5,node4-1,-5,True,False,2
222,node8-5,node4-1,-5,True,False,2
223,node8-5,node4-1,-5,True,False,2
224,node8-5,node4-1,-5,True,False,3
225,node8-5,node4-1,-5,True,False,2
226,node8-5,node4-1,-5,True,False,1
227,node8-5,node4-1,-5,True,False,1
228,node8-5,node4-1,-5,True,False,2
229,node8-5,node4-1,-5,True,False,2
230,node8-5,node4-1,-5,False,False,0
231,node8-5,node4-1,-5,True,False,1
232,node8-5,node4-1,-5,True,False,1
233,node8-5,node4-1,-5,True,False,0
234,node8-5,node4-1,-5,True,False,0
235,node8-5,node4-1,-5,True,False,2
236,node8-5,node4-1,-5,True,False,1
237,node8-5,node4-1,-5,True,False,1
238,node8-5,node4-1,-5,True,False,3
239,node8-5,node4-1,-5,True,False,2
240,node8-5,node4-1,-5,True,False,3
241,node8-5,node4-1,-5,True,False,2
242,node8-5,node4-1,-5,True,False,3
243,node8-5,node4-1,-5,True,False,3
244,node8-5,node4-1,-5,True,False,1
245,node8-5,node4-1,-5,True,False,1
246,node8-5,node4-1,-5,True,False,1
247,node8-5,node4-1,-5,True,False,1
248,node8-5,node4-1,-5,True,False,1
249,node8-5,node4-1,-5,True,False,1
250,node8-5,node4-1,-5,True,False,1
251,node8-5,node4-1,-5,True,False,2
252,node8-5,node4-1,-5,True,False,0
253,node8-5,node4-1,-5,True,False,2
254,node8-5,node4-1,-5,True,False,2
255,node8-5,node4-1,-5,True,False,1
256,node8-5,node4-1,-5,True,False,3
257,node8-5,node4-1,-5,True,False,2
258,node8-5,node4-1,-5,True,False,1
259,node8-5,node4-1,-5,True,False,1
260,node8-5,node4-1,-5,True,False,1
261,node8-5,node4-1,-5,True,False,3
262,node8-5,node4-1,-5,True,False,1
263,node8-5,node4-1,-5,False,False,0
264,node8-5,node4-1,-5,True,False,1
265,node8-5,node4-1,-5,True,False,2
266,node8-5,node4-1,-5,True,False,1
267,node8-5,node4-1,-5,True,False,0
268,node8-5,node4-1,-5,True,False,2
269,node8-5,node4-1,-5,True,False,2
270,node8-5,node4-1,-5,True,False,1
271,node8-5,node4-1,-5,True,False,0
272,node8-5,node4-1,-5,True,False,0
273,node8-5,node4-1,-5,False,False,0
274,node8-5,node4-1,-5,False,False,0
275,node8-5,node4-1,-5,True,False,1
276,node8-5,node4-1,-5,True,False,0
277,node8-5,node4-1,-5,True,False,2
278,node8-5,node4-1,-5,True,False,2
279,node8-5,node4-1,-5,True,False,2
280,node8-5,node4-1,-5,True,False,2
281,node8-5,node4-1,-5,True,False,3
282,node8-5,node4-1,-5,True,False,2
283,node8-5,node4-1,-5,True,False,1
284,node8-5,node4-1,-5,True,False,1
285,node8-5,node4-1,-5,True,False,2
286,node8-5,node4-1,-5,True,False,1
287,node8-5,node4-1,-5,True,False,1
288,node8-5,node4-1,-5,True,False,1
289,node8-5,node4-1,-5,False,False,0
290,node8-5,node4-1,-5,True,False,0
291,node8-5,node4-1,-5,True,False,0
292,node8-5,node4-1,-5,True,False,1
293,node8-5,node4-1,-5,True,False,1
294,node8-5,node4-1,-5,False,False,0
295,node8-5,node4-1,-5,True,False,2
296,node8-5,node4-1,-5,True,False,1
297,node8-5,node4-1,-5,True,False,0
298,node8-5,node4-1,-5,True,False,0
299,node8-5,node4-1,-5,True,False,2
300,node8-5,node4-1,-5,False,False,0
