seq,src,dst,noise,received,error,rssi
1,node1-4,node1-6,0,True,False,8
2,node1-4,node1-6,0,True,False,7
3,node1-4,node1-6,0,True,False,2
4,node1-4,node1-6,0,True,False,4
5,node1-4,node1-6,0,True,False,5
6,node1-4,node1-6,0,True,False,2
7,node1-4,node1-6,0,True,False,6
8,node1-4,node1-6,0,True,False,2
9,node1-4,node1-6,0,True,False,2
10,node1-4,node1-6,0,True,False,1
11,node1-4,node1-6,0,True,False,3
12,node1-4,node1-6,0,True,False,3
13,node1-4,node1-6,0,True,False,5
14,node1-4,node1-6,0,True,False,4
15,node1-4,node1-6,0,True,False,3
16,node1-4,node1-6,0,True,False,4
17,node1-4,node1-6,0,True,False,5
18,node1-4,node1-6,0,True,False,4
19,node1-4,node1-6,0,True,False,4
20,node1-4,node1-6,0,True,False,5
21,node1-4,node1-6,0,True,False,4
22,node1-4,node1-6,0,True,False,6
23,node1-4,node1-6,0,True,False,4
24,node1-4,node1-6,0,True,False,3
25,node1-4,node1-6,0,True,False,3
26,node1-4,node1-6,0,True,False,2
27,node1-4,node1-6,0,True,False,3
28,node1-4,node1-6,0,True,False,4
29,node1-4,node1-6,0,True,False,3
30,node1-4,node1-6,0,True,False,6
31,node1-4,node1-6,0,True,False,3
32,node1-4,node1-6,0,True,False,3
33,node1-4,node1-6,0,True,False,6
34,node1-4,node1-6,0,True,False,3
35,node1-4,node1-6,0,True,False,3
36,node1-4,node1-6,0,True,False,1
37,node1-4,node1-6,0,True,False,2
38,node1-4,node1-6,0,True,False,4
39,node1-4,node1-6,0,True,False,4
40,node1-4,node1-6,0,True,False,5
41,node1-4,node1-6,0,True,False,6
42,node1-4,node1-6,0,True,False,5
43,node1-4,node1-6,0,True,False,4
44,node1-4,node1-6,0,True,False,4
45,node1-4,node1-6,0,True,False,4
46,node1-4,node1-6,0,True,False,1
47,node1-4,node1-6,0,True,False,4
48,node1-4,node1-6,0,True,False,5
49,node1-4,node1-6,0,True,False,4
50,node1-4,node1-6,0,True,False,4
51,node1-4,node1-6,0,True,False,4
52,node1-4,node1-6,0,True,False,3
53,node1-4,node1-6,0,True,False,2
54,node1-4,node1-6,0,True,False,5
55,node1-4,node1-6,0,True,False,4
56,node1-4,node1-6,0,True,False,3
57,node1-4,node1-6,0,True,False,3
58,node1-4,node1-6,0,True,False,4
59,node1-4,node1-6,0,True,False,5
60,node1-4,node1-6,0,True,False,4
61,node1-4,node1-6,0,True,False,5
62,node1-4,node1-6,0,True,False,5
63,node1-4,node1-6,0,True,False,4
64,node1-4,node1-6,0,True,False,4
65,node1-4,node1-6,0,True,False,5
66,node1-4,node1-6,0,True,False,3
67,node1-4,node1-6,0,True,False,3
68,node1-4,node1-6,0,True,False,5
69,node1-4,node1-6,0,True,False,4
70,node1-4,node1-6,0,True,False,5
71,node1-4,node1-6,0,True,False,5
72,node1-4,node1-6,0,True,False,3
73,node1-4,node1-6,0,True,False,1
74,node1-4,node1-6,0,True,False,4
75,node1-4,node1-6,0,True,False,3
76,node1-4,node1-6,0,True,False,5
77,node1-4,node1-6,0,True,False,3
78,node1-4,node1-6,0,True,False,4
79,node1-4,node1-6,0,True,False,3
80,node1-4,node1-6,0,True,False,4
81,node1-4,node1-6,0,True,False,4
82,node1-4,node1-6,0,True,False,5
83,node1-4,node1-6,0,True,False,5
84,node1-4,node1-6,0,True,False,5
85,node1-4,node1-6,0,True,False,2
86,node1-4,node1-6,0,True,False,5
87,node1-4,node1-6,0,True,False,2
88,node1-4,node1-6,0,True,False,5
89,node1-4,node1-6,0,True,False,3
90,node1-4,node1-6,0,True,False,4
91,node1-4,node1-6,0,True,False,5
92,node1-4,node1-6,0,True,False,6
93,node1-4,node1-6,0,True,False,3
94,node1-4,node1-6,0,True,False,3
95,node1-4,node1-6,0,True,False,3
96,node1-4,node1-6,0,True,False,2
97,node1-4,node1-6,0,True,False,4
98,node1-4,node1-6,0,True,False,5
99,node1-4,node1-6,0,True,False,4
100,node1-4,node1-6,0,True,False,6
101,node1-4,node1-6,0,True,False,4
102,node1-4,node1-6,0,True,False,2
103,node1-4,node1-6,0,True,False,3
104,node1-4,node1-6,0,True,False,3
105,node1-4,node1-6,0,True,False,6
106,node1-4,node1-6,0,True,False,3
107,node1-4,node1-6,0,True,False,5
108,node1-4,node1-6,0,True,False,4
109,node1-4,node1-6,0,True,False,5
110,node1-4,node1-6,0,True,False,5
111,node1-4,node1-6,0,True,False,4
112,node1-4,node1-6,0,True,False,4
113,node1-4,node1-6,0,True,False,5
114,node1-4,node1-6,0,True,False,6
115,node1-4,node1-6,0,True,False,4
116,node1-4,node1-6,0,True,False,3
117,node1-4,node1-6,0,True,False,1
118,node1-4,node1-6,0,True,False,5
119,node1-4,node1-6,0,True,False,3
120,node1-4,node1-6,0,True,False,4
121,node1-4,node1-6,0,True,False,5
122,node1-4,node1-6,0,True,False,5
123,node1-4,node1-6,0,True,False,5
124,node1-4,node1-6,0,True,False,5
125,node1-4,node1-6,0,True,False,4
126,node1-4,node1-6,0,True,False,4
127,node1-4,node1-6,0,True,False,4
128,node1-4,node1-6,0,True,False,7
129,node1-4,node1-6,0,True,False,4
130,node1-4,node1-6,0,True,False,5
131,node1-4,node1-6,0,True,False,3
132,node1-4,node1-6,0,True,False,3
133,node1-4,node1-6,0,True,False,5
134,node1-4,node1-6,0,True,False,4
135,node1-4,node1-6,0,True,False,6
136,node1-4,node1-6,0,True,False,5
137,node1-4,node1-6,0,True,False,2
138,node1-4,node1-6,0,True,False,6
139,node1-4,node1-6,0,True,False,5
140,node1-4,node1-6,0,True,False,6
141,node1-4,node1-6,0,True,False,6
142,node1-4,node1-6,0,True,False,3
143,node1-4,node1-6,0,True,False,3
144,node1-4,node1-6,0,True,False,4
145,node1-4,node1-6,0,True,False,3
146,node1-4,node1-6,0,True,False,3
147,node1-4,node1-6,0,True,False,5
148,node1-4,node1-6,0,True,False,5
149,node1-4,node1-6,0,True,False,4
150,node1-4,node1-6,0,True,False,6
151,node1-4,node1-6,0,True,False,3
152,node1-4,node1-6,0,True,False,5
153,node1-4,node1-6,0,True,False,3
154,node1-4,node1-6,0,True,False,3
155,node1-4,node1-6,0,True,False,5
156,node1-4,node1-6,0,True,False,4
157,node1-4,node1-6,0,True,False,4
158,node1-4,node1-6,0,True,False,3
159,node1-4,node1-6,0,True,False,4
160,node1-4,node1-6,0,True,False,5
161,node1-4,node1-6,0,True,False,4
162,node1-4,node1-6,0,True,False,4
163,node1-4,node1-6,0,True,False,6
164,node1-4,node1-6,0,True,False,4
165,node1-4,node1-6,0,True,False,4
166,node1-4,node1-6,0,True,False,4
167,node1-4,node1-6,0,True,False,6
168,node1-4,node1-6,0,True,False,5
169,node1-4,node1-6,0,True,False,5
170,node1-4,node1-6,0,True,False,4
171,node1-4,node1-6,0,True,False,2
172,node1-4,node1-6,0,True,False,3
173,node1-4,node1-6,0,True,False,2
174,node1-4,node1-6,0,True,False,3
175,node1-4,node1-6,0,True,False,5
176,node1-4,node1-6,0,True,False,4
177,node1-4,node1-6,0,True,False,5
178,node1-4,node1-6,0,True,False,4
179,node1-4,node1-6,0,True,False,3
180,node1-4,node1-6,0,True,False,2
181,node1-4,node1-6,0,True,False,4
182,node1-4,node1-6,0,True,False,1
183,node1-4,node1-6,0,True,False,4
184,node1-4,node1-6,0,True,False,2
185,node1-4,node1-6,0,True,False,5
186,node1-4,node1-6,0,True,False,1
187,node1-4,node1-6,0,True,False,4
188,node1-4,node1-6,0,True,False,4
189,node1-4,node1-6,0,True,False,5
190,node1-4,node1-6,0,True,False,5
191,node1-4,node1-6,0,True,False,3
192,node1-4,node1-6,0,True,False,1
193,node1-4,node1-6,0,True,False,2
194,node1-4,node1-6,0,True,False,4
195,node1-4,node1-6,0,True,False,4
196,node1-4,node1-6,0,True,False,4
197,node1-4,node1-6,0,True,False,3
198,node1-4,node1-6,0,True,False,2
199,node1-4,node1-6,0,True,False,4
200,node1-4,node1-6,0,True,False,3
201,node1-4,node1-6,0,True,False,3
202,node1-4,node1-6,0,True,False,4
203,node1-4,node1-6,0,True,False,2
204,node1-4,node1-6,0,True,False,4
205,node1-4,node1-6,0,True,False,3
206,node1-4,node1-6,0,True,False,5
207,node1-4,node1-6,0,True,False,3
208,node1-4,node1-6,0,True,False,5
209,node1-4,node1-6,0,True,False,3
210,node1-4,node1-6,0,True,False,3
211,node1-4,node1-6,0,True,False,3
212,node1-4,node1-6,0,True,False,5
213,node1-4,node1-6,0,True,False,4
214,node1-4,node1-6,0,True,False,3
215,node1-4,node1-6,0,True,False,4
216,node1-4,node1-6,0,True,False,4
217,node1-4,node1-6,0,True,False,5
218,node1-4,node1-6,0,True,False,2
219,node1-4,node1-6,0,True,False,2
220,node1-4,node1-6,0,True,False,5
221,node1-4,node1-6,0,True,False,4
222,node1-4,node1-6,0,True,False,4
223,node1-4,node1-6,0,True,False,4
224,node1-4,node1-6,0,True,False,3
225,node1-4,node1-6,0,True,False,3
226,node1-4,node1-6,0,True,False,3
227,node1-4,node1-6,0,True,False,5
228,node1-4,node1-6,0,True,False,4
229,node1-4,node1-6,0,True,False,3
230,node1-4,node1-6,0,True,False,3
231,node1-4,node1-6,0,True,False,2
232,node1-4,node1-6,0,True,False,6
233,node1-4,node1-6,0,True,False,4
234,node1-4,node1-6,0,True,False,3
235,node1-4,node1-6,0,True,False,2
236,node1-4,node1-6,0,True,False,4
237,node1-4,node1-6,0,True,False,5
238,node1-4,node1-6,0,True,False,3
239,node1-4,node1-6,0,True,False,4
240,node1-4,node1-6,0,True,False,3
