seq,src,dst,noise,received,error,rssi
1,node1-6,node3-6,-5,True,False,11
2,node1-6,node3-6,-5,True,False,13
3,node1-6,node3-6,-5,True,False,10
4,node1-6,node3-6,-5,True,False,11
5,node1-6,node3-6,-5,True,False,11
6,node1-6,node3-6,-5,True,False,10
7,node1-6,node3-6,-5,True,False,10
8,node1-6,node3-6,-5,True,False,11
9,node1-6,node3-6,-5,True,False,11
10,node1-6,node3-6,-5,True,False,10
11,node1-6,node3-6,-5,True,False,9
12,node1-6,node3-6,-5,True,False,10
13,node1-6,node3-6,-5,True,False,10
14,node1-6,node3-6,-5,True,False,11
15,node1-6,node3-6,-5,True,False,11
16,node1-6,node3-6,-5,True,False,10
17,node1-6,node3-6,-5,True,False,11
18,node1-6,node3-6,-5,True,False,10
19,node1-6,node3-6,-5,True,False,10
20,node1-6,node3-6,-5,True,False,10
21,node1-6,node3-6,-5,True,False,10
22,node1-6,node3-6,-5,True,False,10
23,node1-6,node3-6,-5,True,False,11
24,node1-6,node3-6,-5,True,False,10
25,node1-6,node3-6,-5,True,False,11
26,node1-6,node3-6,-5,True,False,10
27,node1-6,node3-6,-5,True,False,9
28,node1-6,node3-6,-5,True,False,11
29,node1-6,node3-6,-5,True,False,10
30,node1-6,node3-6,-5,True,False,10
31,node1-6,node3-6,-5,True,False,10
32,node1-6,node3-6,-5,True,False,9
33,node1-6,node3-6,-5,True,False,10
34,node1-6,node3-6,-5,True,False,9
35,node1-6,node3-6,-5,True,False,10
36,node1-6,node3-6,-5,True,False,10
37,node1-6,node3-6,-5,True,False,11
38,node1-6,node3-6,-5,True,False,11
39,node1-6,node3-6,-5,True,False,10
40,node1-6,node3-6,-5,True,False,9
41,node1-6,node3-6,-5,True,False,10
42,node1-6,node3-6,-5,True,False,10
43,node1-6,node3-6,-5,True,False,11
44,node1-6,node3-6,-5,True,False,11
45,node1-6,node3-6,-5,True,False,10
46,node1-6,node3-6,-5,True,False,10
47,node1-6,node3-6,-5,True,False,10
48,node1-6,node3-6,-5,True,False,10
49,node1-6,node3-6,-5,True,False,11
50,node1-6,node3-6,-5,True,False,11
51,node1-6,node3-6,-5,True,False,11
52,node1-6,node3-6,-5,True,False,10
53,node1-6,node3-6,-5,True,False,10
54,node1-6,node3-6,-5,True,False,11
55,node1-6,node3-6,-5,True,False,10
56,node1-6,node3-6,-5,True,False,10
57,node1-6,node3-6,-5,True,False,10
58,node1-6,node3-6,-5,True,False,10
59,node1-6,node3-6,-5,True,False,9
60,node1-6,node3-6,-5,True,False,10
61,node1-6,node3-6,-5,True,False,10
62,node1-6,node3-6,-5,True,False,9
63,node1-6,node3-6,-5,True,False,11
64,node1-6,node3-6,-5,True,False,11
65,node1-6,node3-6,-5,True,False,10
66,node1-6,node3-6,-5,True,False,10
67,node1-6,node3-6,-5,True,False,11
68,node1-6,node3-6,-5,True,False,11
69,node1-6,node3-6,-5,True,False,10
70,node1-6,node3-6,-5,True,False,9
71,node1-6,node3-6,-5,True,False,10
72,node1-6,node3-6,-5,True,False,10
73,node1-6,node3-6,-5,True,False,10
74,node1-6,node3-6,-5,True,False,8
75,node1-6,node3-6,-5,True,False,9
76,node1-6,node3-6,-5,True,False,10
