seq,src,dst,noise,received,error,rssi
1,node6-3,node4-3,-15,True,False,23
2,node6-3,node4-3,-15,True,False,22
3,node6-3,node4-3,-15,True,False,18
4,node6-3,node4-3,-15,True,False,20
5,node6-3,node4-3,-15,True,False,20
6,node6-3,node4-3,-15,True,False,18
7,node6-3,node4-3,-15,True,False,19
8,node6-3,node4-3,-15,True,False,18
9,node6-3,node4-3,-15,True,False,19
10,node6-3,node4-3,-15,True,False,19
11,node6-3,node4-3,-15,True,False,19
12,node6-3,node4-3,-15,True,False,20
13,node6-3,node4-3,-15,True,False,20
14,node6-3,node4-3,-15,True,False,19
15,node6-3,node4-3,-15,True,False,19
16,node6-3,node4-3,-15,True,False,19
17,node6-3,node4-3,-15,True,False,19
18,node6-3,node4-3,-15,True,False,20
19,node6-3,node4-3,-15,True,False,20
20,node6-3,node4-3,-15,True,False,19
21,node6-3,node4-3,-15,True,False,17
22,node6-3,node4-3,-15,True,False,18
23,node6-3,node4-3,-15,True,False,18
24,node6-3,node4-3,-15,True,False,18
25,node6-3,node4-3,-15,True,False,19
26,node6-3,node4-3,-15,True,False,18
27,node6-3,node4-3,-15,True,False,19
28,node6-3,node4-3,-15,True,False,18
29,node6-3,node4-3,-15,True,False,18
30,node6-3,node4-3,-15,True,False,20
31,node6-3,node4-3,-15,True,False,19
32,node6-3,node4-3,-15,True,False,19
33,node6-3,node4-3,-15,True,False,18
34,node6-3,node4-3,-15,True,False,19
35,node6-3,node4-3,-15,True,False,19
36,node6-3,node4-3,-15,True,False,20
37,node6-3,node4-3,-15,True,False,19
38,node6-3,node4-3,-15,True,False,19
39,node6-3,node4-3,-15,True,False,19
40,node6-3,node4-3,-15,True,False,19
41,node6-3,node4-3,-15,True,False,19
42,node6-3,node4-3,-15,True,False,18
43,node6-3,node4-3,-15,True,False,19
44,node6-3,node4-3,-15,True,False,19
45,node6-3,node4-3,-15,True,False,19
46,node6-3,node4-3,-15,True,False,20
47,node6-3,node4-3,-15,True,False,19
48,node6-3,node4-3,-15,True,False,18
49,node6-3,node4-3,-15,True,False,19
50,node6-3,node4-3,-15,True,False,20
51,node6-3,node4-3,-15,True,False,19
52,node6-3,node4-3,-15,True,False,20
53,node6-3,node4-3,-15,True,False,19
54,node6-3,node4-3,-15,True,False,18
55,node6-3,node4-3,-15,True,False,19
56,node6-3,node4-3,-15,True,False,19
57,node6-3,node4-3,-15,True,False,20
58,node6-3,node4-3,-15,True,False,18
59,node6-3,node4-3,-15,True,False,19
60,node6-3,node4-3,-15,True,False,19
61,node6-3,node4-3,-15,True,False,19
62,node6-3,node4-3,-15,True,False,19
63,node6-3,node4-3,-15,True,False,19
64,node6-3,node4-3,-15,True,False,19
65,node6-3,node4-3,-15,True,False,20
66,node6-3,node4-3,-15,True,False,19
67,node6-3,node4-3,-15,True,False,19
68,node6-3,node4-3,-15,True,False,19
69,node6-3,node4-3,-15,True,False,20
70,node6-3,node4-3,-15,True,False,20
71,node6-3,node4-3,-15,True,False,19
72,node6-3,node4-3,-15,True,False,19
73,node6-3,node4-3,-15,True,False,20
74,node6-3,node4-3,-15,True,False,19
75,node6-3,node4-3,-15,True,False,19
76,node6-3,node4-3,-15,True,False,19
77,node6-3,node4-3,-15,True,False,20
78,node6-3,node4-3,-15,True,False,19
79,node6-3,node4-3,-15,True,False,19
80,node6-3,node4-3,-15,True,False,19
81,node6-3,node4-3,-15,True,False,19
82,node6-3,node4-3,-15,True,False,20
83,node6-3,node4-3,-15,True,False,19
84,node6-3,node4-3,-15,True,False,18
85,node6-3,node4-3,-15,True,False,20
86,node6-3,node4-3,-15,True,False,20
87,node6-3,node4-3,-15,True,False,19
88,node6-3,node4-3,-15,True,False,20
89,node6-3,node4-3,-15,True,False,20
90,node6-3,node4-3,-15,True,False,20
91,node6-3,node4-3,-15,True,False,20
92,node6-3,node4-3,-15,True,False,19
93,node6-3,node4-3,-15,True,False,19
94,node6-3,node4-3,-15,True,False,20
95,node6-3,node4-3,-15,True,False,19
96,node6-3,node4-3,-15,True,False,19
97,node6-3,node4-3,-15,True,False,19
98,node6-3,node4-3,-15,True,False,20
99,node6-3,node4-3,-15,True,False,19
100,node6-3,node4-3,-15,True,False,19
101,node6-3,node4-3,-15,True,False,19
102,node6-3,node4-3,-15,True,False,18
103,node6-3,node4-3,-15,True,False,20
104,node6-3,node4-3,-15,True,False,19
105,node6-3,node4-3,-15,True,False,20
106,node6-3,node4-3,-15,True,False,19
107,node6-3,node4-3,-15,True,False,19
108,node6-3,node4-3,-15,True,False,20
109,node6-3,node4-3,-15,True,False,18
110,node6-3,node4-3,-15,True,False,19
111,node6-3,node4-3,-15,True,False,20
112,node6-3,node4-3,-15,True,False,19
113,node6-3,node4-3,-15,True,False,19
114,node6-3,node4-3,-15,True,False,20
115,node6-3,node4-3,-15,True,False,20
116,node6-3,node4-3,-15,True,False,19
117,node6-3,node4-3,-15,True,False,19
118,node6-3,node4-3,-15,True,False,19
119,node6-3,node4-3,-15,True,False,19
120,node6-3,node4-3,-15,True,False,19
121,node6-3,node4-3,-15,True,False,19
122,node6-3,node4-3,-15,True,False,19
123,node6-3,node4-3,-15,True,False,18
124,node6-3,node4-3,-15,True,False,18
125,node6-3,node4-3,-15,True,False,19
126,node6-3,node4-3,-15,True,False,20
127,node6-3,node4-3,-15,True,False,20
128,node6-3,node4-3,-15,True,False,18
129,node6-3,node4-3,-15,True,False,20
130,node6-3,node4-3,-15,True,False,20
131,node6-3,node4-3,-15,True,False,20
132,node6-3,node4-3,-15,True,False,19
133,node6-3,node4-3,-15,True,False,20
134,node6-3,node4-3,-15,True,False,18
135,node6-3,node4-3,-15,True,False,20
136,node6-3,node4-3,-15,True,False,19
137,node6-3,node4-3,-15,True,False,19
138,node6-3,node4-3,-15,True,False,19
139,node6-3,node4-3,-15,True,False,19
140,node6-3,node4-3,-15,True,False,20
141,node6-3,node4-3,-15,True,False,19
142,node6-3,node4-3,-15,True,False,19
143,node6-3,node4-3,-15,True,False,20
144,node6-3,node4-3,-15,True,False,19
145,node6-3,node4-3,-15,True,False,19
146,node6-3,node4-3,-15,True,False,19
147,node6-3,node4-3,-15,True,False,19
148,node6-3,node4-3,-15,True,False,19
149,node6-3,node4-3,-15,True,False,19
150,node6-3,node4-3,-15,True,False,19
151,node6-3,node4-3,-15,True,False,19
152,node6-3,node4-3,-15,True,False,20
153,node6-3,node4-3,-15,True,False,19
154,node6-3,node4-3,-15,True,False,20
155,node6-3,node4-3,-15,True,False,20
156,node6-3,node4-3,-15,True,False,18
157,node6-3,node4-3,-15,True,False,19
158,node6-3,node4-3,-15,True,False,20
159,node6-3,node4-3,-15,True,False,20
160,node6-3,node4-3,-15,True,False,19
161,node6-3,node4-3,-15,True,False,19
162,node6-3,node4-3,-15,True,False,19
