seq,src,dst,noise,received,error,rssi
1,node1-8,node4-7,-15,True,False,21
2,node1-8,node4-7,-15,True,False,21
3,node1-8,node4-7,-15,True,False,17
4,node1-8,node4-7,-15,True,False,13
5,node1-8,node4-7,-15,True,False,15
6,node1-8,node4-7,-15,True,False,14
7,node1-8,node4-7,-15,True,False,14
8,node1-8,node4-7,-15,True,False,14
9,node1-8,node4-7,-15,True,False,14
10,node1-8,node4-7,-15,True,False,16
11,node1-8,node4-7,-15,True,False,14
12,node1-8,node4-7,-15,True,False,15
13,node1-8,node4-7,-15,True,False,15
14,node1-8,node4-7,-15,True,False,14
15,node1-8,node4-7,-15,True,False,14
16,node1-8,node4-7,-15,True,False,14
17,node1-8,node4-7,-15,True,False,16
18,node1-8,node4-7,-15,True,False,13
19,node1-8,node4-7,-15,True,False,15
20,node1-8,node4-7,-15,True,False,15
21,node1-8,node4-7,-15,True,False,14
22,node1-8,node4-7,-15,True,False,14
23,node1-8,node4-7,-15,True,False,14
24,node1-8,node4-7,-15,True,False,14
25,node1-8,node4-7,-15,True,False,15
26,node1-8,node4-7,-15,True,False,14
27,node1-8,node4-7,-15,True,False,15
28,node1-8,node4-7,-15,True,False,14
29,node1-8,node4-7,-15,True,False,14
30,node1-8,node4-7,-15,True,False,15
31,node1-8,node4-7,-15,True,False,14
32,node1-8,node4-7,-15,True,False,14
33,node1-8,node4-7,-15,True,False,15
34,node1-8,node4-7,-15,True,False,14
35,node1-8,node4-7,-15,True,False,16
36,node1-8,node4-7,-15,True,False,14
37,node1-8,node4-7,-15,True,False,13
38,node1-8,node4-7,-15,True,False,14
39,node1-8,node4-7,-15,True,False,13
40,node1-8,node4-7,-15,True,False,13
41,node1-8,node4-7,-15,True,False,13
42,node1-8,node4-7,-15,True,False,15
43,node1-8,node4-7,-15,True,False,14
44,node1-8,node4-7,-15,True,False,14
45,node1-8,node4-7,-15,True,False,15
46,node1-8,node4-7,-15,True,False,13
47,node1-8,node4-7,-15,True,False,15
48,node1-8,node4-7,-15,True,False,14
49,node1-8,node4-7,-15,True,False,14
50,node1-8,node4-7,-15,True,False,15
51,node1-8,node4-7,-15,True,False,14
52,node1-8,node4-7,-15,True,False,13
53,node1-8,node4-7,-15,True,False,14
54,node1-8,node4-7,-15,True,False,13
55,node1-8,node4-7,-15,True,False,14
56,node1-8,node4-7,-15,True,False,15
57,node1-8,node4-7,-15,True,False,14
58,node1-8,node4-7,-15,True,False,14
59,node1-8,node4-7,-15,True,False,15
60,node1-8,node4-7,-15,True,False,15
61,node1-8,node4-7,-15,True,False,14
62,node1-8,node4-7,-15,True,False,15
63,node1-8,node4-7,-15,True,False,14
64,node1-8,node4-7,-15,True,False,15
65,node1-8,node4-7,-15,True,False,13
