seq,src,dst,noise,received,error,rssi
1,node5-2,node3-2,-15,True,False,25
2,node5-2,node3-2,-15,True,False,25
3,node5-2,node3-2,-15,True,False,21
4,node5-2,node3-2,-15,True,False,21
5,node5-2,node3-2,-15,True,False,20
6,node5-2,node3-2,-15,True,False,20
7,node5-2,node3-2,-15,True,False,20
8,node5-2,node3-2,-15,True,False,21
9,node5-2,node3-2,-15,True,False,21
10,node5-2,node3-2,-15,True,False,21
11,node5-2,node3-2,-15,True,False,21
12,node5-2,node3-2,-15,True,False,20
13,node5-2,node3-2,-15,True,False,20
14,node5-2,node3-2,-15,True,False,20
15,node5-2,node3-2,-15,True,False,20
16,node5-2,node3-2,-15,True,False,21
17,node5-2,node3-2,-15,True,False,20
18,node5-2,node3-2,-15,True,False,21
19,node5-2,node3-2,-15,True,False,21
20,node5-2,node3-2,-15,True,False,21
21,node5-2,node3-2,-15,True,False,21
22,node5-2,node3-2,-15,True,False,21
23,node5-2,node3-2,-15,True,False,20
24,node5-2,node3-2,-15,True,False,21
25,node5-2,node3-2,-15,True,False,20
26,node5-2,node3-2,-15,True,False,21
27,node5-2,node3-2,-15,True,False,21
28,node5-2,node3-2,-15,True,False,19
29,node5-2,node3-2,-15,True,False,20
30,node5-2,node3-2,-15,True,False,20
31,node5-2,node3-2,-15,True,False,20
32,node5-2,node3-2,-15,True,False,20
33,node5-2,node3-2,-15,True,False,20
34,node5-2,node3-2,-15,True,False,21
35,node5-2,node3-2,-15,True,False,20
36,node5-2,node3-2,-15,True,False,20
37,node5-2,node3-2,-15,True,False,20
38,node5-2,node3-2,-15,True,False,21
39,node5-2,node3-2,-15,True,False,20
40,node5-2,node3-2,-15,True,False,20
41,node5-2,node3-2,-15,True,False,20
42,node5-2,node3-2,-15,True,False,21
43,node5-2,node3-2,-15,True,False,20
44,node5-2,node3-2,-15,True,False,21
45,node5-2,node3-2,-15,True,False,20
46,node5-2,node3-2,-15,True,False,20
47,node5-2,node3-2,-15,True,False,21
48,node5-2,node3-2,-15,True,False,20
49,node5-2,node3-2,-15,True,False,20
50,node5-2,node3-2,-15,True,False,21
51,node5-2,node3-2,-15,True,False,20
52,node5-2,node3-2,-15,True,False,20
53,node5-2,node3-2,-15,True,False,21
54,node5-2,node3-2,-15,True,False,20
55,node5-2,node3-2,-15,True,False,20
56,node5-2,node3-2,-15,True,False,20
57,node5-2,node3-2,-15,True,False,20
58,node5-2,node3-2,-15,True,False,20
59,node5-2,node3-2,-15,True,False,21
60,node5-2,node3-2,-15,True,False,20
61,node5-2,node3-2,-15,True,False,20
62,node5-2,node3-2,-15,True,False,20
63,node5-2,node3-2,-15,True,False,21
64,node5-2,node3-2,-15,True,False,21
65,node5-2,node3-2,-15,True,False,21
66,node5-2,node3-2,-15,True,False,20
67,node5-2,node3-2,-15,True,False,20
68,node5-2,node3-2,-15,True,False,20
69,node5-2,node3-2,-15,True,False,21
70,node5-2,node3-2,-15,True,False,21
71,node5-2,node3-2,-15,True,False,20
72,node5-2,node3-2,-15,True,False,21
73,node5-2,node3-2,-15,True,False,20
74,node5-2,node3-2,-15,True,False,21
75,node5-2,node3-2,-15,True,False,20
76,node5-2,node3-2,-15,True,False,20
77,node5-2,node3-2,-15,True,False,21
78,node5-2,node3-2,-15,True,False,21
79,node5-2,node3-2,-15,True,False,20
80,node5-2,node3-2,-15,True,False,20
81,node5-2,node3-2,-15,True,False,20
82,node5-2,node3-2,-15,True,False,21
83,node5-2,node3-2,-15,True,False,20
84,node5-2,node3-2,-15,True,False,20
85,node5-2,node3-2,-15,True,False,20
86,node5-2,node3-2,-15,True,False,21
87,node5-2,node3-2,-15,True,False,21
88,node5-2,node3-2,-15,True,False,20
89,node5-2,node3-2,-15,True,False,20
90,node5-2,node3-2,-15,True,False,21
91,node5-2,node3-2,-15,True,False,20
92,node5-2,node3-2,-15,True,False,21
93,node5-2,node3-2,-15,True,False,21
94,node5-2,node3-2,-15,True,False,21
95,node5-2,node3-2,-15,True,False,20
96,node5-2,node3-2,-15,True,False,20
97,node5-2,node3-2,-15,True,False,20
98,node5-2,node3-2,-15,True,False,21
99,node5-2,node3-2,-15,True,False,20
100,node5-2,node3-2,-15,True,False,21
101,node5-2,node3-2,-15,True,False,20
102,node5-2,node3-2,-15,True,False,20
103,node5-2,node3-2,-15,True,False,20
104,node5-2,node3-2,-15,True,False,20
105,node5-2,node3-2,-15,True,False,21
106,node5-2,node3-2,-15,True,False,20
107,node5-2,node3-2,-15,True,False,20
108,node5-2,node3-2,-15,True,False,21
109,node5-2,node3-2,-15,True,False,20
110,node5-2,node3-2,-15,True,False,20
111,node5-2,node3-2,-15,True,False,20
112,node5-2,node3-2,-15,True,False,20
113,node5-2,node3-2,-15,True,False,20
114,node5-2,node3-2,-15,True,False,20
115,node5-2,node3-2,-15,True,False,20
116,node5-2,node3-2,-15,True,False,20
117,node5-2,node3-2,-15,True,False,20
118,node5-2,node3-2,-15,True,False,21
119,node5-2,node3-2,-15,True,False,20
120,node5-2,node3-2,-15,True,False,20
121,node5-2,node3-2,-15,True,False,20
122,node5-2,node3-2,-15,True,False,21
123,node5-2,node3-2,-15,True,False,20
124,node5-2,node3-2,-15,True,False,20
125,node5-2,node3-2,-15,True,False,20
126,node5-2,node3-2,-15,True,False,20
127,node5-2,node3-2,-15,True,False,20
128,node5-2,node3-2,-15,True,False,20
129,node5-2,node3-2,-15,True,False,20
130,node5-2,node3-2,-15,True,False,20
131,node5-2,node3-2,-15,True,False,20
132,node5-2,node3-2,-15,True,False,20
133,node5-2,node3-2,-15,True,False,20
134,node5-2,node3-2,-15,True,False,21
135,node5-2,node3-2,-15,True,False,20
136,node5-2,node3-2,-15,True,False,21
137,node5-2,node3-2,-15,True,False,20
138,node5-2,node3-2,-15,True,False,20
139,node5-2,node3-2,-15,True,False,20
140,node5-2,node3-2,-15,True,False,20
141,node5-2,node3-2,-15,True,False,20
142,node5-2,node3-2,-15,True,False,21
143,node5-2,node3-2,-15,True,False,20
144,node5-2,node3-2,-15,True,False,20
145,node5-2,node3-2,-15,True,False,20
146,node5-2,node3-2,-15,True,False,19
147,node5-2,node3-2,-15,True,False,20
148,node5-2,node3-2,-15,True,False,20
149,node5-2,node3-2,-15,True,False,21
150,node5-2,node3-2,-15,True,False,20
151,node5-2,node3-2,-15,True,False,20
152,node5-2,node3-2,-15,True,False,20
153,node5-2,node3-2,-15,True,False,20
154,node5-2,node3-2,-15,True,False,20
155,node5-2,node3-2,-15,True,False,20
156,node5-2,node3-2,-15,True,False,20
157,node5-2,node3-2,-15,True,False,20
158,node5-2,node3-2,-15,True,False,20
159,node5-2,node3-2,-15,True,False,20
160,node5-2,node3-2,-15,True,False,20
161,node5-2,node3-2,-15,True,False,21
162,node5-2,node3-2,-15,True,False,20
163,node5-2,node3-2,-15,True,False,20
164,node5-2,node3-2,-15,True,False,20
165,node5-2,node3-2,-15,True,False,20
166,node5-2,node3-2,-15,True,False,20
167,node5-2,node3-2,-15,True,False,20
168,node5-2,node3-2,-15,True,False,20
169,node5-2,node3-2,-15,True,False,20
170,node5-2,node3-2,-15,True,False,20
171,node5-2,node3-2,-15,True,False,21
172,node5-2,node3-2,-15,True,False,20
173,node5-2,node3-2,-15,True,False,21
174,node5-2,node3-2,-15,True,False,20
