seq,src,dst,noise,received,error,rssi
1,node8-7,node3-8,-15,True,False,16
2,node8-7,node3-8,-15,True,False,15
3,node8-7,node3-8,-15,True,False,12
4,node8-7,node3-8,-15,True,False,12
5,node8-7,node3-8,-15,True,False,10
6,node8-7,node3-8,-15,True,False,11
7,node8-7,node3-8,-15,True,False,12
8,node8-7,node3-8,-15,True,False,11
9,node8-7,node3-8,-15,True,False,12
10,node8-7,node3-8,-15,True,False,13
11,node8-7,node3-8,-15,True,False,11
12,node8-7,node3-8,-15,True,False,10
13,node8-7,node3-8,-15,True,False,12
14,node8-7,node3-8,-15,True,False,12
15,node8-7,node3-8,-15,True,False,12
16,node8-7,node3-8,-15,True,False,11
17,node8-7,node3-8,-15,True,False,11
18,node8-7,node3-8,-15,True,False,13
19,node8-7,node3-8,-15,True,False,12
20,node8-7,node3-8,-15,True,False,11
21,node8-7,node3-8,-15,True,False,11
22,node8-7,node3-8,-15,True,False,11
23,node8-7,node3-8,-15,True,False,11
24,node8-7,node3-8,-15,True,False,11
25,node8-7,node3-8,-15,True,False,11
26,node8-7,node3-8,-15,True,False,10
27,node8-7,node3-8,-15,True,False,13
28,node8-7,node3-8,-15,True,False,12
29,node8-7,node3-8,-15,True,False,9
30,node8-7,node3-8,-15,True,False,10
31,node8-7,node3-8,-15,True,False,11
32,node8-7,node3-8,-15,True,False,11
33,node8-7,node3-8,-15,True,False,11
34,node8-7,node3-8,-15,True,False,12
35,node8-7,node3-8,-15,True,False,12
36,node8-7,node3-8,-15,True,False,12
37,node8-7,node3-8,-15,True,False,12
38,node8-7,node3-8,-15,True,False,12
39,node8-7,node3-8,-15,True,False,12
40,node8-7,node3-8,-15,True,False,11
41,node8-7,node3-8,-15,True,False,14
42,node8-7,node3-8,-15,True,False,11
43,node8-7,node3-8,-15,True,False,12
44,node8-7,node3-8,-15,True,False,11
45,node8-7,node3-8,-15,True,False,11
46,node8-7,node3-8,-15,True,False,11
47,node8-7,node3-8,-15,True,False,9
48,node8-7,node3-8,-15,True,False,12
49,node8-7,node3-8,-15,True,False,11
50,node8-7,node3-8,-15,True,False,11
51,node8-7,node3-8,-15,True,False,12
52,node8-7,node3-8,-15,True,False,12
53,node8-7,node3-8,-15,True,False,11
54,node8-7,node3-8,-15,True,False,11
55,node8-7,node3-8,-15,True,False,11
56,node8-7,node3-8,-15,True,False,11
57,node8-7,node3-8,-15,True,False,13
58,node8-7,node3-8,-15,True,False,10
59,node8-7,node3-8,-15,True,False,12
60,node8-7,node3-8,-15,True,False,12
61,node8-7,node3-8,-15,True,False,11
62,node8-7,node3-8,-15,True,False,12
63,node8-7,node3-8,-15,True,False,10
64,node8-7,node3-8,-15,True,False,11
65,node8-7,node3-8,-15,True,False,12
66,node8-7,node3-8,-15,True,False,10
67,node8-7,node3-8,-15,True,False,13
68,node8-7,node3-8,-15,True,False,12
69,node8-7,node3-8,-15,True,False,13
70,node8-7,node3-8,-15,True,False,11
71,node8-7,node3-8,-15,True,False,11
72,node8-7,node3-8,-15,True,False,12
73,node8-7,node3-8,-15,True,False,13
74,node8-7,node3-8,-15,True,False,12
75,node8-7,node3-8,-15,True,False,12
76,node8-7,node3-8,-15,True,False,12
77,node8-7,node3-8,-15,True,False,13
78,node8-7,node3-8,-15,True,False,13
79,node8-7,node3-8,-15,True,False,11
80,node8-7,node3-8,-15,True,False,12
81,node8-7,node3-8,-15,True,False,10
82,node8-7,node3-8,-15,True,False,11
83,node8-7,node3-8,-15,True,False,13
84,node8-7,node3-8,-15,True,False,12
85,node8-7,node3-8,-15,True,False,11
86,node8-7,node3-8,-15,True,False,12
87,node8-7,node3-8,-15,True,False,11
88,node8-7,node3-8,-15,True,False,10
89,node8-7,node3-8,-15,True,False,11
90,node8-7,node3-8,-15,True,False,12
91,node8-7,node3-8,-15,True,False,11
92,node8-7,node3-8,-15,True,False,11
93,node8-7,node3-8,-15,True,False,11
94,node8-7,node3-8,-15,True,False,10
95,node8-7,node3-8,-15,True,False,10
96,node8-7,node3-8,-15,True,False,12
97,node8-7,node3-8,-15,True,False,11
98,node8-7,node3-8,-15,True,False,12
99,node8-7,node3-8,-15,True,False,12
100,node8-7,node3-8,-15,True,False,10
101,node8-7,node3-8,-15,True,False,12
102,node8-7,node3-8,-15,True,False,10
103,node8-7,node3-8,-15,True,False,12
104,node8-7,node3-8,-15,True,False,12
105,node8-7,node3-8,-15,True,False,13
106,node8-7,node3-8,-15,True,False,10
107,node8-7,node3-8,-15,True,False,11
108,node8-7,node3-8,-15,True,False,11
109,node8-7,node3-8,-15,True,False,11
110,node8-7,node3-8,-15,True,False,11
111,node8-7,node3-8,-15,True,False,12
112,node8-7,node3-8,-15,True,False,14
113,node8-7,node3-8,-15,True,False,11
114,node8-7,node3-8,-15,True,False,11
115,node8-7,node3-8,-15,True,False,12
116,node8-7,node3-8,-15,True,False,12
117,node8-7,node3-8,-15,True,False,10
118,node8-7,node3-8,-15,True,False,12
119,node8-7,node3-8,-15,True,False,10
120,node8-7,node3-8,-15,True,False,10
121,node8-7,node3-8,-15,True,False,12
122,node8-7,node3-8,-15,True,False,13
123,node8-7,node3-8,-15,True,False,11
124,node8-7,node3-8,-15,True,False,12
125,node8-7,node3-8,-15,True,False,11
126,node8-7,node3-8,-15,True,False,10
127,node8-7,node3-8,-15,True,False,11
128,node8-7,node3-8,-15,True,False,11
129,node8-7,node3-8,-15,True,False,11
130,node8-7,node3-8,-15,True,False,10
131,node8-7,node3-8,-15,True,False,10
132,node8-7,node3-8,-15,True,False,12
133,node8-7,node3-8,-15,True,False,12
134,node8-7,node3-8,-15,True,False,13
135,node8-7,node3-8,-15,True,False,11
136,node8-7,node3-8,-15,True,False,11
137,node8-7,node3-8,-15,True,False,11
138,node8-7,node3-8,-15,True,False,11
139,node8-7,node3-8,-15,True,False,12
140,node8-7,node3-8,-15,True,False,11
141,node8-7,node3-8,-15,True,False,11
142,node8-7,node3-8,-15,True,False,11
143,node8-7,node3-8,-15,True,False,9
144,node8-7,node3-8,-15,True,False,11
145,node8-7,node3-8,-15,True,False,10
146,node8-7,node3-8,-15,True,False,13
147,node8-7,node3-8,-15,True,False,11
148,node8-7,node3-8,-15,True,False,11
149,node8-7,node3-8,-15,True,False,11
150,node8-7,node3-8,-15,True,False,10
151,node8-7,node3-8,-15,True,False,11
152,node8-7,node3-8,-15,True,False,12
153,node8-7,node3-8,-15,True,False,11
154,node8-7,node3-8,-15,True,False,12
155,node8-7,node3-8,-15,True,False,11
156,node8-7,node3-8,-15,True,False,10
157,node8-7,node3-8,-15,True,False,12
158,node8-7,node3-8,-15,True,False,12
159,node8-7,node3-8,-15,True,False,11
160,node8-7,node3-8,-15,True,False,11
161,node8-7,node3-8,-15,True,False,13
162,node8-7,node3-8,-15,True,False,10
163,node8-7,node3-8,-15,True,False,11
164,node8-7,node3-8,-15,True,False,12
165,node8-7,node3-8,-15,True,False,10
166,node8-7,node3-8,-15,True,False,10
167,node8-7,node3-8,-15,True,False,12
168,node8-7,node3-8,-15,True,False,11
169,node8-7,node3-8,-15,True,False,12
170,node8-7,node3-8,-15,True,False,13
171,node8-7,node3-8,-15,True,False,12
172,node8-7,node3-8,-15,True,False,12
173,node8-7,node3-8,-15,True,False,12
174,node8-7,node3-8,-15,True,False,12
175,node8-7,node3-8,-15,True,False,10
176,node8-7,node3-8,-15,True,False,11
177,node8-7,node3-8,-15,True,False,11
178,node8-7,node3-8,-15,True,False,11
179,node8-7,node3-8,-15,True,False,9
180,node8-7,node3-8,-15,True,False,10
181,node8-7,node3-8,-15,True,False,12
182,node8-7,node3-8,-15,True,False,10
183,node8-7,node3-8,-15,True,False,12
184,node8-7,node3-8,-15,True,False,11
185,node8-7,node3-8,-15,True,False,11
186,node8-7,node3-8,-15,True,False,12
187,node8-7,node3-8,-15,True,False,11
188,node8-7,node3-8,-15,True,False,10
189,node8-7,node3-8,-15,True,False,12
190,node8-7,node3-8,-15,True,False,12
191,node8-7,node3-8,-15,True,False,12
192,node8-7,node3-8,-15,True,False,11
193,node8-7,node3-8,-15,True,False,11
194,node8-7,node3-8,-15,True,False,11
195,node8-7,node3-8,-15,True,False,11
196,node8-7,node3-8,-15,True,False,10
197,node8-7,node3-8,-15,True,False,11
198,node8-7,node3-8,-15,True,False,14
199,node8-7,node3-8,-15,True,False,11
200,node8-7,node3-8,-15,True,False,10
201,node8-7,node3-8,-15,True,False,12
202,node8-7,node3-8,-15,True,False,10
203,node8-7,node3-8,-15,True,False,12
204,node8-7,node3-8,-15,True,False,13
205,node8-7,node3-8,-15,True,False,11
206,node8-7,node3-8,-15,True,False,11
207,node8-7,node3-8,-15,True,False,10
208,node8-7,node3-8,-15,True,False,11
209,node8-7,node3-8,-15,True,False,10
210,node8-7,node3-8,-15,True,False,10
211,node8-7,node3-8,-15,True,False,11
212,node8-7,node3-8,-15,True,False,13
213,node8-7,node3-8,-15,True,False,11
214,node8-7,node3-8,-15,True,False,12
215,node8-7,node3-8,-15,True,False,11
216,node8-7,node3-8,-15,True,False,11
217,node8-7,node3-8,-15,True,False,10
218,node8-7,node3-8,-15,True,False,10
219,node8-7,node3-8,-15,True,False,11
220,node8-7,node3-8,-15,True,False,9
221,node8-7,node3-8,-15,True,False,10
222,node8-7,node3-8,-15,True,False,11
223,node8-7,node3-8,-15,True,False,12
224,node8-7,node3-8,-15,True,False,12
225,node8-7,node3-8,-15,True,False,10
226,node8-7,node3-8,-15,True,False,13
227,node8-7,node3-8,-15,True,False,11
228,node8-7,node3-8,-15,True,False,11
229,node8-7,node3-8,-15,True,False,11
230,node8-7,node3-8,-15,True,False,10
231,node8-7,node3-8,-15,True,False,10
232,node8-7,node3-8,-15,True,False,11
233,node8-7,node3-8,-15,True,False,12
234,node8-7,node3-8,-15,True,False,12
235,node8-7,node3-8,-15,True,False,12
236,node8-7,node3-8,-15,True,False,11
237,node8-7,node3-8,-15,True,False,11
238,node8-7,node3-8,-15,True,False,12
239,node8-7,node3-8,-15,True,False,11
240,node8-7,node3-8,-15,True,False,9
241,node8-7,node3-8,-15,True,False,11
242,node8-7,node3-8,-15,True,False,12
243,node8-7,node3-8,-15,True,False,12
244,node8-7,node3-8,-15,True,False,12
245,node8-7,node3-8,-15,True,False,12
246,node8-7,node3-8,-15,True,False,10
247,node8-7,node3-8,-15,True,False,12
248,node8-7,node3-8,-15,True,False,11
249,node8-7,node3-8,-15,True,False,11
250,node8-7,node3-8,-15,True,False,12
251,node8-7,node3-8,-15,True,False,11
252,node8-7,node3-8,-15,True,False,10
253,node8-7,node3-8,-15,True,False,11
254,node8-7,node3-8,-15,True,False,10
255,node8-7,node3-8,-15,True,False,10
256,node8-7,node3-8,-15,True,False,11
257,node8-7,node3-8,-15,True,False,10
258,node8-7,node3-8,-15,True,False,10
259,node8-7,node3-8,-15,True,False,11
260,node8-7,node3-8,-15,True,False,12
261,node8-7,node3-8,-15,True,False,11
262,node8-7,node3-8,-15,True,False,11
263,node8-7,node3-8,-15,True,False,12
264,node8-7,node3-8,-15,True,False,12
265,node8-7,node3-8,-15,True,False,10
266,node8-7,node3-8,-15,True,False,11
267,node8-7,node3-8,-15,True,False,11
268,node8-7,node3-8,-15,True,False,10
269,node8-7,node3-8,-15,True,False,11
270,node8-7,node3-8,-15,True,False,12
271,node8-7,node3-8,-15,True,False,10
272,node8-7,node3-8,-15,True,False,10
273,node8-7,node3-8,-15,True,False,10
274,node8-7,node3-8,-15,True,False,13
275,node8-7,node3-8,-15,True,False,10
276,node8-7,node3-8,-15,True,False,12
277,node8-7,node3-8,-15,True,False,10
278,node8-7,node3-8,-15,True,False,12
279,node8-7,node3-8,-15,True,False,12
280,node8-7,node3-8,-15,True,False,10
281,node8-7,node3-8,-15,True,False,10
282,node8-7,node3-8,-15,True,False,10
283,node8-7,node3-8,-15,True,False,11
284,node8-7,node3-8,-15,True,False,12
285,node8-7,node3-8,-15,True,False,11
286,node8-7,node3-8,-15,True,False,11
287,node8-7,node3-8,-15,True,False,11
288,node8-7,node3-8,-15,True,False,12
289,node8-7,node3-8,-15,True,False,11
290,node8-7,node3-8,-15,True,False,12
291,node8-7,node3-8,-15,True,False,12
292,node8-7,node3-8,-15,True,False,12
293,node8-7,node3-8,-15,True,False,10
294,node8-7,node3-8,-15,True,False,12
295,node8-7,node3-8,-15,True,False,10
296,node8-7,node3-8,-15,True,False,11
297,node8-7,node3-8,-15,True,False,11
298,node8-7,node3-8,-15,True,False,9
299,node8-7,node3-8,-15,True,False,10
300,node8-7,node3-8,-15,True,False,10
