seq,src,dst,noise,received,error,rssi
1,node8-3,node6-1,-20,True,False,15
2,node8-3,node6-1,-20,True,False,14
3,node8-3,node6-1,-20,True,False,8
4,node8-3,node6-1,-20,True,False,8
5,node8-3,node6-1,-20,True,False,8
6,node8-3,node6-1,-20,True,False,8
7,node8-3,node6-1,-20,True,False,8
8,node8-3,node6-1,-20,True,False,8
9,node8-3,node6-1,-20,True,False,9
10,node8-3,node6-1,-20,True,False,9
11,node8-3,node6-1,-20,True,False,8
12,node8-3,node6-1,-20,True,False,8
13,node8-3,node6-1,-20,True,False,9
14,node8-3,node6-1,-20,True,False,9
15,node8-3,node6-1,-20,True,False,9
16,node8-3,node6-1,-20,True,False,9
17,node8-3,node6-1,-20,True,False,7
18,node8-3,node6-1,-20,True,False,9
19,node8-3,node6-1,-20,True,False,8
20,node8-3,node6-1,-20,True,False,9
21,node8-3,node6-1,-20,True,False,9
22,node8-3,node6-1,-20,True,False,8
23,node8-3,node6-1,-20,True,False,8
24,node8-3,node6-1,-20,True,False,9
25,node8-3,node6-1,-20,True,False,8
26,node8-3,node6-1,-20,True,False,8
27,node8-3,node6-1,-20,True,False,7
28,node8-3,node6-1,-20,True,False,8
29,node8-3,node6-1,-20,True,False,10
30,node8-3,node6-1,-20,True,False,8
31,node8-3,node6-1,-20,True,False,9
32,node8-3,node6-1,-20,True,False,8
33,node8-3,node6-1,-20,True,False,10
34,node8-3,node6-1,-20,True,False,8
35,node8-3,node6-1,-20,True,False,10
36,node8-3,node6-1,-20,True,False,8
37,node8-3,node6-1,-20,True,False,9
38,node8-3,node6-1,-20,True,False,9
39,node8-3,node6-1,-20,True,False,9
40,node8-3,node6-1,-20,True,False,8
41,node8-3,node6-1,-20,True,False,10
42,node8-3,node6-1,-20,True,False,8
43,node8-3,node6-1,-20,True,False,9
44,node8-3,node6-1,-20,True,False,10
45,node8-3,node6-1,-20,True,False,8
46,node8-3,node6-1,-20,True,False,8
47,node8-3,node6-1,-20,True,False,9
48,node8-3,node6-1,-20,True,False,8
49,node8-3,node6-1,-20,True,False,8
50,node8-3,node6-1,-20,True,False,9
51,node8-3,node6-1,-20,True,False,10
52,node8-3,node6-1,-20,True,False,8
53,node8-3,node6-1,-20,True,False,8
54,node8-3,node6-1,-20,True,False,9
55,node8-3,node6-1,-20,True,False,9
56,node8-3,node6-1,-20,True,False,9
57,node8-3,node6-1,-20,True,False,9
58,node8-3,node6-1,-20,True,False,8
59,node8-3,node6-1,-20,True,False,9
60,node8-3,node6-1,-20,True,False,8
61,node8-3,node6-1,-20,True,False,9
62,node8-3,node6-1,-20,True,False,9
63,node8-3,node6-1,-20,True,False,8
64,node8-3,node6-1,-20,True,False,10
65,node8-3,node6-1,-20,True,False,9
66,node8-3,node6-1,-20,True,False,8
67,node8-3,node6-1,-20,True,False,9
68,node8-3,node6-1,-20,True,False,9
69,node8-3,node6-1,-20,True,False,9
70,node8-3,node6-1,-20,True,False,10
71,node8-3,node6-1,-20,True,False,9
72,node8-3,node6-1,-20,True,False,9
73,node8-3,node6-1,-20,True,False,9
74,node8-3,node6-1,-20,True,False,7
75,node8-3,node6-1,-20,True,False,9
76,node8-3,node6-1,-20,True,False,9
77,node8-3,node6-1,-20,True,False,9
78,node8-3,node6-1,-20,True,False,9
79,node8-3,node6-1,-20,True,False,7
80,node8-3,node6-1,-20,True,False,9
81,node8-3,node6-1,-20,True,False,9
82,node8-3,node6-1,-20,True,False,8
83,node8-3,node6-1,-20,True,False,9
