seq,src,dst,noise,received,error,rssi
1,node2-5,node4-1,-20,True,False,23
2,node2-5,node4-1,-20,True,False,18
3,node2-5,node4-1,-20,True,False,17
4,node2-5,node4-1,-20,True,False,18
5,node2-5,node4-1,-20,True,False,18
6,node2-5,node4-1,-20,True,False,19
7,node2-5,node4-1,-20,True,False,17
8,node2-5,node4-1,-20,True,False,16
9,node2-5,node4-1,-20,True,False,17
10,node2-5,node4-1,-20,True,False,18
11,node2-5,node4-1,-20,True,False,18
12,node2-5,node4-1,-20,True,False,18
13,node2-5,node4-1,-20,True,False,19
14,node2-5,node4-1,-20,True,False,16
15,node2-5,node4-1,-20,True,False,18
16,node2-5,node4-1,-20,True,False,19
17,node2-5,node4-1,-20,True,False,19
18,node2-5,node4-1,-20,True,False,18
19,node2-5,node4-1,-20,True,False,19
20,node2-5,node4-1,-20,True,False,18
21,node2-5,node4-1,-20,True,False,18
22,node2-5,node4-1,-20,True,False,18
23,node2-5,node4-1,-20,True,False,19
24,node2-5,node4-1,-20,True,False,19
25,node2-5,node4-1,-20,True,False,19
26,node2-5,node4-1,-20,True,False,17
27,node2-5,node4-1,-20,True,False,19
28,node2-5,node4-1,-20,True,False,19
29,node2-5,node4-1,-20,True,False,18
30,node2-5,node4-1,-20,True,False,17
31,node2-5,node4-1,-20,True,False,17
32,node2-5,node4-1,-20,True,False,18
33,node2-5,node4-1,-20,True,False,18
34,node2-5,node4-1,-20,True,False,17
35,node2-5,node4-1,-20,True,False,19
36,node2-5,node4-1,-20,True,False,19
37,node2-5,node4-1,-20,True,False,19
38,node2-5,node4-1,-20,True,False,19
39,node2-5,node4-1,-20,True,False,19
40,node2-5,node4-1,-20,True,False,18
41,node2-5,node4-1,-20,True,False,18
42,node2-5,node4-1,-20,True,False,18
43,node2-5,node4-1,-20,True,False,17
44,node2-5,node4-1,-20,True,False,18
45,node2-5,node4-1,-20,True,False,17
46,node2-5,node4-1,-20,True,False,18
47,node2-5,node4-1,-20,True,False,19
48,node2-5,node4-1,-20,True,False,19
49,node2-5,node4-1,-20,True,False,17
50,node2-5,node4-1,-20,True,False,19
51,node2-5,node4-1,-20,True,False,18
52,node2-5,node4-1,-20,True,False,18
53,node2-5,node4-1,-20,True,False,18
54,node2-5,node4-1,-20,True,False,18
55,node2-5,node4-1,-20,True,False,19
56,node2-5,node4-1,-20,True,False,19
57,node2-5,node4-1,-20,True,False,19
58,node2-5,node4-1,-20,True,False,18
59,node2-5,node4-1,-20,True,False,19
60,node2-5,node4-1,-20,True,False,18
61,node2-5,node4-1,-20,True,False,18
62,node2-5,node4-1,-20,True,False,19
63,node2-5,node4-1,-20,True,False,18
64,node2-5,node4-1,-20,True,False,17
65,node2-5,node4-1,-20,True,False,17
66,node2-5,node4-1,-20,True,False,16
67,node2-5,node4-1,-20,True,False,19
68,node2-5,node4-1,-20,True,False,18
69,node2-5,node4-1,-20,True,False,19
70,node2-5,node4-1,-20,True,False,18
71,node2-5,node4-1,-20,True,False,19
72,node2-5,node4-1,-20,True,False,18
73,node2-5,node4-1,-20,True,False,19
74,node2-5,node4-1,-20,True,False,17
75,node2-5,node4-1,-20,True,False,18
76,node2-5,node4-1,-20,True,False,17
77,node2-5,node4-1,-20,True,False,17
78,node2-5,node4-1,-20,True,False,18
79,node2-5,node4-1,-20,True,False,18
80,node2-5,node4-1,-20,True,False,19
81,node2-5,node4-1,-20,True,False,19
82,node2-5,node4-1,-20,True,False,17
83,node2-5,node4-1,-20,True,False,18
84,node2-5,node4-1,-20,True,False,18
85,node2-5,node4-1,-20,True,False,17
86,node2-5,node4-1,-20,True,False,18
87,node2-5,node4-1,-20,True,False,19
88,node2-5,node4-1,-20,True,False,18
