seq,src,dst,noise,received,error,rssi
1,node5-8,node5-4,-5,True,False,8
2,node5-8,node5-4,-5,True,False,6
3,node5-8,node5-4,-5,True,False,5
4,node5-8,node5-4,-5,True,False,6
5,node5-8,node5-4,-5,True,False,4
6,node5-8,node5-4,-5,True,False,4
7,node5-8,node5-4,-5,True,False,3
8,node5-8,node5-4,-5,True,False,3
9,node5-8,node5-4,-5,True,False,3
10,node5-8,node5-4,-5,True,False,4
11,node5-8,node5-4,-5,True,False,3
12,node5-8,node5-4,-5,True,False,3
13,node5-8,node5-4,-5,True,False,4
14,node5-8,node5-4,-5,True,False,3
15,node5-8,node5-4,-5,True,False,2
16,node5-8,node5-4,-5,True,False,4
17,node5-8,node5-4,-5,False,False,0
18,node5-8,node5-4,-5,True,False,3
19,node5-8,node5-4,-5,True,False,3
20,node5-8,node5-4,-5,True,False,3
21,node5-8,node5-4,-5,True,False,4
22,node5-8,node5-4,-5,True,False,4
23,node5-8,node5-4,-5,True,False,2
24,node5-8,node5-4,-5,True,False,5
25,node5-8,node5-4,-5,True,False,1
26,node5-8,node5-4,-5,True,False,1
27,node5-8,node5-4,-5,True,False,3
28,node5-8,node5-4,-5,True,False,3
29,node5-8,node5-4,-5,True,False,4
30,node5-8,node5-4,-5,True,False,4
31,node5-8,node5-4,-5,True,False,4
32,node5-8,node5-4,-5,True,False,3
33,node5-8,node5-4,-5,True,False,3
34,node5-8,node5-4,-5,True,False,2
35,node5-8,node5-4,-5,True,False,5
36,node5-8,node5-4,-5,True,False,6
37,node5-8,node5-4,-5,True,False,3
38,node5-8,node5-4,-5,True,False,5
39,node5-8,node5-4,-5,True,False,3
40,node5-8,node5-4,-5,True,False,3
41,node5-8,node5-4,-5,True,False,2
42,node5-8,node5-4,-5,True,False,4
43,node5-8,node5-4,-5,True,False,4
44,node5-8,node5-4,-5,True,False,3
45,node5-8,node5-4,-5,True,False,6
46,node5-8,node5-4,-5,True,False,4
47,node5-8,node5-4,-5,True,False,3
48,node5-8,node5-4,-5,True,False,4
49,node5-8,node5-4,-5,True,False,1
50,node5-8,node5-4,-5,True,False,2
51,node5-8,node5-4,-5,True,False,3
52,node5-8,node5-4,-5,True,False,4
53,node5-8,node5-4,-5,True,False,4
54,node5-8,node5-4,-5,False,False,0
55,node5-8,node5-4,-5,False,False,0
56,node5-8,node5-4,-5,True,False,4
57,node5-8,node5-4,-5,True,False,4
58,node5-8,node5-4,-5,True,False,3
59,node5-8,node5-4,-5,True,False,4
60,node5-8,node5-4,-5,True,False,3
61,node5-8,node5-4,-5,True,False,5
62,node5-8,node5-4,-5,True,False,4
63,node5-8,node5-4,-5,True,False,5
64,node5-8,node5-4,-5,True,False,5
65,node5-8,node5-4,-5,True,False,3
66,node5-8,node5-4,-5,True,False,0
67,node5-8,node5-4,-5,True,False,4
68,node5-8,node5-4,-5,True,False,6
69,node5-8,node5-4,-5,True,False,3
70,node5-8,node5-4,-5,True,False,4
71,node5-8,node5-4,-5,True,False,6
72,node5-8,node5-4,-5,True,False,3
73,node5-8,node5-4,-5,True,False,2
74,node5-8,node5-4,-5,True,False,4
75,node5-8,node5-4,-5,True,False,3
76,node5-8,node5-4,-5,True,False,2
77,node5-8,node5-4,-5,True,False,4
78,node5-8,node5-4,-5,True,False,3
79,node5-8,node5-4,-5,True,False,3
80,node5-8,node5-4,-5,True,False,3
81,node5-8,node5-4,-5,True,False,6
82,node5-8,node5-4,-5,True,False,3
83,node5-8,node5-4,-5,True,False,4
84,node5-8,node5-4,-5,True,False,1
85,node5-8,node5-4,-5,True,False,1
86,node5-8,node5-4,-5,True,False,5
87,node5-8,node5-4,-5,True,False,4
88,node5-8,node5-4,-5,True,False,2
89,node5-8,node5-4,-5,True,False,3
90,node5-8,node5-4,-5,True,False,3
91,node5-8,node5-4,-5,True,False,3
92,node5-8,node5-4,-5,True,False,6
93,node5-8,node5-4,-5,True,False,3
94,node5-8,node5-4,-5,True,False,2
95,node5-8,node5-4,-5,False,False,0
96,node5-8,node5-4,-5,True,False,2
97,node5-8,node5-4,-5,True,False,4
98,node5-8,node5-4,-5,True,False,5
99,node5-8,node5-4,-5,True,False,6
100,node5-8,node5-4,-5,True,False,4
101,node5-8,node5-4,-5,True,False,2
102,node5-8,node5-4,-5,True,False,4
103,node5-8,node5-4,-5,True,False,5
104,node5-8,node5-4,-5,True,False,5
105,node5-8,node5-4,-5,True,False,4
106,node5-8,node5-4,-5,True,False,4
107,node5-8,node5-4,-5,True,False,4
108,node5-8,node5-4,-5,True,False,5
109,node5-8,node5-4,-5,True,False,5
110,node5-8,node5-4,-5,True,False,5
111,node5-8,node5-4,-5,True,False,4
112,node5-8,node5-4,-5,True,False,3
113,node5-8,node5-4,-5,True,False,4
114,node5-8,node5-4,-5,True,False,3
115,node5-8,node5-4,-5,True,False,2
116,node5-8,node5-4,-5,True,False,2
117,node5-8,node5-4,-5,True,False,3
118,node5-8,node5-4,-5,True,False,3
119,node5-8,node5-4,-5,True,False,2
120,node5-8,node5-4,-5,True,False,5
121,node5-8,node5-4,-5,True,False,2
122,node5-8,node5-4,-5,True,False,5
123,node5-8,node5-4,-5,True,False,3
124,node5-8,node5-4,-5,True,False,3
125,node5-8,node5-4,-5,True,False,3
126,node5-8,node5-4,-5,True,False,5
127,node5-8,node5-4,-5,True,False,1
128,node5-8,node5-4,-5,True,False,4
129,node5-8,node5-4,-5,True,False,3
130,node5-8,node5-4,-5,True,False,2
131,node5-8,node5-4,-5,True,False,4
132,node5-8,node5-4,-5,True,False,3
133,node5-8,node5-4,-5,True,False,4
134,node5-8,node5-4,-5,True,False,4
135,node5-8,node5-4,-5,True,False,4
136,node5-8,node5-4,-5,True,False,1
137,node5-8,node5-4,-5,True,False,5
138,node5-8,node5-4,-5,True,False,1
139,node5-8,node5-4,-5,True,False,4
140,node5-8,node5-4,-5,True,False,4
141,node5-8,node5-4,-5,True,False,4
142,node5-8,node5-4,-5,True,False,3
