seq,src,dst,noise,received,error,rssi
1,node1-6,node3-8,-5,True,False,6
2,node1-6,node3-8,-5,True,False,5
3,node1-6,node3-8,-5,True,False,1
4,node1-6,node3-8,-5,False,False,0
5,node1-6,node3-8,-5,True,False,3
6,node1-6,node3-8,-5,True,False,1
7,node1-6,node3-8,-5,False,False,0
8,node1-6,node3-8,-5,False,False,0
9,node1-6,node3-8,-5,True,False,2
10,node1-6,node3-8,-5,True,False,2
11,node1-6,node3-8,-5,True,False,4
12,node1-6,node3-8,-5,True,False,3
13,node1-6,node3-8,-5,True,False,4
14,node1-6,node3-8,-5,True,False,2
15,node1-6,node3-8,-5,True,False,1
16,node1-6,node3-8,-5,True,False,2
17,node1-6,node3-8,-5,True,False,4
18,node1-6,node3-8,-5,True,False,1
19,node1-6,node3-8,-5,True,False,3
20,node1-6,node3-8,-5,True,False,1
21,node1-6,node3-8,-5,True,False,0
22,node1-6,node3-8,-5,False,False,0
23,node1-6,node3-8,-5,True,False,0
24,node1-6,node3-8,-5,True,False,2
25,node1-6,node3-8,-5,True,False,3
26,node1-6,node3-8,-5,True,False,1
27,node1-6,node3-8,-5,False,False,0
28,node1-6,node3-8,-5,True,False,0
29,node1-6,node3-8,-5,True,False,3
30,node1-6,node3-8,-5,False,True,0
31,node1-6,node3-8,-5,True,False,4
32,node1-6,node3-8,-5,True,False,1
33,node1-6,node3-8,-5,False,False,0
34,node1-6,node3-8,-5,False,False,0
35,node1-6,node3-8,-5,False,False,0
36,node1-6,node3-8,-5,False,False,0
37,node1-6,node3-8,-5,True,False,2
38,node1-6,node3-8,-5,True,False,2
39,node1-6,node3-8,-5,False,False,0
40,node1-6,node3-8,-5,False,False,0
41,node1-6,node3-8,-5,True,False,2
42,node1-6,node3-8,-5,True,False,3
43,node1-6,node3-8,-5,True,False,0
44,node1-6,node3-8,-5,True,False,3
45,node1-6,node3-8,-5,True,False,2
46,node1-6,node3-8,-5,False,False,0
47,node1-6,node3-8,-5,True,False,2
48,node1-6,node3-8,-5,True,False,4
49,node1-6,node3-8,-5,True,False,3
50,node1-6,node3-8,-5,True,False,2
51,node1-6,node3-8,-5,True,False,3
52,node1-6,node3-8,-5,True,False,3
53,node1-6,node3-8,-5,False,False,0
54,node1-6,node3-8,-5,True,False,2
55,node1-6,node3-8,-5,True,False,0
56,node1-6,node3-8,-5,True,False,2
57,node1-6,node3-8,-5,True,False,0
58,node1-6,node3-8,-5,True,False,3
59,node1-6,node3-8,-5,True,False,2
60,node1-6,node3-8,-5,True,False,1
61,node1-6,node3-8,-5,True,False,3
62,node1-6,node3-8,-5,True,False,3
63,node1-6,node3-8,-5,True,False,0
64,node1-6,node3-8,-5,False,False,0
65,node1-6,node3-8,-5,False,False,0
66,node1-6,node3-8,-5,False,False,0
67,node1-6,node3-8,-5,True,False,1
68,node1-6,node3-8,-5,True,False,4
69,node1-6,node3-8,-5,True,False,2
70,node1-6,node3-8,-5,False,True,0
71,node1-6,node3-8,-5,True,False,1
72,node1-6,node3-8,-5,True,False,4
73,node1-6,node3-8,-5,True,False,4
74,node1-6,node3-8,-5,True,False,4
75,node1-6,node3-8,-5,True,False,4
76,node1-6,node3-8,-5,True,False,2
77,node1-6,node3-8,-5,False,False,0
78,node1-6,node3-8,-5,False,False,0
79,node1-6,node3-8,-5,True,False,4
80,node1-6,node3-8,-5,True,False,1
81,node1-6,node3-8,-5,True,False,1
82,node1-6,node3-8,-5,True,False,2
83,node1-6,node3-8,-5,True,False,2
84,node1-6,node3-8,-5,True,False,2
85,node1-6,node3-8,-5,True,False,3
86,node1-6,node3-8,-5,True,False,2
87,node1-6,node3-8,-5,True,False,1
88,node1-6,node3-8,-5,True,False,3
89,node1-6,node3-8,-5,True,False,3
90,node1-6,node3-8,-5,True,False,4
91,node1-6,node3-8,-5,True,False,2
92,node1-6,node3-8,-5,True,False,1
93,node1-6,node3-8,-5,True,False,2
94,node1-6,node3-8,-5,True,False,3
95,node1-6,node3-8,-5,True,False,1
96,node1-6,node3-8,-5,True,False,2
97,node1-6,node3-8,-5,True,False,0
98,node1-6,node3-8,-5,True,False,3
99,node1-6,node3-8,-5,True,False,2
100,node1-6,node3-8,-5,True,False,2
101,node1-6,node3-8,-5,True,False,3
102,node1-6,node3-8,-5,True,False,2
103,node1-6,node3-8,-5,True,False,2
104,node1-6,node3-8,-5,True,False,1
105,node1-6,node3-8,-5,False,False,0
106,node1-6,node3-8,-5,True,False,2
107,node1-6,node3-8,-5,True,False,2
108,node1-6,node3-8,-5,True,False,2
109,node1-6,node3-8,-5,True,False,2
110,node1-6,node3-8,-5,True,False,1
111,node1-6,node3-8,-5,True,False,1
112,node1-6,node3-8,-5,False,False,0
113,node1-6,node3-8,-5,True,False,3
114,node1-6,node3-8,-5,True,False,2
115,node1-6,node3-8,-5,True,False,3
116,node1-6,node3-8,-5,True,False,3
117,node1-6,node3-8,-5,True,False,1
118,node1-6,node3-8,-5,True,False,1
119,node1-6,node3-8,-5,False,False,0
120,node1-6,node3-8,-5,False,False,0
121,node1-6,node3-8,-5,True,False,1
122,node1-6,node3-8,-5,True,False,4
123,node1-6,node3-8,-5,True,False,1
124,node1-6,node3-8,-5,True,False,4
125,node1-6,node3-8,-5,True,False,2
126,node1-6,node3-8,-5,True,False,3
127,node1-6,node3-8,-5,False,True,0
128,node1-6,node3-8,-5,True,False,2
129,node1-6,node3-8,-5,True,False,4
130,node1-6,node3-8,-5,True,False,3
131,node1-6,node3-8,-5,False,False,0
132,node1-6,node3-8,-5,True,False,1
133,node1-6,node3-8,-5,True,False,1
134,node1-6,node3-8,-5,False,False,0
135,node1-6,node3-8,-5,True,False,3
136,node1-6,node3-8,-5,True,False,2
137,node1-6,node3-8,-5,False,False,0
138,node1-6,node3-8,-5,False,False,0
139,node1-6,node3-8,-5,True,False,2
140,node1-6,node3-8,-5,True,False,0
141,node1-6,node3-8,-5,True,False,1
142,node1-6,node3-8,-5,True,False,1
143,node1-6,node3-8,-5,True,False,2
144,node1-6,node3-8,-5,False,False,0
145,node1-6,node3-8,-5,True,False,3
146,node1-6,node3-8,-5,True,False,1
147,node1-6,node3-8,-5,False,False,0
148,node1-6,node3-8,-5,False,False,0
149,node1-6,node3-8,-5,False,False,0
150,node1-6,node3-8,-5,True,False,4
151,node1-6,node3-8,-5,True,False,3
152,node1-6,node3-8,-5,True,False,2
153,node1-6,node3-8,-5,True,False,3
154,node1-6,node3-8,-5,False,False,0
155,node1-6,node3-8,-5,False,True,0
156,node1-6,node3-8,-5,False,False,0
157,node1-6,node3-8,-5,True,False,3
158,node1-6,node3-8,-5,True,False,2
159,node1-6,node3-8,-5,True,False,2
160,node1-6,node3-8,-5,False,False,0
161,node1-6,node3-8,-5,True,False,1
162,node1-6,node3-8,-5,True,False,3
163,node1-6,node3-8,-5,True,False,1
164,node1-6,node3-8,-5,True,False,3
165,node1-6,node3-8,-5,True,False,2
166,node1-6,node3-8,-5,True,False,2
167,node1-6,node3-8,-5,True,False,3
168,node1-6,node3-8,-5,True,False,0
169,node1-6,node3-8,-5,True,False,3
170,node1-6,node3-8,-5,True,False,3
171,node1-6,node3-8,-5,False,False,0
172,node1-6,node3-8,-5,True,False,4
173,node1-6,node3-8,-5,False,False,0
174,node1-6,node3-8,-5,True,False,1
175,node1-6,node3-8,-5,True,False,2
176,node1-6,node3-8,-5,True,False,3
177,node1-6,node3-8,-5,True,False,2
178,node1-6,node3-8,-5,True,False,4
179,node1-6,node3-8,-5,True,False,1
180,node1-6,node3-8,-5,True,False,4
181,node1-6,node3-8,-5,True,False,3
182,node1-6,node3-8,-5,True,False,1
183,node1-6,node3-8,-5,False,False,0
184,node1-6,node3-8,-5,False,True,0
185,node1-6,node3-8,-5,True,False,2
186,node1-6,node3-8,-5,True,False,3
187,node1-6,node3-8,-5,True,False,5
188,node1-6,node3-8,-5,False,False,0
189,node1-6,node3-8,-5,True,False,3
190,node1-6,node3-8,-5,True,False,3
191,node1-6,node3-8,-5,True,False,3
192,node1-6,node3-8,-5,True,False,0
193,node1-6,node3-8,-5,True,False,2
194,node1-6,node3-8,-5,True,False,3
195,node1-6,node3-8,-5,False,True,0
196,node1-6,node3-8,-5,True,False,0
197,node1-6,node3-8,-5,True,False,1
198,node1-6,node3-8,-5,True,False,3
199,node1-6,node3-8,-5,True,False,3
200,node1-6,node3-8,-5,True,False,3
201,node1-6,node3-8,-5,True,False,2
202,node1-6,node3-8,-5,False,False,0
203,node1-6,node3-8,-5,False,False,0
204,node1-6,node3-8,-5,True,False,2
205,node1-6,node3-8,-5,True,False,3
206,node1-6,node3-8,-5,True,False,2
207,node1-6,node3-8,-5,True,False,2
208,node1-6,node3-8,-5,False,False,0
209,node1-6,node3-8,-5,True,False,1
210,node1-6,node3-8,-5,True,False,1
211,node1-6,node3-8,-5,True,False,3
212,node1-6,node3-8,-5,True,False,2
213,node1-6,node3-8,-5,True,False,1
214,node1-6,node3-8,-5,False,False,0
215,node1-6,node3-8,-5,True,False,2
216,node1-6,node3-8,-5,False,False,0
217,node1-6,node3-8,-5,False,False,0
218,node1-6,node3-8,-5,True,False,3
219,node1-6,node3-8,-5,True,False,2
220,node1-6,node3-8,-5,True,False,1
221,node1-6,node3-8,-5,True,False,1
222,node1-6,node3-8,-5,True,False,2
223,node1-6,node3-8,-5,False,False,0
224,node1-6,node3-8,-5,False,True,0
225,node1-6,node3-8,-5,False,False,0
226,node1-6,node3-8,-5,True,False,2
227,node1-6,node3-8,-5,True,False,4
228,node1-6,node3-8,-5,True,False,1
229,node1-6,node3-8,-5,True,False,4
230,node1-6,node3-8,-5,True,False,2
231,node1-6,node3-8,-5,True,False,2
232,node1-6,node3-8,-5,True,False,4
233,node1-6,node3-8,-5,False,False,0
234,node1-6,node3-8,-5,True,False,1
235,node1-6,node3-8,-5,True,False,4
236,node1-6,node3-8,-5,True,False,0
237,node1-6,node3-8,-5,True,False,0
238,node1-6,node3-8,-5,False,False,0
239,node1-6,node3-8,-5,False,False,0
240,node1-6,node3-8,-5,True,False,2
241,node1-6,node3-8,-5,True,False,3
242,node1-6,node3-8,-5,True,False,5
243,node1-6,node3-8,-5,False,True,0
244,node1-6,node3-8,-5,True,False,1
245,node1-6,node3-8,-5,False,False,0
246,node1-6,node3-8,-5,True,False,2
247,node1-6,node3-8,-5,True,False,3
248,node1-6,node3-8,-5,False,False,0
249,node1-6,node3-8,-5,True,False,1
250,node1-6,node3-8,-5,True,False,3
251,node1-6,node3-8,-5,True,False,1
252,node1-6,node3-8,-5,True,False,1
253,node1-6,node3-8,-5,False,False,0
254,node1-6,node3-8,-5,True,False,4
255,node1-6,node3-8,-5,True,False,3
256,node1-6,node3-8,-5,True,False,1
257,node1-6,node3-8,-5,True,False,2
258,node1-6,node3-8,-5,True,False,5
259,node1-6,node3-8,-5,True,False,3
260,node1-6,node3-8,-5,True,False,0
261,node1-6,node3-8,-5,False,False,0
262,node1-6,node3-8,-5,False,False,0
263,node1-6,node3-8,-5,False,True,0
264,node1-6,node3-8,-5,True,False,1
265,node1-6,node3-8,-5,True,False,1
266,node1-6,node3-8,-5,True,False,2
267,node1-6,node3-8,-5,True,False,2
268,node1-6,node3-8,-5,True,False,1
269,node1-6,node3-8,-5,False,False,0
270,node1-6,node3-8,-5,True,False,3
271,node1-6,node3-8,-5,True,False,1
272,node1-6,node3-8,-5,True,False,2
273,node1-6,node3-8,-5,True,False,3
274,node1-6,node3-8,-5,True,False,3
275,node1-6,node3-8,-5,False,False,0
276,node1-6,node3-8,-5,True,False,3
277,node1-6,node3-8,-5,True,False,3
278,node1-6,node3-8,-5,False,True,0
279,node1-6,node3-8,-5,True,False,4
280,node1-6,node3-8,-5,True,False,2
281,node1-6,node3-8,-5,True,False,2
282,node1-6,node3-8,-5,False,False,0
283,node1-6,node3-8,-5,False,False,0
284,node1-6,node3-8,-5,False,False,0
285,node1-6,node3-8,-5,True,False,2
286,node1-6,node3-8,-5,True,False,1
287,node1-6,node3-8,-5,True,False,4
288,node1-6,node3-8,-5,True,False,3
289,node1-6,node3-8,-5,True,False,3
290,node1-6,node3-8,-5,True,False,0
291,node1-6,node3-8,-5,True,False,2
292,node1-6,node3-8,-5,False,False,0
293,node1-6,node3-8,-5,False,False,0
294,node1-6,node3-8,-5,False,False,0
295,node1-6,node3-8,-5,False,False,0
296,node1-6,node3-8,-5,True,False,3
297,node1-6,node3-8,-5,True,False,2
298,node1-6,node3-8,-5,True,False,5
299,node1-6,node3-8,-5,False,False,0
300,node1-6,node3-8,-5,False,False,0
