seq,src,dst,noise,received,error,rssi
1,node5-4,node4-5,0,True,False,14
2,node5-4,node4-5,0,True,False,15
3,node5-4,node4-5,0,True,False,12
4,node5-4,node4-5,0,True,False,10
5,node5-4,node4-5,0,True,False,11
6,node5-4,node4-5,0,True,False,11
7,node5-4,node4-5,0,True,False,11
8,node5-4,node4-5,0,True,False,12
9,node5-4,node4-5,0,True,False,10
10,node5-4,node4-5,0,True,False,11
11,node5-4,node4-5,0,True,False,12
12,node5-4,node4-5,0,True,False,10
13,node5-4,node4-5,0,True,False,11
14,node5-4,node4-5,0,True,False,12
15,node5-4,node4-5,0,True,False,10
16,node5-4,node4-5,0,True,False,12
17,node5-4,node4-5,0,True,False,9
18,node5-4,node4-5,0,True,False,12
19,node5-4,node4-5,0,True,False,12
20,node5-4,node4-5,0,True,False,11
21,node5-4,node4-5,0,True,False,10
22,node5-4,node4-5,0,True,False,11
23,node5-4,node4-5,0,True,False,8
24,node5-4,node4-5,0,True,False,12
25,node5-4,node4-5,0,True,False,10
26,node5-4,node4-5,0,True,False,11
27,node5-4,node4-5,0,True,False,12
28,node5-4,node4-5,0,True,False,12
29,node5-4,node4-5,0,True,False,11
30,node5-4,node4-5,0,True,False,10
31,node5-4,node4-5,0,True,False,11
32,node5-4,node4-5,0,True,False,12
33,node5-4,node4-5,0,True,False,11
34,node5-4,node4-5,0,True,False,9
35,node5-4,node4-5,0,True,False,10
36,node5-4,node4-5,0,True,False,13
37,node5-4,node4-5,0,True,False,10
38,node5-4,node4-5,0,True,False,9
39,node5-4,node4-5,0,True,False,12
40,node5-4,node4-5,0,True,False,10
41,node5-4,node4-5,0,True,False,11
42,node5-4,node4-5,0,True,False,10
43,node5-4,node4-5,0,True,False,12
44,node5-4,node4-5,0,True,False,10
45,node5-4,node4-5,0,True,False,12
46,node5-4,node4-5,0,True,False,12
47,node5-4,node4-5,0,True,False,8
48,node5-4,node4-5,0,True,False,10
49,node5-4,node4-5,0,True,False,13
50,node5-4,node4-5,0,True,False,11
51,node5-4,node4-5,0,True,False,10
52,node5-4,node4-5,0,True,False,11
53,node5-4,node4-5,0,True,False,10
54,node5-4,node4-5,0,True,False,11
55,node5-4,node4-5,0,True,False,10
56,node5-4,node4-5,0,True,False,10
57,node5-4,node4-5,0,True,False,12
58,node5-4,node4-5,0,True,False,9
59,node5-4,node4-5,0,True,False,11
60,node5-4,node4-5,0,True,False,11
61,node5-4,node4-5,0,True,False,11
62,node5-4,node4-5,0,True,False,12
63,node5-4,node4-5,0,True,False,11
64,node5-4,node4-5,0,True,False,10
65,node5-4,node4-5,0,True,False,11
66,node5-4,node4-5,0,True,False,11
67,node5-4,node4-5,0,True,False,10
68,node5-4,node4-5,0,True,False,11
69,node5-4,node4-5,0,True,False,11
70,node5-4,node4-5,0,True,False,11
71,node5-4,node4-5,0,True,False,12
72,node5-4,node4-5,0,True,False,12
73,node5-4,node4-5,0,True,False,10
74,node5-4,node4-5,0,True,False,12
75,node5-4,node4-5,0,True,False,11
76,node5-4,node4-5,0,True,False,10
77,node5-4,node4-5,0,True,False,10
78,node5-4,node4-5,0,True,False,13
79,node5-4,node4-5,0,True,False,10
80,node5-4,node4-5,0,True,False,12
81,node5-4,node4-5,0,True,False,12
82,node5-4,node4-5,0,True,False,12
83,node5-4,node4-5,0,True,False,11
84,node5-4,node4-5,0,True,False,12
85,node5-4,node4-5,0,True,False,11
86,node5-4,node4-5,0,True,False,11
87,node5-4,node4-5,0,True,False,11
88,node5-4,node4-5,0,True,False,11
89,node5-4,node4-5,0,True,False,12
90,node5-4,node4-5,0,True,False,10
91,node5-4,node4-5,0,True,False,12
92,node5-4,node4-5,0,True,False,10
93,node5-4,node4-5,0,True,False,11
94,node5-4,node4-5,0,True,False,11
95,node5-4,node4-5,0,True,False,10
96,node5-4,node4-5,0,True,False,12
97,node5-4,node4-5,0,True,False,12
98,node5-4,node4-5,0,True,False,9
99,node5-4,node4-5,0,True,False,11
100,node5-4,node4-5,0,True,False,11
101,node5-4,node4-5,0,True,False,11
102,node5-4,node4-5,0,True,False,11
103,node5-4,node4-5,0,True,False,9
104,node5-4,node4-5,0,True,False,10
105,node5-4,node4-5,0,True,False,11
106,node5-4,node4-5,0,True,False,10
107,node5-4,node4-5,0,True,False,11
108,node5-4,node4-5,0,True,False,11
109,node5-4,node4-5,0,True,False,12
110,node5-4,node4-5,0,True,False,10
111,node5-4,node4-5,0,True,False,10
112,node5-4,node4-5,0,True,False,10
113,node5-4,node4-5,0,True,False,11
114,node5-4,node4-5,0,True,False,11
115,node5-4,node4-5,0,True,False,9
116,node5-4,node4-5,0,True,False,12
117,node5-4,node4-5,0,True,False,9
118,node5-4,node4-5,0,True,False,11
119,node5-4,node4-5,0,True,False,12
120,node5-4,node4-5,0,True,False,12
121,node5-4,node4-5,0,True,False,9
122,node5-4,node4-5,0,True,False,10
123,node5-4,node4-5,0,True,False,10
124,node5-4,node4-5,0,True,False,10
125,node5-4,node4-5,0,True,False,12
126,node5-4,node4-5,0,True,False,10
127,node5-4,node4-5,0,True,False,11
128,node5-4,node4-5,0,True,False,11
129,node5-4,node4-5,0,True,False,11
130,node5-4,node4-5,0,True,False,12
131,node5-4,node4-5,0,True,False,10
132,node5-4,node4-5,0,True,False,11
133,node5-4,node4-5,0,True,False,12
134,node5-4,node4-5,0,True,False,13
135,node5-4,node4-5,0,True,False,11
136,node5-4,node4-5,0,True,False,12
137,node5-4,node4-5,0,True,False,10
138,node5-4,node4-5,0,True,False,12
139,node5-4,node4-5,0,True,False,12
140,node5-4,node4-5,0,True,False,11
141,node5-4,node4-5,0,True,False,12
142,node5-4,node4-5,0,True,False,12
143,node5-4,node4-5,0,True,False,11
144,node5-4,node4-5,0,True,False,11
