seq,src,dst,noise,received,error,rssi
1,node8-5,node7-4,-20,True,False,24
2,node8-5,node7-4,-20,True,False,22
3,node8-5,node7-4,-20,True,False,20
4,node8-5,node7-4,-20,True,False,21
5,node8-5,node7-4,-20,True,False,21
6,node8-5,node7-4,-20,True,False,21
7,node8-5,node7-4,-20,True,False,21
8,node8-5,node7-4,-20,True,False,21
9,node8-5,node7-4,-20,True,False,21
10,node8-5,node7-4,-20,True,False,21
11,node8-5,node7-4,-20,True,False,22
12,node8-5,node7-4,-20,True,False,22
13,node8-5,node7-4,-20,True,False,22
14,node8-5,node7-4,-20,True,False,21
15,node8-5,node7-4,-20,True,False,21
16,node8-5,node7-4,-20,True,False,21
17,node8-5,node7-4,-20,True,False,21
18,node8-5,node7-4,-20,True,False,21
19,node8-5,node7-4,-20,True,False,21
20,node8-5,node7-4,-20,True,False,20
21,node8-5,node7-4,-20,True,False,21
22,node8-5,node7-4,-20,True,False,21
23,node8-5,node7-4,-20,True,False,21
24,node8-5,node7-4,-20,True,False,22
25,node8-5,node7-4,-20,True,False,22
26,node8-5,node7-4,-20,True,False,21
27,node8-5,node7-4,-20,True,False,22
28,node8-5,node7-4,-20,True,False,21
29,node8-5,node7-4,-20,True,False,21
30,node8-5,node7-4,-20,True,False,22
31,node8-5,node7-4,-20,True,False,20
32,node8-5,node7-4,-20,True,False,21
33,node8-5,node7-4,-20,True,False,21
34,node8-5,node7-4,-20,True,False,22
35,node8-5,node7-4,-20,True,False,21
36,node8-5,node7-4,-20,True,False,21
37,node8-5,node7-4,-20,True,False,23
38,node8-5,node7-4,-20,True,False,23
39,node8-5,node7-4,-20,True,False,21
40,node8-5,node7-4,-20,True,False,21
41,node8-5,node7-4,-20,True,False,22
42,node8-5,node7-4,-20,True,False,22
43,node8-5,node7-4,-20,True,False,21
44,node8-5,node7-4,-20,True,False,22
45,node8-5,node7-4,-20,True,False,21
46,node8-5,node7-4,-20,True,False,20
47,node8-5,node7-4,-20,True,False,23
48,node8-5,node7-4,-20,True,False,21
49,node8-5,node7-4,-20,True,False,21
50,node8-5,node7-4,-20,True,False,21
51,node8-5,node7-4,-20,True,False,22
52,node8-5,node7-4,-20,True,False,22
53,node8-5,node7-4,-20,True,False,20
54,node8-5,node7-4,-20,True,False,22
55,node8-5,node7-4,-20,True,False,21
56,node8-5,node7-4,-20,True,False,21
57,node8-5,node7-4,-20,True,False,20
58,node8-5,node7-4,-20,True,False,21
59,node8-5,node7-4,-20,True,False,21
60,node8-5,node7-4,-20,True,False,21
61,node8-5,node7-4,-20,True,False,21
62,node8-5,node7-4,-20,True,False,21
63,node8-5,node7-4,-20,True,False,21
64,node8-5,node7-4,-20,True,False,21
65,node8-5,node7-4,-20,True,False,21
66,node8-5,node7-4,-20,True,False,22
67,node8-5,node7-4,-20,True,False,21
68,node8-5,node7-4,-20,True,False,21
69,node8-5,node7-4,-20,True,False,21
70,node8-5,node7-4,-20,True,False,20
71,node8-5,node7-4,-20,True,False,21
72,node8-5,node7-4,-20,True,False,21
73,node8-5,node7-4,-20,True,False,20
74,node8-5,node7-4,-20,True,False,20
75,node8-5,node7-4,-20,True,False,21
76,node8-5,node7-4,-20,True,False,21
77,node8-5,node7-4,-20,True,False,22
78,node8-5,node7-4,-20,True,False,20
79,node8-5,node7-4,-20,True,False,21
80,node8-5,node7-4,-20,True,False,21
81,node8-5,node7-4,-20,True,False,21
82,node8-5,node7-4,-20,True,False,21
83,node8-5,node7-4,-20,True,False,22
84,node8-5,node7-4,-20,True,False,21
85,node8-5,node7-4,-20,True,False,22
86,node8-5,node7-4,-20,True,False,20
87,node8-5,node7-4,-20,True,False,20
88,node8-5,node7-4,-20,True,False,21
89,node8-5,node7-4,-20,True,False,22
90,node8-5,node7-4,-20,True,False,21
91,node8-5,node7-4,-20,True,False,21
92,node8-5,node7-4,-20,True,False,21
93,node8-5,node7-4,-20,True,False,21
94,node8-5,node7-4,-20,True,False,22
95,node8-5,node7-4,-20,True,False,21
96,node8-5,node7-4,-20,True,False,22
97,node8-5,node7-4,-20,True,False,21
98,node8-5,node7-4,-20,True,False,21
99,node8-5,node7-4,-20,True,False,21
100,node8-5,node7-4,-20,True,False,22
101,node8-5,node7-4,-20,True,False,22
102,node8-5,node7-4,-20,True,False,20
103,node8-5,node7-4,-20,True,False,21
104,node8-5,node7-4,-20,True,False,21
105,node8-5,node7-4,-20,True,False,21
106,node8-5,node7-4,-20,True,False,21
107,node8-5,node7-4,-20,True,False,20
108,node8-5,node7-4,-20,True,False,21
109,node8-5,node7-4,-20,True,False,21
110,node8-5,node7-4,-20,True,False,22
111,node8-5,node7-4,-20,True,False,21
112,node8-5,node7-4,-20,True,False,21
113,node8-5,node7-4,-20,True,False,20
