seq,src,dst,noise,received,error,rssi
1,node1-6,node2-1,-10,True,False,4
2,node1-6,node2-1,-10,True,False,4
3,node1-6,node2-1,-10,False,False,0
4,node1-6,node2-1,-10,True,False,1
5,node1-6,node2-1,-10,True,False,1
6,node1-6,node2-1,-10,False,False,0
7,node1-6,node2-1,-10,True,False,2
8,node1-6,node2-1,-10,True,False,3
9,node1-6,node2-1,-10,True,False,1
10,node1-6,node2-1,-10,True,False,2
11,node1-6,node2-1,-10,False,False,0
12,node1-6,node2-1,-10,True,False,1
13,node1-6,node2-1,-10,True,False,0
14,node1-6,node2-1,-10,False,False,0
15,node1-6,node2-1,-10,True,False,1
16,node1-6,node2-1,-10,True,False,3
17,node1-6,node2-1,-10,True,False,1
18,node1-6,node2-1,-10,True,False,3
19,node1-6,node2-1,-10,True,False,1
20,node1-6,node2-1,-10,True,False,2
21,node1-6,node2-1,-10,True,False,2
22,node1-6,node2-1,-10,True,False,1
23,node1-6,node2-1,-10,True,False,1
24,node1-6,node2-1,-10,True,False,0
25,node1-6,node2-1,-10,True,False,2
26,node1-6,node2-1,-10,True,False,3
27,node1-6,node2-1,-10,False,False,0
28,node1-6,node2-1,-10,False,False,0
29,node1-6,node2-1,-10,True,False,1
30,node1-6,node2-1,-10,True,False,2
31,node1-6,node2-1,-10,False,True,0
32,node1-6,node2-1,-10,False,False,0
33,node1-6,node2-1,-10,False,False,0
34,node1-6,node2-1,-10,True,False,1
35,node1-6,node2-1,-10,False,False,0
36,node1-6,node2-1,-10,True,False,0
37,node1-6,node2-1,-10,True,False,3
38,node1-6,node2-1,-10,False,False,0
39,node1-6,node2-1,-10,True,False,2
40,node1-6,node2-1,-10,True,False,2
41,node1-6,node2-1,-10,True,False,1
42,node1-6,node2-1,-10,True,False,3
43,node1-6,node2-1,-10,False,False,0
44,node1-6,node2-1,-10,True,False,1
45,node1-6,node2-1,-10,True,False,3
46,node1-6,node2-1,-10,True,False,2
47,node1-6,node2-1,-10,True,False,2
48,node1-6,node2-1,-10,True,False,3
49,node1-6,node2-1,-10,True,False,3
50,node1-6,node2-1,-10,True,False,1
51,node1-6,node2-1,-10,False,False,0
52,node1-6,node2-1,-10,True,False,0
53,node1-6,node2-1,-10,True,False,1
54,node1-6,node2-1,-10,True,False,1
55,node1-6,node2-1,-10,True,False,1
56,node1-6,node2-1,-10,True,False,1
57,node1-6,node2-1,-10,True,False,0
58,node1-6,node2-1,-10,True,False,1
59,node1-6,node2-1,-10,False,True,0
60,node1-6,node2-1,-10,True,False,2
61,node1-6,node2-1,-10,True,False,2
62,node1-6,node2-1,-10,True,False,0
63,node1-6,node2-1,-10,False,False,0
64,node1-6,node2-1,-10,True,False,1
65,node1-6,node2-1,-10,True,False,1
66,node1-6,node2-1,-10,True,False,1
67,node1-6,node2-1,-10,False,True,0
68,node1-6,node2-1,-10,True,False,1
69,node1-6,node2-1,-10,True,False,1
70,node1-6,node2-1,-10,False,False,0
71,node1-6,node2-1,-10,True,False,0
72,node1-6,node2-1,-10,False,False,0
