seq,src,dst,noise,received,error,rssi
1,node4-3,node8-1,-20,True,False,19
2,node4-3,node8-1,-20,True,False,18
3,node4-3,node8-1,-20,True,False,14
4,node4-3,node8-1,-20,True,False,12
5,node4-3,node8-1,-20,True,False,12
6,node4-3,node8-1,-20,True,False,13
7,node4-3,node8-1,-20,True,False,12
8,node4-3,node8-1,-20,True,False,11
9,node4-3,node8-1,-20,True,False,13
10,node4-3,node8-1,-20,True,False,12
11,node4-3,node8-1,-20,True,False,12
12,node4-3,node8-1,-20,True,False,13
13,node4-3,node8-1,-20,True,False,12
14,node4-3,node8-1,-20,True,False,12
15,node4-3,node8-1,-20,True,False,12
16,node4-3,node8-1,-20,True,False,12
17,node4-3,node8-1,-20,True,False,13
18,node4-3,node8-1,-20,True,False,11
19,node4-3,node8-1,-20,True,False,12
20,node4-3,node8-1,-20,True,False,11
21,node4-3,node8-1,-20,True,False,12
22,node4-3,node8-1,-20,True,False,13
23,node4-3,node8-1,-20,True,False,12
24,node4-3,node8-1,-20,True,False,12
25,node4-3,node8-1,-20,True,False,12
26,node4-3,node8-1,-20,True,False,12
27,node4-3,node8-1,-20,True,False,11
28,node4-3,node8-1,-20,True,False,11
29,node4-3,node8-1,-20,True,False,13
30,node4-3,node8-1,-20,True,False,14
31,node4-3,node8-1,-20,True,False,11
32,node4-3,node8-1,-20,True,False,11
33,node4-3,node8-1,-20,True,False,12
34,node4-3,node8-1,-20,True,False,13
35,node4-3,node8-1,-20,True,False,13
36,node4-3,node8-1,-20,True,False,11
37,node4-3,node8-1,-20,True,False,12
38,node4-3,node8-1,-20,True,False,13
39,node4-3,node8-1,-20,True,False,12
40,node4-3,node8-1,-20,True,False,13
41,node4-3,node8-1,-20,True,False,13
42,node4-3,node8-1,-20,True,False,12
43,node4-3,node8-1,-20,True,False,11
44,node4-3,node8-1,-20,True,False,12
45,node4-3,node8-1,-20,True,False,11
46,node4-3,node8-1,-20,True,False,12
47,node4-3,node8-1,-20,True,False,12
48,node4-3,node8-1,-20,True,False,13
49,node4-3,node8-1,-20,True,False,12
50,node4-3,node8-1,-20,True,False,12
51,node4-3,node8-1,-20,True,False,12
52,node4-3,node8-1,-20,True,False,11
53,node4-3,node8-1,-20,True,False,13
54,node4-3,node8-1,-20,True,False,13
55,node4-3,node8-1,-20,True,False,11
56,node4-3,node8-1,-20,True,False,12
57,node4-3,node8-1,-20,True,False,12
58,node4-3,node8-1,-20,True,False,12
59,node4-3,node8-1,-20,True,False,12
60,node4-3,node8-1,-20,True,False,12
61,node4-3,node8-1,-20,True,False,12
62,node4-3,node8-1,-20,True,False,11
63,node4-3,node8-1,-20,True,False,12
64,node4-3,node8-1,-20,True,False,12
65,node4-3,node8-1,-20,True,False,12
66,node4-3,node8-1,-20,True,False,12
67,node4-3,node8-1,-20,True,False,11
68,node4-3,node8-1,-20,True,False,11
69,node4-3,node8-1,-20,True,False,11
70,node4-3,node8-1,-20,True,False,12
71,node4-3,node8-1,-20,True,False,11
72,node4-3,node8-1,-20,True,False,13
73,node4-3,node8-1,-20,True,False,13
74,node4-3,node8-1,-20,True,False,12
75,node4-3,node8-1,-20,True,False,12
76,node4-3,node8-1,-20,True,False,13
77,node4-3,node8-1,-20,True,False,12
