seq,src,dst,noise,received,error,rssi
1,node1-8,node6-3,-20,True,False,20
2,node1-8,node6-3,-20,True,False,20
3,node1-8,node6-3,-20,True,False,18
4,node1-8,node6-3,-20,True,False,14
5,node1-8,node6-3,-20,True,False,14
6,node1-8,node6-3,-20,True,False,13
7,node1-8,node6-3,-20,True,False,14
8,node1-8,node6-3,-20,True,False,14
9,node1-8,node6-3,-20,True,False,14
10,node1-8,node6-3,-20,True,False,14
11,node1-8,node6-3,-20,True,False,13
12,node1-8,node6-3,-20,True,False,14
13,node1-8,node6-3,-20,True,False,13
14,node1-8,node6-3,-20,True,False,14
15,node1-8,node6-3,-20,True,False,14
16,node1-8,node6-3,-20,True,False,14
17,node1-8,node6-3,-20,True,False,14
18,node1-8,node6-3,-20,True,False,13
19,node1-8,node6-3,-20,True,False,14
20,node1-8,node6-3,-20,True,False,13
21,node1-8,node6-3,-20,True,False,13
22,node1-8,node6-3,-20,True,False,13
23,node1-8,node6-3,-20,True,False,14
24,node1-8,node6-3,-20,True,False,13
25,node1-8,node6-3,-20,True,False,13
26,node1-8,node6-3,-20,True,False,14
27,node1-8,node6-3,-20,True,False,15
28,node1-8,node6-3,-20,True,False,13
29,node1-8,node6-3,-20,True,False,14
30,node1-8,node6-3,-20,True,False,14
31,node1-8,node6-3,-20,True,False,14
32,node1-8,node6-3,-20,True,False,14
33,node1-8,node6-3,-20,True,False,14
34,node1-8,node6-3,-20,True,False,13
35,node1-8,node6-3,-20,True,False,14
36,node1-8,node6-3,-20,True,False,14
37,node1-8,node6-3,-20,True,False,13
38,node1-8,node6-3,-20,True,False,13
39,node1-8,node6-3,-20,True,False,13
40,node1-8,node6-3,-20,True,False,14
41,node1-8,node6-3,-20,True,False,13
42,node1-8,node6-3,-20,True,False,14
43,node1-8,node6-3,-20,True,False,15
44,node1-8,node6-3,-20,True,False,14
45,node1-8,node6-3,-20,True,False,13
46,node1-8,node6-3,-20,True,False,13
47,node1-8,node6-3,-20,True,False,15
48,node1-8,node6-3,-20,True,False,14
49,node1-8,node6-3,-20,True,False,13
50,node1-8,node6-3,-20,True,False,13
51,node1-8,node6-3,-20,True,False,13
52,node1-8,node6-3,-20,True,False,13
53,node1-8,node6-3,-20,True,False,13
54,node1-8,node6-3,-20,True,False,12
55,node1-8,node6-3,-20,True,False,13
56,node1-8,node6-3,-20,True,False,13
57,node1-8,node6-3,-20,True,False,14
58,node1-8,node6-3,-20,True,False,14
59,node1-8,node6-3,-20,True,False,14
60,node1-8,node6-3,-20,True,False,14
61,node1-8,node6-3,-20,True,False,14
62,node1-8,node6-3,-20,True,False,12
63,node1-8,node6-3,-20,True,False,14
64,node1-8,node6-3,-20,True,False,14
65,node1-8,node6-3,-20,True,False,13
66,node1-8,node6-3,-20,True,False,13
67,node1-8,node6-3,-20,True,False,14
68,node1-8,node6-3,-20,True,False,14
69,node1-8,node6-3,-20,True,False,13
70,node1-8,node6-3,-20,True,False,13
71,node1-8,node6-3,-20,True,False,14
72,node1-8,node6-3,-20,True,False,14
73,node1-8,node6-3,-20,True,False,14
74,node1-8,node6-3,-20,True,False,13
75,node1-8,node6-3,-20,True,False,14
76,node1-8,node6-3,-20,True,False,13
77,node1-8,node6-3,-20,True,False,13
78,node1-8,node6-3,-20,True,False,14
79,node1-8,node6-3,-20,True,False,15
80,node1-8,node6-3,-20,True,False,14
81,node1-8,node6-3,-20,True,False,14
82,node1-8,node6-3,-20,True,False,14
83,node1-8,node6-3,-20,True,False,13
84,node1-8,node6-3,-20,True,False,14
85,node1-8,node6-3,-20,True,False,14
86,node1-8,node6-3,-20,True,False,16
87,node1-8,node6-3,-20,True,False,14
88,node1-8,node6-3,-20,True,False,15
89,node1-8,node6-3,-20,True,False,14
90,node1-8,node6-3,-20,True,False,14
91,node1-8,node6-3,-20,True,False,15
92,node1-8,node6-3,-20,True,False,14
93,node1-8,node6-3,-20,True,False,15
94,node1-8,node6-3,-20,True,False,13
95,node1-8,node6-3,-20,True,False,13
96,node1-8,node6-3,-20,True,False,14
97,node1-8,node6-3,-20,True,False,13
98,node1-8,node6-3,-20,True,False,14
99,node1-8,node6-3,-20,True,False,15
100,node1-8,node6-3,-20,True,False,15
101,node1-8,node6-3,-20,True,False,15
102,node1-8,node6-3,-20,True,False,14
103,node1-8,node6-3,-20,True,False,14
104,node1-8,node6-3,-20,True,False,15
105,node1-8,node6-3,-20,True,False,14
106,node1-8,node6-3,-20,True,False,14
107,node1-8,node6-3,-20,True,False,14
108,node1-8,node6-3,-20,True,False,15
109,node1-8,node6-3,-20,True,False,14
110,node1-8,node6-3,-20,True,False,14
111,node1-8,node6-3,-20,True,False,14
112,node1-8,node6-3,-20,True,False,14
113,node1-8,node6-3,-20,True,False,14
114,node1-8,node6-3,-20,True,False,14
115,node1-8,node6-3,-20,True,False,13
116,node1-8,node6-3,-20,True,False,15
117,node1-8,node6-3,-20,True,False,15
118,node1-8,node6-3,-20,True,False,14
119,node1-8,node6-3,-20,True,False,15
120,node1-8,node6-3,-20,True,False,14
121,node1-8,node6-3,-20,True,False,14
122,node1-8,node6-3,-20,True,False,14
123,node1-8,node6-3,-20,True,False,14
124,node1-8,node6-3,-20,True,False,14
125,node1-8,node6-3,-20,True,False,14
126,node1-8,node6-3,-20,True,False,14
127,node1-8,node6-3,-20,True,False,14
128,node1-8,node6-3,-20,True,False,14
129,node1-8,node6-3,-20,True,False,14
130,node1-8,node6-3,-20,True,False,14
131,node1-8,node6-3,-20,True,False,14
132,node1-8,node6-3,-20,True,False,14
133,node1-8,node6-3,-20,True,False,14
134,node1-8,node6-3,-20,True,False,14
135,node1-8,node6-3,-20,True,False,14
136,node1-8,node6-3,-20,True,False,14
137,node1-8,node6-3,-20,True,False,15
138,node1-8,node6-3,-20,True,False,15
