seq,src,dst,noise,received,error,rssi
1,node3-2,node3-6,-20,True,False,22
2,node3-2,node3-6,-20,True,False,21
3,node3-2,node3-6,-20,True,False,18
4,node3-2,node3-6,-20,True,False,17
5,node3-2,node3-6,-20,True,False,16
6,node3-2,node3-6,-20,True,False,15
7,node3-2,node3-6,-20,True,False,15
8,node3-2,node3-6,-20,True,False,14
9,node3-2,node3-6,-20,True,False,15
10,node3-2,node3-6,-20,True,False,14
11,node3-2,node3-6,-20,True,False,14
12,node3-2,node3-6,-20,True,False,12
13,node3-2,node3-6,-20,True,False,15
14,node3-2,node3-6,-20,True,False,15
15,node3-2,node3-6,-20,True,False,14
16,node3-2,node3-6,-20,True,False,13
17,node3-2,node3-6,-20,True,False,15
18,node3-2,node3-6,-20,True,False,14
19,node3-2,node3-6,-20,True,False,14
20,node3-2,node3-6,-20,True,False,15
21,node3-2,node3-6,-20,True,False,14
22,node3-2,node3-6,-20,True,False,15
23,node3-2,node3-6,-20,True,False,15
24,node3-2,node3-6,-20,True,False,14
25,node3-2,node3-6,-20,True,False,15
26,node3-2,node3-6,-20,True,False,14
27,node3-2,node3-6,-20,True,False,14
28,node3-2,node3-6,-20,True,False,15
29,node3-2,node3-6,-20,True,False,13
30,node3-2,node3-6,-20,True,False,14
31,node3-2,node3-6,-20,True,False,13
32,node3-2,node3-6,-20,True,False,14
33,node3-2,node3-6,-20,True,False,14
34,node3-2,node3-6,-20,True,False,13
35,node3-2,node3-6,-20,True,False,13
36,node3-2,node3-6,-20,True,False,14
37,node3-2,node3-6,-20,True,False,14
38,node3-2,node3-6,-20,True,False,14
39,node3-2,node3-6,-20,True,False,13
40,node3-2,node3-6,-20,True,False,13
41,node3-2,node3-6,-20,True,False,12
42,node3-2,node3-6,-20,True,False,14
43,node3-2,node3-6,-20,True,False,14
44,node3-2,node3-6,-20,True,False,14
45,node3-2,node3-6,-20,True,False,15
46,node3-2,node3-6,-20,True,False,15
47,node3-2,node3-6,-20,True,False,15
