seq,src,dst,noise,received,error,rssi
1,node5-8,node7-6,0,True,False,6
2,node5-8,node7-6,0,True,False,7
3,node5-8,node7-6,0,True,False,5
4,node5-8,node7-6,0,False,False,0
5,node5-8,node7-6,0,True,False,5
6,node5-8,node7-6,0,True,False,4
7,node5-8,node7-6,0,True,False,6
8,node5-8,node7-6,0,False,False,0
9,node5-8,node7-6,0,False,False,0
10,node5-8,node7-6,0,True,False,2
11,node5-8,node7-6,0,False,False,0
12,node5-8,node7-6,0,False,False,0
13,node5-8,node7-6,0,True,False,2
14,node5-8,node7-6,0,True,False,5
15,node5-8,node7-6,0,False,False,0
16,node5-8,node7-6,0,False,False,0
17,node5-8,node7-6,0,True,False,4
18,node5-8,node7-6,0,True,False,5
19,node5-8,node7-6,0,False,False,0
20,node5-8,node7-6,0,False,False,0
21,node5-8,node7-6,0,True,False,4
22,node5-8,node7-6,0,True,False,3
23,node5-8,node7-6,0,False,False,0
24,node5-8,node7-6,0,False,False,0
25,node5-8,node7-6,0,True,False,6
26,node5-8,node7-6,0,True,False,3
27,node5-8,node7-6,0,True,False,4
28,node5-8,node7-6,0,False,False,0
29,node5-8,node7-6,0,True,False,5
30,node5-8,node7-6,0,True,False,4
31,node5-8,node7-6,0,False,False,0
32,node5-8,node7-6,0,True,False,5
33,node5-8,node7-6,0,True,False,3
34,node5-8,node7-6,0,False,False,0
35,node5-8,node7-6,0,True,False,3
36,node5-8,node7-6,0,True,False,5
37,node5-8,node7-6,0,False,False,0
38,node5-8,node7-6,0,False,False,0
39,node5-8,node7-6,0,True,False,3
40,node5-8,node7-6,0,False,False,0
41,node5-8,node7-6,0,False,False,0
42,node5-8,node7-6,0,True,False,2
43,node5-8,node7-6,0,False,False,0
44,node5-8,node7-6,0,False,False,0
45,node5-8,node7-6,0,False,False,0
46,node5-8,node7-6,0,True,False,6
47,node5-8,node7-6,0,False,False,0
48,node5-8,node7-6,0,True,False,6
49,node5-8,node7-6,0,True,False,4
50,node5-8,node7-6,0,False,False,0
51,node5-8,node7-6,0,True,False,4
52,node5-8,node7-6,0,False,False,0
53,node5-8,node7-6,0,False,False,0
54,node5-8,node7-6,0,True,False,3
55,node5-8,node7-6,0,True,False,3
56,node5-8,node7-6,0,True,False,3
57,node5-8,node7-6,0,True,False,3
58,node5-8,node7-6,0,False,False,0
59,node5-8,node7-6,0,True,False,4
60,node5-8,node7-6,0,False,False,0
61,node5-8,node7-6,0,False,False,0
62,node5-8,node7-6,0,False,False,0
63,node5-8,node7-6,0,True,False,2
64,node5-8,node7-6,0,True,False,5
65,node5-8,node7-6,0,True,False,5
66,node5-8,node7-6,0,True,False,5
67,node5-8,node7-6,0,True,False,5
68,node5-8,node7-6,0,False,False,0
69,node5-8,node7-6,0,False,False,0
70,node5-8,node7-6,0,True,False,4
71,node5-8,node7-6,0,True,False,3
72,node5-8,node7-6,0,True,False,3
73,node5-8,node7-6,0,True,False,3
74,node5-8,node7-6,0,True,False,2
75,node5-8,node7-6,0,True,False,4
76,node5-8,node7-6,0,True,False,3
77,node5-8,node7-6,0,True,False,3
78,node5-8,node7-6,0,True,False,3
79,node5-8,node7-6,0,True,False,5
80,node5-8,node7-6,0,False,False,0
81,node5-8,node7-6,0,True,False,3
82,node5-8,node7-6,0,True,False,4
83,node5-8,node7-6,0,True,False,4
84,node5-8,node7-6,0,False,False,0
