seq,src,dst,noise,received,error,rssi
1,node1-8,node4-1,-15,True,False,15
2,node1-8,node4-1,-15,True,False,14
3,node1-8,node4-1,-15,True,False,13
4,node1-8,node4-1,-15,True,False,9
5,node1-8,node4-1,-15,True,False,10
6,node1-8,node4-1,-15,True,False,9
7,node1-8,node4-1,-15,True,False,10
8,node1-8,node4-1,-15,True,False,10
9,node1-8,node4-1,-15,True,False,8
10,node1-8,node4-1,-15,True,False,10
11,node1-8,node4-1,-15,True,False,10
12,node1-8,node4-1,-15,True,False,10
13,node1-8,node4-1,-15,True,False,10
14,node1-8,node4-1,-15,True,False,10
15,node1-8,node4-1,-15,True,False,9
16,node1-8,node4-1,-15,True,False,9
17,node1-8,node4-1,-15,True,False,9
18,node1-8,node4-1,-15,True,False,9
19,node1-8,node4-1,-15,True,False,9
20,node1-8,node4-1,-15,True,False,10
21,node1-8,node4-1,-15,True,False,10
22,node1-8,node4-1,-15,True,False,10
23,node1-8,node4-1,-15,True,False,10
24,node1-8,node4-1,-15,True,False,10
25,node1-8,node4-1,-15,True,False,7
26,node1-8,node4-1,-15,True,False,9
27,node1-8,node4-1,-15,True,False,10
28,node1-8,node4-1,-15,True,False,9
29,node1-8,node4-1,-15,True,False,9
30,node1-8,node4-1,-15,True,False,11
31,node1-8,node4-1,-15,True,False,9
32,node1-8,node4-1,-15,True,False,10
33,node1-8,node4-1,-15,True,False,11
34,node1-8,node4-1,-15,True,False,9
35,node1-8,node4-1,-15,True,False,8
36,node1-8,node4-1,-15,True,False,9
37,node1-8,node4-1,-15,True,False,10
38,node1-8,node4-1,-15,True,False,9
39,node1-8,node4-1,-15,True,False,11
40,node1-8,node4-1,-15,True,False,9
41,node1-8,node4-1,-15,True,False,10
42,node1-8,node4-1,-15,True,False,11
43,node1-8,node4-1,-15,True,False,10
44,node1-8,node4-1,-15,True,False,10
45,node1-8,node4-1,-15,True,False,8
46,node1-8,node4-1,-15,True,False,10
47,node1-8,node4-1,-15,True,False,10
48,node1-8,node4-1,-15,True,False,10
49,node1-8,node4-1,-15,True,False,9
50,node1-8,node4-1,-15,True,False,10
51,node1-8,node4-1,-15,True,False,10
52,node1-8,node4-1,-15,True,False,10
53,node1-8,node4-1,-15,True,False,11
54,node1-8,node4-1,-15,True,False,10
55,node1-8,node4-1,-15,True,False,9
56,node1-8,node4-1,-15,True,False,10
57,node1-8,node4-1,-15,True,False,9
58,node1-8,node4-1,-15,True,False,9
59,node1-8,node4-1,-15,True,False,9
60,node1-8,node4-1,-15,True,False,9
61,node1-8,node4-1,-15,True,False,8
62,node1-8,node4-1,-15,True,False,9
63,node1-8,node4-1,-15,True,False,9
64,node1-8,node4-1,-15,True,False,9
65,node1-8,node4-1,-15,True,False,10
66,node1-8,node4-1,-15,True,False,9
67,node1-8,node4-1,-15,True,False,10
68,node1-8,node4-1,-15,True,False,10
69,node1-8,node4-1,-15,True,False,9
70,node1-8,node4-1,-15,True,False,9
71,node1-8,node4-1,-15,True,False,9
72,node1-8,node4-1,-15,True,False,11
73,node1-8,node4-1,-15,True,False,11
74,node1-8,node4-1,-15,True,False,9
75,node1-8,node4-1,-15,True,False,10
76,node1-8,node4-1,-15,True,False,9
77,node1-8,node4-1,-15,True,False,10
78,node1-8,node4-1,-15,True,False,9
79,node1-8,node4-1,-15,True,False,9
80,node1-8,node4-1,-15,True,False,10
81,node1-8,node4-1,-15,True,False,9
82,node1-8,node4-1,-15,True,False,10
83,node1-8,node4-1,-15,True,False,9
84,node1-8,node4-1,-15,True,False,9
85,node1-8,node4-1,-15,True,False,10
86,node1-8,node4-1,-15,True,False,9
87,node1-8,node4-1,-15,True,False,10
88,node1-8,node4-1,-15,True,False,9
89,node1-8,node4-1,-15,True,False,10
90,node1-8,node4-1,-15,True,False,9
91,node1-8,node4-1,-15,True,False,10
92,node1-8,node4-1,-15,True,False,9
93,node1-8,node4-1,-15,True,False,9
94,node1-8,node4-1,-15,True,False,10
95,node1-8,node4-1,-15,True,False,10
96,node1-8,node4-1,-15,True,False,9
97,node1-8,node4-1,-15,True,False,8
98,node1-8,node4-1,-15,True,False,11
99,node1-8,node4-1,-15,True,False,10
100,node1-8,node4-1,-15,True,False,9
101,node1-8,node4-1,-15,True,False,10
102,node1-8,node4-1,-15,True,False,11
103,node1-8,node4-1,-15,True,False,9
104,node1-8,node4-1,-15,True,False,9
105,node1-8,node4-1,-15,True,False,9
106,node1-8,node4-1,-15,True,False,11
107,node1-8,node4-1,-15,True,False,10
108,node1-8,node4-1,-15,True,False,10
109,node1-8,node4-1,-15,True,False,9
110,node1-8,node4-1,-15,True,False,10
111,node1-8,node4-1,-15,True,False,10
112,node1-8,node4-1,-15,True,False,9
113,node1-8,node4-1,-15,True,False,10
114,node1-8,node4-1,-15,True,False,9
115,node1-8,node4-1,-15,True,False,9
116,node1-8,node4-1,-15,True,False,9
117,node1-8,node4-1,-15,True,False,10
118,node1-8,node4-1,-15,True,False,11
119,node1-8,node4-1,-15,True,False,9
120,node1-8,node4-1,-15,True,False,9
121,node1-8,node4-1,-15,True,False,9
122,node1-8,node4-1,-15,True,False,9
123,node1-8,node4-1,-15,True,False,10
124,node1-8,node4-1,-15,True,False,8
125,node1-8,node4-1,-15,True,False,9
126,node1-8,node4-1,-15,True,False,9
127,node1-8,node4-1,-15,True,False,10
128,node1-8,node4-1,-15,True,False,10
129,node1-8,node4-1,-15,True,False,9
130,node1-8,node4-1,-15,True,False,10
131,node1-8,node4-1,-15,True,False,10
132,node1-8,node4-1,-15,True,False,11
133,node1-8,node4-1,-15,True,False,10
134,node1-8,node4-1,-15,True,False,10
135,node1-8,node4-1,-15,True,False,8
136,node1-8,node4-1,-15,True,False,10
137,node1-8,node4-1,-15,True,False,8
138,node1-8,node4-1,-15,True,False,10
139,node1-8,node4-1,-15,True,False,10
140,node1-8,node4-1,-15,True,False,8
141,node1-8,node4-1,-15,True,False,9
142,node1-8,node4-1,-15,True,False,9
143,node1-8,node4-1,-15,True,False,10
144,node1-8,node4-1,-15,True,False,10
145,node1-8,node4-1,-15,True,False,11
146,node1-8,node4-1,-15,True,False,10
147,node1-8,node4-1,-15,True,False,9
148,node1-8,node4-1,-15,True,False,10
149,node1-8,node4-1,-15,True,False,10
150,node1-8,node4-1,-15,True,False,8
151,node1-8,node4-1,-15,True,False,9
152,node1-8,node4-1,-15,True,False,9
153,node1-8,node4-1,-15,True,False,10
154,node1-8,node4-1,-15,True,False,9
155,node1-8,node4-1,-15,True,False,9
156,node1-8,node4-1,-15,True,False,9
157,node1-8,node4-1,-15,True,False,10
158,node1-8,node4-1,-15,True,False,10
159,node1-8,node4-1,-15,True,False,10
160,node1-8,node4-1,-15,True,False,10
161,node1-8,node4-1,-15,True,False,10
162,node1-8,node4-1,-15,True,False,9
163,node1-8,node4-1,-15,True,False,9
164,node1-8,node4-1,-15,True,False,8
165,node1-8,node4-1,-15,True,False,9
166,node1-8,node4-1,-15,True,False,10
167,node1-8,node4-1,-15,True,False,9
