seq,src,dst,noise,received,error,rssi
1,node6-5,node1-4,-20,True,False,33
2,node6-5,node1-4,-20,True,False,31
3,node6-5,node1-4,-20,True,False,29
4,node6-5,node1-4,-20,True,False,28
5,node6-5,node1-4,-20,True,False,28
6,node6-5,node1-4,-20,True,False,28
7,node6-5,node1-4,-20,True,False,27
8,node6-5,node1-4,-20,True,False,27
9,node6-5,node1-4,-20,True,False,28
10,node6-5,node1-4,-20,True,False,28
11,node6-5,node1-4,-20,True,False,27
12,node6-5,node1-4,-20,True,False,28
13,node6-5,node1-4,-20,True,False,28
14,node6-5,node1-4,-20,True,False,28
15,node6-5,node1-4,-20,True,False,28
16,node6-5,node1-4,-20,True,False,28
17,node6-5,node1-4,-20,True,False,27
18,node6-5,node1-4,-20,True,False,29
19,node6-5,node1-4,-20,True,False,28
20,node6-5,node1-4,-20,True,False,28
21,node6-5,node1-4,-20,True,False,27
22,node6-5,node1-4,-20,True,False,27
23,node6-5,node1-4,-20,True,False,28
24,node6-5,node1-4,-20,True,False,27
25,node6-5,node1-4,-20,True,False,28
26,node6-5,node1-4,-20,True,False,27
27,node6-5,node1-4,-20,True,False,28
28,node6-5,node1-4,-20,True,False,29
29,node6-5,node1-4,-20,True,False,28
30,node6-5,node1-4,-20,True,False,28
31,node6-5,node1-4,-20,True,False,27
32,node6-5,node1-4,-20,True,False,28
33,node6-5,node1-4,-20,True,False,29
34,node6-5,node1-4,-20,True,False,28
35,node6-5,node1-4,-20,True,False,29
36,node6-5,node1-4,-20,True,False,26
37,node6-5,node1-4,-20,True,False,28
38,node6-5,node1-4,-20,True,False,28
39,node6-5,node1-4,-20,True,False,27
40,node6-5,node1-4,-20,True,False,28
41,node6-5,node1-4,-20,True,False,28
42,node6-5,node1-4,-20,True,False,29
43,node6-5,node1-4,-20,True,False,26
44,node6-5,node1-4,-20,True,False,29
45,node6-5,node1-4,-20,True,False,29
46,node6-5,node1-4,-20,True,False,28
47,node6-5,node1-4,-20,True,False,27
48,node6-5,node1-4,-20,True,False,28
49,node6-5,node1-4,-20,True,False,29
50,node6-5,node1-4,-20,True,False,28
51,node6-5,node1-4,-20,True,False,29
52,node6-5,node1-4,-20,True,False,29
53,node6-5,node1-4,-20,True,False,28
54,node6-5,node1-4,-20,True,False,28
55,node6-5,node1-4,-20,True,False,28
56,node6-5,node1-4,-20,True,False,28
57,node6-5,node1-4,-20,True,False,28
58,node6-5,node1-4,-20,True,False,27
59,node6-5,node1-4,-20,True,False,28
60,node6-5,node1-4,-20,True,False,28
61,node6-5,node1-4,-20,True,False,28
62,node6-5,node1-4,-20,True,False,28
63,node6-5,node1-4,-20,True,False,27
64,node6-5,node1-4,-20,True,False,28
65,node6-5,node1-4,-20,True,False,29
66,node6-5,node1-4,-20,True,False,28
67,node6-5,node1-4,-20,True,False,29
68,node6-5,node1-4,-20,True,False,28
69,node6-5,node1-4,-20,True,False,27
70,node6-5,node1-4,-20,True,False,27
71,node6-5,node1-4,-20,True,False,27
72,node6-5,node1-4,-20,True,False,29
73,node6-5,node1-4,-20,True,False,28
74,node6-5,node1-4,-20,True,False,27
75,node6-5,node1-4,-20,True,False,27
76,node6-5,node1-4,-20,True,False,28
77,node6-5,node1-4,-20,True,False,28
78,node6-5,node1-4,-20,True,False,29
79,node6-5,node1-4,-20,True,False,27
80,node6-5,node1-4,-20,True,False,28
81,node6-5,node1-4,-20,True,False,27
82,node6-5,node1-4,-20,True,False,28
83,node6-5,node1-4,-20,True,False,29
84,node6-5,node1-4,-20,True,False,28
85,node6-5,node1-4,-20,True,False,27
86,node6-5,node1-4,-20,True,False,27
87,node6-5,node1-4,-20,True,False,28
88,node6-5,node1-4,-20,True,False,27
89,node6-5,node1-4,-20,True,False,29
90,node6-5,node1-4,-20,True,False,26
91,node6-5,node1-4,-20,True,False,26
92,node6-5,node1-4,-20,True,False,27
93,node6-5,node1-4,-20,True,False,29
