seq,src,dst,noise,received,error,rssi
1,node2-1,node4-3,0,True,False,8
2,node2-1,node4-3,0,True,False,6
3,node2-1,node4-3,0,True,False,5
4,node2-1,node4-3,0,True,False,4
5,node2-1,node4-3,0,True,False,6
6,node2-1,node4-3,0,True,False,5
7,node2-1,node4-3,0,True,False,4
8,node2-1,node4-3,0,True,False,3
9,node2-1,node4-3,0,True,False,4
10,node2-1,node4-3,0,True,False,4
11,node2-1,node4-3,0,True,False,3
12,node2-1,node4-3,0,True,False,6
13,node2-1,node4-3,0,True,False,7
14,node2-1,node4-3,0,True,False,1
15,node2-1,node4-3,0,True,False,5
16,node2-1,node4-3,0,True,False,5
17,node2-1,node4-3,0,True,False,6
18,node2-1,node4-3,0,True,False,5
19,node2-1,node4-3,0,True,False,4
20,node2-1,node4-3,0,True,False,5
21,node2-1,node4-3,0,True,False,4
22,node2-1,node4-3,0,True,False,5
23,node2-1,node4-3,0,True,False,5
24,node2-1,node4-3,0,True,False,4
25,node2-1,node4-3,0,True,False,7
26,node2-1,node4-3,0,True,False,4
27,node2-1,node4-3,0,True,False,6
28,node2-1,node4-3,0,True,False,2
29,node2-1,node4-3,0,True,False,4
30,node2-1,node4-3,0,True,False,5
31,node2-1,node4-3,0,True,False,4
32,node2-1,node4-3,0,True,False,4
33,node2-1,node4-3,0,True,False,3
34,node2-1,node4-3,0,True,False,5
35,node2-1,node4-3,0,True,False,4
36,node2-1,node4-3,0,True,False,4
37,node2-1,node4-3,0,True,False,4
38,node2-1,node4-3,0,True,False,5
39,node2-1,node4-3,0,True,False,5
40,node2-1,node4-3,0,True,False,6
41,node2-1,node4-3,0,True,False,5
42,node2-1,node4-3,0,True,False,5
43,node2-1,node4-3,0,True,False,4
44,node2-1,node4-3,0,True,False,5
45,node2-1,node4-3,0,True,False,4
46,node2-1,node4-3,0,True,False,4
47,node2-1,node4-3,0,True,False,5
48,node2-1,node4-3,0,True,False,6
49,node2-1,node4-3,0,True,False,4
50,node2-1,node4-3,0,True,False,3
51,node2-1,node4-3,0,True,False,6
52,node2-1,node4-3,0,True,False,6
53,node2-1,node4-3,0,True,False,5
54,node2-1,node4-3,0,True,False,3
55,node2-1,node4-3,0,True,False,6
56,node2-1,node4-3,0,True,False,4
57,node2-1,node4-3,0,True,False,5
58,node2-1,node4-3,0,True,False,5
59,node2-1,node4-3,0,True,False,6
60,node2-1,node4-3,0,True,False,5
61,node2-1,node4-3,0,True,False,5
