seq,src,dst,noise,received,error,rssi
1,node7-2,node4-1,-10,True,False,14
2,node7-2,node4-1,-10,True,False,13
3,node7-2,node4-1,-10,True,False,11
4,node7-2,node4-1,-10,True,False,9
5,node7-2,node4-1,-10,True,False,10
6,node7-2,node4-1,-10,True,False,10
7,node7-2,node4-1,-10,True,False,9
8,node7-2,node4-1,-10,True,False,8
9,node7-2,node4-1,-10,True,False,8
10,node7-2,node4-1,-10,True,False,9
11,node7-2,node4-1,-10,True,False,8
12,node7-2,node4-1,-10,True,False,9
13,node7-2,node4-1,-10,True,False,10
14,node7-2,node4-1,-10,True,False,8
15,node7-2,node4-1,-10,True,False,10
16,node7-2,node4-1,-10,True,False,8
17,node7-2,node4-1,-10,True,False,8
18,node7-2,node4-1,-10,True,False,10
19,node7-2,node4-1,-10,True,False,9
20,node7-2,node4-1,-10,True,False,10
21,node7-2,node4-1,-10,True,False,9
22,node7-2,node4-1,-10,True,False,8
23,node7-2,node4-1,-10,True,False,8
24,node7-2,node4-1,-10,True,False,9
25,node7-2,node4-1,-10,True,False,8
26,node7-2,node4-1,-10,True,False,9
27,node7-2,node4-1,-10,True,False,8
28,node7-2,node4-1,-10,True,False,8
29,node7-2,node4-1,-10,True,False,9
30,node7-2,node4-1,-10,True,False,8
31,node7-2,node4-1,-10,True,False,9
32,node7-2,node4-1,-10,True,False,9
33,node7-2,node4-1,-10,True,False,8
34,node7-2,node4-1,-10,True,False,10
35,node7-2,node4-1,-10,True,False,9
36,node7-2,node4-1,-10,True,False,8
37,node7-2,node4-1,-10,True,False,10
38,node7-2,node4-1,-10,True,False,8
39,node7-2,node4-1,-10,True,False,10
40,node7-2,node4-1,-10,True,False,9
41,node7-2,node4-1,-10,True,False,10
42,node7-2,node4-1,-10,True,False,9
43,node7-2,node4-1,-10,True,False,8
44,node7-2,node4-1,-10,True,False,9
45,node7-2,node4-1,-10,True,False,7
46,node7-2,node4-1,-10,True,False,8
47,node7-2,node4-1,-10,True,False,8
48,node7-2,node4-1,-10,True,False,8
49,node7-2,node4-1,-10,True,False,8
50,node7-2,node4-1,-10,True,False,9
51,node7-2,node4-1,-10,True,False,9
52,node7-2,node4-1,-10,True,False,9
53,node7-2,node4-1,-10,True,False,10
54,node7-2,node4-1,-10,True,False,9
55,node7-2,node4-1,-10,True,False,9
56,node7-2,node4-1,-10,True,False,8
57,node7-2,node4-1,-10,True,False,8
58,node7-2,node4-1,-10,True,False,10
59,node7-2,node4-1,-10,True,False,7
60,node7-2,node4-1,-10,True,False,9
61,node7-2,node4-1,-10,True,False,9
62,node7-2,node4-1,-10,True,False,8
63,node7-2,node4-1,-10,True,False,9
64,node7-2,node4-1,-10,True,False,9
65,node7-2,node4-1,-10,True,False,7
66,node7-2,node4-1,-10,True,False,9
67,node7-2,node4-1,-10,True,False,8
68,node7-2,node4-1,-10,True,False,7
69,node7-2,node4-1,-10,True,False,9
70,node7-2,node4-1,-10,True,False,10
71,node7-2,node4-1,-10,True,False,10
72,node7-2,node4-1,-10,True,False,9
73,node7-2,node4-1,-10,True,False,9
74,node7-2,node4-1,-10,True,False,8
75,node7-2,node4-1,-10,True,False,10
76,node7-2,node4-1,-10,True,False,9
77,node7-2,node4-1,-10,True,False,9
78,node7-2,node4-1,-10,True,False,8
79,node7-2,node4-1,-10,True,False,7
80,node7-2,node4-1,-10,True,False,10
81,node7-2,node4-1,-10,True,False,9
82,node7-2,node4-1,-10,True,False,9
83,node7-2,node4-1,-10,True,False,9
84,node7-2,node4-1,-10,True,False,7
85,node7-2,node4-1,-10,True,False,10
86,node7-2,node4-1,-10,True,False,10
87,node7-2,node4-1,-10,True,False,9
88,node7-2,node4-1,-10,True,False,7
89,node7-2,node4-1,-10,True,False,8
90,node7-2,node4-1,-10,True,False,8
91,node7-2,node4-1,-10,True,False,7
92,node7-2,node4-1,-10,True,False,9
93,node7-2,node4-1,-10,True,False,9
94,node7-2,node4-1,-10,True,False,9
95,node7-2,node4-1,-10,True,False,9
96,node7-2,node4-1,-10,True,False,7
97,node7-2,node4-1,-10,True,False,9
98,node7-2,node4-1,-10,True,False,9
99,node7-2,node4-1,-10,True,False,9
100,node7-2,node4-1,-10,True,False,8
101,node7-2,node4-1,-10,True,False,8
102,node7-2,node4-1,-10,True,False,8
103,node7-2,node4-1,-10,True,False,8
104,node7-2,node4-1,-10,True,False,8
105,node7-2,node4-1,-10,True,False,7
106,node7-2,node4-1,-10,True,False,8
107,node7-2,node4-1,-10,True,False,9
108,node7-2,node4-1,-10,True,False,9
109,node7-2,node4-1,-10,True,False,9
110,node7-2,node4-1,-10,True,False,9
111,node7-2,node4-1,-10,True,False,8
112,node7-2,node4-1,-10,True,False,7
113,node7-2,node4-1,-10,True,False,8
114,node7-2,node4-1,-10,True,False,8
115,node7-2,node4-1,-10,True,False,10
116,node7-2,node4-1,-10,True,False,8
117,node7-2,node4-1,-10,True,False,9
118,node7-2,node4-1,-10,True,False,9
119,node7-2,node4-1,-10,True,False,9
120,node7-2,node4-1,-10,True,False,9
121,node7-2,node4-1,-10,True,False,9
122,node7-2,node4-1,-10,True,False,9
123,node7-2,node4-1,-10,True,False,9
124,node7-2,node4-1,-10,True,False,9
125,node7-2,node4-1,-10,True,False,8
126,node7-2,node4-1,-10,True,False,7
127,node7-2,node4-1,-10,True,False,9
128,node7-2,node4-1,-10,True,False,8
129,node7-2,node4-1,-10,True,False,8
130,node7-2,node4-1,-10,True,False,9
131,node7-2,node4-1,-10,True,False,9
132,node7-2,node4-1,-10,True,False,8
133,node7-2,node4-1,-10,True,False,8
134,node7-2,node4-1,-10,True,False,9
135,node7-2,node4-1,-10,True,False,9
136,node7-2,node4-1,-10,True,False,9
137,node7-2,node4-1,-10,True,False,8
138,node7-2,node4-1,-10,True,False,9
139,node7-2,node4-1,-10,True,False,8
140,node7-2,node4-1,-10,True,False,10
141,node7-2,node4-1,-10,True,False,10
142,node7-2,node4-1,-10,True,False,7
143,node7-2,node4-1,-10,True,False,9
144,node7-2,node4-1,-10,True,False,9
145,node7-2,node4-1,-10,True,False,9
146,node7-2,node4-1,-10,True,False,9
147,node7-2,node4-1,-10,True,False,9
148,node7-2,node4-1,-10,True,False,9
149,node7-2,node4-1,-10,True,False,9
150,node7-2,node4-1,-10,True,False,10
151,node7-2,node4-1,-10,True,False,8
152,node7-2,node4-1,-10,True,False,8
153,node7-2,node4-1,-10,True,False,9
154,node7-2,node4-1,-10,True,False,9
155,node7-2,node4-1,-10,True,False,9
156,node7-2,node4-1,-10,True,False,9
157,node7-2,node4-1,-10,True,False,9
158,node7-2,node4-1,-10,True,False,9
159,node7-2,node4-1,-10,True,False,9
160,node7-2,node4-1,-10,True,False,8
161,node7-2,node4-1,-10,True,False,8
162,node7-2,node4-1,-10,True,False,8
163,node7-2,node4-1,-10,True,False,10
164,node7-2,node4-1,-10,True,False,10
165,node7-2,node4-1,-10,True,False,10
166,node7-2,node4-1,-10,True,False,9
167,node7-2,node4-1,-10,True,False,8
168,node7-2,node4-1,-10,True,False,10
169,node7-2,node4-1,-10,True,False,9
170,node7-2,node4-1,-10,True,False,9
171,node7-2,node4-1,-10,True,False,8
172,node7-2,node4-1,-10,True,False,9
173,node7-2,node4-1,-10,True,False,9
174,node7-2,node4-1,-10,True,False,9
175,node7-2,node4-1,-10,True,False,10
176,node7-2,node4-1,-10,True,False,9
177,node7-2,node4-1,-10,True,False,8
178,node7-2,node4-1,-10,True,False,8
179,node7-2,node4-1,-10,True,False,9
180,node7-2,node4-1,-10,True,False,8
181,node7-2,node4-1,-10,True,False,9
182,node7-2,node4-1,-10,True,False,8
183,node7-2,node4-1,-10,True,False,8
184,node7-2,node4-1,-10,True,False,8
185,node7-2,node4-1,-10,True,False,10
186,node7-2,node4-1,-10,True,False,9
187,node7-2,node4-1,-10,True,False,10
188,node7-2,node4-1,-10,True,False,8
189,node7-2,node4-1,-10,True,False,9
190,node7-2,node4-1,-10,True,False,9
191,node7-2,node4-1,-10,True,False,8
192,node7-2,node4-1,-10,True,False,10
193,node7-2,node4-1,-10,True,False,9
194,node7-2,node4-1,-10,True,False,10
195,node7-2,node4-1,-10,True,False,9
196,node7-2,node4-1,-10,True,False,9
197,node7-2,node4-1,-10,True,False,8
198,node7-2,node4-1,-10,True,False,9
199,node7-2,node4-1,-10,True,False,9
200,node7-2,node4-1,-10,True,False,9
201,node7-2,node4-1,-10,True,False,9
202,node7-2,node4-1,-10,True,False,10
203,node7-2,node4-1,-10,True,False,8
204,node7-2,node4-1,-10,True,False,10
