seq,src,dst,noise,received,error,rssi
1,node4-1,node8-7,-20,True,False,19
2,node4-1,node8-7,-20,True,False,17
3,node4-1,node8-7,-20,True,False,14
4,node4-1,node8-7,-20,True,False,13
5,node4-1,node8-7,-20,True,False,14
6,node4-1,node8-7,-20,True,False,12
7,node4-1,node8-7,-20,True,False,13
8,node4-1,node8-7,-20,True,False,13
9,node4-1,node8-7,-20,True,False,13
10,node4-1,node8-7,-20,True,False,14
11,node4-1,node8-7,-20,True,False,13
12,node4-1,node8-7,-20,True,False,13
13,node4-1,node8-7,-20,True,False,12
14,node4-1,node8-7,-20,True,False,12
15,node4-1,node8-7,-20,True,False,12
16,node4-1,node8-7,-20,True,False,12
17,node4-1,node8-7,-20,True,False,12
18,node4-1,node8-7,-20,True,False,13
19,node4-1,node8-7,-20,True,False,13
20,node4-1,node8-7,-20,True,False,13
21,node4-1,node8-7,-20,True,False,13
22,node4-1,node8-7,-20,True,False,13
23,node4-1,node8-7,-20,True,False,13
24,node4-1,node8-7,-20,True,False,12
25,node4-1,node8-7,-20,True,False,14
26,node4-1,node8-7,-20,True,False,11
27,node4-1,node8-7,-20,True,False,13
28,node4-1,node8-7,-20,True,False,14
29,node4-1,node8-7,-20,True,False,12
30,node4-1,node8-7,-20,True,False,13
31,node4-1,node8-7,-20,True,False,14
32,node4-1,node8-7,-20,True,False,13
33,node4-1,node8-7,-20,True,False,12
34,node4-1,node8-7,-20,True,False,14
35,node4-1,node8-7,-20,True,False,13
36,node4-1,node8-7,-20,True,False,12
37,node4-1,node8-7,-20,True,False,14
38,node4-1,node8-7,-20,True,False,13
39,node4-1,node8-7,-20,True,False,12
40,node4-1,node8-7,-20,True,False,13
41,node4-1,node8-7,-20,True,False,12
42,node4-1,node8-7,-20,True,False,14
43,node4-1,node8-7,-20,True,False,12
44,node4-1,node8-7,-20,True,False,12
45,node4-1,node8-7,-20,True,False,12
46,node4-1,node8-7,-20,True,False,13
47,node4-1,node8-7,-20,True,False,14
