seq,src,dst,noise,received,error,rssi
1,node8-3,node1-6,-20,True,False,18
2,node8-3,node1-6,-20,True,False,19
3,node8-3,node1-6,-20,True,False,16
4,node8-3,node1-6,-20,True,False,13
5,node8-3,node1-6,-20,True,False,13
6,node8-3,node1-6,-20,True,False,13
7,node8-3,node1-6,-20,True,False,13
8,node8-3,node1-6,-20,True,False,13
9,node8-3,node1-6,-20,True,False,14
10,node8-3,node1-6,-20,True,False,14
11,node8-3,node1-6,-20,True,False,14
12,node8-3,node1-6,-20,True,False,13
13,node8-3,node1-6,-20,True,False,13
14,node8-3,node1-6,-20,True,False,13
15,node8-3,node1-6,-20,True,False,14
16,node8-3,node1-6,-20,True,False,13
17,node8-3,node1-6,-20,True,False,14
18,node8-3,node1-6,-20,True,False,14
19,node8-3,node1-6,-20,True,False,14
20,node8-3,node1-6,-20,True,False,14
21,node8-3,node1-6,-20,True,False,14
22,node8-3,node1-6,-20,True,False,12
23,node8-3,node1-6,-20,True,False,13
24,node8-3,node1-6,-20,True,False,14
25,node8-3,node1-6,-20,True,False,13
26,node8-3,node1-6,-20,True,False,13
27,node8-3,node1-6,-20,True,False,14
28,node8-3,node1-6,-20,True,False,13
29,node8-3,node1-6,-20,True,False,13
30,node8-3,node1-6,-20,True,False,13
31,node8-3,node1-6,-20,True,False,14
32,node8-3,node1-6,-20,True,False,13
33,node8-3,node1-6,-20,True,False,14
34,node8-3,node1-6,-20,True,False,13
35,node8-3,node1-6,-20,True,False,14
36,node8-3,node1-6,-20,True,False,14
37,node8-3,node1-6,-20,True,False,14
38,node8-3,node1-6,-20,True,False,13
39,node8-3,node1-6,-20,True,False,13
40,node8-3,node1-6,-20,True,False,13
41,node8-3,node1-6,-20,True,False,13
42,node8-3,node1-6,-20,True,False,14
43,node8-3,node1-6,-20,True,False,13
44,node8-3,node1-6,-20,True,False,14
45,node8-3,node1-6,-20,True,False,14
46,node8-3,node1-6,-20,True,False,14
47,node8-3,node1-6,-20,True,False,13
48,node8-3,node1-6,-20,True,False,14
49,node8-3,node1-6,-20,True,False,13
50,node8-3,node1-6,-20,True,False,14
51,node8-3,node1-6,-20,True,False,14
52,node8-3,node1-6,-20,True,False,13
53,node8-3,node1-6,-20,True,False,13
54,node8-3,node1-6,-20,True,False,13
55,node8-3,node1-6,-20,True,False,13
56,node8-3,node1-6,-20,True,False,14
57,node8-3,node1-6,-20,True,False,13
58,node8-3,node1-6,-20,True,False,14
59,node8-3,node1-6,-20,True,False,13
60,node8-3,node1-6,-20,True,False,14
61,node8-3,node1-6,-20,True,False,13
62,node8-3,node1-6,-20,True,False,13
63,node8-3,node1-6,-20,True,False,14
64,node8-3,node1-6,-20,True,False,14
65,node8-3,node1-6,-20,True,False,14
66,node8-3,node1-6,-20,True,False,14
67,node8-3,node1-6,-20,True,False,13
68,node8-3,node1-6,-20,True,False,14
69,node8-3,node1-6,-20,True,False,14
70,node8-3,node1-6,-20,True,False,14
71,node8-3,node1-6,-20,True,False,13
72,node8-3,node1-6,-20,True,False,14
73,node8-3,node1-6,-20,True,False,13
74,node8-3,node1-6,-20,True,False,13
75,node8-3,node1-6,-20,True,False,13
76,node8-3,node1-6,-20,True,False,13
77,node8-3,node1-6,-20,True,False,13
