seq,src,dst,noise,received,error,rssi
1,node2-1,node8-3,-15,True,False,19
2,node2-1,node8-3,-15,True,False,17
3,node2-1,node8-3,-15,True,False,14
4,node2-1,node8-3,-15,True,False,12
5,node2-1,node8-3,-15,True,False,12
6,node2-1,node8-3,-15,True,False,14
7,node2-1,node8-3,-15,True,False,15
8,node2-1,node8-3,-15,True,False,14
9,node2-1,node8-3,-15,True,False,15
10,node2-1,node8-3,-15,True,False,14
11,node2-1,node8-3,-15,True,False,14
12,node2-1,node8-3,-15,True,False,12
13,node2-1,node8-3,-15,True,False,12
14,node2-1,node8-3,-15,True,False,12
15,node2-1,node8-3,-15,True,False,14
16,node2-1,node8-3,-15,True,False,15
17,node2-1,node8-3,-15,True,False,15
18,node2-1,node8-3,-15,True,False,14
19,node2-1,node8-3,-15,True,False,13
20,node2-1,node8-3,-15,True,False,13
21,node2-1,node8-3,-15,True,False,16
22,node2-1,node8-3,-15,True,False,13
23,node2-1,node8-3,-15,True,False,13
24,node2-1,node8-3,-15,True,False,12
25,node2-1,node8-3,-15,True,False,12
26,node2-1,node8-3,-15,True,False,12
27,node2-1,node8-3,-15,True,False,14
28,node2-1,node8-3,-15,True,False,15
29,node2-1,node8-3,-15,True,False,12
30,node2-1,node8-3,-15,True,False,12
31,node2-1,node8-3,-15,True,False,14
32,node2-1,node8-3,-15,True,False,13
33,node2-1,node8-3,-15,True,False,13
34,node2-1,node8-3,-15,True,False,14
35,node2-1,node8-3,-15,True,False,15
36,node2-1,node8-3,-15,True,False,14
37,node2-1,node8-3,-15,True,False,14
38,node2-1,node8-3,-15,True,False,14
39,node2-1,node8-3,-15,True,False,15
40,node2-1,node8-3,-15,True,False,13
41,node2-1,node8-3,-15,True,False,15
42,node2-1,node8-3,-15,True,False,13
43,node2-1,node8-3,-15,True,False,14
44,node2-1,node8-3,-15,True,False,15
45,node2-1,node8-3,-15,True,False,13
46,node2-1,node8-3,-15,True,False,14
47,node2-1,node8-3,-15,True,False,13
48,node2-1,node8-3,-15,True,False,14
49,node2-1,node8-3,-15,True,False,15
50,node2-1,node8-3,-15,True,False,13
51,node2-1,node8-3,-15,True,False,15
52,node2-1,node8-3,-15,True,False,15
53,node2-1,node8-3,-15,True,False,13
