seq,src,dst,noise,received,error,rssi
1,node6-3,node7-2,-20,True,False,18
2,node6-3,node7-2,-20,True,False,16
3,node6-3,node7-2,-20,True,False,13
4,node6-3,node7-2,-20,True,False,14
5,node6-3,node7-2,-20,True,False,14
6,node6-3,node7-2,-20,True,False,14
7,node6-3,node7-2,-20,True,False,15
8,node6-3,node7-2,-20,True,False,14
9,node6-3,node7-2,-20,True,False,14
10,node6-3,node7-2,-20,True,False,14
11,node6-3,node7-2,-20,True,False,13
12,node6-3,node7-2,-20,True,False,14
13,node6-3,node7-2,-20,True,False,14
14,node6-3,node7-2,-20,True,False,14
15,node6-3,node7-2,-20,True,False,14
16,node6-3,node7-2,-20,True,False,14
17,node6-3,node7-2,-20,True,False,14
18,node6-3,node7-2,-20,True,False,14
19,node6-3,node7-2,-20,True,False,14
20,node6-3,node7-2,-20,True,False,14
21,node6-3,node7-2,-20,True,False,15
22,node6-3,node7-2,-20,True,False,14
23,node6-3,node7-2,-20,True,False,14
24,node6-3,node7-2,-20,True,False,13
25,node6-3,node7-2,-20,True,False,14
26,node6-3,node7-2,-20,True,False,13
27,node6-3,node7-2,-20,True,False,13
28,node6-3,node7-2,-20,True,False,13
29,node6-3,node7-2,-20,True,False,13
30,node6-3,node7-2,-20,True,False,14
31,node6-3,node7-2,-20,True,False,14
32,node6-3,node7-2,-20,True,False,15
33,node6-3,node7-2,-20,True,False,14
34,node6-3,node7-2,-20,True,False,14
35,node6-3,node7-2,-20,True,False,13
36,node6-3,node7-2,-20,True,False,14
37,node6-3,node7-2,-20,True,False,14
38,node6-3,node7-2,-20,True,False,14
39,node6-3,node7-2,-20,True,False,14
40,node6-3,node7-2,-20,True,False,14
41,node6-3,node7-2,-20,True,False,13
42,node6-3,node7-2,-20,True,False,14
43,node6-3,node7-2,-20,True,False,14
44,node6-3,node7-2,-20,True,False,14
45,node6-3,node7-2,-20,True,False,14
46,node6-3,node7-2,-20,True,False,13
47,node6-3,node7-2,-20,True,False,13
48,node6-3,node7-2,-20,True,False,14
49,node6-3,node7-2,-20,True,False,14
50,node6-3,node7-2,-20,True,False,13
51,node6-3,node7-2,-20,True,False,14
52,node6-3,node7-2,-20,True,False,14
53,node6-3,node7-2,-20,True,False,14
54,node6-3,node7-2,-20,True,False,13
55,node6-3,node7-2,-20,True,False,14
56,node6-3,node7-2,-20,True,False,14
57,node6-3,node7-2,-20,True,False,13
58,node6-3,node7-2,-20,True,False,14
59,node6-3,node7-2,-20,True,False,14
60,node6-3,node7-2,-20,True,False,14
61,node6-3,node7-2,-20,True,False,13
62,node6-3,node7-2,-20,True,False,15
63,node6-3,node7-2,-20,True,False,14
64,node6-3,node7-2,-20,True,False,14
65,node6-3,node7-2,-20,True,False,14
66,node6-3,node7-2,-20,True,False,13
67,node6-3,node7-2,-20,True,False,13
68,node6-3,node7-2,-20,True,False,14
69,node6-3,node7-2,-20,True,False,14
70,node6-3,node7-2,-20,True,False,14
71,node6-3,node7-2,-20,True,False,14
72,node6-3,node7-2,-20,True,False,14
73,node6-3,node7-2,-20,True,False,13
74,node6-3,node7-2,-20,True,False,14
75,node6-3,node7-2,-20,True,False,14
76,node6-3,node7-2,-20,True,False,14
77,node6-3,node7-2,-20,True,False,14
78,node6-3,node7-2,-20,True,False,13
79,node6-3,node7-2,-20,True,False,14
80,node6-3,node7-2,-20,True,False,14
81,node6-3,node7-2,-20,True,False,15
82,node6-3,node7-2,-20,True,False,13
83,node6-3,node7-2,-20,True,False,14
84,node6-3,node7-2,-20,True,False,14
85,node6-3,node7-2,-20,True,False,14
86,node6-3,node7-2,-20,True,False,14
87,node6-3,node7-2,-20,True,False,13
88,node6-3,node7-2,-20,True,False,15
89,node6-3,node7-2,-20,True,False,14
90,node6-3,node7-2,-20,True,False,14
91,node6-3,node7-2,-20,True,False,13
92,node6-3,node7-2,-20,True,False,14
