seq,src,dst,noise,received,error,rssi
1,node5-2,node6-1,-20,True,False,23
2,node5-2,node6-1,-20,True,False,23
3,node5-2,node6-1,-20,True,False,19
4,node5-2,node6-1,-20,True,False,19
5,node5-2,node6-1,-20,True,False,18
6,node5-2,node6-1,-20,True,False,19
7,node5-2,node6-1,-20,True,False,18
8,node5-2,node6-1,-20,True,False,18
9,node5-2,node6-1,-20,True,False,19
10,node5-2,node6-1,-20,True,False,20
11,node5-2,node6-1,-20,True,False,20
12,node5-2,node6-1,-20,True,False,20
13,node5-2,node6-1,-20,True,False,19
14,node5-2,node6-1,-20,True,False,19
15,node5-2,node6-1,-20,True,False,19
16,node5-2,node6-1,-20,True,False,20
17,node5-2,node6-1,-20,True,False,18
18,node5-2,node6-1,-20,True,False,20
19,node5-2,node6-1,-20,True,False,19
20,node5-2,node6-1,-20,True,False,18
21,node5-2,node6-1,-20,True,False,19
22,node5-2,node6-1,-20,True,False,19
23,node5-2,node6-1,-20,True,False,19
24,node5-2,node6-1,-20,True,False,18
25,node5-2,node6-1,-20,True,False,20
26,node5-2,node6-1,-20,True,False,19
27,node5-2,node6-1,-20,True,False,20
28,node5-2,node6-1,-20,True,False,19
29,node5-2,node6-1,-20,True,False,19
30,node5-2,node6-1,-20,True,False,19
31,node5-2,node6-1,-20,True,False,19
32,node5-2,node6-1,-20,True,False,19
33,node5-2,node6-1,-20,True,False,20
34,node5-2,node6-1,-20,True,False,20
35,node5-2,node6-1,-20,True,False,19
36,node5-2,node6-1,-20,True,False,19
37,node5-2,node6-1,-20,True,False,18
38,node5-2,node6-1,-20,True,False,20
39,node5-2,node6-1,-20,True,False,19
40,node5-2,node6-1,-20,True,False,19
41,node5-2,node6-1,-20,True,False,19
42,node5-2,node6-1,-20,True,False,20
43,node5-2,node6-1,-20,True,False,19
44,node5-2,node6-1,-20,True,False,19
45,node5-2,node6-1,-20,True,False,19
46,node5-2,node6-1,-20,True,False,20
47,node5-2,node6-1,-20,True,False,19
48,node5-2,node6-1,-20,True,False,19
49,node5-2,node6-1,-20,True,False,20
50,node5-2,node6-1,-20,True,False,20
51,node5-2,node6-1,-20,True,False,18
52,node5-2,node6-1,-20,True,False,20
53,node5-2,node6-1,-20,True,False,20
54,node5-2,node6-1,-20,True,False,19
55,node5-2,node6-1,-20,True,False,20
56,node5-2,node6-1,-20,True,False,19
57,node5-2,node6-1,-20,True,False,17
58,node5-2,node6-1,-20,True,False,19
59,node5-2,node6-1,-20,True,False,20
60,node5-2,node6-1,-20,True,False,19
61,node5-2,node6-1,-20,True,False,18
62,node5-2,node6-1,-20,True,False,20
63,node5-2,node6-1,-20,True,False,19
64,node5-2,node6-1,-20,True,False,19
65,node5-2,node6-1,-20,True,False,19
66,node5-2,node6-1,-20,True,False,20
67,node5-2,node6-1,-20,True,False,19
68,node5-2,node6-1,-20,True,False,20
69,node5-2,node6-1,-20,True,False,20
70,node5-2,node6-1,-20,True,False,20
71,node5-2,node6-1,-20,True,False,17
72,node5-2,node6-1,-20,True,False,19
73,node5-2,node6-1,-20,True,False,20
74,node5-2,node6-1,-20,True,False,20
75,node5-2,node6-1,-20,True,False,20
76,node5-2,node6-1,-20,True,False,20
77,node5-2,node6-1,-20,True,False,18
78,node5-2,node6-1,-20,True,False,20
79,node5-2,node6-1,-20,True,False,19
80,node5-2,node6-1,-20,True,False,19
81,node5-2,node6-1,-20,True,False,19
82,node5-2,node6-1,-20,True,False,18
83,node5-2,node6-1,-20,True,False,20
84,node5-2,node6-1,-20,True,False,20
85,node5-2,node6-1,-20,True,False,19
86,node5-2,node6-1,-20,True,False,19
87,node5-2,node6-1,-20,True,False,19
88,node5-2,node6-1,-20,True,False,20
89,node5-2,node6-1,-20,True,False,18
90,node5-2,node6-1,-20,True,False,20
91,node5-2,node6-1,-20,True,False,20
92,node5-2,node6-1,-20,True,False,19
93,node5-2,node6-1,-20,True,False,19
94,node5-2,node6-1,-20,True,False,18
