seq,src,dst,noise,received,error,rssi
1,node3-4,node6-7,-15,True,False,11
2,node3-4,node6-7,-15,True,False,11
3,node3-4,node6-7,-15,True,False,6
4,node3-4,node6-7,-15,True,False,8
5,node3-4,node6-7,-15,True,False,7
6,node3-4,node6-7,-15,True,False,8
7,node3-4,node6-7,-15,True,False,6
8,node3-4,node6-7,-15,True,False,6
9,node3-4,node6-7,-15,True,False,8
10,node3-4,node6-7,-15,True,False,9
11,node3-4,node6-7,-15,True,False,8
12,node3-4,node6-7,-15,True,False,7
13,node3-4,node6-7,-15,True,False,8
14,node3-4,node6-7,-15,True,False,7
15,node3-4,node6-7,-15,True,False,8
16,node3-4,node6-7,-15,True,False,9
17,node3-4,node6-7,-15,True,False,6
18,node3-4,node6-7,-15,True,False,7
19,node3-4,node6-7,-15,True,False,4
20,node3-4,node6-7,-15,True,False,8
21,node3-4,node6-7,-15,True,False,7
22,node3-4,node6-7,-15,True,False,8
23,node3-4,node6-7,-15,True,False,6
24,node3-4,node6-7,-15,True,False,8
25,node3-4,node6-7,-15,True,False,9
26,node3-4,node6-7,-15,True,False,9
27,node3-4,node6-7,-15,True,False,8
28,node3-4,node6-7,-15,True,False,8
29,node3-4,node6-7,-15,True,False,6
30,node3-4,node6-7,-15,True,False,9
31,node3-4,node6-7,-15,True,False,6
32,node3-4,node6-7,-15,True,False,8
33,node3-4,node6-7,-15,True,False,7
34,node3-4,node6-7,-15,True,False,6
35,node3-4,node6-7,-15,True,False,5
36,node3-4,node6-7,-15,True,False,8
37,node3-4,node6-7,-15,True,False,8
38,node3-4,node6-7,-15,True,False,7
39,node3-4,node6-7,-15,True,False,8
40,node3-4,node6-7,-15,True,False,10
41,node3-4,node6-7,-15,True,False,8
42,node3-4,node6-7,-15,True,False,6
43,node3-4,node6-7,-15,True,False,6
44,node3-4,node6-7,-15,True,False,7
45,node3-4,node6-7,-15,True,False,8
46,node3-4,node6-7,-15,True,False,7
47,node3-4,node6-7,-15,True,False,7
48,node3-4,node6-7,-15,True,False,7
49,node3-4,node6-7,-15,True,False,6
50,node3-4,node6-7,-15,True,False,7
51,node3-4,node6-7,-15,True,False,6
52,node3-4,node6-7,-15,True,False,7
53,node3-4,node6-7,-15,True,False,8
54,node3-4,node6-7,-15,True,False,8
55,node3-4,node6-7,-15,True,False,10
56,node3-4,node6-7,-15,True,False,8
57,node3-4,node6-7,-15,True,False,5
58,node3-4,node6-7,-15,True,False,7
59,node3-4,node6-7,-15,True,False,8
60,node3-4,node6-7,-15,True,False,9
61,node3-4,node6-7,-15,True,False,8
62,node3-4,node6-7,-15,True,False,8
63,node3-4,node6-7,-15,True,False,7
64,node3-4,node6-7,-15,True,False,8
65,node3-4,node6-7,-15,True,False,9
66,node3-4,node6-7,-15,True,False,8
67,node3-4,node6-7,-15,True,False,7
68,node3-4,node6-7,-15,True,False,7
69,node3-4,node6-7,-15,True,False,8
70,node3-4,node6-7,-15,True,False,8
71,node3-4,node6-7,-15,True,False,7
72,node3-4,node6-7,-15,True,False,8
73,node3-4,node6-7,-15,True,False,9
74,node3-4,node6-7,-15,True,False,5
75,node3-4,node6-7,-15,True,False,7
76,node3-4,node6-7,-15,True,False,7
77,node3-4,node6-7,-15,True,False,6
78,node3-4,node6-7,-15,True,False,7
79,node3-4,node6-7,-15,True,False,8
80,node3-4,node6-7,-15,True,False,8
81,node3-4,node6-7,-15,True,False,7
82,node3-4,node6-7,-15,True,False,7
83,node3-4,node6-7,-15,True,False,8
84,node3-4,node6-7,-15,True,False,7
85,node3-4,node6-7,-15,True,False,7
86,node3-4,node6-7,-15,True,False,7
87,node3-4,node6-7,-15,True,False,6
88,node3-4,node6-7,-15,True,False,8
89,node3-4,node6-7,-15,True,False,6
90,node3-4,node6-7,-15,True,False,8
91,node3-4,node6-7,-15,True,False,7
92,node3-4,node6-7,-15,True,False,7
93,node3-4,node6-7,-15,True,False,7
94,node3-4,node6-7,-15,True,False,8
95,node3-4,node6-7,-15,True,False,9
96,node3-4,node6-7,-15,True,False,8
97,node3-4,node6-7,-15,True,False,8
98,node3-4,node6-7,-15,True,False,7
99,node3-4,node6-7,-15,True,False,8
100,node3-4,node6-7,-15,True,False,5
101,node3-4,node6-7,-15,True,False,7
102,node3-4,node6-7,-15,True,False,7
103,node3-4,node6-7,-15,True,False,9
104,node3-4,node6-7,-15,True,False,7
105,node3-4,node6-7,-15,True,False,8
106,node3-4,node6-7,-15,True,False,7
107,node3-4,node6-7,-15,True,False,7
108,node3-4,node6-7,-15,True,False,8
109,node3-4,node6-7,-15,True,False,9
110,node3-4,node6-7,-15,True,False,7
111,node3-4,node6-7,-15,True,False,8
112,node3-4,node6-7,-15,True,False,7
113,node3-4,node6-7,-15,True,False,5
114,node3-4,node6-7,-15,True,False,7
115,node3-4,node6-7,-15,True,False,6
116,node3-4,node6-7,-15,True,False,6
117,node3-4,node6-7,-15,True,False,7
118,node3-4,node6-7,-15,True,False,9
119,node3-4,node6-7,-15,True,False,8
120,node3-4,node6-7,-15,True,False,9
121,node3-4,node6-7,-15,True,False,8
122,node3-4,node6-7,-15,True,False,7
123,node3-4,node6-7,-15,True,False,7
124,node3-4,node6-7,-15,True,False,8
125,node3-4,node6-7,-15,True,False,7
