seq,src,dst,noise,received,error,rssi
1,node1-6,node6-5,-5,True,False,8
2,node1-6,node6-5,-5,True,False,7
3,node1-6,node6-5,-5,True,False,4
4,node1-6,node6-5,-5,True,False,4
5,node1-6,node6-5,-5,True,False,6
6,node1-6,node6-5,-5,True,False,2
7,node1-6,node6-5,-5,True,False,3
8,node1-6,node6-5,-5,True,False,4
9,node1-6,node6-5,-5,True,False,5
10,node1-6,node6-5,-5,True,False,4
11,node1-6,node6-5,-5,True,False,3
12,node1-6,node6-5,-5,True,False,3
13,node1-6,node6-5,-5,True,False,4
14,node1-6,node6-5,-5,True,False,5
15,node1-6,node6-5,-5,True,False,5
16,node1-6,node6-5,-5,True,False,5
17,node1-6,node6-5,-5,True,False,5
18,node1-6,node6-5,-5,True,False,5
19,node1-6,node6-5,-5,True,False,4
20,node1-6,node6-5,-5,True,False,4
21,node1-6,node6-5,-5,True,False,4
22,node1-6,node6-5,-5,True,False,4
23,node1-6,node6-5,-5,True,False,6
24,node1-6,node6-5,-5,True,False,6
25,node1-6,node6-5,-5,True,False,4
26,node1-6,node6-5,-5,True,False,5
27,node1-6,node6-5,-5,True,False,2
28,node1-6,node6-5,-5,True,False,5
29,node1-6,node6-5,-5,True,False,6
30,node1-6,node6-5,-5,True,False,5
31,node1-6,node6-5,-5,True,False,5
32,node1-6,node6-5,-5,True,False,1
33,node1-6,node6-5,-5,True,False,4
34,node1-6,node6-5,-5,True,False,5
35,node1-6,node6-5,-5,True,False,5
36,node1-6,node6-5,-5,True,False,4
37,node1-6,node6-5,-5,True,False,4
38,node1-6,node6-5,-5,True,False,4
39,node1-6,node6-5,-5,True,False,4
40,node1-6,node6-5,-5,True,False,5
41,node1-6,node6-5,-5,True,False,5
42,node1-6,node6-5,-5,True,False,5
43,node1-6,node6-5,-5,True,False,5
44,node1-6,node6-5,-5,True,False,5
45,node1-6,node6-5,-5,True,False,3
46,node1-6,node6-5,-5,True,False,2
47,node1-6,node6-5,-5,True,False,6
48,node1-6,node6-5,-5,True,False,5
49,node1-6,node6-5,-5,True,False,5
50,node1-6,node6-5,-5,True,False,4
51,node1-6,node6-5,-5,True,False,5
52,node1-6,node6-5,-5,True,False,3
53,node1-6,node6-5,-5,True,False,5
54,node1-6,node6-5,-5,True,False,5
55,node1-6,node6-5,-5,True,False,4
56,node1-6,node6-5,-5,True,False,4
57,node1-6,node6-5,-5,True,False,4
58,node1-6,node6-5,-5,True,False,5
59,node1-6,node6-5,-5,True,False,4
60,node1-6,node6-5,-5,True,False,3
61,node1-6,node6-5,-5,True,False,4
62,node1-6,node6-5,-5,True,False,5
63,node1-6,node6-5,-5,True,False,4
64,node1-6,node6-5,-5,True,False,4
65,node1-6,node6-5,-5,True,False,3
66,node1-6,node6-5,-5,True,False,5
67,node1-6,node6-5,-5,True,False,3
68,node1-6,node6-5,-5,True,False,3
69,node1-6,node6-5,-5,True,False,3
70,node1-6,node6-5,-5,True,False,4
71,node1-6,node6-5,-5,True,False,5
72,node1-6,node6-5,-5,True,False,5
73,node1-6,node6-5,-5,True,False,5
74,node1-6,node6-5,-5,True,False,3
75,node1-6,node6-5,-5,True,False,5
76,node1-6,node6-5,-5,True,False,4
77,node1-6,node6-5,-5,True,False,3
78,node1-6,node6-5,-5,True,False,5
79,node1-6,node6-5,-5,True,False,2
80,node1-6,node6-5,-5,True,False,4
81,node1-6,node6-5,-5,True,False,1
82,node1-6,node6-5,-5,True,False,3
83,node1-6,node6-5,-5,True,False,6
84,node1-6,node6-5,-5,True,False,5
85,node1-6,node6-5,-5,True,False,6
86,node1-6,node6-5,-5,True,False,5
87,node1-6,node6-5,-5,True,False,6
88,node1-6,node6-5,-5,True,False,4
89,node1-6,node6-5,-5,True,False,3
90,node1-6,node6-5,-5,True,False,5
91,node1-6,node6-5,-5,True,False,5
92,node1-6,node6-5,-5,True,False,6
93,node1-6,node6-5,-5,True,False,3
94,node1-6,node6-5,-5,True,False,4
95,node1-6,node6-5,-5,True,False,5
96,node1-6,node6-5,-5,True,False,4
97,node1-6,node6-5,-5,True,False,4
98,node1-6,node6-5,-5,True,False,3
99,node1-6,node6-5,-5,True,False,6
100,node1-6,node6-5,-5,True,False,4
101,node1-6,node6-5,-5,True,False,5
102,node1-6,node6-5,-5,True,False,5
103,node1-6,node6-5,-5,True,False,3
104,node1-6,node6-5,-5,True,False,5
105,node1-6,node6-5,-5,True,False,4
106,node1-6,node6-5,-5,True,False,5
107,node1-6,node6-5,-5,True,False,5
108,node1-6,node6-5,-5,True,False,5
109,node1-6,node6-5,-5,True,False,5
110,node1-6,node6-5,-5,True,False,3
111,node1-6,node6-5,-5,True,False,5
112,node1-6,node6-5,-5,True,False,5
113,node1-6,node6-5,-5,True,False,6
114,node1-6,node6-5,-5,True,False,5
115,node1-6,node6-5,-5,True,False,6
116,node1-6,node6-5,-5,True,False,6
117,node1-6,node6-5,-5,True,False,5
118,node1-6,node6-5,-5,True,False,4
119,node1-6,node6-5,-5,True,False,5
120,node1-6,node6-5,-5,True,False,4
121,node1-6,node6-5,-5,True,False,6
122,node1-6,node6-5,-5,True,False,4
123,node1-6,node6-5,-5,True,False,5
124,node1-6,node6-5,-5,True,False,5
125,node1-6,node6-5,-5,True,False,5
126,node1-6,node6-5,-5,True,False,5
127,node1-6,node6-5,-5,True,False,6
128,node1-6,node6-5,-5,True,False,5
129,node1-6,node6-5,-5,True,False,6
130,node1-6,node6-5,-5,True,False,5
131,node1-6,node6-5,-5,True,False,4
132,node1-6,node6-5,-5,True,False,5
133,node1-6,node6-5,-5,True,False,3
134,node1-6,node6-5,-5,True,False,4
135,node1-6,node6-5,-5,True,False,4
136,node1-6,node6-5,-5,True,False,3
137,node1-6,node6-5,-5,True,False,4
138,node1-6,node6-5,-5,True,False,5
139,node1-6,node6-5,-5,True,False,3
140,node1-6,node6-5,-5,True,False,3
141,node1-6,node6-5,-5,True,False,4
142,node1-6,node6-5,-5,True,False,5
143,node1-6,node6-5,-5,True,False,5
144,node1-6,node6-5,-5,True,False,4
145,node1-6,node6-5,-5,True,False,5
146,node1-6,node6-5,-5,True,False,6
147,node1-6,node6-5,-5,True,False,4
148,node1-6,node6-5,-5,True,False,5
149,node1-6,node6-5,-5,True,False,4
150,node1-6,node6-5,-5,True,False,4
151,node1-6,node6-5,-5,True,False,4
152,node1-6,node6-5,-5,True,False,5
153,node1-6,node6-5,-5,True,False,4
154,node1-6,node6-5,-5,True,False,5
155,node1-6,node6-5,-5,True,False,5
156,node1-6,node6-5,-5,True,False,5
157,node1-6,node6-5,-5,True,False,6
158,node1-6,node6-5,-5,True,False,5
159,node1-6,node6-5,-5,True,False,4
160,node1-6,node6-5,-5,True,False,4
161,node1-6,node6-5,-5,True,False,4
162,node1-6,node6-5,-5,True,False,3
163,node1-6,node6-5,-5,True,False,4
164,node1-6,node6-5,-5,True,False,5
165,node1-6,node6-5,-5,True,False,4
166,node1-6,node6-5,-5,True,False,5
167,node1-6,node6-5,-5,True,False,6
168,node1-6,node6-5,-5,True,False,5
169,node1-6,node6-5,-5,True,False,5
170,node1-6,node6-5,-5,True,False,5
171,node1-6,node6-5,-5,True,False,5
172,node1-6,node6-5,-5,True,False,5
173,node1-6,node6-5,-5,True,False,5
174,node1-6,node6-5,-5,True,False,4
175,node1-6,node6-5,-5,True,False,6
176,node1-6,node6-5,-5,True,False,5
177,node1-6,node6-5,-5,True,False,5
178,node1-6,node6-5,-5,True,False,4
179,node1-6,node6-5,-5,True,False,4
180,node1-6,node6-5,-5,True,False,3
181,node1-6,node6-5,-5,True,False,3
182,node1-6,node6-5,-5,True,False,4
183,node1-6,node6-5,-5,True,False,5
184,node1-6,node6-5,-5,True,False,5
185,node1-6,node6-5,-5,True,False,3
186,node1-6,node6-5,-5,True,False,4
187,node1-6,node6-5,-5,True,False,5
188,node1-6,node6-5,-5,True,False,3
189,node1-6,node6-5,-5,True,False,6
190,node1-6,node6-5,-5,True,False,5
191,node1-6,node6-5,-5,True,False,4
192,node1-6,node6-5,-5,True,False,4
193,node1-6,node6-5,-5,True,False,8
194,node1-6,node6-5,-5,True,False,5
195,node1-6,node6-5,-5,True,False,5
196,node1-6,node6-5,-5,True,False,5
197,node1-6,node6-5,-5,True,False,6
198,node1-6,node6-5,-5,True,False,3
199,node1-6,node6-5,-5,True,False,4
200,node1-6,node6-5,-5,True,False,5
201,node1-6,node6-5,-5,True,False,4
202,node1-6,node6-5,-5,True,False,3
203,node1-6,node6-5,-5,True,False,5
204,node1-6,node6-5,-5,True,False,5
205,node1-6,node6-5,-5,True,False,4
206,node1-6,node6-5,-5,True,False,5
207,node1-6,node6-5,-5,True,False,5
208,node1-6,node6-5,-5,True,False,4
209,node1-6,node6-5,-5,True,False,4
210,node1-6,node6-5,-5,True,False,5
211,node1-6,node6-5,-5,True,False,4
212,node1-6,node6-5,-5,True,False,4
213,node1-6,node6-5,-5,True,False,4
214,node1-6,node6-5,-5,True,False,4
215,node1-6,node6-5,-5,True,False,5
216,node1-6,node6-5,-5,True,False,5
217,node1-6,node6-5,-5,True,False,5
218,node1-6,node6-5,-5,True,False,5
219,node1-6,node6-5,-5,True,False,2
220,node1-6,node6-5,-5,True,False,6
221,node1-6,node6-5,-5,True,False,5
222,node1-6,node6-5,-5,True,False,4
223,node1-6,node6-5,-5,True,False,4
224,node1-6,node6-5,-5,True,False,5
225,node1-6,node6-5,-5,True,False,4
226,node1-6,node6-5,-5,True,False,5
227,node1-6,node6-5,-5,True,False,5
228,node1-6,node6-5,-5,True,False,4
229,node1-6,node6-5,-5,True,False,4
230,node1-6,node6-5,-5,True,False,4
231,node1-6,node6-5,-5,True,False,5
232,node1-6,node6-5,-5,True,False,4
233,node1-6,node6-5,-5,True,False,4
234,node1-6,node6-5,-5,True,False,4
235,node1-6,node6-5,-5,True,False,6
236,node1-6,node6-5,-5,True,False,4
237,node1-6,node6-5,-5,True,False,5
238,node1-6,node6-5,-5,True,False,6
239,node1-6,node6-5,-5,True,False,6
240,node1-6,node6-5,-5,True,False,2
241,node1-6,node6-5,-5,True,False,5
242,node1-6,node6-5,-5,True,False,5
243,node1-6,node6-5,-5,True,False,3
244,node1-6,node6-5,-5,True,False,6
245,node1-6,node6-5,-5,True,False,5
246,node1-6,node6-5,-5,True,False,5
247,node1-6,node6-5,-5,True,False,5
248,node1-6,node6-5,-5,True,False,5
249,node1-6,node6-5,-5,True,False,5
250,node1-6,node6-5,-5,True,False,5
251,node1-6,node6-5,-5,True,False,5
252,node1-6,node6-5,-5,True,False,3
253,node1-6,node6-5,-5,True,False,5
254,node1-6,node6-5,-5,True,False,4
255,node1-6,node6-5,-5,True,False,5
256,node1-6,node6-5,-5,True,False,5
257,node1-6,node6-5,-5,True,False,4
258,node1-6,node6-5,-5,True,False,7
259,node1-6,node6-5,-5,True,False,4
260,node1-6,node6-5,-5,True,False,3
261,node1-6,node6-5,-5,True,False,5
262,node1-6,node6-5,-5,True,False,6
263,node1-6,node6-5,-5,True,False,3
264,node1-6,node6-5,-5,True,False,6
265,node1-6,node6-5,-5,True,False,5
266,node1-6,node6-5,-5,True,False,5
267,node1-6,node6-5,-5,True,False,4
268,node1-6,node6-5,-5,True,False,4
269,node1-6,node6-5,-5,True,False,5
270,node1-6,node6-5,-5,True,False,5
271,node1-6,node6-5,-5,True,False,4
272,node1-6,node6-5,-5,True,False,3
273,node1-6,node6-5,-5,True,False,6
274,node1-6,node6-5,-5,True,False,4
275,node1-6,node6-5,-5,True,False,6
276,node1-6,node6-5,-5,True,False,3
277,node1-6,node6-5,-5,True,False,5
278,node1-6,node6-5,-5,True,False,4
279,node1-6,node6-5,-5,True,False,3
280,node1-6,node6-5,-5,True,False,4
281,node1-6,node6-5,-5,True,False,4
282,node1-6,node6-5,-5,True,False,5
283,node1-6,node6-5,-5,True,False,4
284,node1-6,node6-5,-5,True,False,5
285,node1-6,node6-5,-5,True,False,4
286,node1-6,node6-5,-5,True,False,5
287,node1-6,node6-5,-5,True,False,4
288,node1-6,node6-5,-5,True,False,6
289,node1-6,node6-5,-5,True,False,5
290,node1-6,node6-5,-5,True,False,4
291,node1-6,node6-5,-5,True,False,4
292,node1-6,node6-5,-5,True,False,5
