seq,src,dst,noise,received,error,rssi
1,node4-7,node8-5,-15,True,False,21
2,node4-7,node8-5,-15,True,False,19
3,node4-7,node8-5,-15,True,False,16
4,node4-7,node8-5,-15,True,False,13
5,node4-7,node8-5,-15,True,False,10
6,node4-7,node8-5,-15,True,False,12
7,node4-7,node8-5,-15,True,False,12
8,node4-7,node8-5,-15,True,False,10
9,node4-7,node8-5,-15,True,False,12
10,node4-7,node8-5,-15,True,False,13
11,node4-7,node8-5,-15,True,False,12
12,node4-7,node8-5,-15,True,False,12
13,node4-7,node8-5,-15,True,False,13
14,node4-7,node8-5,-15,True,False,12
15,node4-7,node8-5,-15,True,False,12
16,node4-7,node8-5,-15,True,False,12
17,node4-7,node8-5,-15,True,False,12
18,node4-7,node8-5,-15,True,False,13
19,node4-7,node8-5,-15,True,False,11
20,node4-7,node8-5,-15,True,False,10
21,node4-7,node8-5,-15,True,False,12
22,node4-7,node8-5,-15,True,False,12
23,node4-7,node8-5,-15,True,False,12
24,node4-7,node8-5,-15,True,False,13
25,node4-7,node8-5,-15,True,False,12
26,node4-7,node8-5,-15,True,False,12
27,node4-7,node8-5,-15,True,False,13
28,node4-7,node8-5,-15,True,False,12
29,node4-7,node8-5,-15,True,False,12
30,node4-7,node8-5,-15,True,False,11
31,node4-7,node8-5,-15,True,False,12
32,node4-7,node8-5,-15,True,False,11
33,node4-7,node8-5,-15,True,False,11
34,node4-7,node8-5,-15,True,False,11
35,node4-7,node8-5,-15,True,False,12
36,node4-7,node8-5,-15,True,False,12
37,node4-7,node8-5,-15,True,False,11
38,node4-7,node8-5,-15,True,False,12
39,node4-7,node8-5,-15,True,False,11
40,node4-7,node8-5,-15,True,False,12
41,node4-7,node8-5,-15,True,False,13
42,node4-7,node8-5,-15,True,False,13
43,node4-7,node8-5,-15,True,False,12
44,node4-7,node8-5,-15,True,False,14
45,node4-7,node8-5,-15,True,False,12
46,node4-7,node8-5,-15,True,False,13
47,node4-7,node8-5,-15,True,False,13
48,node4-7,node8-5,-15,True,False,12
49,node4-7,node8-5,-15,True,False,11
50,node4-7,node8-5,-15,True,False,13
51,node4-7,node8-5,-15,True,False,12
52,node4-7,node8-5,-15,True,False,12
53,node4-7,node8-5,-15,True,False,13
54,node4-7,node8-5,-15,True,False,12
55,node4-7,node8-5,-15,True,False,13
56,node4-7,node8-5,-15,True,False,13
57,node4-7,node8-5,-15,True,False,13
58,node4-7,node8-5,-15,True,False,12
59,node4-7,node8-5,-15,True,False,11
60,node4-7,node8-5,-15,True,False,11
61,node4-7,node8-5,-15,True,False,11
62,node4-7,node8-5,-15,True,False,13
63,node4-7,node8-5,-15,True,False,13
64,node4-7,node8-5,-15,True,False,11
65,node4-7,node8-5,-15,True,False,11
66,node4-7,node8-5,-15,True,False,13
67,node4-7,node8-5,-15,True,False,12
68,node4-7,node8-5,-15,True,False,12
69,node4-7,node8-5,-15,True,False,14
70,node4-7,node8-5,-15,True,False,11
71,node4-7,node8-5,-15,True,False,13
72,node4-7,node8-5,-15,True,False,12
73,node4-7,node8-5,-15,True,False,13
74,node4-7,node8-5,-15,True,False,13
75,node4-7,node8-5,-15,True,False,13
76,node4-7,node8-5,-15,True,False,12
77,node4-7,node8-5,-15,True,False,11
78,node4-7,node8-5,-15,True,False,12
79,node4-7,node8-5,-15,True,False,11
80,node4-7,node8-5,-15,True,False,13
81,node4-7,node8-5,-15,True,False,13
82,node4-7,node8-5,-15,True,False,12
83,node4-7,node8-5,-15,True,False,12
84,node4-7,node8-5,-15,True,False,12
85,node4-7,node8-5,-15,True,False,12
86,node4-7,node8-5,-15,True,False,11
87,node4-7,node8-5,-15,True,False,13
88,node4-7,node8-5,-15,True,False,13
89,node4-7,node8-5,-15,True,False,11
90,node4-7,node8-5,-15,True,False,11
91,node4-7,node8-5,-15,True,False,13
92,node4-7,node8-5,-15,True,False,12
93,node4-7,node8-5,-15,True,False,12
94,node4-7,node8-5,-15,True,False,12
95,node4-7,node8-5,-15,True,False,11
96,node4-7,node8-5,-15,True,False,12
97,node4-7,node8-5,-15,True,False,10
98,node4-7,node8-5,-15,True,False,13
99,node4-7,node8-5,-15,True,False,12
100,node4-7,node8-5,-15,True,False,13
101,node4-7,node8-5,-15,True,False,12
102,node4-7,node8-5,-15,True,False,11
103,node4-7,node8-5,-15,True,False,11
104,node4-7,node8-5,-15,True,False,11
105,node4-7,node8-5,-15,True,False,12
106,node4-7,node8-5,-15,True,False,11
107,node4-7,node8-5,-15,True,False,12
108,node4-7,node8-5,-15,True,False,12
109,node4-7,node8-5,-15,True,False,13
110,node4-7,node8-5,-15,True,False,13
111,node4-7,node8-5,-15,True,False,13
112,node4-7,node8-5,-15,True,False,13
113,node4-7,node8-5,-15,True,False,13
114,node4-7,node8-5,-15,True,False,11
115,node4-7,node8-5,-15,True,False,11
116,node4-7,node8-5,-15,True,False,12
117,node4-7,node8-5,-15,True,False,11
118,node4-7,node8-5,-15,True,False,12
119,node4-7,node8-5,-15,True,False,13
120,node4-7,node8-5,-15,True,False,13
121,node4-7,node8-5,-15,True,False,12
122,node4-7,node8-5,-15,True,False,12
123,node4-7,node8-5,-15,True,False,12
124,node4-7,node8-5,-15,True,False,12
125,node4-7,node8-5,-15,True,False,12
126,node4-7,node8-5,-15,True,False,13
127,node4-7,node8-5,-15,True,False,11
128,node4-7,node8-5,-15,True,False,12
129,node4-7,node8-5,-15,True,False,13
130,node4-7,node8-5,-15,True,False,11
131,node4-7,node8-5,-15,True,False,12
132,node4-7,node8-5,-15,True,False,10
133,node4-7,node8-5,-15,True,False,12
134,node4-7,node8-5,-15,True,False,13
135,node4-7,node8-5,-15,True,False,13
136,node4-7,node8-5,-15,True,False,12
137,node4-7,node8-5,-15,True,False,11
138,node4-7,node8-5,-15,True,False,11
139,node4-7,node8-5,-15,True,False,12
140,node4-7,node8-5,-15,True,False,12
141,node4-7,node8-5,-15,True,False,12
142,node4-7,node8-5,-15,True,False,12
143,node4-7,node8-5,-15,True,False,12
144,node4-7,node8-5,-15,True,False,11
145,node4-7,node8-5,-15,True,False,11
146,node4-7,node8-5,-15,True,False,12
147,node4-7,node8-5,-15,True,False,12
148,node4-7,node8-5,-15,True,False,11
149,node4-7,node8-5,-15,True,False,13
150,node4-7,node8-5,-15,True,False,11
151,node4-7,node8-5,-15,True,False,13
152,node4-7,node8-5,-15,True,False,12
153,node4-7,node8-5,-15,True,False,12
154,node4-7,node8-5,-15,True,False,13
155,node4-7,node8-5,-15,True,False,12
156,node4-7,node8-5,-15,True,False,13
157,node4-7,node8-5,-15,True,False,11
158,node4-7,node8-5,-15,True,False,12
159,node4-7,node8-5,-15,True,False,12
160,node4-7,node8-5,-15,True,False,13
161,node4-7,node8-5,-15,True,False,12
162,node4-7,node8-5,-15,True,False,12
163,node4-7,node8-5,-15,True,False,12
164,node4-7,node8-5,-15,True,False,11
165,node4-7,node8-5,-15,True,False,12
166,node4-7,node8-5,-15,True,False,13
167,node4-7,node8-5,-15,True,False,13
168,node4-7,node8-5,-15,True,False,14
169,node4-7,node8-5,-15,True,False,12
170,node4-7,node8-5,-15,True,False,12
171,node4-7,node8-5,-15,True,False,12
172,node4-7,node8-5,-15,True,False,12
173,node4-7,node8-5,-15,True,False,12
174,node4-7,node8-5,-15,True,False,13
175,node4-7,node8-5,-15,True,False,12
176,node4-7,node8-5,-15,True,False,12
177,node4-7,node8-5,-15,True,False,12
178,node4-7,node8-5,-15,True,False,14
179,node4-7,node8-5,-15,True,False,12
180,node4-7,node8-5,-15,True,False,12
181,node4-7,node8-5,-15,True,False,13
182,node4-7,node8-5,-15,True,False,14
183,node4-7,node8-5,-15,True,False,11
184,node4-7,node8-5,-15,True,False,10
185,node4-7,node8-5,-15,True,False,13
186,node4-7,node8-5,-15,True,False,12
187,node4-7,node8-5,-15,True,False,12
188,node4-7,node8-5,-15,True,False,13
189,node4-7,node8-5,-15,True,False,14
190,node4-7,node8-5,-15,True,False,11
191,node4-7,node8-5,-15,True,False,12
192,node4-7,node8-5,-15,True,False,12
193,node4-7,node8-5,-15,True,False,10
194,node4-7,node8-5,-15,True,False,12
195,node4-7,node8-5,-15,True,False,12
196,node4-7,node8-5,-15,True,False,12
197,node4-7,node8-5,-15,True,False,13
198,node4-7,node8-5,-15,True,False,14
199,node4-7,node8-5,-15,True,False,12
200,node4-7,node8-5,-15,True,False,13
201,node4-7,node8-5,-15,True,False,13
202,node4-7,node8-5,-15,True,False,12
203,node4-7,node8-5,-15,True,False,13
204,node4-7,node8-5,-15,True,False,12
205,node4-7,node8-5,-15,True,False,13
206,node4-7,node8-5,-15,True,False,13
207,node4-7,node8-5,-15,True,False,12
208,node4-7,node8-5,-15,True,False,11
209,node4-7,node8-5,-15,True,False,12
210,node4-7,node8-5,-15,True,False,12
211,node4-7,node8-5,-15,True,False,13
212,node4-7,node8-5,-15,True,False,12
213,node4-7,node8-5,-15,True,False,12
214,node4-7,node8-5,-15,True,False,12
215,node4-7,node8-5,-15,True,False,14
216,node4-7,node8-5,-15,True,False,13
217,node4-7,node8-5,-15,True,False,13
218,node4-7,node8-5,-15,True,False,12
219,node4-7,node8-5,-15,True,False,13
220,node4-7,node8-5,-15,True,False,14
221,node4-7,node8-5,-15,True,False,12
222,node4-7,node8-5,-15,True,False,14
223,node4-7,node8-5,-15,True,False,12
224,node4-7,node8-5,-15,True,False,10
225,node4-7,node8-5,-15,True,False,11
226,node4-7,node8-5,-15,True,False,12
227,node4-7,node8-5,-15,True,False,12
228,node4-7,node8-5,-15,True,False,12
229,node4-7,node8-5,-15,True,False,12
230,node4-7,node8-5,-15,True,False,11
231,node4-7,node8-5,-15,True,False,12
232,node4-7,node8-5,-15,True,False,11
233,node4-7,node8-5,-15,True,False,12
234,node4-7,node8-5,-15,True,False,13
235,node4-7,node8-5,-15,True,False,13
236,node4-7,node8-5,-15,True,False,13
237,node4-7,node8-5,-15,True,False,13
238,node4-7,node8-5,-15,True,False,11
239,node4-7,node8-5,-15,True,False,13
240,node4-7,node8-5,-15,True,False,13
241,node4-7,node8-5,-15,True,False,12
242,node4-7,node8-5,-15,True,False,11
243,node4-7,node8-5,-15,True,False,12
244,node4-7,node8-5,-15,True,False,13
245,node4-7,node8-5,-15,True,False,14
246,node4-7,node8-5,-15,True,False,13
247,node4-7,node8-5,-15,True,False,13
248,node4-7,node8-5,-15,True,False,12
249,node4-7,node8-5,-15,True,False,11
250,node4-7,node8-5,-15,True,False,12
251,node4-7,node8-5,-15,True,False,12
252,node4-7,node8-5,-15,True,False,12
253,node4-7,node8-5,-15,True,False,12
254,node4-7,node8-5,-15,True,False,13
255,node4-7,node8-5,-15,True,False,12
256,node4-7,node8-5,-15,True,False,12
257,node4-7,node8-5,-15,True,False,13
258,node4-7,node8-5,-15,True,False,14
259,node4-7,node8-5,-15,True,False,13
260,node4-7,node8-5,-15,True,False,13
261,node4-7,node8-5,-15,True,False,13
262,node4-7,node8-5,-15,True,False,12
263,node4-7,node8-5,-15,True,False,13
264,node4-7,node8-5,-15,True,False,12
265,node4-7,node8-5,-15,True,False,12
266,node4-7,node8-5,-15,True,False,13
267,node4-7,node8-5,-15,True,False,13
268,node4-7,node8-5,-15,True,False,12
269,node4-7,node8-5,-15,True,False,12
270,node4-7,node8-5,-15,True,False,13
271,node4-7,node8-5,-15,True,False,13
272,node4-7,node8-5,-15,True,False,12
273,node4-7,node8-5,-15,True,False,11
274,node4-7,node8-5,-15,True,False,11
275,node4-7,node8-5,-15,True,False,12
276,node4-7,node8-5,-15,True,False,12
277,node4-7,node8-5,-15,True,False,12
278,node4-7,node8-5,-15,True,False,14
279,node4-7,node8-5,-15,True,False,13
280,node4-7,node8-5,-15,True,False,13
281,node4-7,node8-5,-15,True,False,13
282,node4-7,node8-5,-15,True,False,12
283,node4-7,node8-5,-15,True,False,10
284,node4-7,node8-5,-15,True,False,12
285,node4-7,node8-5,-15,True,False,12
286,node4-7,node8-5,-15,True,False,13
287,node4-7,node8-5,-15,True,False,11
288,node4-7,node8-5,-15,True,False,12
289,node4-7,node8-5,-15,True,False,12
290,node4-7,node8-5,-15,True,False,13
291,node4-7,node8-5,-15,True,False,12
292,node4-7,node8-5,-15,True,False,13
293,node4-7,node8-5,-15,True,False,13
294,node4-7,node8-5,-15,True,False,12
295,node4-7,node8-5,-15,True,False,12
296,node4-7,node8-5,-15,True,False,12
297,node4-7,node8-5,-15,True,False,13
298,node4-7,node8-5,-15,True,False,12
299,node4-7,node8-5,-15,True,False,13
300,node4-7,node8-5,-15,True,False,10
