seq,src,dst,noise,received,error,rssi
1,node5-2,node6-5,-15,True,False,17
2,node5-2,node6-5,-15,True,False,16
3,node5-2,node6-5,-15,True,False,11
4,node5-2,node6-5,-15,True,False,13
5,node5-2,node6-5,-15,True,False,12
6,node5-2,node6-5,-15,True,False,10
7,node5-2,node6-5,-15,True,False,8
8,node5-2,node6-5,-15,True,False,11
9,node5-2,node6-5,-15,True,False,14
10,node5-2,node6-5,-15,True,False,12
11,node5-2,node6-5,-15,True,False,9
12,node5-2,node6-5,-15,True,False,13
13,node5-2,node6-5,-15,True,False,11
14,node5-2,node6-5,-15,True,False,13
15,node5-2,node6-5,-15,True,False,11
16,node5-2,node6-5,-15,True,False,12
17,node5-2,node6-5,-15,True,False,12
18,node5-2,node6-5,-15,True,False,11
19,node5-2,node6-5,-15,True,False,11
20,node5-2,node6-5,-15,True,False,13
21,node5-2,node6-5,-15,True,False,11
22,node5-2,node6-5,-15,True,False,12
23,node5-2,node6-5,-15,True,False,12
24,node5-2,node6-5,-15,True,False,12
25,node5-2,node6-5,-15,True,False,13
26,node5-2,node6-5,-15,True,False,11
27,node5-2,node6-5,-15,True,False,12
28,node5-2,node6-5,-15,True,False,11
29,node5-2,node6-5,-15,True,False,12
30,node5-2,node6-5,-15,True,False,12
31,node5-2,node6-5,-15,True,False,12
32,node5-2,node6-5,-15,True,False,11
33,node5-2,node6-5,-15,True,False,13
34,node5-2,node6-5,-15,True,False,14
35,node5-2,node6-5,-15,True,False,11
36,node5-2,node6-5,-15,True,False,12
37,node5-2,node6-5,-15,True,False,11
38,node5-2,node6-5,-15,True,False,11
39,node5-2,node6-5,-15,True,False,12
40,node5-2,node6-5,-15,True,False,11
41,node5-2,node6-5,-15,True,False,13
42,node5-2,node6-5,-15,True,False,13
43,node5-2,node6-5,-15,True,False,11
44,node5-2,node6-5,-15,True,False,12
45,node5-2,node6-5,-15,True,False,11
46,node5-2,node6-5,-15,True,False,10
47,node5-2,node6-5,-15,True,False,12
48,node5-2,node6-5,-15,True,False,13
49,node5-2,node6-5,-15,True,False,12
