seq,src,dst,noise,received,error,rssi
1,node6-5,node4-5,-5,True,False,12
2,node6-5,node4-5,-5,True,False,11
3,node6-5,node4-5,-5,True,False,7
4,node6-5,node4-5,-5,True,False,6
5,node6-5,node4-5,-5,True,False,9
6,node6-5,node4-5,-5,True,False,7
7,node6-5,node4-5,-5,True,False,7
8,node6-5,node4-5,-5,True,False,6
9,node6-5,node4-5,-5,True,False,8
10,node6-5,node4-5,-5,True,False,9
11,node6-5,node4-5,-5,True,False,8
12,node6-5,node4-5,-5,True,False,10
13,node6-5,node4-5,-5,True,False,7
14,node6-5,node4-5,-5,True,False,9
15,node6-5,node4-5,-5,True,False,8
16,node6-5,node4-5,-5,True,False,7
17,node6-5,node4-5,-5,True,False,7
18,node6-5,node4-5,-5,True,False,8
19,node6-5,node4-5,-5,True,False,8
20,node6-5,node4-5,-5,True,False,7
21,node6-5,node4-5,-5,True,False,9
22,node6-5,node4-5,-5,True,False,7
23,node6-5,node4-5,-5,True,False,9
24,node6-5,node4-5,-5,True,False,9
25,node6-5,node4-5,-5,True,False,7
26,node6-5,node4-5,-5,True,False,9
27,node6-5,node4-5,-5,True,False,6
28,node6-5,node4-5,-5,True,False,7
29,node6-5,node4-5,-5,True,False,8
30,node6-5,node4-5,-5,True,False,9
31,node6-5,node4-5,-5,True,False,8
32,node6-5,node4-5,-5,True,False,7
33,node6-5,node4-5,-5,True,False,7
34,node6-5,node4-5,-5,True,False,7
35,node6-5,node4-5,-5,True,False,9
36,node6-5,node4-5,-5,True,False,7
37,node6-5,node4-5,-5,True,False,8
38,node6-5,node4-5,-5,True,False,7
39,node6-5,node4-5,-5,True,False,8
40,node6-5,node4-5,-5,True,False,8
41,node6-5,node4-5,-5,True,False,5
42,node6-5,node4-5,-5,True,False,9
43,node6-5,node4-5,-5,True,False,7
44,node6-5,node4-5,-5,True,False,10
45,node6-5,node4-5,-5,True,False,7
46,node6-5,node4-5,-5,True,False,7
47,node6-5,node4-5,-5,True,False,9
48,node6-5,node4-5,-5,True,False,8
49,node6-5,node4-5,-5,True,False,8
50,node6-5,node4-5,-5,True,False,9
51,node6-5,node4-5,-5,True,False,8
52,node6-5,node4-5,-5,True,False,8
53,node6-5,node4-5,-5,True,False,7
54,node6-5,node4-5,-5,True,False,7
55,node6-5,node4-5,-5,True,False,7
56,node6-5,node4-5,-5,True,False,9
57,node6-5,node4-5,-5,True,False,7
58,node6-5,node4-5,-5,True,False,8
59,node6-5,node4-5,-5,True,False,9
60,node6-5,node4-5,-5,True,False,9
61,node6-5,node4-5,-5,True,False,8
62,node6-5,node4-5,-5,True,False,8
63,node6-5,node4-5,-5,True,False,9
64,node6-5,node4-5,-5,True,False,6
65,node6-5,node4-5,-5,True,False,8
66,node6-5,node4-5,-5,True,False,8
67,node6-5,node4-5,-5,True,False,10
68,node6-5,node4-5,-5,True,False,8
69,node6-5,node4-5,-5,True,False,8
70,node6-5,node4-5,-5,True,False,9
71,node6-5,node4-5,-5,True,False,7
72,node6-5,node4-5,-5,True,False,8
73,node6-5,node4-5,-5,True,False,8
74,node6-5,node4-5,-5,True,False,4
75,node6-5,node4-5,-5,True,False,8
76,node6-5,node4-5,-5,True,False,7
77,node6-5,node4-5,-5,True,False,7
78,node6-5,node4-5,-5,True,False,9
79,node6-5,node4-5,-5,True,False,9
80,node6-5,node4-5,-5,True,False,8
81,node6-5,node4-5,-5,True,False,8
82,node6-5,node4-5,-5,True,False,7
83,node6-5,node4-5,-5,True,False,6
84,node6-5,node4-5,-5,True,False,9
85,node6-5,node4-5,-5,True,False,7
86,node6-5,node4-5,-5,True,False,8
87,node6-5,node4-5,-5,True,False,7
88,node6-5,node4-5,-5,True,False,8
89,node6-5,node4-5,-5,True,False,7
90,node6-5,node4-5,-5,True,False,8
91,node6-5,node4-5,-5,True,False,7
92,node6-5,node4-5,-5,True,False,7
93,node6-5,node4-5,-5,True,False,9
94,node6-5,node4-5,-5,True,False,7
95,node6-5,node4-5,-5,True,False,9
96,node6-5,node4-5,-5,True,False,8
97,node6-5,node4-5,-5,True,False,8
98,node6-5,node4-5,-5,True,False,6
99,node6-5,node4-5,-5,True,False,8
100,node6-5,node4-5,-5,True,False,7
101,node6-5,node4-5,-5,True,False,8
102,node6-5,node4-5,-5,True,False,6
103,node6-5,node4-5,-5,True,False,9
104,node6-5,node4-5,-5,True,False,8
105,node6-5,node4-5,-5,True,False,8
106,node6-5,node4-5,-5,True,False,8
107,node6-5,node4-5,-5,True,False,7
108,node6-5,node4-5,-5,True,False,6
109,node6-5,node4-5,-5,True,False,7
110,node6-5,node4-5,-5,True,False,7
111,node6-5,node4-5,-5,True,False,9
112,node6-5,node4-5,-5,True,False,9
113,node6-5,node4-5,-5,True,False,8
114,node6-5,node4-5,-5,True,False,8
115,node6-5,node4-5,-5,True,False,8
116,node6-5,node4-5,-5,True,False,8
117,node6-5,node4-5,-5,True,False,9
118,node6-5,node4-5,-5,True,False,7
119,node6-5,node4-5,-5,True,False,8
120,node6-5,node4-5,-5,True,False,6
121,node6-5,node4-5,-5,True,False,9
122,node6-5,node4-5,-5,True,False,7
123,node6-5,node4-5,-5,True,False,7
124,node6-5,node4-5,-5,True,False,8
125,node6-5,node4-5,-5,True,False,8
126,node6-5,node4-5,-5,True,False,8
127,node6-5,node4-5,-5,True,False,7
128,node6-5,node4-5,-5,True,False,7
129,node6-5,node4-5,-5,True,False,8
130,node6-5,node4-5,-5,True,False,7
131,node6-5,node4-5,-5,True,False,7
132,node6-5,node4-5,-5,True,False,6
133,node6-5,node4-5,-5,True,False,8
134,node6-5,node4-5,-5,True,False,8
135,node6-5,node4-5,-5,True,False,8
136,node6-5,node4-5,-5,True,False,8
137,node6-5,node4-5,-5,True,False,8
138,node6-5,node4-5,-5,True,False,8
139,node6-5,node4-5,-5,True,False,6
140,node6-5,node4-5,-5,True,False,9
141,node6-5,node4-5,-5,True,False,8
142,node6-5,node4-5,-5,True,False,8
143,node6-5,node4-5,-5,True,False,5
144,node6-5,node4-5,-5,True,False,8
145,node6-5,node4-5,-5,True,False,9
146,node6-5,node4-5,-5,True,False,8
147,node6-5,node4-5,-5,True,False,8
