seq,src,dst,noise,received,error,rssi
1,node4-3,node8-5,-20,True,False,14
2,node4-3,node8-5,-20,True,False,13
3,node4-3,node8-5,-20,True,False,9
4,node4-3,node8-5,-20,True,False,7
5,node4-3,node8-5,-20,True,False,7
6,node4-3,node8-5,-20,True,False,7
7,node4-3,node8-5,-20,True,False,8
8,node4-3,node8-5,-20,True,False,8
9,node4-3,node8-5,-20,True,False,6
10,node4-3,node8-5,-20,True,False,7
11,node4-3,node8-5,-20,True,False,9
12,node4-3,node8-5,-20,True,False,7
13,node4-3,node8-5,-20,True,False,9
14,node4-3,node8-5,-20,True,False,8
15,node4-3,node8-5,-20,True,False,6
16,node4-3,node8-5,-20,True,False,6
17,node4-3,node8-5,-20,True,False,9
18,node4-3,node8-5,-20,True,False,8
19,node4-3,node8-5,-20,True,False,7
20,node4-3,node8-5,-20,True,False,6
21,node4-3,node8-5,-20,True,False,8
22,node4-3,node8-5,-20,True,False,7
23,node4-3,node8-5,-20,True,False,7
24,node4-3,node8-5,-20,True,False,8
25,node4-3,node8-5,-20,True,False,9
26,node4-3,node8-5,-20,True,False,7
27,node4-3,node8-5,-20,True,False,7
28,node4-3,node8-5,-20,True,False,7
29,node4-3,node8-5,-20,True,False,6
30,node4-3,node8-5,-20,True,False,6
31,node4-3,node8-5,-20,True,False,7
32,node4-3,node8-5,-20,True,False,9
33,node4-3,node8-5,-20,True,False,8
34,node4-3,node8-5,-20,True,False,7
35,node4-3,node8-5,-20,True,False,8
36,node4-3,node8-5,-20,True,False,7
37,node4-3,node8-5,-20,True,False,7
38,node4-3,node8-5,-20,True,False,7
39,node4-3,node8-5,-20,True,False,8
40,node4-3,node8-5,-20,True,False,9
41,node4-3,node8-5,-20,True,False,9
42,node4-3,node8-5,-20,True,False,9
43,node4-3,node8-5,-20,True,False,7
44,node4-3,node8-5,-20,True,False,9
45,node4-3,node8-5,-20,True,False,7
46,node4-3,node8-5,-20,True,False,7
47,node4-3,node8-5,-20,True,False,7
48,node4-3,node8-5,-20,True,False,8
49,node4-3,node8-5,-20,True,False,7
50,node4-3,node8-5,-20,True,False,9
51,node4-3,node8-5,-20,True,False,8
52,node4-3,node8-5,-20,True,False,8
53,node4-3,node8-5,-20,True,False,8
54,node4-3,node8-5,-20,True,False,7
55,node4-3,node8-5,-20,True,False,8
56,node4-3,node8-5,-20,True,False,9
57,node4-3,node8-5,-20,True,False,9
58,node4-3,node8-5,-20,True,False,9
59,node4-3,node8-5,-20,True,False,6
60,node4-3,node8-5,-20,True,False,9
61,node4-3,node8-5,-20,True,False,9
62,node4-3,node8-5,-20,True,False,7
63,node4-3,node8-5,-20,True,False,8
64,node4-3,node8-5,-20,True,False,7
65,node4-3,node8-5,-20,True,False,7
66,node4-3,node8-5,-20,True,False,7
67,node4-3,node8-5,-20,True,False,6
68,node4-3,node8-5,-20,True,False,9
69,node4-3,node8-5,-20,True,False,9
70,node4-3,node8-5,-20,True,False,7
71,node4-3,node8-5,-20,True,False,8
72,node4-3,node8-5,-20,True,False,10
73,node4-3,node8-5,-20,True,False,6
74,node4-3,node8-5,-20,True,False,6
75,node4-3,node8-5,-20,True,False,9
76,node4-3,node8-5,-20,True,False,7
77,node4-3,node8-5,-20,True,False,9
78,node4-3,node8-5,-20,True,False,8
79,node4-3,node8-5,-20,True,False,7
80,node4-3,node8-5,-20,True,False,9
81,node4-3,node8-5,-20,True,False,9
82,node4-3,node8-5,-20,True,False,7
83,node4-3,node8-5,-20,True,False,7
84,node4-3,node8-5,-20,True,False,6
85,node4-3,node8-5,-20,True,False,9
86,node4-3,node8-5,-20,True,False,6
87,node4-3,node8-5,-20,True,False,6
88,node4-3,node8-5,-20,True,False,7
89,node4-3,node8-5,-20,True,False,9
90,node4-3,node8-5,-20,True,False,8
91,node4-3,node8-5,-20,True,False,6
92,node4-3,node8-5,-20,True,False,9
93,node4-3,node8-5,-20,True,False,8
94,node4-3,node8-5,-20,True,False,9
95,node4-3,node8-5,-20,True,False,7
96,node4-3,node8-5,-20,True,False,7
97,node4-3,node8-5,-20,True,False,8
98,node4-3,node8-5,-20,True,False,7
99,node4-3,node8-5,-20,True,False,7
100,node4-3,node8-5,-20,True,False,8
101,node4-3,node8-5,-20,True,False,9
102,node4-3,node8-5,-20,True,False,8
103,node4-3,node8-5,-20,True,False,7
104,node4-3,node8-5,-20,True,False,9
105,node4-3,node8-5,-20,True,False,9
106,node4-3,node8-5,-20,True,False,7
107,node4-3,node8-5,-20,True,False,7
108,node4-3,node8-5,-20,True,False,8
109,node4-3,node8-5,-20,True,False,9
110,node4-3,node8-5,-20,True,False,8
111,node4-3,node8-5,-20,True,False,7
112,node4-3,node8-5,-20,True,False,9
113,node4-3,node8-5,-20,True,False,7
114,node4-3,node8-5,-20,True,False,8
115,node4-3,node8-5,-20,True,False,8
116,node4-3,node8-5,-20,True,False,7
117,node4-3,node8-5,-20,True,False,9
118,node4-3,node8-5,-20,True,False,9
119,node4-3,node8-5,-20,True,False,8
120,node4-3,node8-5,-20,True,False,8
121,node4-3,node8-5,-20,True,False,6
122,node4-3,node8-5,-20,True,False,7
123,node4-3,node8-5,-20,True,False,7
124,node4-3,node8-5,-20,True,False,9
125,node4-3,node8-5,-20,True,False,8
126,node4-3,node8-5,-20,True,False,9
127,node4-3,node8-5,-20,True,False,6
128,node4-3,node8-5,-20,True,False,6
129,node4-3,node8-5,-20,True,False,8
130,node4-3,node8-5,-20,True,False,7
131,node4-3,node8-5,-20,True,False,8
132,node4-3,node8-5,-20,True,False,9
133,node4-3,node8-5,-20,True,False,9
134,node4-3,node8-5,-20,True,False,8
135,node4-3,node8-5,-20,True,False,6
136,node4-3,node8-5,-20,True,False,8
137,node4-3,node8-5,-20,True,False,10
138,node4-3,node8-5,-20,True,False,10
139,node4-3,node8-5,-20,True,False,7
140,node4-3,node8-5,-20,True,False,7
141,node4-3,node8-5,-20,True,False,10
142,node4-3,node8-5,-20,True,False,7
143,node4-3,node8-5,-20,True,False,6
144,node4-3,node8-5,-20,True,False,9
145,node4-3,node8-5,-20,True,False,9
146,node4-3,node8-5,-20,True,False,7
147,node4-3,node8-5,-20,True,False,8
148,node4-3,node8-5,-20,True,False,6
