seq,src,dst,noise,received,error,rssi
1,node3-8,node1-8,-15,True,False,18
2,node3-8,node1-8,-15,True,False,15
3,node3-8,node1-8,-15,True,False,14
4,node3-8,node1-8,-15,True,False,14
5,node3-8,node1-8,-15,True,False,14
6,node3-8,node1-8,-15,True,False,13
7,node3-8,node1-8,-15,True,False,14
8,node3-8,node1-8,-15,True,False,15
9,node3-8,node1-8,-15,True,False,14
10,node3-8,node1-8,-15,True,False,14
11,node3-8,node1-8,-15,True,False,15
12,node3-8,node1-8,-15,True,False,15
13,node3-8,node1-8,-15,True,False,13
14,node3-8,node1-8,-15,True,False,14
15,node3-8,node1-8,-15,True,False,14
16,node3-8,node1-8,-15,True,False,14
17,node3-8,node1-8,-15,True,False,14
18,node3-8,node1-8,-15,True,False,15
19,node3-8,node1-8,-15,True,False,15
20,node3-8,node1-8,-15,True,False,15
21,node3-8,node1-8,-15,True,False,14
22,node3-8,node1-8,-15,True,False,14
23,node3-8,node1-8,-15,True,False,14
24,node3-8,node1-8,-15,True,False,14
25,node3-8,node1-8,-15,True,False,15
26,node3-8,node1-8,-15,True,False,14
27,node3-8,node1-8,-15,True,False,15
28,node3-8,node1-8,-15,True,False,14
29,node3-8,node1-8,-15,True,False,14
30,node3-8,node1-8,-15,True,False,14
31,node3-8,node1-8,-15,True,False,14
32,node3-8,node1-8,-15,True,False,14
33,node3-8,node1-8,-15,True,False,15
34,node3-8,node1-8,-15,True,False,14
35,node3-8,node1-8,-15,True,False,15
36,node3-8,node1-8,-15,True,False,15
37,node3-8,node1-8,-15,True,False,14
38,node3-8,node1-8,-15,True,False,14
39,node3-8,node1-8,-15,True,False,13
40,node3-8,node1-8,-15,True,False,15
41,node3-8,node1-8,-15,True,False,15
42,node3-8,node1-8,-15,True,False,14
43,node3-8,node1-8,-15,True,False,14
44,node3-8,node1-8,-15,True,False,14
45,node3-8,node1-8,-15,True,False,15
46,node3-8,node1-8,-15,True,False,15
47,node3-8,node1-8,-15,True,False,14
48,node3-8,node1-8,-15,True,False,15
49,node3-8,node1-8,-15,True,False,13
50,node3-8,node1-8,-15,True,False,14
51,node3-8,node1-8,-15,True,False,15
52,node3-8,node1-8,-15,True,False,14
53,node3-8,node1-8,-15,True,False,15
54,node3-8,node1-8,-15,True,False,15
55,node3-8,node1-8,-15,True,False,14
56,node3-8,node1-8,-15,True,False,14
57,node3-8,node1-8,-15,True,False,16
58,node3-8,node1-8,-15,True,False,14
59,node3-8,node1-8,-15,True,False,15
60,node3-8,node1-8,-15,True,False,13
61,node3-8,node1-8,-15,True,False,14
62,node3-8,node1-8,-15,True,False,14
63,node3-8,node1-8,-15,True,False,15
64,node3-8,node1-8,-15,True,False,15
65,node3-8,node1-8,-15,True,False,14
66,node3-8,node1-8,-15,True,False,15
67,node3-8,node1-8,-15,True,False,15
68,node3-8,node1-8,-15,True,False,14
