seq,src,dst,noise,received,error,rssi
1,node1-2,node5-2,-15,True,False,27
2,node1-2,node5-2,-15,True,False,25
3,node1-2,node5-2,-15,True,False,23
4,node1-2,node5-2,-15,True,False,22
5,node1-2,node5-2,-15,True,False,21
6,node1-2,node5-2,-15,True,False,22
7,node1-2,node5-2,-15,True,False,22
8,node1-2,node5-2,-15,True,False,22
9,node1-2,node5-2,-15,True,False,21
10,node1-2,node5-2,-15,True,False,21
11,node1-2,node5-2,-15,True,False,21
12,node1-2,node5-2,-15,True,False,21
13,node1-2,node5-2,-15,True,False,22
14,node1-2,node5-2,-15,True,False,22
15,node1-2,node5-2,-15,True,False,21
16,node1-2,node5-2,-15,True,False,21
17,node1-2,node5-2,-15,True,False,22
18,node1-2,node5-2,-15,True,False,22
19,node1-2,node5-2,-15,True,False,22
20,node1-2,node5-2,-15,True,False,22
21,node1-2,node5-2,-15,True,False,21
22,node1-2,node5-2,-15,True,False,21
23,node1-2,node5-2,-15,True,False,21
24,node1-2,node5-2,-15,True,False,22
25,node1-2,node5-2,-15,True,False,21
26,node1-2,node5-2,-15,True,False,21
27,node1-2,node5-2,-15,True,False,22
28,node1-2,node5-2,-15,True,False,22
29,node1-2,node5-2,-15,True,False,22
30,node1-2,node5-2,-15,True,False,22
31,node1-2,node5-2,-15,True,False,21
32,node1-2,node5-2,-15,True,False,22
33,node1-2,node5-2,-15,True,False,22
34,node1-2,node5-2,-15,True,False,22
35,node1-2,node5-2,-15,True,False,22
36,node1-2,node5-2,-15,True,False,22
37,node1-2,node5-2,-15,True,False,22
38,node1-2,node5-2,-15,True,False,22
39,node1-2,node5-2,-15,True,False,21
40,node1-2,node5-2,-15,True,False,22
41,node1-2,node5-2,-15,True,False,22
42,node1-2,node5-2,-15,True,False,22
43,node1-2,node5-2,-15,True,False,22
44,node1-2,node5-2,-15,True,False,22
45,node1-2,node5-2,-15,True,False,22
46,node1-2,node5-2,-15,True,False,22
47,node1-2,node5-2,-15,True,False,22
48,node1-2,node5-2,-15,True,False,21
49,node1-2,node5-2,-15,True,False,22
50,node1-2,node5-2,-15,True,False,21
51,node1-2,node5-2,-15,True,False,22
52,node1-2,node5-2,-15,True,False,22
53,node1-2,node5-2,-15,True,False,21
54,node1-2,node5-2,-15,True,False,22
55,node1-2,node5-2,-15,True,False,22
56,node1-2,node5-2,-15,True,False,22
57,node1-2,node5-2,-15,True,False,22
58,node1-2,node5-2,-15,True,False,21
59,node1-2,node5-2,-15,True,False,22
60,node1-2,node5-2,-15,True,False,21
61,node1-2,node5-2,-15,True,False,22
62,node1-2,node5-2,-15,True,False,22
63,node1-2,node5-2,-15,True,False,21
64,node1-2,node5-2,-15,True,False,22
65,node1-2,node5-2,-15,True,False,21
66,node1-2,node5-2,-15,True,False,22
67,node1-2,node5-2,-15,True,False,22
68,node1-2,node5-2,-15,True,False,21
69,node1-2,node5-2,-15,True,False,22
70,node1-2,node5-2,-15,True,False,22
71,node1-2,node5-2,-15,True,False,22
72,node1-2,node5-2,-15,True,False,22
73,node1-2,node5-2,-15,True,False,21
74,node1-2,node5-2,-15,True,False,22
75,node1-2,node5-2,-15,True,False,22
76,node1-2,node5-2,-15,True,False,21
77,node1-2,node5-2,-15,True,False,21
78,node1-2,node5-2,-15,True,False,21
79,node1-2,node5-2,-15,True,False,22
80,node1-2,node5-2,-15,True,False,22
81,node1-2,node5-2,-15,True,False,21
82,node1-2,node5-2,-15,True,False,22
83,node1-2,node5-2,-15,True,False,22
84,node1-2,node5-2,-15,True,False,21
85,node1-2,node5-2,-15,True,False,22
86,node1-2,node5-2,-15,True,False,22
87,node1-2,node5-2,-15,True,False,22
88,node1-2,node5-2,-15,True,False,22
89,node1-2,node5-2,-15,True,False,22
90,node1-2,node5-2,-15,True,False,22
91,node1-2,node5-2,-15,True,False,22
92,node1-2,node5-2,-15,True,False,22
93,node1-2,node5-2,-15,True,False,22
94,node1-2,node5-2,-15,True,False,22
95,node1-2,node5-2,-15,True,False,22
96,node1-2,node5-2,-15,True,False,22
97,node1-2,node5-2,-15,True,False,22
98,node1-2,node5-2,-15,True,False,23
99,node1-2,node5-2,-15,True,False,22
100,node1-2,node5-2,-15,True,False,22
101,node1-2,node5-2,-15,True,False,22
102,node1-2,node5-2,-15,True,False,21
103,node1-2,node5-2,-15,True,False,22
104,node1-2,node5-2,-15,True,False,21
