seq,src,dst,noise,received,error,rssi
1,node4-5,node6-3,-10,True,False,23
2,node4-5,node6-3,-10,True,False,22
3,node4-5,node6-3,-10,True,False,20
4,node4-5,node6-3,-10,True,False,16
5,node4-5,node6-3,-10,True,False,15
6,node4-5,node6-3,-10,True,False,17
7,node4-5,node6-3,-10,True,False,16
8,node4-5,node6-3,-10,True,False,16
9,node4-5,node6-3,-10,True,False,16
10,node4-5,node6-3,-10,True,False,16
11,node4-5,node6-3,-10,True,False,16
12,node4-5,node6-3,-10,True,False,16
13,node4-5,node6-3,-10,True,False,17
14,node4-5,node6-3,-10,True,False,15
15,node4-5,node6-3,-10,True,False,16
16,node4-5,node6-3,-10,True,False,16
17,node4-5,node6-3,-10,True,False,16
18,node4-5,node6-3,-10,True,False,17
19,node4-5,node6-3,-10,True,False,16
20,node4-5,node6-3,-10,True,False,16
21,node4-5,node6-3,-10,True,False,16
22,node4-5,node6-3,-10,True,False,16
23,node4-5,node6-3,-10,True,False,16
24,node4-5,node6-3,-10,True,False,17
25,node4-5,node6-3,-10,True,False,16
26,node4-5,node6-3,-10,True,False,16
27,node4-5,node6-3,-10,True,False,16
28,node4-5,node6-3,-10,True,False,16
29,node4-5,node6-3,-10,True,False,16
30,node4-5,node6-3,-10,True,False,16
31,node4-5,node6-3,-10,True,False,16
32,node4-5,node6-3,-10,True,False,16
33,node4-5,node6-3,-10,True,False,16
34,node4-5,node6-3,-10,True,False,15
35,node4-5,node6-3,-10,True,False,16
36,node4-5,node6-3,-10,True,False,15
37,node4-5,node6-3,-10,True,False,16
38,node4-5,node6-3,-10,True,False,17
39,node4-5,node6-3,-10,True,False,17
40,node4-5,node6-3,-10,True,False,16
41,node4-5,node6-3,-10,True,False,16
42,node4-5,node6-3,-10,True,False,16
43,node4-5,node6-3,-10,True,False,16
44,node4-5,node6-3,-10,True,False,16
45,node4-5,node6-3,-10,True,False,17
46,node4-5,node6-3,-10,True,False,15
47,node4-5,node6-3,-10,True,False,16
48,node4-5,node6-3,-10,True,False,17
49,node4-5,node6-3,-10,True,False,16
50,node4-5,node6-3,-10,True,False,17
51,node4-5,node6-3,-10,True,False,16
52,node4-5,node6-3,-10,True,False,16
53,node4-5,node6-3,-10,True,False,15
54,node4-5,node6-3,-10,True,False,16
55,node4-5,node6-3,-10,True,False,16
56,node4-5,node6-3,-10,True,False,16
57,node4-5,node6-3,-10,True,False,16
58,node4-5,node6-3,-10,True,False,16
59,node4-5,node6-3,-10,True,False,17
60,node4-5,node6-3,-10,True,False,16
61,node4-5,node6-3,-10,True,False,16
