seq,src,dst,noise,received,error,rssi
1,node6-3,node7-4,-10,True,False,15
2,node6-3,node7-4,-10,True,False,13
3,node6-3,node7-4,-10,True,False,11
4,node6-3,node7-4,-10,True,False,10
5,node6-3,node7-4,-10,True,False,10
6,node6-3,node7-4,-10,True,False,10
7,node6-3,node7-4,-10,True,False,10
8,node6-3,node7-4,-10,True,False,11
9,node6-3,node7-4,-10,True,False,10
10,node6-3,node7-4,-10,True,False,11
11,node6-3,node7-4,-10,True,False,11
12,node6-3,node7-4,-10,True,False,10
13,node6-3,node7-4,-10,True,False,11
14,node6-3,node7-4,-10,True,False,11
15,node6-3,node7-4,-10,True,False,10
16,node6-3,node7-4,-10,True,False,11
17,node6-3,node7-4,-10,True,False,9
18,node6-3,node7-4,-10,True,False,11
19,node6-3,node7-4,-10,True,False,10
20,node6-3,node7-4,-10,True,False,11
21,node6-3,node7-4,-10,True,False,10
22,node6-3,node7-4,-10,True,False,10
23,node6-3,node7-4,-10,True,False,9
24,node6-3,node7-4,-10,True,False,11
25,node6-3,node7-4,-10,True,False,12
26,node6-3,node7-4,-10,True,False,10
27,node6-3,node7-4,-10,True,False,10
28,node6-3,node7-4,-10,True,False,11
29,node6-3,node7-4,-10,True,False,12
30,node6-3,node7-4,-10,True,False,9
31,node6-3,node7-4,-10,True,False,10
32,node6-3,node7-4,-10,True,False,11
33,node6-3,node7-4,-10,True,False,12
34,node6-3,node7-4,-10,True,False,11
35,node6-3,node7-4,-10,True,False,9
36,node6-3,node7-4,-10,True,False,10
37,node6-3,node7-4,-10,True,False,10
38,node6-3,node7-4,-10,True,False,10
39,node6-3,node7-4,-10,True,False,11
40,node6-3,node7-4,-10,True,False,11
41,node6-3,node7-4,-10,True,False,10
42,node6-3,node7-4,-10,True,False,9
43,node6-3,node7-4,-10,True,False,10
44,node6-3,node7-4,-10,True,False,11
45,node6-3,node7-4,-10,True,False,10
46,node6-3,node7-4,-10,True,False,10
47,node6-3,node7-4,-10,True,False,10
48,node6-3,node7-4,-10,True,False,10
49,node6-3,node7-4,-10,True,False,11
50,node6-3,node7-4,-10,True,False,11
51,node6-3,node7-4,-10,True,False,8
52,node6-3,node7-4,-10,True,False,10
53,node6-3,node7-4,-10,True,False,10
54,node6-3,node7-4,-10,True,False,10
55,node6-3,node7-4,-10,True,False,11
56,node6-3,node7-4,-10,True,False,11
57,node6-3,node7-4,-10,True,False,10
58,node6-3,node7-4,-10,True,False,11
59,node6-3,node7-4,-10,True,False,11
60,node6-3,node7-4,-10,True,False,11
61,node6-3,node7-4,-10,True,False,11
62,node6-3,node7-4,-10,True,False,11
63,node6-3,node7-4,-10,True,False,12
64,node6-3,node7-4,-10,True,False,11
65,node6-3,node7-4,-10,True,False,11
66,node6-3,node7-4,-10,True,False,11
67,node6-3,node7-4,-10,True,False,11
68,node6-3,node7-4,-10,True,False,11
69,node6-3,node7-4,-10,True,False,11
70,node6-3,node7-4,-10,True,False,11
71,node6-3,node7-4,-10,True,False,11
72,node6-3,node7-4,-10,True,False,11
73,node6-3,node7-4,-10,True,False,11
74,node6-3,node7-4,-10,True,False,12
75,node6-3,node7-4,-10,True,False,11
76,node6-3,node7-4,-10,True,False,10
77,node6-3,node7-4,-10,True,False,10
78,node6-3,node7-4,-10,True,False,12
79,node6-3,node7-4,-10,True,False,12
80,node6-3,node7-4,-10,True,False,10
81,node6-3,node7-4,-10,True,False,10
82,node6-3,node7-4,-10,True,False,11
83,node6-3,node7-4,-10,True,False,11
84,node6-3,node7-4,-10,True,False,11
85,node6-3,node7-4,-10,True,False,12
86,node6-3,node7-4,-10,True,False,12
87,node6-3,node7-4,-10,True,False,10
88,node6-3,node7-4,-10,True,False,10
89,node6-3,node7-4,-10,True,False,10
90,node6-3,node7-4,-10,True,False,11
91,node6-3,node7-4,-10,True,False,10
92,node6-3,node7-4,-10,True,False,11
93,node6-3,node7-4,-10,True,False,11
94,node6-3,node7-4,-10,True,False,11
95,node6-3,node7-4,-10,True,False,10
96,node6-3,node7-4,-10,True,False,11
97,node6-3,node7-4,-10,True,False,10
98,node6-3,node7-4,-10,True,False,12
99,node6-3,node7-4,-10,True,False,11
100,node6-3,node7-4,-10,True,False,12
101,node6-3,node7-4,-10,True,False,11
102,node6-3,node7-4,-10,True,False,11
103,node6-3,node7-4,-10,True,False,10
104,node6-3,node7-4,-10,True,False,11
105,node6-3,node7-4,-10,True,False,10
106,node6-3,node7-4,-10,True,False,11
107,node6-3,node7-4,-10,True,False,11
108,node6-3,node7-4,-10,True,False,11
109,node6-3,node7-4,-10,True,False,11
110,node6-3,node7-4,-10,True,False,11
111,node6-3,node7-4,-10,True,False,10
112,node6-3,node7-4,-10,True,False,11
113,node6-3,node7-4,-10,True,False,12
114,node6-3,node7-4,-10,True,False,11
115,node6-3,node7-4,-10,True,False,12
116,node6-3,node7-4,-10,True,False,11
117,node6-3,node7-4,-10,True,False,11
118,node6-3,node7-4,-10,True,False,11
119,node6-3,node7-4,-10,True,False,11
120,node6-3,node7-4,-10,True,False,11
121,node6-3,node7-4,-10,True,False,10
122,node6-3,node7-4,-10,True,False,11
123,node6-3,node7-4,-10,True,False,10
124,node6-3,node7-4,-10,True,False,12
125,node6-3,node7-4,-10,True,False,11
126,node6-3,node7-4,-10,True,False,11
127,node6-3,node7-4,-10,True,False,10
128,node6-3,node7-4,-10,True,False,11
129,node6-3,node7-4,-10,True,False,11
130,node6-3,node7-4,-10,True,False,11
131,node6-3,node7-4,-10,True,False,10
132,node6-3,node7-4,-10,True,False,12
133,node6-3,node7-4,-10,True,False,10
134,node6-3,node7-4,-10,True,False,11
135,node6-3,node7-4,-10,True,False,10
136,node6-3,node7-4,-10,True,False,11
137,node6-3,node7-4,-10,True,False,11
138,node6-3,node7-4,-10,True,False,11
139,node6-3,node7-4,-10,True,False,11
140,node6-3,node7-4,-10,True,False,10
141,node6-3,node7-4,-10,True,False,11
142,node6-3,node7-4,-10,True,False,11
143,node6-3,node7-4,-10,True,False,10
144,node6-3,node7-4,-10,True,False,9
145,node6-3,node7-4,-10,True,False,10
146,node6-3,node7-4,-10,True,False,10
147,node6-3,node7-4,-10,True,False,11
148,node6-3,node7-4,-10,True,False,11
149,node6-3,node7-4,-10,True,False,11
150,node6-3,node7-4,-10,True,False,11
151,node6-3,node7-4,-10,True,False,11
152,node6-3,node7-4,-10,True,False,11
153,node6-3,node7-4,-10,True,False,10
154,node6-3,node7-4,-10,True,False,12
155,node6-3,node7-4,-10,True,False,11
156,node6-3,node7-4,-10,True,False,11
157,node6-3,node7-4,-10,True,False,12
158,node6-3,node7-4,-10,True,False,12
159,node6-3,node7-4,-10,True,False,12
160,node6-3,node7-4,-10,True,False,11
161,node6-3,node7-4,-10,True,False,10
162,node6-3,node7-4,-10,True,False,11
163,node6-3,node7-4,-10,True,False,9
164,node6-3,node7-4,-10,True,False,12
165,node6-3,node7-4,-10,True,False,12
166,node6-3,node7-4,-10,True,False,11
167,node6-3,node7-4,-10,True,False,11
168,node6-3,node7-4,-10,True,False,11
169,node6-3,node7-4,-10,True,False,11
170,node6-3,node7-4,-10,True,False,11
171,node6-3,node7-4,-10,True,False,11
172,node6-3,node7-4,-10,True,False,11
173,node6-3,node7-4,-10,True,False,12
174,node6-3,node7-4,-10,True,False,10
175,node6-3,node7-4,-10,True,False,11
176,node6-3,node7-4,-10,True,False,11
177,node6-3,node7-4,-10,True,False,11
178,node6-3,node7-4,-10,True,False,10
179,node6-3,node7-4,-10,True,False,9
180,node6-3,node7-4,-10,True,False,11
181,node6-3,node7-4,-10,True,False,10
182,node6-3,node7-4,-10,True,False,12
183,node6-3,node7-4,-10,True,False,10
184,node6-3,node7-4,-10,True,False,10
185,node6-3,node7-4,-10,True,False,11
186,node6-3,node7-4,-10,True,False,11
187,node6-3,node7-4,-10,True,False,11
188,node6-3,node7-4,-10,True,False,11
189,node6-3,node7-4,-10,True,False,11
190,node6-3,node7-4,-10,True,False,11
191,node6-3,node7-4,-10,True,False,9
192,node6-3,node7-4,-10,True,False,12
193,node6-3,node7-4,-10,True,False,9
194,node6-3,node7-4,-10,True,False,11
195,node6-3,node7-4,-10,True,False,12
196,node6-3,node7-4,-10,True,False,11
197,node6-3,node7-4,-10,True,False,11
198,node6-3,node7-4,-10,True,False,11
199,node6-3,node7-4,-10,True,False,11
200,node6-3,node7-4,-10,True,False,10
201,node6-3,node7-4,-10,True,False,11
202,node6-3,node7-4,-10,True,False,9
203,node6-3,node7-4,-10,True,False,10
204,node6-3,node7-4,-10,True,False,11
205,node6-3,node7-4,-10,True,False,10
206,node6-3,node7-4,-10,True,False,12
207,node6-3,node7-4,-10,True,False,11
208,node6-3,node7-4,-10,True,False,11
209,node6-3,node7-4,-10,True,False,10
210,node6-3,node7-4,-10,True,False,10
211,node6-3,node7-4,-10,True,False,11
212,node6-3,node7-4,-10,True,False,11
213,node6-3,node7-4,-10,True,False,10
214,node6-3,node7-4,-10,True,False,10
215,node6-3,node7-4,-10,True,False,12
216,node6-3,node7-4,-10,True,False,12
217,node6-3,node7-4,-10,True,False,11
