seq,src,dst,noise,received,error,rssi
1,node8-7,node5-6,-10,True,False,14
2,node8-7,node5-6,-10,True,False,14
3,node8-7,node5-6,-10,True,False,11
4,node8-7,node5-6,-10,True,False,11
5,node8-7,node5-6,-10,True,False,11
6,node8-7,node5-6,-10,True,False,10
7,node8-7,node5-6,-10,True,False,11
8,node8-7,node5-6,-10,True,False,10
9,node8-7,node5-6,-10,True,False,12
10,node8-7,node5-6,-10,True,False,11
11,node8-7,node5-6,-10,True,False,10
12,node8-7,node5-6,-10,True,False,11
13,node8-7,node5-6,-10,True,False,10
14,node8-7,node5-6,-10,True,False,10
15,node8-7,node5-6,-10,True,False,11
16,node8-7,node5-6,-10,True,False,11
17,node8-7,node5-6,-10,True,False,11
18,node8-7,node5-6,-10,True,False,10
19,node8-7,node5-6,-10,True,False,9
20,node8-7,node5-6,-10,True,False,11
21,node8-7,node5-6,-10,True,False,11
22,node8-7,node5-6,-10,True,False,11
23,node8-7,node5-6,-10,True,False,11
24,node8-7,node5-6,-10,True,False,10
25,node8-7,node5-6,-10,True,False,11
26,node8-7,node5-6,-10,True,False,11
27,node8-7,node5-6,-10,True,False,11
28,node8-7,node5-6,-10,True,False,11
29,node8-7,node5-6,-10,True,False,10
30,node8-7,node5-6,-10,True,False,11
31,node8-7,node5-6,-10,True,False,11
32,node8-7,node5-6,-10,True,False,9
33,node8-7,node5-6,-10,True,False,11
34,node8-7,node5-6,-10,True,False,9
35,node8-7,node5-6,-10,True,False,10
36,node8-7,node5-6,-10,True,False,9
37,node8-7,node5-6,-10,True,False,11
38,node8-7,node5-6,-10,True,False,9
39,node8-7,node5-6,-10,True,False,9
40,node8-7,node5-6,-10,True,False,10
41,node8-7,node5-6,-10,True,False,10
42,node8-7,node5-6,-10,True,False,11
43,node8-7,node5-6,-10,True,False,10
44,node8-7,node5-6,-10,True,False,10
45,node8-7,node5-6,-10,True,False,10
46,node8-7,node5-6,-10,True,False,11
47,node8-7,node5-6,-10,True,False,9
48,node8-7,node5-6,-10,True,False,9
49,node8-7,node5-6,-10,True,False,10
50,node8-7,node5-6,-10,True,False,10
51,node8-7,node5-6,-10,True,False,10
52,node8-7,node5-6,-10,True,False,10
53,node8-7,node5-6,-10,True,False,10
54,node8-7,node5-6,-10,True,False,10
55,node8-7,node5-6,-10,True,False,10
56,node8-7,node5-6,-10,True,False,8
57,node8-7,node5-6,-10,True,False,12
58,node8-7,node5-6,-10,True,False,10
59,node8-7,node5-6,-10,True,False,10
60,node8-7,node5-6,-10,True,False,10
61,node8-7,node5-6,-10,True,False,9
62,node8-7,node5-6,-10,True,False,11
63,node8-7,node5-6,-10,True,False,10
64,node8-7,node5-6,-10,True,False,9
65,node8-7,node5-6,-10,True,False,11
66,node8-7,node5-6,-10,True,False,11
67,node8-7,node5-6,-10,True,False,11
68,node8-7,node5-6,-10,True,False,10
69,node8-7,node5-6,-10,True,False,10
70,node8-7,node5-6,-10,True,False,12
71,node8-7,node5-6,-10,True,False,9
72,node8-7,node5-6,-10,True,False,8
73,node8-7,node5-6,-10,True,False,9
74,node8-7,node5-6,-10,True,False,10
75,node8-7,node5-6,-10,True,False,10
76,node8-7,node5-6,-10,True,False,10
77,node8-7,node5-6,-10,True,False,10
78,node8-7,node5-6,-10,True,False,11
79,node8-7,node5-6,-10,True,False,10
80,node8-7,node5-6,-10,True,False,10
81,node8-7,node5-6,-10,True,False,11
82,node8-7,node5-6,-10,True,False,10
83,node8-7,node5-6,-10,True,False,11
84,node8-7,node5-6,-10,True,False,11
85,node8-7,node5-6,-10,True,False,10
86,node8-7,node5-6,-10,True,False,11
87,node8-7,node5-6,-10,True,False,9
88,node8-7,node5-6,-10,True,False,8
89,node8-7,node5-6,-10,True,False,9
90,node8-7,node5-6,-10,True,False,10
91,node8-7,node5-6,-10,True,False,10
92,node8-7,node5-6,-10,True,False,10
93,node8-7,node5-6,-10,True,False,8
94,node8-7,node5-6,-10,True,False,11
95,node8-7,node5-6,-10,True,False,11
96,node8-7,node5-6,-10,True,False,9
97,node8-7,node5-6,-10,True,False,10
98,node8-7,node5-6,-10,True,False,9
99,node8-7,node5-6,-10,True,False,10
100,node8-7,node5-6,-10,True,False,10
101,node8-7,node5-6,-10,True,False,10
102,node8-7,node5-6,-10,True,False,13
103,node8-7,node5-6,-10,True,False,10
104,node8-7,node5-6,-10,True,False,11
105,node8-7,node5-6,-10,True,False,11
106,node8-7,node5-6,-10,True,False,10
107,node8-7,node5-6,-10,True,False,10
108,node8-7,node5-6,-10,True,False,9
109,node8-7,node5-6,-10,True,False,10
110,node8-7,node5-6,-10,True,False,11
111,node8-7,node5-6,-10,True,False,11
112,node8-7,node5-6,-10,True,False,10
113,node8-7,node5-6,-10,True,False,11
114,node8-7,node5-6,-10,True,False,9
115,node8-7,node5-6,-10,True,False,10
116,node8-7,node5-6,-10,True,False,10
117,node8-7,node5-6,-10,True,False,10
118,node8-7,node5-6,-10,True,False,10
119,node8-7,node5-6,-10,True,False,10
120,node8-7,node5-6,-10,True,False,11
121,node8-7,node5-6,-10,True,False,10
122,node8-7,node5-6,-10,True,False,9
123,node8-7,node5-6,-10,True,False,11
124,node8-7,node5-6,-10,True,False,11
125,node8-7,node5-6,-10,True,False,12
126,node8-7,node5-6,-10,True,False,10
127,node8-7,node5-6,-10,True,False,10
128,node8-7,node5-6,-10,True,False,11
129,node8-7,node5-6,-10,True,False,11
130,node8-7,node5-6,-10,True,False,11
