seq,src,dst,noise,received,error,rssi
1,node8-3,node7-6,-5,True,False,14
2,node8-3,node7-6,-5,True,False,14
3,node8-3,node7-6,-5,True,False,13
4,node8-3,node7-6,-5,True,False,11
5,node8-3,node7-6,-5,True,False,10
6,node8-3,node7-6,-5,True,False,11
7,node8-3,node7-6,-5,True,False,9
8,node8-3,node7-6,-5,True,False,9
9,node8-3,node7-6,-5,True,False,9
10,node8-3,node7-6,-5,True,False,11
11,node8-3,node7-6,-5,True,False,10
12,node8-3,node7-6,-5,True,False,11
13,node8-3,node7-6,-5,True,False,12
14,node8-3,node7-6,-5,True,False,11
15,node8-3,node7-6,-5,True,False,9
16,node8-3,node7-6,-5,True,False,9
17,node8-3,node7-6,-5,True,False,10
18,node8-3,node7-6,-5,True,False,12
19,node8-3,node7-6,-5,True,False,10
20,node8-3,node7-6,-5,True,False,10
21,node8-3,node7-6,-5,True,False,12
22,node8-3,node7-6,-5,True,False,10
23,node8-3,node7-6,-5,True,False,11
24,node8-3,node7-6,-5,True,False,9
25,node8-3,node7-6,-5,True,False,11
26,node8-3,node7-6,-5,True,False,11
27,node8-3,node7-6,-5,True,False,11
28,node8-3,node7-6,-5,True,False,10
29,node8-3,node7-6,-5,True,False,11
30,node8-3,node7-6,-5,True,False,11
31,node8-3,node7-6,-5,True,False,9
32,node8-3,node7-6,-5,True,False,11
33,node8-3,node7-6,-5,True,False,10
34,node8-3,node7-6,-5,True,False,11
35,node8-3,node7-6,-5,True,False,12
36,node8-3,node7-6,-5,True,False,11
37,node8-3,node7-6,-5,True,False,11
38,node8-3,node7-6,-5,True,False,12
39,node8-3,node7-6,-5,True,False,10
40,node8-3,node7-6,-5,True,False,10
41,node8-3,node7-6,-5,True,False,10
42,node8-3,node7-6,-5,True,False,10
43,node8-3,node7-6,-5,True,False,10
44,node8-3,node7-6,-5,True,False,10
45,node8-3,node7-6,-5,True,False,11
46,node8-3,node7-6,-5,True,False,10
47,node8-3,node7-6,-5,True,False,11
48,node8-3,node7-6,-5,True,False,11
49,node8-3,node7-6,-5,True,False,11
50,node8-3,node7-6,-5,True,False,11
51,node8-3,node7-6,-5,True,False,10
52,node8-3,node7-6,-5,True,False,11
53,node8-3,node7-6,-5,True,False,9
54,node8-3,node7-6,-5,True,False,9
55,node8-3,node7-6,-5,True,False,11
56,node8-3,node7-6,-5,True,False,11
57,node8-3,node7-6,-5,True,False,10
58,node8-3,node7-6,-5,True,False,11
59,node8-3,node7-6,-5,True,False,10
60,node8-3,node7-6,-5,True,False,10
61,node8-3,node7-6,-5,True,False,10
62,node8-3,node7-6,-5,True,False,10
63,node8-3,node7-6,-5,True,False,9
64,node8-3,node7-6,-5,True,False,11
65,node8-3,node7-6,-5,True,False,11
66,node8-3,node7-6,-5,True,False,11
67,node8-3,node7-6,-5,True,False,10
