seq,src,dst,noise,received,error,rssi
1,node1-4,node8-1,-20,True,False,14
2,node1-4,node8-1,-20,True,False,13
3,node1-4,node8-1,-20,True,False,10
4,node1-4,node8-1,-20,True,False,11
5,node1-4,node8-1,-20,True,False,9
6,node1-4,node8-1,-20,True,False,9
7,node1-4,node8-1,-20,True,False,10
8,node1-4,node8-1,-20,True,False,9
9,node1-4,node8-1,-20,True,False,10
10,node1-4,node8-1,-20,True,False,9
11,node1-4,node8-1,-20,True,False,9
12,node1-4,node8-1,-20,True,False,11
13,node1-4,node8-1,-20,True,False,9
14,node1-4,node8-1,-20,True,False,9
15,node1-4,node8-1,-20,True,False,12
16,node1-4,node8-1,-20,True,False,11
17,node1-4,node8-1,-20,True,False,10
18,node1-4,node8-1,-20,True,False,9
19,node1-4,node8-1,-20,True,False,10
20,node1-4,node8-1,-20,True,False,10
21,node1-4,node8-1,-20,True,False,11
22,node1-4,node8-1,-20,True,False,9
23,node1-4,node8-1,-20,True,False,11
24,node1-4,node8-1,-20,True,False,10
25,node1-4,node8-1,-20,True,False,9
26,node1-4,node8-1,-20,True,False,10
27,node1-4,node8-1,-20,True,False,11
28,node1-4,node8-1,-20,True,False,10
29,node1-4,node8-1,-20,True,False,9
30,node1-4,node8-1,-20,True,False,9
31,node1-4,node8-1,-20,True,False,9
32,node1-4,node8-1,-20,True,False,11
33,node1-4,node8-1,-20,True,False,10
34,node1-4,node8-1,-20,True,False,10
35,node1-4,node8-1,-20,True,False,9
36,node1-4,node8-1,-20,True,False,10
37,node1-4,node8-1,-20,True,False,10
38,node1-4,node8-1,-20,True,False,10
39,node1-4,node8-1,-20,True,False,9
40,node1-4,node8-1,-20,True,False,9
41,node1-4,node8-1,-20,True,False,9
42,node1-4,node8-1,-20,True,False,10
43,node1-4,node8-1,-20,True,False,10
44,node1-4,node8-1,-20,True,False,9
45,node1-4,node8-1,-20,True,False,9
46,node1-4,node8-1,-20,True,False,11
47,node1-4,node8-1,-20,True,False,10
48,node1-4,node8-1,-20,True,False,9
49,node1-4,node8-1,-20,True,False,10
50,node1-4,node8-1,-20,True,False,11
51,node1-4,node8-1,-20,True,False,8
52,node1-4,node8-1,-20,True,False,8
53,node1-4,node8-1,-20,True,False,11
54,node1-4,node8-1,-20,True,False,9
55,node1-4,node8-1,-20,True,False,11
56,node1-4,node8-1,-20,True,False,9
57,node1-4,node8-1,-20,True,False,10
58,node1-4,node8-1,-20,True,False,10
59,node1-4,node8-1,-20,True,False,10
60,node1-4,node8-1,-20,True,False,9
61,node1-4,node8-1,-20,True,False,8
62,node1-4,node8-1,-20,True,False,9
63,node1-4,node8-1,-20,True,False,10
64,node1-4,node8-1,-20,True,False,9
65,node1-4,node8-1,-20,True,False,11
66,node1-4,node8-1,-20,True,False,11
67,node1-4,node8-1,-20,True,False,9
68,node1-4,node8-1,-20,True,False,8
69,node1-4,node8-1,-20,True,False,10
70,node1-4,node8-1,-20,True,False,11
71,node1-4,node8-1,-20,True,False,10
72,node1-4,node8-1,-20,True,False,11
73,node1-4,node8-1,-20,True,False,7
74,node1-4,node8-1,-20,True,False,8
75,node1-4,node8-1,-20,True,False,9
76,node1-4,node8-1,-20,True,False,10
77,node1-4,node8-1,-20,True,False,9
78,node1-4,node8-1,-20,True,False,8
79,node1-4,node8-1,-20,True,False,11
80,node1-4,node8-1,-20,True,False,10
81,node1-4,node8-1,-20,True,False,10
82,node1-4,node8-1,-20,True,False,11
83,node1-4,node8-1,-20,True,False,9
84,node1-4,node8-1,-20,True,False,10
85,node1-4,node8-1,-20,True,False,8
86,node1-4,node8-1,-20,True,False,10
87,node1-4,node8-1,-20,True,False,12
88,node1-4,node8-1,-20,True,False,8
89,node1-4,node8-1,-20,True,False,9
90,node1-4,node8-1,-20,True,False,10
91,node1-4,node8-1,-20,True,False,10
92,node1-4,node8-1,-20,True,False,9
93,node1-4,node8-1,-20,True,False,9
94,node1-4,node8-1,-20,True,False,9
95,node1-4,node8-1,-20,True,False,10
96,node1-4,node8-1,-20,True,False,11
97,node1-4,node8-1,-20,True,False,10
98,node1-4,node8-1,-20,True,False,8
99,node1-4,node8-1,-20,True,False,10
100,node1-4,node8-1,-20,True,False,9
101,node1-4,node8-1,-20,True,False,10
102,node1-4,node8-1,-20,True,False,11
103,node1-4,node8-1,-20,True,False,8
104,node1-4,node8-1,-20,True,False,9
105,node1-4,node8-1,-20,True,False,9
106,node1-4,node8-1,-20,True,False,11
107,node1-4,node8-1,-20,True,False,9
108,node1-4,node8-1,-20,True,False,10
109,node1-4,node8-1,-20,True,False,9
110,node1-4,node8-1,-20,True,False,9
111,node1-4,node8-1,-20,True,False,9
112,node1-4,node8-1,-20,True,False,10
113,node1-4,node8-1,-20,True,False,9
114,node1-4,node8-1,-20,True,False,11
115,node1-4,node8-1,-20,True,False,9
116,node1-4,node8-1,-20,True,False,9
117,node1-4,node8-1,-20,True,False,9
118,node1-4,node8-1,-20,True,False,9
119,node1-4,node8-1,-20,True,False,8
120,node1-4,node8-1,-20,True,False,9
121,node1-4,node8-1,-20,True,False,10
122,node1-4,node8-1,-20,True,False,10
123,node1-4,node8-1,-20,True,False,8
124,node1-4,node8-1,-20,True,False,10
125,node1-4,node8-1,-20,True,False,8
126,node1-4,node8-1,-20,True,False,10
127,node1-4,node8-1,-20,True,False,9
128,node1-4,node8-1,-20,True,False,7
129,node1-4,node8-1,-20,True,False,10
130,node1-4,node8-1,-20,True,False,10
131,node1-4,node8-1,-20,True,False,11
132,node1-4,node8-1,-20,True,False,9
133,node1-4,node8-1,-20,True,False,10
134,node1-4,node8-1,-20,True,False,11
135,node1-4,node8-1,-20,True,False,10
136,node1-4,node8-1,-20,True,False,9
137,node1-4,node8-1,-20,True,False,11
138,node1-4,node8-1,-20,True,False,11
139,node1-4,node8-1,-20,True,False,11
140,node1-4,node8-1,-20,True,False,9
141,node1-4,node8-1,-20,True,False,8
142,node1-4,node8-1,-20,True,False,10
143,node1-4,node8-1,-20,True,False,10
144,node1-4,node8-1,-20,True,False,8
145,node1-4,node8-1,-20,True,False,10
146,node1-4,node8-1,-20,True,False,9
147,node1-4,node8-1,-20,True,False,9
148,node1-4,node8-1,-20,True,False,9
149,node1-4,node8-1,-20,True,False,9
150,node1-4,node8-1,-20,True,False,11
151,node1-4,node8-1,-20,True,False,11
152,node1-4,node8-1,-20,True,False,8
153,node1-4,node8-1,-20,True,False,8
154,node1-4,node8-1,-20,True,False,9
155,node1-4,node8-1,-20,True,False,11
156,node1-4,node8-1,-20,True,False,9
157,node1-4,node8-1,-20,True,False,9
158,node1-4,node8-1,-20,True,False,10
159,node1-4,node8-1,-20,True,False,10
160,node1-4,node8-1,-20,True,False,11
161,node1-4,node8-1,-20,True,False,10
162,node1-4,node8-1,-20,True,False,10
163,node1-4,node8-1,-20,True,False,10
164,node1-4,node8-1,-20,True,False,9
165,node1-4,node8-1,-20,True,False,8
