seq,src,dst,noise,received,error,rssi
1,node1-8,node8-3,-5,True,False,14
2,node1-8,node8-3,-5,True,False,14
3,node1-8,node8-3,-5,True,False,11
4,node1-8,node8-3,-5,True,False,7
5,node1-8,node8-3,-5,True,False,8
6,node1-8,node8-3,-5,True,False,7
7,node1-8,node8-3,-5,True,False,9
8,node1-8,node8-3,-5,True,False,6
9,node1-8,node8-3,-5,True,False,7
10,node1-8,node8-3,-5,True,False,8
11,node1-8,node8-3,-5,True,False,7
12,node1-8,node8-3,-5,True,False,8
13,node1-8,node8-3,-5,True,False,6
14,node1-8,node8-3,-5,True,False,7
15,node1-8,node8-3,-5,True,False,7
16,node1-8,node8-3,-5,True,False,7
17,node1-8,node8-3,-5,True,False,8
18,node1-8,node8-3,-5,True,False,8
19,node1-8,node8-3,-5,True,False,7
20,node1-8,node8-3,-5,True,False,7
21,node1-8,node8-3,-5,True,False,7
22,node1-8,node8-3,-5,True,False,6
23,node1-8,node8-3,-5,True,False,6
24,node1-8,node8-3,-5,True,False,8
25,node1-8,node8-3,-5,True,False,7
26,node1-8,node8-3,-5,True,False,6
27,node1-8,node8-3,-5,True,False,8
28,node1-8,node8-3,-5,True,False,9
29,node1-8,node8-3,-5,True,False,7
30,node1-8,node8-3,-5,True,False,7
31,node1-8,node8-3,-5,True,False,7
32,node1-8,node8-3,-5,True,False,6
33,node1-8,node8-3,-5,True,False,8
34,node1-8,node8-3,-5,True,False,6
35,node1-8,node8-3,-5,True,False,8
36,node1-8,node8-3,-5,True,False,7
37,node1-8,node8-3,-5,True,False,9
38,node1-8,node8-3,-5,True,False,8
39,node1-8,node8-3,-5,True,False,7
40,node1-8,node8-3,-5,True,False,8
41,node1-8,node8-3,-5,True,False,6
42,node1-8,node8-3,-5,True,False,7
43,node1-8,node8-3,-5,True,False,6
44,node1-8,node8-3,-5,True,False,7
45,node1-8,node8-3,-5,True,False,7
46,node1-8,node8-3,-5,True,False,7
47,node1-8,node8-3,-5,True,False,8
48,node1-8,node8-3,-5,True,False,6
49,node1-8,node8-3,-5,True,False,7
50,node1-8,node8-3,-5,True,False,8
51,node1-8,node8-3,-5,True,False,8
52,node1-8,node8-3,-5,True,False,8
53,node1-8,node8-3,-5,True,False,8
54,node1-8,node8-3,-5,True,False,8
55,node1-8,node8-3,-5,True,False,8
56,node1-8,node8-3,-5,True,False,7
57,node1-8,node8-3,-5,True,False,8
58,node1-8,node8-3,-5,True,False,7
59,node1-8,node8-3,-5,True,False,7
60,node1-8,node8-3,-5,True,False,7
