seq,src,dst,noise,received,error,rssi
1,node6-3,node4-5,-5,True,False,18
2,node6-3,node4-5,-5,True,False,15
3,node6-3,node4-5,-5,True,False,14
4,node6-3,node4-5,-5,True,False,14
5,node6-3,node4-5,-5,True,False,13
6,node6-3,node4-5,-5,True,False,11
7,node6-3,node4-5,-5,True,False,13
8,node6-3,node4-5,-5,True,False,13
9,node6-3,node4-5,-5,True,False,13
10,node6-3,node4-5,-5,True,False,13
11,node6-3,node4-5,-5,True,False,13
12,node6-3,node4-5,-5,True,False,13
13,node6-3,node4-5,-5,True,False,13
14,node6-3,node4-5,-5,True,False,13
15,node6-3,node4-5,-5,True,False,11
16,node6-3,node4-5,-5,True,False,13
17,node6-3,node4-5,-5,True,False,13
18,node6-3,node4-5,-5,True,False,12
19,node6-3,node4-5,-5,True,False,13
20,node6-3,node4-5,-5,True,False,14
21,node6-3,node4-5,-5,True,False,14
22,node6-3,node4-5,-5,True,False,13
23,node6-3,node4-5,-5,True,False,14
24,node6-3,node4-5,-5,True,False,13
25,node6-3,node4-5,-5,True,False,12
26,node6-3,node4-5,-5,True,False,14
27,node6-3,node4-5,-5,True,False,13
28,node6-3,node4-5,-5,True,False,13
29,node6-3,node4-5,-5,True,False,12
30,node6-3,node4-5,-5,True,False,14
31,node6-3,node4-5,-5,True,False,12
32,node6-3,node4-5,-5,True,False,14
33,node6-3,node4-5,-5,True,False,14
34,node6-3,node4-5,-5,True,False,13
35,node6-3,node4-5,-5,True,False,13
36,node6-3,node4-5,-5,True,False,12
37,node6-3,node4-5,-5,True,False,13
38,node6-3,node4-5,-5,True,False,13
39,node6-3,node4-5,-5,True,False,13
40,node6-3,node4-5,-5,True,False,14
41,node6-3,node4-5,-5,True,False,13
42,node6-3,node4-5,-5,True,False,13
43,node6-3,node4-5,-5,True,False,11
44,node6-3,node4-5,-5,True,False,12
45,node6-3,node4-5,-5,True,False,12
46,node6-3,node4-5,-5,True,False,13
47,node6-3,node4-5,-5,True,False,14
48,node6-3,node4-5,-5,True,False,13
49,node6-3,node4-5,-5,True,False,13
50,node6-3,node4-5,-5,True,False,12
51,node6-3,node4-5,-5,True,False,14
52,node6-3,node4-5,-5,True,False,13
53,node6-3,node4-5,-5,True,False,12
54,node6-3,node4-5,-5,True,False,13
55,node6-3,node4-5,-5,True,False,12
56,node6-3,node4-5,-5,True,False,13
57,node6-3,node4-5,-5,True,False,12
58,node6-3,node4-5,-5,True,False,12
59,node6-3,node4-5,-5,True,False,14
60,node6-3,node4-5,-5,True,False,12
61,node6-3,node4-5,-5,True,False,13
62,node6-3,node4-5,-5,True,False,13
63,node6-3,node4-5,-5,True,False,13
64,node6-3,node4-5,-5,True,False,14
65,node6-3,node4-5,-5,True,False,14
66,node6-3,node4-5,-5,True,False,12
