seq,src,dst,noise,received,error,rssi
1,node7-2,node3-4,-5,True,False,13
2,node7-2,node3-4,-5,True,False,12
3,node7-2,node3-4,-5,True,False,9
4,node7-2,node3-4,-5,True,False,6
5,node7-2,node3-4,-5,True,False,7
6,node7-2,node3-4,-5,True,False,7
7,node7-2,node3-4,-5,True,False,7
8,node7-2,node3-4,-5,True,False,7
9,node7-2,node3-4,-5,True,False,8
10,node7-2,node3-4,-5,True,False,7
11,node7-2,node3-4,-5,True,False,4
12,node7-2,node3-4,-5,True,False,5
13,node7-2,node3-4,-5,True,False,6
14,node7-2,node3-4,-5,True,False,6
15,node7-2,node3-4,-5,True,False,8
16,node7-2,node3-4,-5,True,False,5
17,node7-2,node3-4,-5,True,False,7
18,node7-2,node3-4,-5,True,False,6
19,node7-2,node3-4,-5,True,False,5
20,node7-2,node3-4,-5,True,False,8
21,node7-2,node3-4,-5,True,False,8
22,node7-2,node3-4,-5,True,False,8
23,node7-2,node3-4,-5,True,False,7
24,node7-2,node3-4,-5,True,False,7
25,node7-2,node3-4,-5,True,False,7
26,node7-2,node3-4,-5,True,False,6
27,node7-2,node3-4,-5,True,False,6
28,node7-2,node3-4,-5,True,False,8
29,node7-2,node3-4,-5,True,False,8
30,node7-2,node3-4,-5,True,False,6
31,node7-2,node3-4,-5,True,False,7
32,node7-2,node3-4,-5,True,False,8
33,node7-2,node3-4,-5,True,False,8
34,node7-2,node3-4,-5,True,False,8
35,node7-2,node3-4,-5,True,False,7
36,node7-2,node3-4,-5,True,False,7
37,node7-2,node3-4,-5,True,False,6
38,node7-2,node3-4,-5,True,False,7
39,node7-2,node3-4,-5,True,False,6
40,node7-2,node3-4,-5,True,False,8
41,node7-2,node3-4,-5,True,False,7
42,node7-2,node3-4,-5,True,False,9
43,node7-2,node3-4,-5,True,False,7
44,node7-2,node3-4,-5,True,False,8
45,node7-2,node3-4,-5,True,False,8
46,node7-2,node3-4,-5,True,False,7
47,node7-2,node3-4,-5,True,False,6
48,node7-2,node3-4,-5,True,False,8
49,node7-2,node3-4,-5,True,False,7
50,node7-2,node3-4,-5,True,False,8
51,node7-2,node3-4,-5,True,False,7
52,node7-2,node3-4,-5,True,False,8
53,node7-2,node3-4,-5,True,False,8
54,node7-2,node3-4,-5,True,False,6
55,node7-2,node3-4,-5,True,False,8
56,node7-2,node3-4,-5,True,False,9
57,node7-2,node3-4,-5,True,False,7
58,node7-2,node3-4,-5,True,False,9
59,node7-2,node3-4,-5,True,False,6
60,node7-2,node3-4,-5,True,False,8
61,node7-2,node3-4,-5,True,False,6
62,node7-2,node3-4,-5,True,False,8
63,node7-2,node3-4,-5,True,False,8
