seq,src,dst,noise,received,error,rssi
1,node6-1,node5-4,-20,True,False,28
2,node6-1,node5-4,-20,True,False,25
3,node6-1,node5-4,-20,True,False,23
4,node6-1,node5-4,-20,True,False,22
5,node6-1,node5-4,-20,True,False,22
6,node6-1,node5-4,-20,True,False,21
7,node6-1,node5-4,-20,True,False,21
8,node6-1,node5-4,-20,True,False,21
9,node6-1,node5-4,-20,True,False,21
10,node6-1,node5-4,-20,True,False,21
11,node6-1,node5-4,-20,True,False,21
12,node6-1,node5-4,-20,True,False,20
13,node6-1,node5-4,-20,True,False,21
14,node6-1,node5-4,-20,True,False,21
15,node6-1,node5-4,-20,True,False,21
16,node6-1,node5-4,-20,True,False,20
17,node6-1,node5-4,-20,True,False,21
18,node6-1,node5-4,-20,True,False,21
19,node6-1,node5-4,-20,True,False,22
20,node6-1,node5-4,-20,True,False,21
21,node6-1,node5-4,-20,True,False,21
22,node6-1,node5-4,-20,True,False,20
23,node6-1,node5-4,-20,True,False,21
24,node6-1,node5-4,-20,True,False,21
25,node6-1,node5-4,-20,True,False,20
26,node6-1,node5-4,-20,True,False,19
27,node6-1,node5-4,-20,True,False,21
28,node6-1,node5-4,-20,True,False,20
29,node6-1,node5-4,-20,True,False,21
30,node6-1,node5-4,-20,True,False,21
31,node6-1,node5-4,-20,True,False,21
32,node6-1,node5-4,-20,True,False,20
33,node6-1,node5-4,-20,True,False,21
34,node6-1,node5-4,-20,True,False,20
35,node6-1,node5-4,-20,True,False,21
36,node6-1,node5-4,-20,True,False,21
37,node6-1,node5-4,-20,True,False,19
38,node6-1,node5-4,-20,True,False,21
39,node6-1,node5-4,-20,True,False,21
40,node6-1,node5-4,-20,True,False,22
41,node6-1,node5-4,-20,True,False,22
42,node6-1,node5-4,-20,True,False,20
43,node6-1,node5-4,-20,True,False,21
44,node6-1,node5-4,-20,True,False,22
45,node6-1,node5-4,-20,True,False,19
46,node6-1,node5-4,-20,True,False,22
47,node6-1,node5-4,-20,True,False,22
48,node6-1,node5-4,-20,True,False,19
49,node6-1,node5-4,-20,True,False,21
50,node6-1,node5-4,-20,True,False,22
51,node6-1,node5-4,-20,True,False,21
52,node6-1,node5-4,-20,True,False,22
53,node6-1,node5-4,-20,True,False,22
54,node6-1,node5-4,-20,True,False,20
55,node6-1,node5-4,-20,True,False,21
56,node6-1,node5-4,-20,True,False,21
57,node6-1,node5-4,-20,True,False,21
58,node6-1,node5-4,-20,True,False,19
59,node6-1,node5-4,-20,True,False,21
60,node6-1,node5-4,-20,True,False,21
61,node6-1,node5-4,-20,True,False,22
62,node6-1,node5-4,-20,True,False,20
63,node6-1,node5-4,-20,True,False,20
64,node6-1,node5-4,-20,True,False,21
65,node6-1,node5-4,-20,True,False,20
66,node6-1,node5-4,-20,True,False,20
67,node6-1,node5-4,-20,True,False,21
68,node6-1,node5-4,-20,True,False,22
69,node6-1,node5-4,-20,True,False,20
70,node6-1,node5-4,-20,True,False,20
71,node6-1,node5-4,-20,True,False,22
72,node6-1,node5-4,-20,True,False,21
73,node6-1,node5-4,-20,True,False,21
74,node6-1,node5-4,-20,True,False,21
75,node6-1,node5-4,-20,True,False,21
76,node6-1,node5-4,-20,True,False,21
77,node6-1,node5-4,-20,True,False,21
78,node6-1,node5-4,-20,True,False,22
79,node6-1,node5-4,-20,True,False,21
80,node6-1,node5-4,-20,True,False,21
81,node6-1,node5-4,-20,True,False,21
82,node6-1,node5-4,-20,True,False,21
83,node6-1,node5-4,-20,True,False,21
84,node6-1,node5-4,-20,True,False,20
85,node6-1,node5-4,-20,True,False,20
86,node6-1,node5-4,-20,True,False,21
87,node6-1,node5-4,-20,True,False,22
88,node6-1,node5-4,-20,True,False,20
89,node6-1,node5-4,-20,True,False,21
90,node6-1,node5-4,-20,True,False,21
91,node6-1,node5-4,-20,True,False,21
92,node6-1,node5-4,-20,True,False,19
93,node6-1,node5-4,-20,True,False,20
94,node6-1,node5-4,-20,True,False,21
95,node6-1,node5-4,-20,True,False,21
96,node6-1,node5-4,-20,True,False,21
97,node6-1,node5-4,-20,True,False,20
98,node6-1,node5-4,-20,True,False,21
99,node6-1,node5-4,-20,True,False,21
100,node6-1,node5-4,-20,True,False,22
101,node6-1,node5-4,-20,True,False,22
102,node6-1,node5-4,-20,True,False,19
103,node6-1,node5-4,-20,True,False,22
104,node6-1,node5-4,-20,True,False,21
105,node6-1,node5-4,-20,True,False,21
106,node6-1,node5-4,-20,True,False,19
107,node6-1,node5-4,-20,True,False,22
108,node6-1,node5-4,-20,True,False,21
109,node6-1,node5-4,-20,True,False,21
110,node6-1,node5-4,-20,True,False,21
111,node6-1,node5-4,-20,True,False,19
112,node6-1,node5-4,-20,True,False,22
113,node6-1,node5-4,-20,True,False,19
114,node6-1,node5-4,-20,True,False,21
115,node6-1,node5-4,-20,True,False,20
116,node6-1,node5-4,-20,True,False,21
117,node6-1,node5-4,-20,True,False,21
118,node6-1,node5-4,-20,True,False,20
119,node6-1,node5-4,-20,True,False,20
120,node6-1,node5-4,-20,True,False,21
121,node6-1,node5-4,-20,True,False,21
122,node6-1,node5-4,-20,True,False,20
123,node6-1,node5-4,-20,True,False,21
124,node6-1,node5-4,-20,True,False,20
125,node6-1,node5-4,-20,True,False,19
126,node6-1,node5-4,-20,True,False,19
127,node6-1,node5-4,-20,True,False,21
128,node6-1,node5-4,-20,True,False,21
129,node6-1,node5-4,-20,True,False,21
130,node6-1,node5-4,-20,True,False,20
131,node6-1,node5-4,-20,True,False,21
132,node6-1,node5-4,-20,True,False,19
133,node6-1,node5-4,-20,True,False,20
134,node6-1,node5-4,-20,True,False,21
135,node6-1,node5-4,-20,True,False,21
136,node6-1,node5-4,-20,True,False,21
137,node6-1,node5-4,-20,True,False,21
138,node6-1,node5-4,-20,True,False,21
139,node6-1,node5-4,-20,True,False,21
140,node6-1,node5-4,-20,True,False,21
141,node6-1,node5-4,-20,True,False,20
142,node6-1,node5-4,-20,True,False,21
143,node6-1,node5-4,-20,True,False,19
144,node6-1,node5-4,-20,True,False,21
145,node6-1,node5-4,-20,True,False,21
146,node6-1,node5-4,-20,True,False,21
147,node6-1,node5-4,-20,True,False,20
148,node6-1,node5-4,-20,True,False,21
149,node6-1,node5-4,-20,True,False,21
150,node6-1,node5-4,-20,True,False,22
151,node6-1,node5-4,-20,True,False,21
152,node6-1,node5-4,-20,True,False,22
153,node6-1,node5-4,-20,True,False,21
154,node6-1,node5-4,-20,True,False,21
155,node6-1,node5-4,-20,True,False,21
156,node6-1,node5-4,-20,True,False,21
157,node6-1,node5-4,-20,True,False,21
158,node6-1,node5-4,-20,True,False,21
159,node6-1,node5-4,-20,True,False,19
160,node6-1,node5-4,-20,True,False,20
161,node6-1,node5-4,-20,True,False,20
162,node6-1,node5-4,-20,True,False,21
163,node6-1,node5-4,-20,True,False,21
164,node6-1,node5-4,-20,True,False,21
165,node6-1,node5-4,-20,True,False,21
166,node6-1,node5-4,-20,True,False,20
167,node6-1,node5-4,-20,True,False,21
168,node6-1,node5-4,-20,True,False,22
169,node6-1,node5-4,-20,True,False,21
170,node6-1,node5-4,-20,True,False,20
171,node6-1,node5-4,-20,True,False,21
172,node6-1,node5-4,-20,True,False,21
173,node6-1,node5-4,-20,True,False,21
174,node6-1,node5-4,-20,True,False,20
175,node6-1,node5-4,-20,True,False,22
176,node6-1,node5-4,-20,True,False,20
177,node6-1,node5-4,-20,True,False,22
178,node6-1,node5-4,-20,True,False,21
179,node6-1,node5-4,-20,True,False,22
180,node6-1,node5-4,-20,True,False,21
181,node6-1,node5-4,-20,True,False,20
182,node6-1,node5-4,-20,True,False,21
183,node6-1,node5-4,-20,True,False,22
184,node6-1,node5-4,-20,True,False,21
185,node6-1,node5-4,-20,True,False,21
186,node6-1,node5-4,-20,True,False,20
187,node6-1,node5-4,-20,True,False,21
188,node6-1,node5-4,-20,True,False,21
189,node6-1,node5-4,-20,True,False,21
190,node6-1,node5-4,-20,True,False,22
191,node6-1,node5-4,-20,True,False,20
192,node6-1,node5-4,-20,True,False,21
193,node6-1,node5-4,-20,True,False,20
194,node6-1,node5-4,-20,True,False,21
195,node6-1,node5-4,-20,True,False,21
196,node6-1,node5-4,-20,True,False,20
197,node6-1,node5-4,-20,True,False,21
198,node6-1,node5-4,-20,True,False,21
199,node6-1,node5-4,-20,True,False,21
200,node6-1,node5-4,-20,True,False,20
201,node6-1,node5-4,-20,True,False,21
202,node6-1,node5-4,-20,True,False,21
203,node6-1,node5-4,-20,True,False,20
204,node6-1,node5-4,-20,True,False,22
205,node6-1,node5-4,-20,True,False,20
206,node6-1,node5-4,-20,True,False,21
207,node6-1,node5-4,-20,True,False,20
208,node6-1,node5-4,-20,True,False,21
209,node6-1,node5-4,-20,True,False,21
210,node6-1,node5-4,-20,True,False,21
211,node6-1,node5-4,-20,True,False,21
212,node6-1,node5-4,-20,True,False,21
213,node6-1,node5-4,-20,True,False,20
214,node6-1,node5-4,-20,True,False,21
215,node6-1,node5-4,-20,True,False,21
