seq,src,dst,noise,received,error,rssi
1,node8-3,node5-4,0,True,False,8
2,node8-3,node5-4,0,True,False,8
3,node8-3,node5-4,0,True,False,6
4,node8-3,node5-4,0,True,False,4
5,node8-3,node5-4,0,True,False,5
6,node8-3,node5-4,0,True,False,4
7,node8-3,node5-4,0,True,False,4
8,node8-3,node5-4,0,True,False,3
9,node8-3,node5-4,0,True,False,4
10,node8-3,node5-4,0,True,False,2
11,node8-3,node5-4,0,True,False,4
12,node8-3,node5-4,0,True,False,4
13,node8-3,node5-4,0,True,False,2
14,node8-3,node5-4,0,True,False,3
15,node8-3,node5-4,0,True,False,5
16,node8-3,node5-4,0,True,False,5
17,node8-3,node5-4,0,True,False,1
18,node8-3,node5-4,0,True,False,4
19,node8-3,node5-4,0,True,False,3
20,node8-3,node5-4,0,True,False,5
21,node8-3,node5-4,0,True,False,3
22,node8-3,node5-4,0,True,False,3
23,node8-3,node5-4,0,True,False,4
24,node8-3,node5-4,0,True,False,3
25,node8-3,node5-4,0,True,False,4
26,node8-3,node5-4,0,True,False,3
27,node8-3,node5-4,0,True,False,0
28,node8-3,node5-4,0,True,False,2
29,node8-3,node5-4,0,True,False,6
30,node8-3,node5-4,0,True,False,2
31,node8-3,node5-4,0,True,False,4
32,node8-3,node5-4,0,True,False,2
33,node8-3,node5-4,0,True,False,2
34,node8-3,node5-4,0,True,False,4
35,node8-3,node5-4,0,True,False,3
36,node8-3,node5-4,0,True,False,4
37,node8-3,node5-4,0,True,False,6
38,node8-3,node5-4,0,True,False,2
39,node8-3,node5-4,0,True,False,3
40,node8-3,node5-4,0,True,False,4
41,node8-3,node5-4,0,True,False,3
42,node8-3,node5-4,0,True,False,4
43,node8-3,node5-4,0,True,False,4
44,node8-3,node5-4,0,True,False,2
45,node8-3,node5-4,0,True,False,5
46,node8-3,node5-4,0,True,False,2
47,node8-3,node5-4,0,True,False,3
48,node8-3,node5-4,0,True,False,3
49,node8-3,node5-4,0,True,False,3
50,node8-3,node5-4,0,True,False,5
51,node8-3,node5-4,0,True,False,4
52,node8-3,node5-4,0,True,False,4
53,node8-3,node5-4,0,True,False,1
54,node8-3,node5-4,0,True,False,4
55,node8-3,node5-4,0,True,False,3
56,node8-3,node5-4,0,True,False,2
57,node8-3,node5-4,0,True,False,2
58,node8-3,node5-4,0,True,False,5
59,node8-3,node5-4,0,True,False,4
60,node8-3,node5-4,0,True,False,5
61,node8-3,node5-4,0,True,False,4
62,node8-3,node5-4,0,True,False,3
63,node8-3,node5-4,0,True,False,1
64,node8-3,node5-4,0,True,False,3
65,node8-3,node5-4,0,True,False,4
66,node8-3,node5-4,0,True,False,4
67,node8-3,node5-4,0,True,False,4
68,node8-3,node5-4,0,True,False,4
69,node8-3,node5-4,0,True,False,3
70,node8-3,node5-4,0,True,False,5
71,node8-3,node5-4,0,True,False,3
72,node8-3,node5-4,0,True,False,3
73,node8-3,node5-4,0,True,False,4
74,node8-3,node5-4,0,True,False,5
75,node8-3,node5-4,0,True,False,3
76,node8-3,node5-4,0,True,False,3
77,node8-3,node5-4,0,True,False,0
78,node8-3,node5-4,0,True,False,5
79,node8-3,node5-4,0,True,False,5
80,node8-3,node5-4,0,True,False,4
81,node8-3,node5-4,0,True,False,4
82,node8-3,node5-4,0,True,False,4
83,node8-3,node5-4,0,True,False,5
84,node8-3,node5-4,0,True,False,4
85,node8-3,node5-4,0,True,False,3
86,node8-3,node5-4,0,True,False,2
87,node8-3,node5-4,0,True,False,3
88,node8-3,node5-4,0,True,False,1
89,node8-3,node5-4,0,True,False,2
90,node8-3,node5-4,0,True,False,4
91,node8-3,node5-4,0,True,False,3
92,node8-3,node5-4,0,True,False,3
93,node8-3,node5-4,0,True,False,3
94,node8-3,node5-4,0,True,False,2
95,node8-3,node5-4,0,True,False,3
96,node8-3,node5-4,0,True,False,4
97,node8-3,node5-4,0,True,False,2
98,node8-3,node5-4,0,True,False,5
99,node8-3,node5-4,0,True,False,4
100,node8-3,node5-4,0,True,False,3
101,node8-3,node5-4,0,True,False,4
102,node8-3,node5-4,0,True,False,1
103,node8-3,node5-4,0,True,False,3
104,node8-3,node5-4,0,True,False,3
105,node8-3,node5-4,0,True,False,4
106,node8-3,node5-4,0,True,False,4
107,node8-3,node5-4,0,True,False,3
108,node8-3,node5-4,0,True,False,3
109,node8-3,node5-4,0,True,False,4
110,node8-3,node5-4,0,True,False,4
111,node8-3,node5-4,0,True,False,5
112,node8-3,node5-4,0,True,False,4
113,node8-3,node5-4,0,True,False,4
114,node8-3,node5-4,0,True,False,4
115,node8-3,node5-4,0,True,False,2
116,node8-3,node5-4,0,True,False,4
117,node8-3,node5-4,0,True,False,4
118,node8-3,node5-4,0,True,False,3
119,node8-3,node5-4,0,True,False,3
120,node8-3,node5-4,0,True,False,3
121,node8-3,node5-4,0,True,False,3
122,node8-3,node5-4,0,True,False,2
123,node8-3,node5-4,0,True,False,4
124,node8-3,node5-4,0,True,False,2
125,node8-3,node5-4,0,True,False,5
126,node8-3,node5-4,0,True,False,3
127,node8-3,node5-4,0,True,False,4
128,node8-3,node5-4,0,True,False,4
129,node8-3,node5-4,0,True,False,3
130,node8-3,node5-4,0,True,False,3
131,node8-3,node5-4,0,True,False,3
132,node8-3,node5-4,0,True,False,4
133,node8-3,node5-4,0,True,False,4
134,node8-3,node5-4,0,True,False,4
135,node8-3,node5-4,0,True,False,5
136,node8-3,node5-4,0,True,False,3
137,node8-3,node5-4,0,False,False,0
138,node8-3,node5-4,0,True,False,1
139,node8-3,node5-4,0,True,False,4
140,node8-3,node5-4,0,True,False,1
141,node8-3,node5-4,0,True,False,3
142,node8-3,node5-4,0,True,False,6
143,node8-3,node5-4,0,True,False,3
144,node8-3,node5-4,0,True,False,5
145,node8-3,node5-4,0,True,False,3
146,node8-3,node5-4,0,True,False,1
147,node8-3,node5-4,0,True,False,3
148,node8-3,node5-4,0,True,False,4
149,node8-3,node5-4,0,True,False,3
150,node8-3,node5-4,0,True,False,4
151,node8-3,node5-4,0,True,False,3
152,node8-3,node5-4,0,True,False,3
153,node8-3,node5-4,0,True,False,3
154,node8-3,node5-4,0,True,False,2
155,node8-3,node5-4,0,True,False,4
156,node8-3,node5-4,0,True,False,4
157,node8-3,node5-4,0,True,False,4
158,node8-3,node5-4,0,True,False,5
159,node8-3,node5-4,0,True,False,4
160,node8-3,node5-4,0,True,False,5
161,node8-3,node5-4,0,True,False,0
162,node8-3,node5-4,0,True,False,5
163,node8-3,node5-4,0,True,False,2
164,node8-3,node5-4,0,True,False,3
165,node8-3,node5-4,0,True,False,4
166,node8-3,node5-4,0,True,False,5
167,node8-3,node5-4,0,True,False,3
168,node8-3,node5-4,0,True,False,6
169,node8-3,node5-4,0,True,False,6
170,node8-3,node5-4,0,True,False,3
171,node8-3,node5-4,0,True,False,4
172,node8-3,node5-4,0,True,False,4
173,node8-3,node5-4,0,True,False,3
174,node8-3,node5-4,0,True,False,3
175,node8-3,node5-4,0,True,False,4
176,node8-3,node5-4,0,True,False,3
177,node8-3,node5-4,0,True,False,4
