seq,src,dst,noise,received,error,rssi
1,node7-2,node4-7,-20,True,False,23
2,node7-2,node4-7,-20,True,False,24
3,node7-2,node4-7,-20,True,False,20
4,node7-2,node4-7,-20,True,False,18
5,node7-2,node4-7,-20,True,False,16
6,node7-2,node4-7,-20,True,False,18
7,node7-2,node4-7,-20,True,False,18
8,node7-2,node4-7,-20,True,False,19
9,node7-2,node4-7,-20,True,False,17
10,node7-2,node4-7,-20,True,False,18
11,node7-2,node4-7,-20,True,False,18
12,node7-2,node4-7,-20,True,False,18
13,node7-2,node4-7,-20,True,False,19
14,node7-2,node4-7,-20,True,False,19
15,node7-2,node4-7,-20,True,False,18
16,node7-2,node4-7,-20,True,False,18
17,node7-2,node4-7,-20,True,False,18
18,node7-2,node4-7,-20,True,False,19
19,node7-2,node4-7,-20,True,False,18
20,node7-2,node4-7,-20,True,False,17
21,node7-2,node4-7,-20,True,False,17
22,node7-2,node4-7,-20,True,False,15
23,node7-2,node4-7,-20,True,False,17
24,node7-2,node4-7,-20,True,False,19
25,node7-2,node4-7,-20,True,False,18
26,node7-2,node4-7,-20,True,False,18
27,node7-2,node4-7,-20,True,False,17
28,node7-2,node4-7,-20,True,False,18
29,node7-2,node4-7,-20,True,False,18
30,node7-2,node4-7,-20,True,False,18
31,node7-2,node4-7,-20,True,False,18
32,node7-2,node4-7,-20,True,False,18
33,node7-2,node4-7,-20,True,False,18
34,node7-2,node4-7,-20,True,False,17
35,node7-2,node4-7,-20,True,False,15
36,node7-2,node4-7,-20,True,False,18
37,node7-2,node4-7,-20,True,False,18
38,node7-2,node4-7,-20,True,False,18
39,node7-2,node4-7,-20,True,False,18
40,node7-2,node4-7,-20,True,False,18
41,node7-2,node4-7,-20,True,False,18
42,node7-2,node4-7,-20,True,False,16
43,node7-2,node4-7,-20,True,False,17
44,node7-2,node4-7,-20,True,False,18
45,node7-2,node4-7,-20,True,False,19
46,node7-2,node4-7,-20,True,False,18
47,node7-2,node4-7,-20,True,False,18
48,node7-2,node4-7,-20,True,False,18
49,node7-2,node4-7,-20,True,False,15
50,node7-2,node4-7,-20,True,False,17
51,node7-2,node4-7,-20,True,False,16
52,node7-2,node4-7,-20,True,False,17
53,node7-2,node4-7,-20,True,False,18
54,node7-2,node4-7,-20,True,False,18
55,node7-2,node4-7,-20,True,False,18
56,node7-2,node4-7,-20,True,False,18
57,node7-2,node4-7,-20,True,False,18
58,node7-2,node4-7,-20,True,False,18
59,node7-2,node4-7,-20,True,False,18
60,node7-2,node4-7,-20,True,False,18
61,node7-2,node4-7,-20,True,False,19
62,node7-2,node4-7,-20,True,False,18
63,node7-2,node4-7,-20,True,False,18
64,node7-2,node4-7,-20,True,False,18
65,node7-2,node4-7,-20,True,False,18
66,node7-2,node4-7,-20,True,False,18
67,node7-2,node4-7,-20,True,False,17
68,node7-2,node4-7,-20,True,False,19
69,node7-2,node4-7,-20,True,False,18
70,node7-2,node4-7,-20,True,False,19
71,node7-2,node4-7,-20,True,False,19
72,node7-2,node4-7,-20,True,False,19
73,node7-2,node4-7,-20,True,False,19
74,node7-2,node4-7,-20,True,False,19
75,node7-2,node4-7,-20,True,False,18
76,node7-2,node4-7,-20,True,False,16
77,node7-2,node4-7,-20,True,False,19
78,node7-2,node4-7,-20,True,False,19
79,node7-2,node4-7,-20,True,False,18
80,node7-2,node4-7,-20,True,False,18
81,node7-2,node4-7,-20,True,False,16
82,node7-2,node4-7,-20,True,False,17
83,node7-2,node4-7,-20,True,False,18
84,node7-2,node4-7,-20,True,False,19
85,node7-2,node4-7,-20,True,False,17
86,node7-2,node4-7,-20,True,False,19
87,node7-2,node4-7,-20,True,False,18
88,node7-2,node4-7,-20,True,False,19
89,node7-2,node4-7,-20,True,False,19
90,node7-2,node4-7,-20,True,False,17
91,node7-2,node4-7,-20,True,False,18
92,node7-2,node4-7,-20,True,False,18
93,node7-2,node4-7,-20,True,False,18
94,node7-2,node4-7,-20,True,False,18
95,node7-2,node4-7,-20,True,False,18
96,node7-2,node4-7,-20,True,False,18
97,node7-2,node4-7,-20,True,False,18
98,node7-2,node4-7,-20,True,False,18
99,node7-2,node4-7,-20,True,False,18
