seq,src,dst,noise,received,error,rssi
1,node1-4,node5-4,-20,True,False,25
2,node1-4,node5-4,-20,True,False,23
3,node1-4,node5-4,-20,True,False,20
4,node1-4,node5-4,-20,True,False,20
5,node1-4,node5-4,-20,True,False,20
6,node1-4,node5-4,-20,True,False,21
7,node1-4,node5-4,-20,True,False,21
8,node1-4,node5-4,-20,True,False,20
9,node1-4,node5-4,-20,True,False,21
10,node1-4,node5-4,-20,True,False,20
11,node1-4,node5-4,-20,True,False,21
12,node1-4,node5-4,-20,True,False,21
13,node1-4,node5-4,-20,True,False,19
14,node1-4,node5-4,-20,True,False,20
15,node1-4,node5-4,-20,True,False,20
16,node1-4,node5-4,-20,True,False,21
17,node1-4,node5-4,-20,True,False,20
18,node1-4,node5-4,-20,True,False,19
19,node1-4,node5-4,-20,True,False,20
20,node1-4,node5-4,-20,True,False,20
21,node1-4,node5-4,-20,True,False,20
22,node1-4,node5-4,-20,True,False,20
23,node1-4,node5-4,-20,True,False,20
24,node1-4,node5-4,-20,True,False,21
25,node1-4,node5-4,-20,True,False,21
26,node1-4,node5-4,-20,True,False,20
27,node1-4,node5-4,-20,True,False,20
28,node1-4,node5-4,-20,True,False,21
29,node1-4,node5-4,-20,True,False,21
30,node1-4,node5-4,-20,True,False,21
31,node1-4,node5-4,-20,True,False,20
32,node1-4,node5-4,-20,True,False,20
33,node1-4,node5-4,-20,True,False,21
34,node1-4,node5-4,-20,True,False,20
35,node1-4,node5-4,-20,True,False,20
36,node1-4,node5-4,-20,True,False,19
37,node1-4,node5-4,-20,True,False,20
38,node1-4,node5-4,-20,True,False,21
39,node1-4,node5-4,-20,True,False,21
40,node1-4,node5-4,-20,True,False,21
41,node1-4,node5-4,-20,True,False,21
42,node1-4,node5-4,-20,True,False,20
43,node1-4,node5-4,-20,True,False,21
44,node1-4,node5-4,-20,True,False,20
45,node1-4,node5-4,-20,True,False,20
46,node1-4,node5-4,-20,True,False,20
47,node1-4,node5-4,-20,True,False,21
48,node1-4,node5-4,-20,True,False,21
49,node1-4,node5-4,-20,True,False,20
50,node1-4,node5-4,-20,True,False,19
51,node1-4,node5-4,-20,True,False,20
52,node1-4,node5-4,-20,True,False,20
53,node1-4,node5-4,-20,True,False,20
54,node1-4,node5-4,-20,True,False,20
55,node1-4,node5-4,-20,True,False,21
56,node1-4,node5-4,-20,True,False,20
57,node1-4,node5-4,-20,True,False,21
58,node1-4,node5-4,-20,True,False,21
59,node1-4,node5-4,-20,True,False,20
60,node1-4,node5-4,-20,True,False,21
61,node1-4,node5-4,-20,True,False,20
62,node1-4,node5-4,-20,True,False,21
63,node1-4,node5-4,-20,True,False,21
64,node1-4,node5-4,-20,True,False,20
65,node1-4,node5-4,-20,True,False,21
66,node1-4,node5-4,-20,True,False,20
67,node1-4,node5-4,-20,True,False,20
68,node1-4,node5-4,-20,True,False,20
69,node1-4,node5-4,-20,True,False,21
70,node1-4,node5-4,-20,True,False,21
71,node1-4,node5-4,-20,True,False,20
72,node1-4,node5-4,-20,True,False,20
73,node1-4,node5-4,-20,True,False,21
74,node1-4,node5-4,-20,True,False,20
75,node1-4,node5-4,-20,True,False,20
76,node1-4,node5-4,-20,True,False,21
77,node1-4,node5-4,-20,True,False,20
78,node1-4,node5-4,-20,True,False,21
79,node1-4,node5-4,-20,True,False,20
80,node1-4,node5-4,-20,True,False,19
81,node1-4,node5-4,-20,True,False,21
82,node1-4,node5-4,-20,True,False,19
83,node1-4,node5-4,-20,True,False,20
84,node1-4,node5-4,-20,True,False,21
85,node1-4,node5-4,-20,True,False,20
86,node1-4,node5-4,-20,True,False,20
87,node1-4,node5-4,-20,True,False,20
88,node1-4,node5-4,-20,True,False,20
89,node1-4,node5-4,-20,True,False,20
90,node1-4,node5-4,-20,True,False,20
91,node1-4,node5-4,-20,True,False,20
92,node1-4,node5-4,-20,True,False,20
93,node1-4,node5-4,-20,True,False,21
94,node1-4,node5-4,-20,True,False,20
95,node1-4,node5-4,-20,True,False,19
96,node1-4,node5-4,-20,True,False,20
97,node1-4,node5-4,-20,True,False,21
98,node1-4,node5-4,-20,True,False,20
99,node1-4,node5-4,-20,True,False,20
100,node1-4,node5-4,-20,True,False,20
101,node1-4,node5-4,-20,True,False,19
102,node1-4,node5-4,-20,True,False,21
103,node1-4,node5-4,-20,True,False,21
104,node1-4,node5-4,-20,True,False,20
105,node1-4,node5-4,-20,True,False,20
106,node1-4,node5-4,-20,True,False,21
107,node1-4,node5-4,-20,True,False,21
108,node1-4,node5-4,-20,True,False,21
109,node1-4,node5-4,-20,True,False,21
110,node1-4,node5-4,-20,True,False,21
111,node1-4,node5-4,-20,True,False,20
