seq,src,dst,noise,received,error,rssi
1,node6-3,node3-6,-15,True,False,13
2,node6-3,node3-6,-15,True,False,11
3,node6-3,node3-6,-15,True,False,9
4,node6-3,node3-6,-15,True,False,9
5,node6-3,node3-6,-15,True,False,9
6,node6-3,node3-6,-15,True,False,9
7,node6-3,node3-6,-15,True,False,9
8,node6-3,node3-6,-15,True,False,8
9,node6-3,node3-6,-15,True,False,9
10,node6-3,node3-6,-15,True,False,9
11,node6-3,node3-6,-15,True,False,9
12,node6-3,node3-6,-15,True,False,8
13,node6-3,node3-6,-15,True,False,8
14,node6-3,node3-6,-15,True,False,8
15,node6-3,node3-6,-15,True,False,9
16,node6-3,node3-6,-15,True,False,8
17,node6-3,node3-6,-15,True,False,9
18,node6-3,node3-6,-15,True,False,9
19,node6-3,node3-6,-15,True,False,9
20,node6-3,node3-6,-15,True,False,8
21,node6-3,node3-6,-15,True,False,8
22,node6-3,node3-6,-15,True,False,8
23,node6-3,node3-6,-15,True,False,8
24,node6-3,node3-6,-15,True,False,10
25,node6-3,node3-6,-15,True,False,9
26,node6-3,node3-6,-15,True,False,9
27,node6-3,node3-6,-15,True,False,8
28,node6-3,node3-6,-15,True,False,9
29,node6-3,node3-6,-15,True,False,8
30,node6-3,node3-6,-15,True,False,9
31,node6-3,node3-6,-15,True,False,9
32,node6-3,node3-6,-15,True,False,8
33,node6-3,node3-6,-15,True,False,9
34,node6-3,node3-6,-15,True,False,8
35,node6-3,node3-6,-15,True,False,9
36,node6-3,node3-6,-15,True,False,8
37,node6-3,node3-6,-15,True,False,9
38,node6-3,node3-6,-15,True,False,9
39,node6-3,node3-6,-15,True,False,9
40,node6-3,node3-6,-15,True,False,9
41,node6-3,node3-6,-15,True,False,9
42,node6-3,node3-6,-15,True,False,9
43,node6-3,node3-6,-15,True,False,8
44,node6-3,node3-6,-15,True,False,9
45,node6-3,node3-6,-15,True,False,9
46,node6-3,node3-6,-15,True,False,8
47,node6-3,node3-6,-15,True,False,9
48,node6-3,node3-6,-15,True,False,9
49,node6-3,node3-6,-15,True,False,9
50,node6-3,node3-6,-15,True,False,9
51,node6-3,node3-6,-15,True,False,9
52,node6-3,node3-6,-15,True,False,9
53,node6-3,node3-6,-15,True,False,10
54,node6-3,node3-6,-15,True,False,8
55,node6-3,node3-6,-15,True,False,9
56,node6-3,node3-6,-15,True,False,8
57,node6-3,node3-6,-15,True,False,10
58,node6-3,node3-6,-15,True,False,8
59,node6-3,node3-6,-15,True,False,8
60,node6-3,node3-6,-15,True,False,8
61,node6-3,node3-6,-15,True,False,8
62,node6-3,node3-6,-15,True,False,9
63,node6-3,node3-6,-15,True,False,9
64,node6-3,node3-6,-15,True,False,9
65,node6-3,node3-6,-15,True,False,8
66,node6-3,node3-6,-15,True,False,8
67,node6-3,node3-6,-15,True,False,9
68,node6-3,node3-6,-15,True,False,9
69,node6-3,node3-6,-15,True,False,9
70,node6-3,node3-6,-15,True,False,8
71,node6-3,node3-6,-15,True,False,9
72,node6-3,node3-6,-15,True,False,8
73,node6-3,node3-6,-15,True,False,9
74,node6-3,node3-6,-15,True,False,7
75,node6-3,node3-6,-15,True,False,8
76,node6-3,node3-6,-15,True,False,10
77,node6-3,node3-6,-15,True,False,8
78,node6-3,node3-6,-15,True,False,9
79,node6-3,node3-6,-15,True,False,8
80,node6-3,node3-6,-15,True,False,8
81,node6-3,node3-6,-15,True,False,8
82,node6-3,node3-6,-15,True,False,10
83,node6-3,node3-6,-15,True,False,8
84,node6-3,node3-6,-15,True,False,9
85,node6-3,node3-6,-15,True,False,9
86,node6-3,node3-6,-15,True,False,9
87,node6-3,node3-6,-15,True,False,9
88,node6-3,node3-6,-15,True,False,10
89,node6-3,node3-6,-15,True,False,10
90,node6-3,node3-6,-15,True,False,9
91,node6-3,node3-6,-15,True,False,8
92,node6-3,node3-6,-15,True,False,9
93,node6-3,node3-6,-15,True,False,9
94,node6-3,node3-6,-15,True,False,9
95,node6-3,node3-6,-15,True,False,9
96,node6-3,node3-6,-15,True,False,8
97,node6-3,node3-6,-15,True,False,7
98,node6-3,node3-6,-15,True,False,9
99,node6-3,node3-6,-15,True,False,10
100,node6-3,node3-6,-15,True,False,8
101,node6-3,node3-6,-15,True,False,8
102,node6-3,node3-6,-15,True,False,8
103,node6-3,node3-6,-15,True,False,10
104,node6-3,node3-6,-15,True,False,9
105,node6-3,node3-6,-15,True,False,8
106,node6-3,node3-6,-15,True,False,10
107,node6-3,node3-6,-15,True,False,9
108,node6-3,node3-6,-15,True,False,10
109,node6-3,node3-6,-15,True,False,9
110,node6-3,node3-6,-15,True,False,9
111,node6-3,node3-6,-15,True,False,8
112,node6-3,node3-6,-15,True,False,9
113,node6-3,node3-6,-15,True,False,9
114,node6-3,node3-6,-15,True,False,9
115,node6-3,node3-6,-15,True,False,9
116,node6-3,node3-6,-15,True,False,9
117,node6-3,node3-6,-15,True,False,8
118,node6-3,node3-6,-15,True,False,8
119,node6-3,node3-6,-15,True,False,8
120,node6-3,node3-6,-15,True,False,8
121,node6-3,node3-6,-15,True,False,9
122,node6-3,node3-6,-15,True,False,10
123,node6-3,node3-6,-15,True,False,9
124,node6-3,node3-6,-15,True,False,9
125,node6-3,node3-6,-15,True,False,8
126,node6-3,node3-6,-15,True,False,8
127,node6-3,node3-6,-15,True,False,9
128,node6-3,node3-6,-15,True,False,7
129,node6-3,node3-6,-15,True,False,8
130,node6-3,node3-6,-15,True,False,8
131,node6-3,node3-6,-15,True,False,9
132,node6-3,node3-6,-15,True,False,9
133,node6-3,node3-6,-15,True,False,10
134,node6-3,node3-6,-15,True,False,9
135,node6-3,node3-6,-15,True,False,9
136,node6-3,node3-6,-15,True,False,9
137,node6-3,node3-6,-15,True,False,9
138,node6-3,node3-6,-15,True,False,9
139,node6-3,node3-6,-15,True,False,10
140,node6-3,node3-6,-15,True,False,9
141,node6-3,node3-6,-15,True,False,9
142,node6-3,node3-6,-15,True,False,8
143,node6-3,node3-6,-15,True,False,9
144,node6-3,node3-6,-15,True,False,8
145,node6-3,node3-6,-15,True,False,10
146,node6-3,node3-6,-15,True,False,8
147,node6-3,node3-6,-15,True,False,8
148,node6-3,node3-6,-15,True,False,8
149,node6-3,node3-6,-15,True,False,9
150,node6-3,node3-6,-15,True,False,8
151,node6-3,node3-6,-15,True,False,10
152,node6-3,node3-6,-15,True,False,9
153,node6-3,node3-6,-15,True,False,9
154,node6-3,node3-6,-15,True,False,8
155,node6-3,node3-6,-15,True,False,9
156,node6-3,node3-6,-15,True,False,9
157,node6-3,node3-6,-15,True,False,8
158,node6-3,node3-6,-15,True,False,10
159,node6-3,node3-6,-15,True,False,8
160,node6-3,node3-6,-15,True,False,9
161,node6-3,node3-6,-15,True,False,8
162,node6-3,node3-6,-15,True,False,9
163,node6-3,node3-6,-15,True,False,7
164,node6-3,node3-6,-15,True,False,8
165,node6-3,node3-6,-15,True,False,8
166,node6-3,node3-6,-15,True,False,9
167,node6-3,node3-6,-15,True,False,10
168,node6-3,node3-6,-15,True,False,10
169,node6-3,node3-6,-15,True,False,9
170,node6-3,node3-6,-15,True,False,9
171,node6-3,node3-6,-15,True,False,9
172,node6-3,node3-6,-15,True,False,9
173,node6-3,node3-6,-15,True,False,9
174,node6-3,node3-6,-15,True,False,10
175,node6-3,node3-6,-15,True,False,9
176,node6-3,node3-6,-15,True,False,10
177,node6-3,node3-6,-15,True,False,9
178,node6-3,node3-6,-15,True,False,9
179,node6-3,node3-6,-15,True,False,9
180,node6-3,node3-6,-15,True,False,8
181,node6-3,node3-6,-15,True,False,9
182,node6-3,node3-6,-15,True,False,9
183,node6-3,node3-6,-15,True,False,9
184,node6-3,node3-6,-15,True,False,8
185,node6-3,node3-6,-15,True,False,10
186,node6-3,node3-6,-15,True,False,9
187,node6-3,node3-6,-15,True,False,10
188,node6-3,node3-6,-15,True,False,9
189,node6-3,node3-6,-15,True,False,10
190,node6-3,node3-6,-15,True,False,9
191,node6-3,node3-6,-15,True,False,8
192,node6-3,node3-6,-15,True,False,8
193,node6-3,node3-6,-15,True,False,8
194,node6-3,node3-6,-15,True,False,9
195,node6-3,node3-6,-15,True,False,9
196,node6-3,node3-6,-15,True,False,9
197,node6-3,node3-6,-15,True,False,7
198,node6-3,node3-6,-15,True,False,9
199,node6-3,node3-6,-15,True,False,8
200,node6-3,node3-6,-15,True,False,9
201,node6-3,node3-6,-15,True,False,9
202,node6-3,node3-6,-15,True,False,9
203,node6-3,node3-6,-15,True,False,9
204,node6-3,node3-6,-15,True,False,8
205,node6-3,node3-6,-15,True,False,9
206,node6-3,node3-6,-15,True,False,8
207,node6-3,node3-6,-15,True,False,9
208,node6-3,node3-6,-15,True,False,9
209,node6-3,node3-6,-15,True,False,9
210,node6-3,node3-6,-15,True,False,8
211,node6-3,node3-6,-15,True,False,7
212,node6-3,node3-6,-15,True,False,8
213,node6-3,node3-6,-15,True,False,8
214,node6-3,node3-6,-15,True,False,8
215,node6-3,node3-6,-15,True,False,9
216,node6-3,node3-6,-15,True,False,9
217,node6-3,node3-6,-15,True,False,8
218,node6-3,node3-6,-15,True,False,9
219,node6-3,node3-6,-15,True,False,9
220,node6-3,node3-6,-15,True,False,10
221,node6-3,node3-6,-15,True,False,9
222,node6-3,node3-6,-15,True,False,9
223,node6-3,node3-6,-15,True,False,6
224,node6-3,node3-6,-15,True,False,8
225,node6-3,node3-6,-15,True,False,7
226,node6-3,node3-6,-15,True,False,9
227,node6-3,node3-6,-15,True,False,10
228,node6-3,node3-6,-15,True,False,10
229,node6-3,node3-6,-15,True,False,9
230,node6-3,node3-6,-15,True,False,9
231,node6-3,node3-6,-15,True,False,8
232,node6-3,node3-6,-15,True,False,9
233,node6-3,node3-6,-15,True,False,9
234,node6-3,node3-6,-15,True,False,9
235,node6-3,node3-6,-15,True,False,10
236,node6-3,node3-6,-15,True,False,8
237,node6-3,node3-6,-15,True,False,8
238,node6-3,node3-6,-15,True,False,9
239,node6-3,node3-6,-15,True,False,9
240,node6-3,node3-6,-15,True,False,9
241,node6-3,node3-6,-15,True,False,8
242,node6-3,node3-6,-15,True,False,8
243,node6-3,node3-6,-15,True,False,8
244,node6-3,node3-6,-15,True,False,10
245,node6-3,node3-6,-15,True,False,10
246,node6-3,node3-6,-15,True,False,10
247,node6-3,node3-6,-15,True,False,9
248,node6-3,node3-6,-15,True,False,9
249,node6-3,node3-6,-15,True,False,9
250,node6-3,node3-6,-15,True,False,9
251,node6-3,node3-6,-15,True,False,9
252,node6-3,node3-6,-15,True,False,10
253,node6-3,node3-6,-15,True,False,7
254,node6-3,node3-6,-15,True,False,9
255,node6-3,node3-6,-15,True,False,8
256,node6-3,node3-6,-15,True,False,9
257,node6-3,node3-6,-15,True,False,8
258,node6-3,node3-6,-15,True,False,8
259,node6-3,node3-6,-15,True,False,8
260,node6-3,node3-6,-15,True,False,9
261,node6-3,node3-6,-15,True,False,8
262,node6-3,node3-6,-15,True,False,8
263,node6-3,node3-6,-15,True,False,9
264,node6-3,node3-6,-15,True,False,9
265,node6-3,node3-6,-15,True,False,8
266,node6-3,node3-6,-15,True,False,9
267,node6-3,node3-6,-15,True,False,9
268,node6-3,node3-6,-15,True,False,9
269,node6-3,node3-6,-15,True,False,9
270,node6-3,node3-6,-15,True,False,9
271,node6-3,node3-6,-15,True,False,9
272,node6-3,node3-6,-15,True,False,9
273,node6-3,node3-6,-15,True,False,8
274,node6-3,node3-6,-15,True,False,9
275,node6-3,node3-6,-15,True,False,8
276,node6-3,node3-6,-15,True,False,9
277,node6-3,node3-6,-15,True,False,8
278,node6-3,node3-6,-15,True,False,9
279,node6-3,node3-6,-15,True,False,9
280,node6-3,node3-6,-15,True,False,9
281,node6-3,node3-6,-15,True,False,9
282,node6-3,node3-6,-15,True,False,9
283,node6-3,node3-6,-15,True,False,9
284,node6-3,node3-6,-15,True,False,9
285,node6-3,node3-6,-15,True,False,9
286,node6-3,node3-6,-15,True,False,9
287,node6-3,node3-6,-15,True,False,9
288,node6-3,node3-6,-15,True,False,8
289,node6-3,node3-6,-15,True,False,10
290,node6-3,node3-6,-15,True,False,8
291,node6-3,node3-6,-15,True,False,9
292,node6-3,node3-6,-15,True,False,9
293,node6-3,node3-6,-15,True,False,9
294,node6-3,node3-6,-15,True,False,9
295,node6-3,node3-6,-15,True,False,8
296,node6-3,node3-6,-15,True,False,9
297,node6-3,node3-6,-15,True,False,8
298,node6-3,node3-6,-15,True,False,8
299,node6-3,node3-6,-15,True,False,9
300,node6-3,node3-6,-15,True,False,10
