seq,src,dst,noise,received,error,rssi
1,node1-8,node7-6,-15,True,False,21
2,node1-8,node7-6,-15,True,False,20
3,node1-8,node7-6,-15,True,False,19
4,node1-8,node7-6,-15,True,False,17
5,node1-8,node7-6,-15,True,False,18
6,node1-8,node7-6,-15,True,False,17
7,node1-8,node7-6,-15,True,False,17
8,node1-8,node7-6,-15,True,False,16
9,node1-8,node7-6,-15,True,False,17
10,node1-8,node7-6,-15,True,False,17
11,node1-8,node7-6,-15,True,False,17
12,node1-8,node7-6,-15,True,False,16
13,node1-8,node7-6,-15,True,False,17
14,node1-8,node7-6,-15,True,False,17
15,node1-8,node7-6,-15,True,False,17
16,node1-8,node7-6,-15,True,False,18
17,node1-8,node7-6,-15,True,False,18
18,node1-8,node7-6,-15,True,False,17
19,node1-8,node7-6,-15,True,False,17
20,node1-8,node7-6,-15,True,False,17
21,node1-8,node7-6,-15,True,False,18
22,node1-8,node7-6,-15,True,False,16
23,node1-8,node7-6,-15,True,False,18
24,node1-8,node7-6,-15,True,False,17
25,node1-8,node7-6,-15,True,False,18
26,node1-8,node7-6,-15,True,False,17
27,node1-8,node7-6,-15,True,False,17
28,node1-8,node7-6,-15,True,False,18
29,node1-8,node7-6,-15,True,False,17
30,node1-8,node7-6,-15,True,False,18
31,node1-8,node7-6,-15,True,False,17
32,node1-8,node7-6,-15,True,False,16
33,node1-8,node7-6,-15,True,False,17
34,node1-8,node7-6,-15,True,False,18
35,node1-8,node7-6,-15,True,False,18
36,node1-8,node7-6,-15,True,False,18
37,node1-8,node7-6,-15,True,False,17
38,node1-8,node7-6,-15,True,False,17
39,node1-8,node7-6,-15,True,False,15
40,node1-8,node7-6,-15,True,False,18
41,node1-8,node7-6,-15,True,False,18
42,node1-8,node7-6,-15,True,False,18
43,node1-8,node7-6,-15,True,False,17
44,node1-8,node7-6,-15,True,False,17
45,node1-8,node7-6,-15,True,False,18
46,node1-8,node7-6,-15,True,False,17
47,node1-8,node7-6,-15,True,False,17
48,node1-8,node7-6,-15,True,False,16
49,node1-8,node7-6,-15,True,False,17
