seq,src,dst,noise,received,error,rssi
1,node2-1,node1-4,0,True,False,10
2,node2-1,node1-4,0,True,False,10
3,node2-1,node1-4,0,True,False,6
4,node2-1,node1-4,0,True,False,7
5,node2-1,node1-4,0,True,False,7
6,node2-1,node1-4,0,True,False,6
7,node2-1,node1-4,0,True,False,7
8,node2-1,node1-4,0,True,False,6
9,node2-1,node1-4,0,True,False,7
10,node2-1,node1-4,0,True,False,6
11,node2-1,node1-4,0,True,False,5
12,node2-1,node1-4,0,True,False,6
13,node2-1,node1-4,0,True,False,6
14,node2-1,node1-4,0,True,False,7
15,node2-1,node1-4,0,True,False,6
16,node2-1,node1-4,0,True,False,6
17,node2-1,node1-4,0,True,False,4
18,node2-1,node1-4,0,True,False,7
19,node2-1,node1-4,0,True,False,6
20,node2-1,node1-4,0,True,False,6
21,node2-1,node1-4,0,True,False,7
22,node2-1,node1-4,0,True,False,6
23,node2-1,node1-4,0,True,False,7
24,node2-1,node1-4,0,True,False,7
25,node2-1,node1-4,0,True,False,7
26,node2-1,node1-4,0,True,False,6
27,node2-1,node1-4,0,True,False,4
28,node2-1,node1-4,0,True,False,5
29,node2-1,node1-4,0,True,False,7
30,node2-1,node1-4,0,True,False,6
31,node2-1,node1-4,0,True,False,6
32,node2-1,node1-4,0,True,False,7
33,node2-1,node1-4,0,True,False,6
34,node2-1,node1-4,0,True,False,7
35,node2-1,node1-4,0,True,False,6
36,node2-1,node1-4,0,True,False,7
37,node2-1,node1-4,0,True,False,7
38,node2-1,node1-4,0,True,False,5
39,node2-1,node1-4,0,True,False,7
40,node2-1,node1-4,0,True,False,5
41,node2-1,node1-4,0,True,False,6
42,node2-1,node1-4,0,True,False,7
43,node2-1,node1-4,0,True,False,5
44,node2-1,node1-4,0,True,False,6
45,node2-1,node1-4,0,True,False,6
46,node2-1,node1-4,0,True,False,6
47,node2-1,node1-4,0,True,False,8
48,node2-1,node1-4,0,True,False,6
49,node2-1,node1-4,0,True,False,7
50,node2-1,node1-4,0,True,False,6
51,node2-1,node1-4,0,True,False,6
52,node2-1,node1-4,0,True,False,8
53,node2-1,node1-4,0,True,False,6
54,node2-1,node1-4,0,True,False,7
55,node2-1,node1-4,0,True,False,5
56,node2-1,node1-4,0,True,False,7
57,node2-1,node1-4,0,True,False,8
